Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-37.721329	-37.721329
1	0.950747	7500	-37.156509	-74.877837
2	0.926679	7500	-36.593122	-111.470960
3	0.902980	7500	-36.032186	-147.503146
4	0.879648	7500	-35.474837	-182.977983
5	0.856682	7500	-34.921317	-217.899300
6	0.834079	7500	-34.370144	-252.269444
7	0.811838	7500	-33.823818	-286.093261
8	0.789957	7500	-33.276591	-319.369852
9	0.768433	7500	-32.733922	-352.103774
10	0.747266	7500	-32.193110	-384.296884
11	0.726452	7500	-31.659545	-415.956429
12	0.705989	7500	-31.125668	-447.082097
13	0.685877	7500	-30.592866	-477.674963
14	0.666112	7500	-30.067552	-507.742515
15	0.646693	7500	-29.544021	-537.286536
16	0.627618	7500	-29.020483	-566.307019
17	0.608884	7500	-28.502070	-594.809089
18	0.590490	7500	-27.991736	-622.800825
19	0.572433	7500	-27.476774	-650.277599
20	0.554712	7500	-26.970516	-677.248115
21	0.537324	7500	-26.464332	-703.712447
22	0.520268	7500	-25.966704	-729.679151
23	0.503540	7500	-25.464184	-755.143334
24	0.487139	7500	-24.969759	-780.113094
25	0.471063	7500	-24.470010	-804.583104
26	0.455310	7500	-23.983657	-828.566761
27	0.439877	7500	-23.501005	-852.067766
28	0.424762	7500	-23.017108	-875.084873
29	0.409963	7500	-22.535171	-897.620044
30	0.395478	7500	-22.062101	-919.682145
31	0.381305	7500	-21.595109	-941.277255
32	0.367440	7500	-21.121133	-962.398388
33	0.353883	7500	-20.660817	-983.059205
34	0.340630	7500	-20.197834	-1003.257039
35	0.327680	7500	-19.740652	-1022.997691
36	0.315030	7500	-19.286948	-1042.284639
37	0.302677	7500	-18.837475	-1061.122114
38	0.290619	7500	-18.383819	-1079.505933
39	0.278855	7500	-17.945699	-1097.451632
40	0.267381	7500	-17.495880	-1114.947512
41	0.256195	7500	-17.067676	-1132.015188
42	0.245294	7500	-16.635047	-1148.650234
43	0.234677	7500	-16.209711	-1164.859945
44	0.224340	7500	-15.783519	-1180.643465
45	0.214281	7500	-15.366608	-1196.010073
46	0.204498	7500	-14.950786	-1210.960859
47	0.194988	7500	-14.531031	-1225.491890
48	0.185749	7500	-14.120609	-1239.612499
49	0.176777	7500	-13.721000	-1253.333500
50	0.168070	7500	-13.322789	-1266.656289
51	0.159626	7500	-12.921595	-1279.577884
52	0.151441	7500	-12.529706	-1292.107590
53	0.143514	7500	-12.149990	-1304.257580
54	0.135841	7500	-11.756199	-1316.013779
55	0.128420	7500	-11.387249	-1327.401028
56	0.121247	7500	-10.998322	-1338.399350
57	0.114320	7500	-10.636093	-1349.035443
58	0.107637	7500	-10.269092	-1359.304535
59	0.101193	7500	-9.915580	-1369.220115
60	0.094986	7500	-9.551678	-1378.771793
61	0.089014	7500	-9.205075	-1387.976868
62	0.083273	7500	-8.858937	-1396.835805
63	0.077760	7500	-8.512339	-1405.348145
64	0.072472	7500	-8.172013	-1413.520158
65	0.067406	7500	-7.838248	-1421.358406
66	0.062558	7500	-7.510725	-1428.869131
67	0.057926	7500	-7.197116	-1436.066247
68	0.053506	7500	-6.873668	-1442.939915
69	0.049295	7500	-6.554036	-1449.493950
70	0.045289	7500	-6.251462	-1455.745413
71	0.041485	7500	-5.960813	-1461.706226
72	0.037880	7500	-5.664527	-1467.370753
73	0.034469	7500	-5.377981	-1472.748735
74	0.031250	7500	-5.117050	-1477.865785
75	0.028218	7500	-4.821499	-1482.687284
76	0.025370	7500	-4.569833	-1487.257117
77	0.022702	7500	-4.299734	-1491.556850
78	0.020209	7500	-4.064941	-1495.621791
79	0.017889	7500	-3.890498	-1499.512289
80	0.015736	7500	-3.632335	-1503.144625
81	0.013746	7500	-4.120753	-1507.265378
82	0.011916	7500	-3.865322	-1511.130700
83	0.010240	7500	-3.602952	-1514.733652
84	0.008714	7500	-3.663852	-1518.397504
85	0.007334	7500	-3.792345	-1522.189849
86	0.006093	7500	-3.406784	-1525.596633
87	0.004988	7500	-3.043012	-1528.639645
88	0.004013	7500	-2.615080	-1531.254725
89	0.003162	7500	-2.336472	-1533.591196
90	0.002430	7500	-2.114968	-1535.706165
91	0.001810	7500	-1.837242	-1537.543406
92	0.001296	7500	-1.569110	-1539.112517
93	0.000882	7500	-1.316461	-1540.428977
94	0.000559	7500	-1.060345	-1541.489323
95	0.000320	7500	-0.764897	-1542.254219
96	0.000156	7500	-0.593788	-1542.848007
97	0.000057	7500	-0.345618	-1543.193625
98	0.000010	7500	-0.191418	-1543.385044
99	0.000000	7500	-0.040178	-1543.425222
Log marginal likelihood:	-1543.425222
0	0.975187	7500	-37.110487	-37.110487
1	0.950747	7500	-36.552800	-73.663288
2	0.926679	7500	-36.000060	-109.663348
3	0.902980	7500	-35.447011	-145.110359
4	0.879648	7500	-34.905915	-180.016274
5	0.856682	7500	-34.353083	-214.369356
6	0.834079	7500	-33.814853	-248.184210
7	0.811838	7500	-33.270348	-281.454557
8	0.789957	7500	-32.739321	-314.193879
9	0.768433	7500	-32.201611	-346.395490
10	0.747266	7500	-31.669593	-378.065083
11	0.726452	7500	-31.142505	-409.207588
12	0.705989	7500	-30.620517	-439.828106
13	0.685877	7500	-30.095930	-469.924036
14	0.666112	7500	-29.575599	-499.499634
15	0.646693	7500	-29.063386	-528.563021
16	0.627618	7500	-28.548531	-557.111551
17	0.608884	7500	-28.041015	-585.152566
18	0.590490	7500	-27.534322	-612.686888
19	0.572433	7500	-27.031810	-639.718698
20	0.554712	7500	-26.526275	-666.244973
21	0.537324	7500	-26.032610	-692.277583
22	0.520268	7500	-25.538728	-717.816311
23	0.503540	7500	-25.051012	-742.867322
24	0.487139	7500	-24.561201	-767.428523
25	0.471063	7500	-24.082810	-791.511333
26	0.455310	7500	-23.597357	-815.108690
27	0.439877	7500	-23.121403	-838.230093
28	0.424762	7500	-22.645468	-860.875561
29	0.409963	7500	-22.172872	-883.048433
30	0.395478	7500	-21.711191	-904.759624
31	0.381305	7500	-21.241308	-926.000932
32	0.367440	7500	-20.785202	-946.786134
33	0.353883	7500	-20.324837	-967.110971
34	0.340630	7500	-19.872797	-986.983768
35	0.327680	7500	-19.419932	-1006.403700
36	0.315030	7500	-18.975284	-1025.378984
37	0.302677	7500	-18.527358	-1043.906342
38	0.290619	7500	-18.093542	-1061.999883
39	0.278855	7500	-17.655974	-1079.655857
40	0.267381	7500	-17.225614	-1096.881471
41	0.256195	7500	-16.794427	-1113.675898
42	0.245294	7500	-16.367523	-1130.043421
43	0.234677	7500	-15.944375	-1145.987796
44	0.224340	7500	-15.527190	-1161.514986
45	0.214281	7500	-15.111041	-1176.626027
46	0.204498	7500	-14.714838	-1191.340866
47	0.194988	7500	-14.300658	-1205.641524
48	0.185749	7500	-13.900831	-1219.542355
49	0.176777	7500	-13.496474	-1233.038829
50	0.168070	7500	-13.108910	-1246.147739
51	0.159626	7500	-12.718814	-1258.866553
52	0.151441	7500	-12.336228	-1271.202781
53	0.143514	7500	-11.939071	-1283.141852
54	0.135841	7500	-11.569739	-1294.711591
55	0.128420	7500	-11.195028	-1305.906619
56	0.121247	7500	-10.820826	-1316.727444
57	0.114320	7500	-10.457156	-1327.184600
58	0.107637	7500	-10.106670	-1337.291270
59	0.101193	7500	-9.757417	-1347.048687
60	0.094986	7500	-9.397069	-1356.445755
61	0.089014	7500	-9.060820	-1365.506575
62	0.083273	7500	-8.704636	-1374.211212
63	0.077760	7500	-8.382138	-1382.593350
64	0.072472	7500	-8.060565	-1390.653915
65	0.067406	7500	-7.714619	-1398.368534
66	0.062558	7500	-7.399452	-1405.767986
67	0.057926	7500	-7.077988	-1412.845974
68	0.053506	7500	-6.764434	-1419.610408
69	0.049295	7500	-6.447621	-1426.058029
70	0.045289	7500	-6.158102	-1432.216132
71	0.041485	7500	-5.854851	-1438.070983
72	0.037880	7500	-5.589146	-1443.660128
73	0.034469	7500	-5.298882	-1448.959010
74	0.031250	7500	-5.012947	-1453.971957
75	0.028218	7500	-4.752235	-1458.724192
76	0.025370	7500	-4.480529	-1463.204721
77	0.022702	7500	-4.206905	-1467.411627
78	0.020209	7500	-3.964589	-1471.376216
79	0.017889	7500	-4.035706	-1475.411921
80	0.015736	7500	-5.514276	-1480.926198
81	0.013746	7500	-3.950800	-1484.876998
82	0.011916	7500	-3.482371	-1488.359369
83	0.010240	7500	-3.414492	-1491.773861
84	0.008714	7500	-3.901052	-1495.674913
85	0.007334	7500	-3.783975	-1499.458888
86	0.006093	7500	-3.424073	-1502.882961
87	0.004988	7500	-3.084841	-1505.967801
88	0.004013	7500	-2.756866	-1508.724668
89	0.003162	7500	-2.393707	-1511.118375
90	0.002430	7500	-2.081987	-1513.200362
91	0.001810	7500	-1.886789	-1515.087151
92	0.001296	7500	-1.540289	-1516.627441
93	0.000882	7500	-1.284167	-1517.911607
94	0.000559	7500	-1.095795	-1519.007402
95	0.000320	7500	-0.807114	-1519.814516
96	0.000156	7500	-0.606742	-1520.421259
97	0.000057	7500	-0.386172	-1520.807431
98	0.000010	7500	-0.159826	-1520.967258
99	0.000000	7500	-0.039222	-1521.006480
Log marginal likelihood:	-1521.006480
0	0.975187	7500	-36.746411	-36.746411
1	0.950747	7500	-36.193386	-72.939797
2	0.926679	7500	-35.645217	-108.585014
3	0.902980	7500	-35.099409	-143.684423
4	0.879648	7500	-34.555699	-178.240122
