Estimate	Est.Error	Q2.5	Q97.5
abad1241	1.66842438915691	2.68217090311283	-3.657324998325	6.80265002018476
abar1238	3.54062869564567	3.33743843619749	-2.76017706912474	10.5795257518677
abau1245	-4.00503213093882	3.50914162468826	-11.1658429353811	2.56688956230815
abee1242	2.50095736110338	2.7094596986035	-2.78589493641149	7.90607223803059
abkh1244	-6.19331438547348	4.87516399018683	-17.1736103698897	2.21751418708772
abua1245	2.37199013935334	3.28021164834659	-3.85889280256042	9.03311481111244
abui1241	-8.28499194168906	5.03276536198621	-19.0958623907506	0.468161508983031
abun1252	0.201995014764508	3.84956264915388	-6.92207390960661	8.01483112767624
acha1249	-4.55391978452246	2.7286007987749	-10.0972413106311	0.452023527265435
acha1250	-2.32809356455877	2.64093722803738	-7.64536434064069	2.9305969597082
ache1245	8.13265780265548	7.21125551260089	-3.10161119620508	24.9491774955629
achi1256	2.51468684829809	3.62266536550575	-4.24290635582536	9.98688523755728
achi1257	4.38276773219647	2.88966891231968	-1.08503307692645	10.0873849687311
achu1247	-4.07340521737926	3.73933516136289	-11.904333873362	2.88019209564344
achu1248	-5.37337313884874	3.78844396910437	-13.5501217509789	1.54790348180941
acol1236	10.2779471569358	6.36895877604578	0.418141148024494	25.3293055476857
adan1251	-8.24940261350704	5.06660541103942	-19.1269528979554	0.628844974111371
adon1237	4.82588270228114	2.80418246638175	-0.457515472332138	10.4727514905455
adze1240	4.49706173819068	2.73170709631002	-0.83558516464381	10.0275954545011
aeky1238	-8.1096894437527	4.77594313279166	-18.3238642806005	0.332269817218634
afar1241	-2.44490166349546	2.68657492470261	-8.00903922375452	2.7131009734757
aghe1239	4.12515614585335	3.18989765022958	-1.77140586182212	10.7700619242402
aghu1255	-7.17786207375865	3.61756808181526	-14.7451040428563	-0.463998174616303
agob1244	-7.91978343684184	5.05386890906246	-18.7951336937811	0.961802764886583
agua1253	-5.34337667398157	3.80279074795305	-13.3287010305031	1.69797291592935
agus1235	2.01323995201334	2.65655809882802	-3.22867299541589	7.10461796975786
agut1237	1.73705201216897	2.68431260323024	-3.66350644123982	6.9721021072947
aheu1239	2.63633366071269	3.06545966052938	-3.33181090165972	8.80314509094865
aime1238	-6.00990798688157	4.75479773354661	-16.1553371118246	2.518577479376
ainu1240	-8.48195091428326	6.473692692176	-23.3419601294139	2.20218652347219
aito1238	4.22017486854511	3.30063439022974	-1.95768326328222	10.9783287414499
ajab1235	3.22971672757268	2.77394793978312	-2.21457427916286	8.80138707206401
ajas1235	7.95529959137599	7.20038618011632	-3.3072154062945	24.5743092095632
ajie1238	4.49920408817479	2.82326649325619	-0.890196200595161	10.1328000884487
ajyi1238	-3.6008834335906	2.75954390736337	-9.11591311373183	1.77784038989507
akei1237	5.05274545487545	2.85813009376831	-0.366301549446628	10.940460778722
akha1245	-4.80637020893518	2.72648291144496	-10.4078305702998	0.387384848024794
akoo1248	2.99059596996875	2.70782267683245	-2.36164417016674	8.49704674245469
