Estimate	Est.Error	Q2.5	Q97.5
abad1241	3.12649081062	3.11315074466807	-2.95298225	9.17104224999999
abar1238	4.6761323536497	3.72814929293567	-2.5806095	12.0133925
abau1245	-2.648649146087	3.52909959250215	-9.6412285	4.14161899999999
abee1242	3.896110943325	3.34944551437469	-2.73387325	10.4860075
abkh1244	-6.93662833845	4.88407483456745	-17.6561225	1.94558674999999
abua1245	1.700520674405	3.37452151427265	-4.862923	8.49614699999999
abui1241	-5.176041464325	4.39515783021304	-14.56312	2.860044
abun1252	2.32140804265	4.04964345205953	-5.39052575	10.5914825
acha1249	-2.596662388105	3.05277669459997	-8.767206	3.22625475
acha1250	-1.9648112362745	3.11746129857267	-8.22419025	4.44400674999999
ache1245	8.32264947395	5.43319386774777	-1.2102735	20.472835
achi1256	2.88463167812	3.89949667378471	-4.68919575	10.956285
achi1257	6.31991562079	3.37486468646114	-0.434724625	12.992825
achu1247	-2.7565143368755	4.17273352143864	-11.0046425	5.48380874999999
achu1248	-5.23920702485	4.1497665515748	-14.261915	2.36447275
acol1236	5.14803830421905	3.52174887838417	-1.417951	12.58546
adan1251	-5.17196650133	4.3649301502289	-14.2472125	2.79431275
adon1237	6.4653039633	3.28390450936373	-0.231011475	12.94824
adze1240	5.63014044775	3.21779954202136	-0.74039365	11.8475775
aeky1238	-2.21031360912	3.47517686920204	-9.31675825	4.526499
afar1241	-0.97297821212	3.14792105704143	-7.36978075	5.20127949999999
aghe1239	5.553917861835	3.77247750580426	-1.72101175	13.06691
aghu1255	-5.342086075595	3.8280729885169	-12.926555	1.65192624999999
agob1244	-2.53981630884	4.06289464056315	-10.9281225	5.15175599999999
agua1253	-5.22690139747	4.1405592651661	-14.263365	2.46592074999999
agus1235	3.408816574276	3.02450575927552	-2.67999375	9.3883915
agut1237	3.36712638862	3.14216047219755	-2.87725875	9.60654425
aheu1239	2.2279744553935	3.30575330456658	-4.19925575	8.84850049999999
aime1238	-3.758522133315	4.13966344481512	-12.7177975	3.7886885
ainu1240	-6.2776619738	6.30286312009465	-20.0752775	4.292358
aito1238	6.21400315697	3.56679395584895	-0.671720575	13.4757725
ajab1235	4.410251499125	3.46039661820834	-2.32203375	11.4927925
ajas1235	8.481917850595	5.28246938907386	-0.9202221	19.7444625
ajie1238	6.36236476145	3.33534266323296	-0.40522715	12.971205
ajyi1238	-3.696861372375	3.47484709154775	-10.83702	2.98559275
akei1237	6.69321259935	3.338434799469	0.023550865	13.3995175
akha1245	-3.114348526505	3.05810762285436	-9.3484115	2.8340895
akoo1248	4.417904481075	3.25194137551244	-2.2356905	10.7685225
akun1241	-5.5321520534	4.01580535989484	-14.0217125	1.78256325
alab1237	-2.191629871255	3.47103871106447	-9.56151775	4.559221
alab1254	-1.020577233375	3.10407688839125	-7.24089825	4.8774415
alac1244	1.533458676945	3.78821846157675	-5.74868775	9.41474174999999
alag1248	0.29177870082	3.18989492259463	-6.350569	6.4668285
alam1246	-2.87138839812	4.02499532917215	-11.294065	4.87436874999999
alba1269	4.95684763991	3.08361891529437	-0.857795225	11.3384025
aleu1260	0.240498981915	3.60393160931346	-7.1130215	7.46354499999999
alor1247	6.494567378	3.3094957369044	-0.0812913924999999	13.0432325
aluk1238	-5.206088011	3.59386340226065	-12.7069925	1.33663649999999
alya1239	-7.182075267345	3.65170878902359	-14.75281	-0.438301075000002
amah1246	-4.53682644225	3.48098714831865	-12.0053425	1.96004475
amam1246	-4.56130018957	4.47336849133386	-14.2702075	3.45961575
amap1240	-2.5445044123955	3.7795044995883	-10.197765	4.86479324999999
amar1272	4.92962355099	3.26341123311723	-1.48499975	11.64837
amar1274	-4.8642298991425	4.36773433362546	-14.344085	3.19928125
amas1236	-3.81014394335	4.26605256696626	-12.8122575	3.89597925
ambu1247	-5.5020782074575	4.2013011649436	-14.247755	2.65598425
amdo1237	-4.860920238465	3.43018749305163	-11.8544	1.55122525
amha1245	3.798378949975	3.37525287064336	-2.63802475	10.64259
amii1238	0.77288694951	3.51557107109275	-6.01273525	8.033084
amis1246	4.11188358921	3.25880726751074	-2.47790125	10.585445
amri1238	-4.566528766342	3.49713312846571	-12.1388225	1.86366675
ando1256	-5.329959522665	3.98304762722372	-13.8361075	1.9279755
anei1239	6.4404034654	3.4391256173053	-0.34127045	13.2518
anem1249	-1.113573963045	3.98536166245242	-8.8451255	6.9888735
anfi1235	1.7770118249245	3.19347102491007	-4.808794	7.91666425
anga1288	-4.599859017325	3.47092456096587	-11.7004425	2.13259
anga1290	2.06517423339	3.47061039811061	-4.72602075	9.26298449999999
ango1257	-6.32406418561	3.89901681016299	-14.4314475	0.831781275
anin1240	-2.183621546335	3.38062746500577	-8.958456	4.21724324999999
anta1255	3.4558570170955	3.15007904976212	-2.80614025	9.665491
anua1242	5.1515780055	3.57618583777475	-1.693749	12.5451775
anut1237	7.48999865625	3.18002575789553	1.18153575	14.036715
anuu1241	-1.32132075785	3.04950053567686	-7.5046045	4.66240999999999
aona1235	-4.58796257974	3.48849977473048	-11.7897775	2.16321325
aoua1234	4.338803858585	3.26088991949681	-1.89108475	10.6390275
apin1244	-5.085529504945	3.83987878822054	-13.0436	1.97560325
apma1240	6.6533360587	3.33550618292418	0.0860798225	13.6156075
apma1241	-2.410605111015	3.48978958959234	-9.56280175	4.19056124999998
apur1254	-2.6170797433065	3.47266752977596	-9.404714	4.13385824999999
arak1252	6.609110524865	3.42225679815467	-0.15383015	13.254355
aram1253	-4.148191734715	3.90025701883928	-12.065995	3.0532455
arao1248	-3.001422010025	3.34275455094336	-9.514172	3.50549049999999
arap1274	1.169498601968	3.03229819629926	-4.83839825	7.15930225
araw1273	-5.746619315085	3.77173578408577	-13.76934	1.43109475
araw1276	-0.834860811717	3.23520839150224	-7.474877	5.61842599999999
arbo1245	-1.0899182104839	3.04856204342574	-7.55684975	4.69541375
arch1244	-1.076876732065	3.5701498918354	-8.31128	5.74936224999999
area1240	6.68253851432	3.3573180947825	0.42281705	13.4747275
