Estimate	Est.Error	Q2.5	Q97.5
abad1241	-5.33492163395	2.23832758580695	-10.13032	-1.44166425
abar1238	1.740842884811	2.20281153065191	-2.23513875	6.524272
abau1245	-1.78994221633	1.96741053615171	-5.936928	1.8466675
abee1242	0.935214549885	2.35473560201638	-3.3368285	5.80270075
abkh1244	-0.210837448092	2.50622605674738	-5.4619755	4.47560425
abua1245	2.005427485179	1.92620440014685	-1.70407125	5.93461325
abui1241	-0.83849604298	2.16888681268304	-5.07677225	3.41952075
abun1252	3.585058859446	2.35609633990016	-0.697550275	8.6459825
acha1249	1.409309318259	2.06150616992999	-2.6881985	5.4314765
acha1250	-0.910167303418	2.40178969342977	-5.86655325	3.48202025
ache1245	1.11273750173162	2.45924970376785	-3.40793375	6.519432
achi1256	1.6695914373	2.52183094268468	-3.0117	6.93501099999999
achi1257	0.2941844491525	2.68772494337056	-4.7147955	6.111077
achu1247	-0.863625650261	2.44166173179127	-5.70687375	3.7787
achu1248	-1.01835313079975	2.52794581702491	-6.59556975	3.77762675
acol1236	-0.775947495744	2.31953514956981	-5.39843425	3.7452265
adan1251	-0.598890656776	2.20080909268551	-4.69886675	3.83957675
adon1237	0.648818192865	2.27903048640498	-3.900961	5.09777325
adze1240	-1.880853250515	1.8554278856569	-5.58287625	1.7423185
aeky1238	-1.376200096925	2.33506115427304	-6.061444	3.08722275
afar1241	-0.854168149815	2.29627677312921	-5.366442	3.47861849999999
aghe1239	1.5565894664415	2.14390694358734	-2.271548	6.09615575
aghu1255	-0.5853085760085	2.5542429215206	-5.8491125	4.27349275
agob1244	-2.294870474101	2.30187048051903	-7.16036475	1.97505225
agua1253	-0.8351064058675	2.61792341845198	-6.45973	4.1661395
agus1235	-0.8950934175695	2.26145670388822	-5.411394	3.64730975
agut1237	-2.84856946405	1.75560977634632	-6.61129175	0.446315474999998
aheu1239	0.6529769997	2.60059587212054	-4.21754425	6.24318525
aime1238	-0.914879870143	2.39536390924394	-5.47605675	3.55838725
ainu1240	-1.26082512287	2.64683799246061	-6.64612725	3.85269725
aito1238	-1.743145783945	2.27612276428994	-6.70070225	2.4655565
ajab1235	1.289847765055	2.33963959209845	-3.322616	6.22268275
ajas1235	1.12729693877	2.42134146132937	-3.31943175	6.119702
ajie1238	0.66736884351105	2.27156514724798	-3.60146375	5.55199975
ajyi1238	-2.0981112584185	2.34021290117723	-6.9451165	2.17772475
akei1237	1.048452256695	2.44126928576416	-3.560075	5.988083
akha1245	0.0126023117255	2.02415941645458	-3.96238775	4.08802625
akoo1248	-0.393602923435	2.00877616388518	-4.34765975	3.39028025
akun1241	-0.6310535501425	2.49567796434627	-5.72533675	4.06836699999999
alab1237	-0.69683178522	2.42168922249758	-5.7995545	3.887118
alab1254	-3.359716677265	2.22103098433117	-8.09178075	0.661433024999996
alac1244	2.858709862985	2.46665034375536	-1.63681075	8.23923049999998
alag1248	2.57746304988	2.2279458795911	-1.51885425	7.334342
alam1246	-1.061384447925	2.08884079447985	-5.333834	2.7795795
alba1269	1.13899627511	2.27562935732917	-3.18474825	5.745075
aleu1260	2.742359772535	2.24123088771836	-1.32555125	7.52050175
alor1247	-0.399184900605	2.21392419543774	-4.54964425	4.14000725
aluk1238	-0.724118334955	2.51002477100209	-5.8200115	4.077834
alya1239	-0.395471181885	2.61323140798751	-5.51078975	4.784329
amah1246	-0.994725622585	2.4516958618895	-6.03632975	3.72462399999999
amam1246	-3.2801000491785	2.06084321340011	-7.7245865	0.530971799999999
amap1240	-1.03023180663	1.95540616885436	-4.9988195	2.554535
amar1272	2.12621382223717	2.19991436932198	-1.8560085	6.7889905
amar1274	0.167297599206	2.50014595348384	-4.9319165	4.96073249999999
amas1236	-0.878776709595	2.52602160790274	-6.03153	3.715639
ambu1247	1.2156288974474	1.89974716764597	-2.32759025	5.15162725
amdo1237	-0.8229026851265	2.72392271001181	-6.603441	4.48383
amha1245	0.4203934886	2.2871367508028	-4.00506575	5.02211
amii1238	0.82305722261	2.11972585818736	-3.34056025	5.12894149999999
amis1246	-4.042653241675	1.93995751738863	-8.04512025	-0.418154650000001
amri1238	-1.5076438559235	2.28372807961041	-6.086263	2.72882225
ando1256	-1.6445299259542	2.43340969593161	-6.73377875	2.88848925
anei1239	0.47647766645845	2.50334048221398	-4.5554385	5.5128485
anem1249	2.460539741485	2.23042336396468	-1.55610325	7.30992675
anfi1235	-1.86773226471	2.17210208615395	-6.3973475	2.11292275
anga1288	-2.5293725131345	2.26142743971645	-7.41208875	1.693073
anga1290	-1.126152809537	1.71854746765486	-4.52043675	2.16702225
ango1257	-0.841752193965	2.57612930121029	-5.98041125	4.16546
anin1240	-0.4179850493935	2.387377454948	-5.1769415	4.4182055
anta1255	-4.196296681585	2.47051599838268	-9.2036435	0.322430499999999
anua1242	-1.3314031675021	2.37510340363517	-5.8151505	3.23607375
anut1237	0.26197750447	2.61563766068166	-4.75034175	5.46709149999999
anuu1241	-1.516264982415	2.39630552874588	-6.714286	2.70111174999999
aona1235	-2.589088967325	2.35025756850259	-7.7355525	1.74149425
aoua1234	-0.819990567035	2.27791298159309	-5.1634735	4.031212
apin1244	-0.2058179172135	2.60141230775733	-5.58488225	4.79500525
apma1240	1.32392875266835	2.45309490640795	-3.18472325	6.50535799999999
apma1241	-2.220321600789	2.02036040471749	-6.32212975	1.52742524999999
apur1254	-0.66882125902	2.37215959948018	-5.47657	3.68012549999999
arak1252	1.146004026415	2.39279276688321	-3.347245	6.21995675
aram1253	-1.023375107125	2.35517696443591	-5.834806	3.45794825
arao1248	0.5780893336915	2.46504112610376	-4.33067625	5.46153425
arap1274	1.8357007878991	2.20004690418069	-2.311417	6.50539574999999
araw1273	-0.208411911863	2.55760050571916	-5.277155	4.6347435
araw1276	-0.966001073542	2.35115642394056	-5.881804	3.51981649999999
arbo1245	-3.4539006804	2.04613688284668	-7.8398005	0.150836524999999
