Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.57712052107355	2.7529291302928	-6.17844175	4.77847125
abar1238	-1.153451781914	2.95269556361822	-6.84933925	4.77827075
abau1245	0.505940023475	3.01741463711751	-5.418389	6.55463824999999
abee1242	-1.48812838988045	2.72807906025336	-6.96437675	3.7347475
abkh1244	1.42377826515	3.31699379755672	-4.7492115	7.83817674999999
abua1245	-2.124717412984	2.87766342733234	-8.18676025	3.31762499999999
abui1241	-1.81578893062	3.08706073320456	-8.23416225	4.37481575
abun1252	2.0911645806005	3.31504362514809	-4.3659535	8.56005525
acha1249	0.7438484543513	2.72455691216891	-4.8382975	6.25856875
acha1250	2.42110259821	2.83042910294619	-3.4129615	8.027614
ache1245	-0.321051517962	2.98691932624886	-6.5220905	5.32196725
ache1246	2.789975953675	3.13756681363124	-3.4218745	9.03912999999999
achi1256	-4.262790796925	3.08879952521742	-10.343055	1.67927575
achi1257	-2.49950186254	2.73122435273219	-8.18058075	2.8859915
achu1247	-2.184294738212	3.16667782651895	-8.5581325	3.80669125
achu1248	0.294501601675	2.93106193667782	-5.641967	6.13630949999999
acol1236	-3.215485272675	2.98352458719765	-9.195999	2.44143825
adan1251	-1.792192349785	3.010971424806	-8.0696965	4.07819975
adon1237	-2.51886973357	2.74543466180585	-8.214611	2.787708
adze1240	-2.507999510745	2.70096639773659	-8.107776	2.57840474999999
aeky1238	0.62949907393	3.12390973825655	-5.57238025	6.82579675
afar1241	1.223844598205	2.7947560371974	-4.223461	6.50264975
aghe1239	-4.04281722735	2.93823766425629	-9.77160275	1.40262424999999
aghu1255	2.3454419919455	2.97064503058036	-3.52849425	8.07891799999999
agob1244	1.473419251355	3.21077626229752	-4.84426	7.79899699999999
agus1235	-3.13765334258	2.69808479220754	-8.5001935	2.0499535
agut1237	-3.708988439345	2.79499764187422	-9.18444075	1.47509425
aheu1239	-2.906068385015	2.83441829818457	-8.52658725	2.521836
aime1238	1.91161372433	3.25452744575413	-4.44150425	8.29440225
ainu1240	6.24325611458	4.33463704213411	-1.70883675	15.058905
aito1238	-4.06077443345	2.96489638899372	-10.1012525	1.91502224999999
ajab1235	-0.515958285645	2.7498322649758	-6.146716	4.89778649999999
ajas1235	-3.371614826131	3.18268978546835	-10.1804675	2.41408374999999
ajie1238	-3.433566572586	2.87333703980201	-9.2560505	1.78103175
akei1237	-3.662637937285	2.80843296488809	-9.38991825	1.8234225
akha1245	1.040495053425	2.73391872697278	-4.42710325	6.29875925
akoo1248	-4.238526524	2.86744985791369	-10.1127425	1.20536275
akun1241	2.701763199775	3.17657775935988	-3.6013255	8.95746025
alab1237	0.333143090899	2.99036299414429	-5.8360755	6.02029925
alab1254	-0.832505314241	2.71753337452166	-6.26586825	4.23246325
alac1244	-4.51207131444	3.07648310900871	-10.6463575	1.39667275
alag1248	-0.207395845065	2.77007618489342	-5.757612	5.3124745
alam1246	0.552543572366	3.08858683041122	-5.388887	6.65290225
alba1269	-3.17227366423194	2.68632227771532	-8.54846875	2.07279025
aleu1260	-0.377677509349	3.00775707148007	-6.8214985	5.411804
alor1247	-2.59986345091	2.72643614203605	-8.0884565	2.812478
aluk1238	0.76120903854	2.86424351528318	-4.95397025	6.460593
amah1246	0.4041854581255	2.78077631181209	-5.1315005	5.8612905
amam1246	0.425202972665	2.85892912304908	-5.12232675	6.0352915
amap1240	1.621678143345	3.23698660059495	-4.74870725	7.9755335
amar1272	-2.446345130775	2.74344443806759	-8.0978145	2.93495325
amar1274	1.096765252268	3.23710131525959	-5.2836685	7.460276
amas1236	-1.191880147905	3.47504448503206	-8.050677	5.70950674999999
ambu1247	1.63782602955	3.07359501659637	-4.597724	7.57920725
amdo1237	0.652334476751	2.81383656064835	-4.98950325	6.07689325
amha1245	-0.025562787012	2.87127150044239	-5.6106285	5.46051749999999
amii1238	2.446286941926	3.08291352561762	-3.864851	8.4901255
amis1246	-3.23328348603	2.92843729585858	-9.0200815	2.3770125
amri1238	0.181712055109	2.86287482559544	-5.37486025	5.71649525
anei1239	-3.091173411205	2.77991083199363	-8.54373725	2.2188185
anem1249	-1.43907152887	3.25536019404537	-8.266088	4.85672275
anfi1235	0.865112373775	2.99399498530288	-4.925822	6.7121745
anga1288	0.2685177417015	2.72994929068151	-5.30536875	5.51901549999998
anga1290	2.08805384239	3.17249143333472	-4.14788425	8.45210649999999
ango1257	2.576123079298	2.88227805947088	-3.43898675	8.31445674999999
anin1240	2.616620603515	3.05351703801648	-3.605074	8.359394
anta1255	-2.9863227177	2.74005641599375	-8.791767	2.270211
anua1242	-3.208597782675	2.97124001814113	-9.54803225	2.4014365
anut1237	-3.8493355029075	2.65788381237212	-9.234631	1.31124124999999
anuu1241	0.088351516405	2.8354930523962	-5.6836765	5.7352605
aona1235	-0.050163781435	2.76585138848785	-5.619414	5.427255
aoua1234	-4.2926948406625	2.95223295062065	-10.1203025	1.378097
apat1240	-0.219757842945	2.68725475120061	-5.59600425	5.338431
apin1244	1.6937530504045	3.07596620779698	-4.1811725	7.73010549999999
