Estimate	Est.Error	Q2.5	Q97.5
abad1241	1.59829049241	1.1560410042374	-0.343703125	4.08130775
abar1238	0.3558151011345	0.973034730496021	-1.49192	2.28643375
abau1245	1.5015599758595	1.13609944851015	-0.4481416	3.971314
abee1242	-0.743819249111	1.18751815253795	-3.23218375	1.43181675
abkh1244	0.1478394427515	1.24948396558689	-2.36242675	2.72507575
abua1245	0.696883121021	1.01728013824085	-1.24753325	2.76138775
abui1241	-0.120998361949	1.05756381017863	-2.3423195	2.001653
abun1252	-0.8728286753975	1.12235180361628	-3.17710175	1.2121655
acha1249	-0.642719095639	1.09354623332247	-2.85252475	1.37279725
acha1250	0.0530157519	1.20743017602855	-2.263946	2.50125925
ache1245	-0.275271471839	1.15575690787619	-2.62716975	2.0090085
ache1246	0.0355849234135	1.24922437822313	-2.555855	2.48051224999999
achi1256	-0.556703351862	1.16607968877383	-3.0114995	1.654325
achi1257	1.0553860916555	1.20792719628694	-1.04480675	3.63327175
achu1247	-0.281798956101	1.16320025519654	-2.75431	1.93328175
achu1248	-0.6236846154065	1.18316850154769	-3.170708	1.587888
acol1236	-0.008139851606	1.1555695269816	-2.367884	2.29035975
adan1251	-0.09746010093	1.05124766187247	-2.29737025	1.914984
adon1237	0.52292891895715	1.07752115304597	-1.4850015	2.7688355
adze1240	0.28308977812	0.931103265103524	-1.5987615	2.09461725
aeky1238	1.0266627278785	1.26286608842629	-1.1908445	3.830549
afar1241	0.331609271131983	1.20735470342	-1.9032515	2.87253325
aghe1239	0.1943707190385	0.96753676076034	-1.68842975	2.20313875
aghu1255	0.69454319789915	1.20176053684157	-1.52596175	3.153354
agob1244	0.95931051431	1.18297067096196	-1.1986545	3.50939725
agus1235	-0.3020692704145	1.14412264649549	-2.56897925	1.92132775
agut1237	-0.4181675483925	1.2044886329958	-2.943913	1.83845975
aheu1239	-0.284764597887	1.20929841434242	-2.75617325	2.05305125
aime1238	1.014154122625	1.16629022142486	-1.14005225	3.42300675
ainu1240	0.048995258823	1.2389668997378	-2.44655775	2.461248
aito1238	0.3381527978995	1.08948366117401	-1.948518	2.563971
ajab1235	1.21098277636	1.14369466091202	-0.780639025	3.53066374999999
ajas1235	-0.176156435594	1.23714511775306	-2.70164975	2.36153625
ajie1238	-0.51801946878	1.1583688463012	-2.96905325	1.63109
akei1237	-0.4493480496585	1.07862995792579	-2.62372925	1.64350625
akha1245	0.03795222047	1.12311678483785	-2.04674675	2.39693275
akoo1248	-0.472232559936	1.06487101416862	-2.787395	1.47879075
akun1241	-0.1275680319495	1.16710749364689	-2.43854675	2.19640325
alab1237	0.38111848965725	1.18449731833514	-1.929777	2.9446685
alab1254	-0.87945334777	1.05593633350199	-3.09745675	1.01795425
alac1244	-0.599886563940341	1.0888709003177	-2.87057275	1.49648425
alag1248	-0.849990900767	1.09367483067953	-3.031847	1.25479525
alam1246	0.863062372755	1.05110110445917	-1.12886475	2.979005
alba1269	0.256661910056	1.11323749268505	-1.89162225	2.4604655
aleu1260	0.4242849867545	1.13079475346164	-1.74207175	2.7422895
alor1247	-0.014863802959	1.04855144016857	-2.176955	2.05142775
aluk1238	-0.430986118356	1.11037640686876	-2.62292625	1.719401
amah1246	0.17226914391	1.1720217606089	-2.1367245	2.63220525
amam1246	0.9654828143295	1.02539986974117	-0.92570905	3.0939435
amap1240	1.3178404473935	1.1414125866064	-0.70044945	3.756234
amar1272	-0.2548155595	0.916226866839495	-2.0277015	1.51560375
amar1274	-0.0999979414765	1.13550697865292	-2.4316525	2.116814
amas1236	-0.005937834952	1.21649260461985	-2.47074025	2.43642325
ambu1247	0.785729309562	1.03741945165633	-1.11425675	2.9318215
amdo1237	0.326162884571	1.21682120776395	-2.05685525	2.8417205
amha1245	0.3273292555395	1.29937013319413	-2.13535825	3.01481625
amii1238	0.390317611045	1.12882465186378	-1.72929625	2.658248
amis1246	-0.758563901285	1.14107044076369	-3.225634	1.28479925
amri1238	0.347087714465	1.05454524905742	-1.70583525	2.51580025
anei1239	0.0594006566345	1.11520402327936	-2.150661	2.3352295
anem1249	-0.281593814972	0.910237905739356	-2.126486	1.430462
anfi1235	-0.1334354713475	1.13933202087879	-2.56156775	2.15492824999999
anga1288	-0.179333878645	0.997528685028918	-2.1545885	1.79654125
anga1290	0.620856418555	0.964474554943648	-1.15086425	2.567286
ango1257	0.098556854385	1.28371815239221	-2.413056	2.6430415
anin1240	0.2325085514905	1.19534589965738	-2.1268385	2.74932325
anta1255	-0.171689139109595	1.1654632001875	-2.52879575	2.06017625
anua1242	-0.48598600277715	1.17417514361656	-2.88854575	1.77439225
anut1237	-0.1746992068655	1.19426835174787	-2.61257225	2.1724265
anuu1241	0.5402959140725	1.09275383548403	-1.426089	2.97127525
aona1235	-0.1487610665975	1.00813813092274	-2.1991365	1.739526
aoua1234	-0.212728871273	1.2721310412483	-2.849859	2.289025
apat1240	0.16175847331	1.02472210296051	-1.87378375	2.20457225
apin1244	0.047243642548	1.21016337717299	-2.30480075	2.55394575
apma1240	-0.3853580859744	1.02632210098261	-2.5930455	1.482321
apma1241	0.919499482681	0.993042894154485	-0.9271207	2.90027
apur1254	0.245439530495	1.1998164543617	-2.17914925	2.7500925
arak1252	-0.45303123679	1.06555970938264	-2.66038225	1.59543025
aram1253	0.4696118313844	1.18954205319836	-1.762842	2.88551225
arao1248	-0.4471764341345	1.16603573938783	-2.71432625	1.88950825
arap1274	0.388727234342	1.17292166013162	-1.896139	2.75740525
araw1273	0.04102089939	1.28261820713203	-2.548432	2.3950025
araw1276	0.15391111087905	1.26001527156907	-2.1545435	2.6730435
arbo1245	0.6020447973525	1.07634451122891	-1.44366	2.8977305
arch1244	0.48481744806525	1.25956721767926	-1.9761855	3.14995425
area1240	-0.6113501562945	1.1413195276225	-3.10938775	1.50415125
aree1239	1.580044128045	1.0563181170986	-0.2910204	3.72453425
argo1244	0.26544141665065	1.24984554109984	-2.19181725	2.7390175
arhu1242	0.321633636791	1.16602827226165	-1.92571825	2.80325075
arig1246	0.297609951694	1.10737866476314	-1.82451225	2.5027075
arop1242	0.91791556769	0.991080876085391	-0.973602275	2.8957525
arop1243	0.1702396903	0.975291483834446	-1.737246	2.1198635
aros1241	-0.4743335555105	1.21304283579271	-2.972415	1.83986475
arta1239	0.298486037369	1.10091157165838	-1.827906	2.42669475
asha1243	0.261347404304	1.10692629512835	-1.8803545	2.508847
ashe1272	-0.0253560682345	1.07983377096921	-2.09498325	2.10071675
asoa1238	0.3222645331005	1.15871384021053	-1.94290175	2.63826375
assi1247	0.17056498864	1.17569678181516	-2.05372925	2.5708095
asur1254	0.86835699926	1.21038346723206	-1.3251095	3.34967725
asut1235	-0.26260070292715	1.20192003465177	-2.64228825	2.08883175
athp1241	-0.0505192098335	1.0261330491974	-2.08258175	1.99204725
atii1237	-0.319725479385	1.15132940263762	-2.767732	1.78711425
aton1241	0.20218636309975	1.12117097267265	-2.006298	2.548982
aulu1238	-0.0908927628605	0.936972611496042	-2.015424	1.70150675
auuu1241	0.9017820125725	1.00988009128974	-0.97555875	2.9505505
auye1238	1.076398910115	1.22287351038006	-1.01683	3.7519655
avac1239	0.0743690656865	1.20077170446317	-2.28077175	2.602314
avat1244	1.164806508605	1.12480054613557	-0.91574475	3.61125225
avok1242	-0.3346803572155	1.00048746875278	-2.39254775	1.584847
awac1239	-0.041316423398	1.19653794783009	-2.411496	2.3115315
awad1243	0.36730763385	1.19374817198566	-1.9225245	2.67715825
awad1244	0.5057934410255	0.987637907010237	-1.43725525	2.51991375
awap1236	0.38720244706	1.01940500067992	-1.606454	2.40716025
awar1248	0.3351038149475	0.931016279402679	-1.509605	2.18652325
awar1249	1.0386115059065	1.01597158552298	-0.813460125	3.22207025
awet1244	0.338216653435	1.18337314696481	-1.93027425	2.788375
awji1241	0.6999612704835	1.179464563077	-1.44184425	3.27561725
awtu1239	1.01700786110954	1.0218353479543	-0.857686175	3.01980675
axam1237	-0.016262868441	0.93062148188923	-1.86765875	1.7641725
axiy1235	0.177978374173	1.14352759126167	-1.988864	2.44173475
ayac1239	0.2681488880115	1.13032132734305	-1.96315475	2.50582975
ayiw1239	-0.376840580411	1.1962144845022	-2.90515025	1.91232349999999
azha1235	0.2671415850665	1.09334690508347	-1.876792	2.4180715
baba1264	0.333996723228	1.00177232857874	-1.5265705	2.3724285
baba1266	0.120641835342	1.00031014001386	-1.821782	2.139997
babi1235	-0.0221629579605	1.24887738093676	-2.56876725	2.5718055
bada1257	-0.3435226953615	1.13521996211987	-2.6034945	1.914817
bafa1247	-0.43982670745505	1.07688046703138	-2.7259895	1.554624
bafi1243	0.1463859765872	1.11103827141086	-2.01239775	2.27038575
bafu1246	0.1017173951629	0.976369629963648	-1.80913775	2.13332325
baga1272	0.34980939160205	1.17926084281378	-1.79981125	2.83211525
baga1273	0.239776911111	1.14201663984616	-2.0345555	2.5205915
bagi1246	0.712549717226	1.04076773175336	-1.2242685	2.87326525
bagv1239	0.598587089952	1.21297456913977	-1.68837525	3.32171075
baha1259	-0.103733206064	1.22283573396053	-2.621321	2.26844725
baim1244	0.17948096798065	1.1897175902143	-2.17747775	2.73982825
baka1272	-0.454925141988	1.12105018009134	-2.7666145	1.62474825
baka1274	-0.5527615542035	1.04189154388394	-2.68524475	1.443134
baki1244	0.186817666797	0.948278321235615	-1.71932125	2.14468475
bala1311	-0.164465918794	1.20899403827468	-2.68255525	2.21954475
bala1315	0.016938298875	1.24463464150558	-2.67616	2.52280325
bala1316	-0.4113653634335	1.1894109353561	-2.9028095	1.7744535
bali1278	-0.1614888164185	1.17865640212636	-2.57878625	2.1649735
balo1261	-0.4421544576245	1.19090763984396	-2.981223	1.805649
balu1257	-0.380793585357	1.18749835709401	-2.8593225	1.9928075
bamb1262	-0.2824590903585	1.15474890675052	-2.5782355	1.94856175
bamb1269	0.16583327009	1.25906012817434	-2.35898925	2.65275649999999
bamb1270	-0.240232603637	1.23620553955554	-2.745379	2.13187949999999
bamu1253	0.2286318926265	1.06579030099662	-1.7923005	2.43772525
bamw1238	-0.7374421481295	1.19498312133863	-3.24629625	1.50659275
