Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-42.546581	-42.546581
1	0.950747	7500	-41.905709	-84.452289
2	0.926679	7500	-41.271584	-125.723874
3	0.902980	7500	-40.648798	-166.372671
4	0.879648	7500	-40.017893	-206.390565
5	0.856682	7500	-39.393154	-245.783719
6	0.834079	7500	-38.780800	-284.564519
7	0.811838	7500	-38.161683	-322.726202
8	0.789957	7500	-37.556675	-360.282877
9	0.768433	7500	-36.944960	-397.227837
10	0.747266	7500	-36.339706	-433.567543
11	0.726452	7500	-35.731067	-469.298609
12	0.705989	7500	-35.130830	-504.429440
13	0.685877	7500	-34.627433	-539.056873
14	0.666112	7500	-33.942584	-572.999456
15	0.646693	7500	-33.384651	-606.384108
16	0.627618	7500	-32.756638	-639.140746
17	0.608884	7500	-32.183236	-671.323981
18	0.590490	7500	-31.605143	-702.929124
19	0.572433	7500	-31.034474	-733.963599
20	0.554712	7500	-30.431635	-764.395234
21	0.537324	7500	-29.893779	-794.289013
22	0.520268	7500	-29.323858	-823.612871
23	0.503540	7500	-28.772929	-852.385800
24	0.487139	7500	-28.205100	-880.590900
25	0.471063	7500	-27.680162	-908.271061
26	0.455310	7500	-27.084579	-935.355640
27	0.439877	7500	-26.542967	-961.898608
28	0.424762	7500	-26.044307	-987.942915
29	0.409963	7500	-25.474603	-1013.417518
30	0.395478	7500	-24.977495	-1038.395013
31	0.381305	7500	-24.396554	-1062.791567
32	0.367440	7500	-24.013856	-1086.805423
33	0.353883	7500	-23.378618	-1110.184041
34	0.340630	7500	-22.824301	-1133.008342
35	0.327680	7500	-22.316609	-1155.324951
36	0.315030	7500	-21.834345	-1177.159295
37	0.302677	7500	-21.428986	-1198.588281
38	0.290619	7500	-20.975349	-1219.563631
39	0.278855	7500	-20.431037	-1239.994667
40	0.267381	7500	-19.932174	-1259.926842
41	0.256195	7500	-19.381361	-1279.308203
42	0.245294	7500	-18.915064	-1298.223267
43	0.234677	7500	-18.410836	-1316.634103
44	0.224340	7500	-18.010872	-1334.644975
45	0.214281	7500	-17.545507	-1352.190482
46	0.204498	7500	-17.065279	-1369.255761
47	0.194988	7500	-16.628796	-1385.884557
48	0.185749	7500	-16.135900	-1402.020456
49	0.176777	7500	-15.698618	-1417.719074
50	0.168070	7500	-15.200394	-1432.919468
51	0.159626	7500	-14.757922	-1447.677390
52	0.151441	7500	-14.312333	-1461.989723
53	0.143514	7500	-13.868547	-1475.858270
54	0.135841	7500	-13.497520	-1489.355789
55	0.128420	7500	-12.955584	-1502.311374
56	0.121247	7500	-12.609231	-1514.920604
57	0.114320	7500	-12.130367	-1527.050971
58	0.107637	7500	-11.723899	-1538.774871
59	0.101193	7500	-11.313742	-1550.088612
60	0.094986	7500	-10.909944	-1560.998556
61	0.089014	7500	-10.506005	-1571.504561
62	0.083273	7500	-10.156333	-1581.660894
63	0.077760	7500	-9.856930	-1591.517825
64	0.072472	7500	-9.827222	-1601.345047
65	0.067406	7500	-9.499718	-1610.844765
66	0.062558	7500	-8.995241	-1619.840006
67	0.057926	7500	-8.783416	-1628.623422
68	0.053506	7500	-8.105988	-1636.729409
69	0.049295	7500	-7.727372	-1644.456782
70	0.045289	7500	-7.429463	-1651.886244
71	0.041485	7500	-6.988018	-1658.874262
72	0.037880	7500	-6.758463	-1665.632725
73	0.034469	7500	-6.566125	-1672.198851
74	0.031250	7500	-6.614703	-1678.813553
75	0.028218	7500	-6.700824	-1685.514378
76	0.025370	7500	-6.274634	-1691.789012
77	0.022702	7500	-5.871259	-1697.660270
78	0.020209	7500	-5.566726	-1703.226997
79	0.017889	7500	-5.146351	-1708.373348
80	0.015736	7500	-4.842943	-1713.216290
81	0.013746	7500	-4.544144	-1717.760434
82	0.011916	7500	-4.163770	-1721.924204
83	0.010240	7500	-3.809841	-1725.734044
84	0.008714	7500	-3.503931	-1729.237975
85	0.007334	7500	-3.226489	-1732.464465
86	0.006093	7500	-3.020778	-1735.485242
87	0.004988	7500	-2.739616	-1738.224858
88	0.004013	7500	-2.404617	-1740.629476
89	0.003162	7500	-2.173092	-1742.802567
90	0.002430	7500	-1.802687	-1744.605254
91	0.001810	7500	-1.600117	-1746.205372
92	0.001296	7500	-1.377119	-1747.582491
93	0.000882	7500	-1.236506	-1748.818997
94	0.000559	7500	-1.023992	-1749.842989
95	0.000320	7500	-0.780752	-1750.623741
96	0.000156	7500	-0.587004	-1751.210746
97	0.000057	7500	-0.388447	-1751.599192
98	0.000010	7500	-0.156374	-1751.755566
99	0.000000	7500	-0.035210	-1751.790776
Log marginal likelihood:	-1751.790776
0	0.975187	7500	-41.908362	-41.908362
1	0.950747	7500	-41.311173	-83.219534
2	0.926679	7500	-40.663702	-123.883237
3	0.902980	7500	-40.041964	-163.925201
4	0.879648	7500	-39.451887	-203.377088
5	0.856682	7500	-38.794951	-242.172039
6	0.834079	7500	-38.181224	-280.353264
7	0.811838	7500	-37.576845	-317.930108
8	0.789957	7500	-36.978438	-354.908546
9	0.768433	7500	-36.401395	-391.309941
10	0.747266	7500	-35.776595	-427.086536
11	0.726452	7500	-35.184996	-462.271532
12	0.705989	7500	-34.591860	-496.863392
13	0.685877	7500	-33.999427	-530.862819
14	0.666112	7500	-33.417878	-564.280697
15	0.646693	7500	-32.853471	-597.134168
16	0.627618	7500	-32.269579	-629.403747
17	0.608884	7500	-31.682152	-661.085899
18	0.590490	7500	-31.154686	-692.240584
19	0.572433	7500	-30.558206	-722.798790
20	0.554712	7500	-29.983557	-752.782348
21	0.537324	7500	-29.418078	-782.200426
22	0.520268	7500	-28.859551	-811.059977
23	0.503540	7500	-28.320181	-839.380158
24	0.487139	7500	-27.763252	-867.143410
25	0.471063	7500	-27.224759	-894.368168
26	0.455310	7500	-26.682825	-921.050994
27	0.439877	7500	-26.147836	-947.198830
28	0.424762	7500	-25.607902	-972.806732
29	0.409963	7500	-25.091454	-997.898186
30	0.395478	7500	-24.557051	-1022.455237
31	0.381305	7500	-24.087973	-1046.543210
32	0.367440	7500	-23.761545	-1070.304755
33	0.353883	7500	-23.151914	-1093.456669
34	0.340630	7500	-22.534357	-1115.991026
35	0.327680	7500	-22.046053	-1138.037078
36	0.315030	7500	-21.542069	-1159.579147
37	0.302677	7500	-21.040108	-1180.619255
38	0.290619	7500	-20.469402	-1201.088657
39	0.278855	7500	-19.992595	-1221.081252
40	0.267381	7500	-19.494770	-1240.576023
41	0.256195	7500	-19.037534	-1259.613557
42	0.245294	7500	-18.574353	-1278.187910
43	0.234677	7500	-18.106712	-1296.294622
44	0.224340	7500	-17.679019	-1313.973641
45	0.214281	7500	-17.256328	-1331.229969
46	0.204498	7500	-16.837827	-1348.067796
47	0.194988	7500	-16.342120	-1364.409916
48	0.185749	7500	-15.936442	-1380.346358
49	0.176777	7500	-15.431017	-1395.777375
50	0.168070	7500	-14.998773	-1410.776148
51	0.159626	7500	-14.526841	-1425.302990
52	0.151441	7500	-14.125923	-1439.428913
53	0.143514	7500	-13.676534	-1453.105447
54	0.135841	7500	-13.370570	-1466.476017
55	0.128420	7500	-12.912275	-1479.388292
56	0.121247	7500	-12.331910	-1491.720202
57	0.114320	7500	-12.007618	-1503.727820
58	0.107637	7500	-11.619743	-1515.347563
59	0.101193	7500	-11.203963	-1526.551526
60	0.094986	7500	-10.830299	-1537.381826
61	0.089014	7500	-10.424394	-1547.806219
62	0.083273	7500	-10.016645	-1557.822865
63	0.077760	7500	-9.618544	-1567.441409
64	0.072472	7500	-9.320782	-1576.762190
65	0.067406	7500	-9.076680	-1585.838870
66	0.062558	7500	-8.544174	-1594.383044
67	0.057926	7500	-8.317635	-1602.700678
68	0.053506	7500	-7.873932	-1610.574610
69	0.049295	7500	-7.482050	-1618.056660
70	0.045289	7500	-7.089278	-1625.145938
71	0.041485	7500	-6.767166	-1631.913104
72	0.037880	7500	-6.427965	-1638.341069
73	0.034469	7500	-6.102473	-1644.443542
74	0.031250	7500	-5.820663	-1650.264205
75	0.028218	7500	-5.718662	-1655.982867
76	0.025370	7500	-5.887136	-1661.870003
77	0.022702	7500	-5.913647	-1667.783651
78	0.020209	7500	-5.518106	-1673.301756
79	0.017889	7500	-5.228369	-1678.530126
80	0.015736	7500	-4.869137	-1683.399262
81	0.013746	7500	-4.461195	-1687.860457
82	0.011916	7500	-4.172620	-1692.033077
83	0.010240	7500	-3.761290	-1695.794367
84	0.008714	7500	-3.583511	-1699.377879
85	0.007334	7500	-3.235440	-1702.613318
86	0.006093	7500	-2.928975	-1705.542293
87	0.004988	7500	-2.629168	-1708.171461
88	0.004013	7500	-2.388874	-1710.560335
89	0.003162	7500	-2.112773	-1712.673107
90	0.002430	7500	-1.900783	-1714.573890
91	0.001810	7500	-1.605880	-1716.179771
92	0.001296	7500	-1.412083	-1717.591854
