Estimate	Est.Error	Q2.5	Q97.5
abad1241	-1.61541631651956	2.22885454904757	-6.53795108727836	2.32709031838871
abar1238	-0.411617228729691	2.36741410683573	-5.27407446333544	4.32611529386158
abee1242	-0.0484094929346789	2.4364771549746	-4.95593967306162	4.76052420245545
abkh1244	-0.144471739224855	2.42308974168678	-5.07427590570631	4.70217954563889
abua1245	-1.15068723114298	2.41943234975072	-6.25680457765295	3.34355573395252
abun1252	-0.660350184177802	2.42985316986164	-5.81164559477209	3.95219795286392
acha1249	-0.225182881710865	2.35689365855591	-5.06431514159459	4.30786159862207
acha1250	-0.530221675732681	2.24348253529919	-5.33822186264445	3.61630217800845
ache1245	-0.174867736227548	2.44915800382917	-5.23848061648371	4.67718015181266
ache1246	-0.0559209775490116	2.38223980601582	-4.7984116252727	4.66885349739568
achi1256	0.228661046768845	2.09590045610502	-4.03077292147125	4.34079868156805
achi1257	-0.636920031259224	2.25547044501854	-5.47082526128298	3.61308449048837
achu1247	1.07022681232352	2.29760406500376	-3.16040364630331	5.98621995536428
achu1248	-0.438820257503567	2.33232590043376	-5.2601219861989	4.12335643266422
acol1236	-0.0529750344921021	2.18368981914081	-4.52346335469653	4.22723805151538
adan1251	-0.995987855111107	2.29695105670908	-5.86107809760672	3.35391029269993
adon1237	-1.06109091131935	2.21849519264486	-5.8305809110448	2.94365542934048
adze1240	-1.98902874760083	2.2361082712518	-6.78823016201428	2.05683985170828
aeky1238	-0.617258078763128	2.37926895333433	-5.69246180713619	3.98191363598874
afad1236	-0.720964153960382	2.15340673434054	-5.33161223895492	3.25945824432678
afar1241	-0.33128118370561	2.31830376200378	-5.24590443920582	4.04852830561231
aghe1239	-0.401561457218079	2.3416329159308	-5.19840904244808	4.25282992723223
aghu1255	-0.319191463147635	2.43844803646319	-5.24894669751076	4.45742667032651
agob1244	-0.410618054502142	2.40596239607212	-5.24895016925912	4.39138937188101
agua1253	-0.337931179979923	2.3745664173724	-5.2544921148184	4.40252142066344
agus1235	0.201459200153645	2.01406419245486	-3.60448107092847	4.41731059561143
agut1237	1.61621699053285	2.13978903899227	-2.17494251162871	6.35113052913399
aheu1239	-0.3588558948406	2.29424467187002	-5.13701851559726	4.06777517672653
aika1237	-0.883980299577231	2.24609629336446	-5.6392290004236	3.43578627970213
aime1238	-0.733719564145138	2.46734671302915	-6.00599917761216	3.9945584382633
ainu1240	-0.0790208158459928	2.42629308348718	-4.95636372526865	4.84896727923023
ajab1235	0.00600007624637919	2.39837443547552	-4.77925977720439	4.80789100207241
ajas1235	-0.226402042915737	2.4755443018111	-5.25792909108815	4.7395559040409
ajie1238	2.45680064893153	1.73336592921037	-0.715982242817096	6.10419421133654
akei1237	-2.6291288067986	2.11104492830249	-7.38728525842332	1.12896161225239
akha1245	-0.426253926160418	2.31485202869485	-5.13600533913699	4.01962983305551
akoo1248	-0.263026895400451	2.38233197508177	-5.1404357812363	4.4351456781642
akun1241	-0.706563860962123	2.33429183185223	-5.73796989009404	3.66490762032702
alab1237	-0.198458155719099	2.37044827456218	-5.19933881062234	4.48996791920292
alab1254	-1.03506048895004	2.29163433541174	-5.98658556947672	3.31230472653668
alac1244	0.529825203764865	1.96373303549501	-3.18290394173329	4.53841335745263
alag1248	-0.500176153640652	2.39325413995683	-5.39380721590666	3.99479999889624
alba1269	2.06192550652816	2.34419243503665	-1.91866132608472	7.33212938674499
aleu1260	-0.278129490551505	2.31997818147261	-5.03168380332821	4.24251976403488
alor1247	-1.0039748777151	2.27187511325593	-5.83118793457341	3.226592839107
aluk1238	-0.0809958558521783	2.47000543788188	-5.12218852863841	4.87754352791456
