Estimate	Est.Error	Q2.5	Q97.5
abar1238	-5.0269638159	2.7838095040893	-10.9235525	0.359588574999998
abee1242	-4.46636852145	2.77370791920584	-9.96432775	0.962909724999999
abkh1244	-0.93973311938245	2.8244105199869	-6.6916295	4.7793815
abun1252	-2.441057404075	3.09379894979683	-9.12254725	3.4541795
acha1249	3.018825542789	2.68981920914838	-2.0307635	8.43693125
acha1250	-2.7186960710005	2.80299464348525	-8.4411115	2.73348949999999
achi1256	-2.58419735162	2.94014426916348	-8.4246105	3.04272549999999
achi1257	-2.967100785165	2.56348965815971	-7.955495	2.32695024999999
achu1248	-1.00561302489725	2.82009617236145	-6.648348	4.6809625
acol1236	-4.498156024075	3.22752084911428	-10.95443	1.39061024999999
adan1251	-1.901599676752	3.20512292573522	-8.2597995	4.37017125
adny1235	-2.86149286556	2.72322749794101	-8.059537	2.62175325
adon1237	-3.36742573532	2.52915504162562	-8.46797975	1.66385875
adze1240	-3.581483772765	2.60925068586292	-8.786884	1.59469875
afar1241	-1.735191349435	2.59347749428272	-6.9282	3.27144174999999
aghe1239	-4.93985585765	2.86816329458413	-10.7295775	0.703368449999999
aghu1255	-0.64969662193	2.56724482443153	-5.53734375	4.50767925
agob1244	-0.5899457326537	3.01171199544027	-6.5116095	5.33642575
agua1253	-0.976233440065	2.8759133348094	-6.6685305	4.63309575
agut1237	-2.870427579921	2.50421529279508	-7.886409	2.144064
aheu1239	-3.3140781669	2.61869560307208	-8.46433925	1.6065805
aime1238	0.680377482195	3.00739757626319	-5.06979125	6.52964425
ainu1240	3.207718335425	3.73955431665175	-3.5801005	11.0530275
ajab1235	-4.39971566435	2.77402482671071	-9.84480875	1.02985824999999
ajie1238	-3.71862148503	2.60126488699811	-8.82831475	1.37537324999999
ajyi1238	-2.67708907501	2.78979368413809	-8.164831	2.68503175
akha1245	2.69782649411	2.58475284667358	-2.33122675	7.88842375
akoo1248	-5.137837107205	2.76299760710347	-10.8767225	-0.00784541000000266
alab1237	-1.5135723446615	2.7435924407058	-6.85155125	3.89263624999999
alab1254	-1.4877320500075	2.61815563834666	-6.53644425	3.85605699999999
alag1248	-1.95444024843	2.65914496270298	-7.2214425	3.24226474999998
aleu1260	-0.67589633367	2.80504237503309	-6.23907925	4.65839024999999
alor1247	-3.36667269285	2.52880104687074	-8.41580325	1.73359325
aluk1238	4.48407264325	3.11135467726864	-1.22463875	11.094825
alya1239	-2.907162242925	2.80186539877461	-8.53929375	2.77814125
amah1246	0.74903554521	2.64602976595509	-4.39331225	5.9801945
amap1240	-2.23016140049	2.83200113923116	-7.65679225	3.43688175
amdo1237	2.96357365132	2.65161628319474	-2.177564	8.27768475
amii1238	-0.7825960265	2.86871298977181	-6.36502125	4.91834449999999
amis1246	-2.21463690621	2.60429606518746	-7.18945825	3.006745
anei1239	-3.68972084115	2.61056334508184	-8.84766025	1.5504765
anfi1235	1.121947335952	2.84695063818747	-4.6757955	6.85304
anga1288	2.608731330645	2.66506579467617	-2.42710275	8.0630745
anta1255	-3.42918542511	2.53523863627286	-8.52288675	1.64037599999999
anuf1239	-4.440484213225	2.80612771727379	-10.2456125	1.10423175
anut1237	-3.825825868155	2.56681044091144	-8.908021	1.1399915
anuu1241	2.26066295888	2.61837439074933	-2.5486655	7.50182349999999
aoua1234	3.56083981487	2.98981938334224	-1.96167525	9.778686
apat1240	2.29117601744	2.65130651063706	-2.73020475	7.81345324999999
apin1244	-1.069596547305	2.86093890852353	-6.8410935	4.46433624999999
apma1240	-3.812308551375	2.60341887182049	-9.053454	1.244804
arak1252	-3.709599286015	2.56244957345628	-8.81581025	1.42579525
arao1248	0.656165230828	2.68109607633433	-4.534981	6.01595699999999
arap1274	1.72562990012	2.69377540181434	-3.361184	7.08268825
araw1276	-2.1619084162165	2.79572486312058	-7.80059275	3.47829499999999
arbo1245	-2.02041697288	2.60684698256798	-7.148209	3.13898374999999
arch1244	0.098437338443	2.82620847206628	-5.355447	6.0432065
area1240	-3.866459684025	2.60777923160158	-9.23283125	1.17783375
aree1239	-3.53100931875	2.6264880375529	-8.779938	1.46401775
argo1244	-1.702663214795	2.61176435511023	-6.84539175	3.67195975
arhu1242	-1.66513653997	2.71572860696309	-6.704838	3.83421575
arig1246	-5.20797818944	2.8639680802801	-11.0465925	0.228345349999998
arop1242	-3.397512213765	2.56472647971347	-8.54206525	1.6179105
arop1243	-3.540683964165	2.61224152052628	-8.74326475	1.5185265
aros1241	-3.844690577955	2.58005540782698	-8.9482465	1.28346575
arta1239	-2.0891330492155	2.52321770192329	-7.08970675	2.955363
ashe1272	-2.67161796909	2.7839979329613	-8.07673025	2.84581099999999
asoa1238	-2.20559656388	2.74367623156055	-7.73485425	3.18005175
assi1247	-2.28195750463	2.94414470047836	-7.98161675	3.34715175
asut1235	-4.37275083044	2.63393691991336	-9.61768575	0.709930399999998
atay1247	-2.0320821281225	2.62443738036326	-7.2676705	3.24384975
