Estimate	Est.Error	Q2.5	Q97.5
abar1238	-1.8750974441608	1.89615550712385	-5.61610034717811	1.74909004522576
abee1242	-1.70693736071045	1.87273163312214	-5.43518868743471	1.89535014244008
abkh1244	2.95077375282393	3.0834804618916	-2.41212293510548	9.36628503522084
abun1252	1.23097924507356	2.74171942628077	-4.35919552170519	6.54447614716932
acha1249	4.36158830094049	2.06279650041079	0.555672050993367	8.68809369936074
acha1250	0.156074481080632	2.09626941501105	-4.00485290104695	4.24007635018451
achi1256	-0.317417506547182	2.33061225872869	-5.12294143967069	4.14678599664146
achi1257	-0.437293353415916	1.83498932768599	-4.12497551244546	3.19327745005212
achu1248	-0.215802552850821	2.32586340152655	-4.8539493152961	4.31106853348175
acol1236	-3.43455265653056	3.42643121064512	-11.2904209774725	2.30992187139081
adan1251	-1.04420504371674	3.28079138188924	-8.11052632251864	4.95418936204435
adny1235	-0.20185500565896	2.36120470765632	-4.87485869262825	4.35119497932957
adon1237	-0.673586230825632	1.82847166572839	-4.30344280892615	2.93909570997239
adze1240	-0.86995509331543	1.85842626649003	-4.6373524599439	2.75590008320271
afar1241	0.763325979150865	1.7321604736359	-2.60291347787256	4.28184937648716
aghe1239	-1.89339133104665	1.95790177719869	-5.9100377737555	1.79619564417988
aghu1255	1.04993650923353	2.11852356329659	-3.13792930881358	5.26104970379444
agob1244	2.41998440353194	2.69130039243949	-2.59863545253239	8.12062063343177
agut1237	-0.275599500595347	1.87820574013553	-3.97386256948469	3.3480044920918
aheu1239	-0.302554223257288	1.99488958383946	-4.28202413046908	3.65565803562138
aime1238	2.3569509351286	2.67580622490072	-2.72997989113894	7.88127183689347
ainu1240	4.95652074065895	3.67254496273725	-1.54899243161855	13.1665233797234
ajab1235	-1.7057010347462	1.8556237499448	-5.39256605396832	1.97087245185168
ajie1238	-0.9457177354552	1.86441487172603	-4.65033325361479	2.68578473874171
akha1245	4.10338307826173	2.02739968236252	0.300106309991426	8.31086223251131
akoo1248	-1.92972862502259	1.81623967702894	-5.5404152915469	1.58073453363058
alab1237	0.595854884954258	2.23488061221633	-3.86258017925202	5.06944044704527
alab1254	0.98175725217353	1.74842578099442	-2.35653073947017	4.67885203246523
alag1248	0.506958590792878	1.80326198837743	-2.95595021016708	4.17351041092839
aleu1260	0.892037548222809	2.24044982990328	-3.54892073873303	5.2769561871386
alor1247	-0.683924733988571	1.84352757245784	-4.39113123057188	2.874813950657
aluk1238	7.19012460133343	3.13678977018209	1.7963486446108	14.0136989212388
amah1246	1.75011727912266	2.05309758905835	-2.25093942992255	5.78605115456554
amap1240	-0.398725103964528	2.60507537854421	-5.95707765556978	4.51636924266832
amdo1237	4.60486683827508	2.13047192121096	0.653167940378624	9.12636049553277
amii1238	-0.614978045282471	2.90084526493609	-6.59479433728916	4.80091603233206
amis1246	0.162991696319322	1.93999085444881	-3.6618680638206	4.06237104744176
anei1239	-0.937540464124938	1.86512161906594	-4.70163884186525	2.78168691012321
anfi1235	6.11691055566291	2.99066050761673	1.1021640222453	12.8880460274977
anga1288	4.09436401460477	2.0667109632783	0.177128846104781	8.42115029077873
anta1255	-0.609806653449394	1.83875899756378	-4.27472319359865	2.96573712262622
anut1237	-1.03212591348965	1.82997595897471	-4.72074866511183	2.63013726322827
anuu1241	4.64808016673907	2.18233330783554	0.63049098778236	9.30330574556297
aona1235	4.27403220444769	2.08684576088346	0.420696349396543	8.66972600411657
aoua1234	3.99476244043812	2.65394825416222	-1.02574725692235	9.35429614203823
apat1240	4.02900003361636	2.0570327963053	0.127267611870991	8.15641195723845
apin1244	0.383732628006468	2.20142137325763	-3.87771890860397	4.6331037939004
apma1240	-0.979265291170751	1.85559785306677	-4.7697246357948	2.57920970241031
apur1254	0.725417526910954	2.09432094400896	-3.33305863199085	4.91311393546333
arak1252	-0.958845790360165	1.86021921820895	-4.7274049502268	2.57651441322569
arao1248	1.62413542680362	2.09515519479568	-2.47954867837312	5.86660616680734
arap1274	3.39602337640912	2.14990544751816	-0.60096736424465	7.80962792833702
araw1276	0.469661413136874	2.0776842824478	-3.56788077132006	4.55123323374845
arbo1245	0.397374400395416	1.69676895089824	-2.8455510059315	3.7640843489823
arch1244	3.76781691724076	2.52573065984624	-0.978084165301482	8.91739244733081
area1240	-0.916763496475703	1.86483619573369	-4.64831933330131	2.68856755966364
aree1239	-0.795920874416644	1.82468565839885	-4.44875927954094	2.71033355241782
argo1244	0.609186058377166	1.8615729087243	-2.99008500626088	4.43290734111776
arhu1242	0.0860668308136115	2.07279292640639	-3.8477458931471	4.28542635001007
arig1246	-2.02565527308738	1.95711500356238	-5.98863748260573	1.76684563232671
arop1242	-0.843944773624952	1.82623480753836	-4.50927712528086	2.84747494839733
arop1243	-0.870233462754874	1.84894225067687	-4.60600032316837	2.6826713163434
aros1241	-0.912241127465937	1.85865235663976	-4.66577035249438	2.77423584681747
arta1239	0.405408879211596	1.86958524973149	-3.17991503277834	4.18176085816255
ashe1272	0.432679836451841	2.0926549463373	-3.68921321718275	4.58621334346416
asoa1238	-0.568250817765065	2.00016669316455	-4.6599181604055	3.28771442161473
assi1247	-0.177625429183693	2.25233144513846	-4.81730798535607	4.23895562547112
asut1235	-1.29514484004348	1.78109557075136	-4.72613162736552	2.2378992650679
athp1241	4.48782652647539	2.16525935297704	0.436408170242915	9.04295345949383
atii1237	-0.289179324293811	1.87221015236329	-3.93813198629077	3.33902467529698
aton1241	4.62152194316109	2.17747087798984	0.589426720306325	9.23539178680883
auuu1241	-1.36841281003305	2.64336383786851	-6.86356221836071	3.71715556029115
auye1238	2.10080289343749	2.19654233074099	-2.07099783492359	6.52814249392494
avok1242	-0.473293586955655	1.9796407753304	-4.52137944395514	3.36149784143999
awac1239	1.72600607951665	2.33457730783757	-2.77812596763827	6.44429075706956
awad1243	-0.520912589230973	2.05026769299006	-4.51913899537863	3.57575864979439
awar1248	1.57356788200885	2.14703405672191	-2.55997739675211	5.94264271475281
awar1249	2.76565979485227	2.72801158472197	-2.52197819099835	8.36336472624098
awji1241	-0.766640510623851	1.92177099930014	-4.71348645578912	2.90798006500769
awtu1239	2.59887190906031	2.43155283636987	-1.98616149735199	7.53996252371033
axam1237	-0.973568826789507	1.86487444568279	-4.70154604544144	2.68686887573366
axiy1235	3.87716007643605	2.00296118605569	0.137509305160624	8.04721584781941
ayac1239	2.39481947859799	2.18808731753142	-1.68203261674444	6.85657590055886
ayiw1239	-0.799851070315956	1.86125052101988	-4.46125854275736	2.82301477797702
baba1264	-1.89519734432361	1.94430588912594	-5.85537778359959	1.87295868063854
baba1266	-1.886820818185	1.93123615591492	-5.82551942618215	1.87073804325489
bafa1247	-1.91716479984117	1.82804875066496	-5.64630492970253	1.71237582538812
bafi1243	-1.91404104346875	1.86795739587988	-5.60343372290986	1.73236327279156
bafu1246	-1.89480808236392	1.93127691761259	-5.75399577233258	1.884063844825
baga1272	-1.27417172843508	1.89504978675504	-5.03544454229585	2.35528387212545
bagi1246	-0.760125369588185	1.9502082924741	-4.82623307508074	2.89448488650665
bagv1239	3.94455149947823	2.58937121513969	-1.06335938631514	9.20131923638979
baim1244	4.61255864239542	2.12153508471902	0.58050912158467	9.0874430757975
baka1272	-1.95634417582499	1.81714043192221	-5.69381642408956	1.50158792321002
bala1311	-0.583527438797736	1.86880495328975	-4.26983769591958	3.12966953339877
bala1315	-0.631538131942219	1.86471353861529	-4.35249428843879	3.00209467231462
bala1316	-0.962069073450966	1.85155475061441	-4.75386005620558	2.63841464770108
bali1278	-0.444615600506814	1.83947723883354	-4.08147018151109	3.23202084079316
balu1257	-0.823455891121193	1.84903300876393	-4.4883497153185	2.74460622104819
bamb1270	-0.337050666626125	1.87383967923488	-4.0926749837626	3.42614358615595
bamu1253	-1.89892417246052	1.93915647780222	-5.81573540576566	1.88549718995265
band1344	-1.96356031451236	1.8141563611414	-5.62844809389448	1.51300196518681
bang1354	-1.27138556803097	1.8208798520554	-4.78107359123064	2.397349096669
bang1369	4.63728768816542	2.20024275111061	0.653976229205087	9.28211162123358
bant1281	4.21963022326908	2.08909935922321	0.247659652494548	8.63602461571499
bara1357	4.4956428680677	2.10602085146654	0.55615195621433	8.87322412928857
bari1286	-0.875333675690468	1.85792543765901	-4.61687295668455	2.75956658454246
baro1253	-0.790678715361182	1.83891764990867	-4.55099680614903	2.92682138531166
bash1264	6.33502070019497	2.94058202918128	1.44197401085024	12.8399944798147
basq1248	2.33597623388376	2.94759629879569	-2.98626125727642	8.64742504571118
bata1285	-1.94351565897799	1.85260005420535	-5.64845878432204	1.6606649155564
bats1242	3.91976685695746	2.60318522524348	-0.979194692192385	9.27712300400687
baur1253	0.443090040257909	2.10938264399883	-3.72285682010352	4.57001847800635
bawm1236	4.14000707421051	2.11266264847383	0.172414692255415	8.52872305019992
bebe1248	-1.93598296098998	1.81529276027561	-5.70110792805704	1.61990187066568
beka1241	-0.550756051297077	1.89373595829999	-4.27853556509543	3.20858663357822
bela1254	-1.17926120369589	2.02047215285812	-5.11099837766763	2.81152521473277
beli1257	-0.678693530549018	1.98059466639391	-4.79134478000888	3.05112878473227
bell1243	2.00543253946081	2.15650915431011	-2.12665009249836	6.33012280120282
bemb1257	-1.79218684072984	1.78610041471623	-5.36351491300776	1.75600484026882
beng1282	-1.94014364168451	1.8418814409176	-5.58138451390546	1.64870955537425
bent1238	2.19915021808109	2.59356330171083	-2.72661758333841	7.5203814231881
bert1248	-2.07087944206584	3.92570923522804	-10.7741162165303	4.82892372551813
bezh1248	3.96268089883873	2.58618834886633	-0.942347231314545	9.31676634992525
bhoj1244	-0.401665204930175	2.01297396496768	-4.43559060842703	3.59057500512385
biao1253	4.48074451252199	2.69101357503445	-0.510790912406458	10.2352259405515
biao1254	6.97424392779586	2.93136494336059	1.81648360701456	13.3510026017972
biao1256	6.97182628828296	2.9298434296297	1.83631103413588	13.3386114494235
bier1244	-0.994839859564278	1.88624144844322	-4.78842469852264	2.65138562799981
bign1238	-0.985478630358935	1.85959222738666	-4.76678462773428	2.58305537521417
biha1246	-0.370928573429596	1.81838118360044	-3.95776342259537	3.26566594608419
bilb1241	-0.930617474422992	1.8642153726838	-4.76314554451346	2.74872990516649
bimi1240	1.27792720947144	2.11379787924332	-2.8662722752505	5.44681311928711
bini1246	-2.05107539058184	1.94526412934619	-5.94919020093126	1.77591306647457
bira1253	-2.97813944252954	3.91566458759942	-11.6818888212961	3.66743829233612
bisu1244	3.88807631561358	2.01278812474712	0.0878348950216556	7.91958731976937
biwa1243	-1.22474502511139	2.87802796618609	-7.35137108250661	4.16092530558277
blab1237	-0.848514381926494	1.82682461908374	-4.45405119936323	2.74556110898089
blan1242	-0.200189410569532	1.95896954983563	-4.14307297403936	3.63026592810739
bodo1267	0.720930831444718	2.04934450670952	-3.33258492422518	4.91267888248255
bodo1269	4.62144539198805	2.16571058695977	0.62157960601651	9.22259161594969
boka1249	3.98140008475666	2.04790376676242	0.0597968101024601	8.10422233395998
bola1250	-0.789276150956683	1.86435683542877	-4.60206294564612	2.90531704854163
boly1239	-0.322278974156778	2.02444156641324	-4.315214389022	3.75929928961566
bona1250	7.03029057945403	3.33311257639523	1.42977667874204	14.4832554094948
bong1289	-0.507394723196194	1.87897227855579	-4.18551114702768	3.16313236299658
bora1263	0.731982782311906	2.38966720668696	-4.01405214978761	5.46564933493877
bord1248	-0.333461419958776	2.0914732928432	-4.50488340409927	3.80836285915063
boro1277	6.11482320710651	2.99180657033395	1.15023440462614	12.8025987013369
boro1282	1.85621218700743	2.32078667770549	-2.65270667527093	6.73907861169014
boto1242	0.368444089275135	1.86853778186243	-3.33746094022277	4.12743553006405
boun1243	-1.58061087077116	1.82275227562406	-5.28004891906344	1.98426569702187
boun1245	1.5517768176446	2.13356036895633	-2.54433372344449	5.9178778653718
brah1256	7.10392414695944	3.1396209998187	1.7822385967003	13.8770963244116
bret1244	-1.38976418841422	2.0965864333464	-5.53883011841459	2.6782133559243
brib1243	-0.292073864671646	2.1016386735251	-4.45996417852165	3.83586677001728
bube1242	-1.84336070232342	1.86903109223909	-5.5917449284815	1.88593064287632
budu1248	3.74006446633116	2.54484329082106	-0.979208234047983	9.03397596156402
budu1265	-1.07701156596176	1.94978756953239	-5.23773601297506	2.54413284672021
budz1238	-1.5801327770937	1.85403910670414	-5.34198972105031	2.17436692224969
buga1247	-0.32043957418903	2.03191496138532	-4.34398272040149	3.69404617652761
buga1250	-0.868043651853032	1.85029174003056	-4.59368177076936	2.66662962759359
bugh1239	-0.906174904401045	1.86569113872295	-4.71028823705024	2.71007071642735
bugi1244	0.0122642715475283	1.89808440794344	-3.67533522903473	3.87894113894534
bugl1243	-0.32581659110915	2.07296736410569	-4.3678872182347	3.72498283810611
bujh1238	4.49421685095703	2.1241896863884	0.518422315154356	8.93400684909341
bull1247	-1.4357862762358	1.90521545321685	-5.0998736798417	2.23698199920288
