Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.285134961	3.45208312799597	-6.89062325	6.75027425
abar1238	-3.298529614345	3.50363169724549	-10.1248925	3.57346475
abee1242	-3.159468299688	3.56309170717159	-10.3945625	4.07171075
abkh1244	-2.010743943245	4.20197200591503	-10.4020075	5.928018
abua1245	-4.6668868538	4.32970421331038	-13.660545	3.6037035
abun1252	-3.88856025644	4.38010652949233	-12.71796	4.309232
acha1249	-6.42176436665	4.54797117076895	-15.9627825	2.13533825
acha1250	-2.867615453615	3.90277875328594	-10.8452125	4.83462274999999
ache1245	-5.87937181527	5.73214086355317	-18.2679325	4.04873899999999
ache1246	-2.81612464874	3.95728397858479	-10.8622575	5.122687
achi1256	-1.877348831875	3.78521010182426	-9.27063325	5.714659
achi1257	-0.22559255749	3.47526417984891	-6.70913875	6.88638274999999
achu1247	-1.788365395512	4.01739076220097	-9.56597875	6.334824
achu1248	-2.771615281725	3.91829389847484	-10.7574375	4.901175
acol1236	1.1837718855805	3.30495238273047	-4.8047475	8.0659885
adan1251	-4.7539008610365	4.33529172000646	-13.85837	3.16723175
adon1237	-0.490155289905	3.53239619900856	-7.25307475	6.5555975
adze1240	-0.1803275110905	3.5156867333127	-6.8419125	7.16128575
aeky1238	-4.3583358601285	4.29313079591682	-12.9474225	3.80326225
afad1236	1.503724809575	3.2030258502574	-4.28769825	8.29709174999999
afar1241	0.02132318378	3.36024792992457	-6.5538265	6.98310049999999
aghe1239	-2.981215737575	3.5887844454793	-9.848306	4.33442999999999
aghu1255	-4.794043272265	4.29766278515991	-13.6055	2.98225974999999
agob1244	-4.7687771348	4.36003376801751	-13.920995	3.372222
agua1253	-2.785539945985	3.91604681175388	-10.620365	5.14243175
agus1235	0.5146722718645	3.41843802443292	-5.62308025	7.8818735
agut1237	0.621517543635	3.43901505900793	-5.77292325	7.9145065
aheu1239	-6.46044917452	4.58075557267103	-16.028195	2.0180655
aika1237	-0.80085678928	3.86040976213357	-8.61551125	6.8565625
aime1238	-4.764712401445	4.22983210083426	-13.69822	3.02354149999999
ainu1240	-2.511851822475	4.6040504576877	-11.6702075	6.26936549999999
ajab1235	-3.140603907525	3.57421977558745	-10.461975	4.13270349999999
ajas1235	-5.7628108399275	5.39548041780713	-17.2813375	3.65526
ajie1238	0.780464205975	3.44241819699783	-5.62655025	8.09000725
akei1237	0.343622359611	3.45664063979609	-5.9297565	7.72616649999999
akha1245	-6.43229128715	4.55619097302199	-16.4346025	2.11820374999999
akoo1248	-3.3692416074	3.44311156231199	-10.4336775	3.65800475
akun1241	-2.872331597225	3.99957316355696	-11.0672725	4.7854955
alab1237	-2.613171917133	3.95547383201843	-10.3460875	5.380223
alab1254	0.008755420225	3.31980504715779	-6.6205985	6.90463249999999
alac1244	3.76352870185	3.50750706685911	-2.37180825	11.347045
alag1248	0.024828941215	3.32090463921127	-6.56361975	6.8615585
alba1269	0.966056115392	3.44004025356958	-5.42495825	8.09207899999999
aleu1260	-2.73948712285	3.98900642891342	-10.5833075	5.22107649999999
alor1247	-0.4961859681495	3.52082258756474	-7.05358825	6.890196
aluk1238	-5.38338419195	5.01754631181138	-16.997805	3.30001525
alya1239	-1.16973910357	3.60932872164998	-8.311543	6.12882175
amah1246	0.128915842985	3.48529991581268	-6.60095225	7.52372099999999
amam1246	-4.745828727665	4.38880679602942	-13.437935	3.50447075
amap1240	-4.732205511655	4.40226543963217	-13.5977125	3.57400499999999
amar1272	-0.18611068217475	3.53389309547254	-6.9330235	7.18133075
amas1236	-5.69734879749	5.51750798323334	-17.291425	4.300428
amdo1237	-6.452348775285	4.6748284403231	-16.3697725	2.11590925
amii1238	-1.822286994925	3.89528238502485	-9.231666	5.77894199999999
amis1246	-0.30314103197	3.55647246482565	-6.84599025	7.09209874999999
amri1238	-6.43951296235	4.55042049445184	-16.08644	2.05115649999999
anei1239	0.43914435633	3.50806756051621	-6.068192	7.703059
anfi1235	-3.00092158124	3.92423916091383	-10.8359525	4.62445349999999
anga1288	-6.388281262675	4.56876798961009	-16.074145	2.80299375
anga1290	-4.639556581055	4.28217078672589	-12.8705125	3.57765325
ango1257	-1.69681734414	3.70199189267835	-9.10703025	5.72188075
anta1255	0.176369479465	3.39321842897613	-6.16652175	7.2582885
anuf1239	-3.13622998178	3.52207297434799	-10.14714	3.9711155
anut1237	1.791473666465	3.35157051429377	-4.01864225	9.00073825
anuu1241	-6.40467564055	4.61731101862105	-16.2338975	2.03489875
aoua1234	-0.3816762153	3.61312480957043	-7.705888	6.97349
apat1240	-6.4437338919	4.65252358539263	-16.0491775	2.05520774999999
apin1244	-2.818900029705	3.88520042040755	-10.5086625	4.71277825
apma1240	0.281654611145	3.50562712204685	-6.30438775	7.3598215
apma1241	-4.691674700795	4.24053705413795	-13.3447425	3.67087449999999
