Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.75046197938	1.62985423311612	-4.27034225	2.09731875
abar1238	-0.35014757933	1.73336281164628	-4.075551	2.89988625
abee1242	-0.012940779845	1.84791702587327	-3.71113	3.719925
abkh1244	-0.0639021904585	1.76433510500242	-3.55601325	3.4815335
abua1245	-0.6310684584115	1.79129975230962	-4.33147825	2.78477699999999
abun1252	-0.2807542264555	1.8685463860135	-3.994815	3.346745
acha1249	-0.081629863316	1.89279465545071	-4.03375225	3.6631675
acha1250	-0.039593788946	1.85388150504954	-4.00203775	3.62784
ache1245	-0.894542955513	1.69755152813367	-4.4627425	2.30951775
ache1246	-0.072325335066	1.78091127098588	-3.69576	3.3755385
achi1256	0.0677107067735	1.71520102139472	-3.48640875	3.53004975
achi1257	-0.3524815077765	1.68578232058215	-3.9911655	2.883686
achu1247	-0.126636481708	1.75356445499134	-3.700159	3.387739
achu1248	-0.27650101036	1.83062340265421	-4.30530675	3.638667
acol1236	0.681006794132	1.66280247857273	-2.50131675	4.14085575
adan1251	-0.42510530314	1.7462419275817	-4.06658025	2.90030775
adon1237	-0.476825996054	1.70235782558468	-4.112958	2.8331305
adze1240	-0.95631421028395	1.68830865154615	-4.918963	2.0332175
aeky1238	-0.31729252076	1.86943682452356	-4.01087975	3.36611625
afad1236	-0.5363013021895	1.62056516919197	-3.97701225	2.57421125
afar1241	-0.13247115434	1.81842114101904	-3.84857775	3.488097
aghe1239	-0.35535463850095	1.74032029156959	-4.0025305	2.8700925
aghu1255	-0.20102331655	1.85675246180361	-4.0432105	3.44512275
agob1244	-0.198794908856	1.82544863256825	-3.944864	3.4511225
agua1253	-0.2484472979335	1.80507651912048	-4.0334	3.16807325
agus1235	-0.1738497857345	1.54488903182108	-3.35676925	2.80771925
agut1237	-0.283262374925	1.64412466958907	-3.804203	2.72823375
aheu1239	0.02008290119	1.81206758153432	-3.5729035	3.63619025
aika1237	-0.220786679405	1.76544927626653	-4.0546425	3.29495175
aime1238	-0.35825941571	1.86601983263521	-4.18545525	3.15626375
ainu1240	-0.135848541175	1.89717815475515	-4.33106225	3.506841
ajab1235	0.0081982238585	1.80708173145907	-3.78796325	3.48450425
ajas1235	-0.2023306400825	1.84755774452627	-3.9031585	3.428303
ajie1238	1.656529774195	1.34587544768679	-0.6935152	4.515201
akei1237	-1.7058608692835	1.64549467881773	-5.2989825	1.0701895
akha1245	-0.070909494537	1.84702259771772	-3.8568725	3.4842005
akoo1248	-0.2061376516375	1.86609638063802	-3.97744225	3.39012099999999
akun1241	-0.23818288102	1.80738563306649	-3.89367	3.2644675
alab1237	-0.023421336855	1.7332481997393	-3.494864	3.4190635
alab1254	-0.667647822244795	1.75344010687039	-4.6184105	2.50120575
alac1244	1.0661487945155	1.49158874274852	-1.619636	4.0876675
alag1248	-0.3213766600585	1.68470868995683	-3.8701765	3.0834415
alba1269	-0.687604065742	1.64673108012209	-4.18225275	2.523073
aleu1260	-0.070379044907	1.86807313979157	-3.780786	3.525498
alor1247	-0.426177855543	1.76293808333199	-3.983464	2.96943925
aluk1238	-0.0686418271015	1.8162909234626	-3.76401425	3.66357625
alya1239	2.439205280278	1.98071531657079	-0.794976675	6.663505
amah1246	-0.222577653394	1.79317097205146	-3.884139	3.3104845
amam1246	-0.8451287261465	1.71473931393988	-4.510608	2.398909
amap1240	-0.5285026595315	1.78860243889784	-4.201432	2.89199775
amar1272	-0.97548395958	1.68148621099811	-4.61842975	2.183432
amas1236	-0.46615324073885	1.74036016949136	-4.17547025	2.933846
amdo1237	0.008398270505	1.81650599076386	-3.632819	3.67548725
amii1238	-0.180765672795	1.79387091656532	-3.917769	3.3883305
amis1246	0.182044410003	1.45190190602044	-2.60426575	3.10003099999999
amri1238	-0.06276981058	1.83081290485346	-3.7421135	3.58289675
anei1239	-0.8355876377755	1.71290592101697	-4.58528075	2.135005
anfi1235	0.539676306935	1.73782353433226	-2.842845	4.12234725
anga1288	0.0040471356935	1.88357432682669	-3.63194925	3.81185574999999
anga1290	-0.9627449130959	1.69586818382886	-4.703901	2.12389975
ango1257	-0.0738289430395	1.78540520276635	-3.7035635	3.5179315
anta1255	-0.2041005530785	1.75650449284414	-3.91748175	3.28168625
anuf1239	-0.04194060605555	1.77968413498141	-3.836087	3.400788
anut1237	-0.8045476326365	1.64747706213035	-4.44048725	2.21382625
anuu1241	-0.00339846033	1.784588218442	-3.7350955	3.682461
