Estimate	Est.Error	Q2.5	Q97.5
abad1241	2.14869866332419	2.25147320266102	-1.88912907078005	6.96976460965729
abar1238	-2.25956296491161	2.52706720609734	-7.29870855902404	2.7393166097123
abee1242	-2.40007806265819	2.514854559273	-7.52833134968765	2.52623263486797
aben1249	2.25360699297071	2.28280449001811	-1.83408727183744	7.0443732652352
abkh1244	4.55134570629657	3.15325017124836	-0.963953203744596	11.2771509091091
abua1245	0.859651825148658	2.80974125550052	-4.74190861222476	6.44078101091299
abun1252	1.39850922346666	3.25170773534569	-5.1170650915282	7.83829914008607
acha1249	0.125465652172699	2.56289277881518	-4.82794981827382	5.30053531214522
ache1245	-0.0713961391952768	4.33578559234236	-8.99332355706697	8.08677483096854
ache1246	0.667422799173797	2.70397431347276	-4.91632906718943	6.16485892631029
achi1256	-0.047869739790635	2.76987491876993	-5.75387955426203	5.68769652895896
achi1257	2.63263177750728	2.30784206403939	-1.41061006623153	7.5623609624429
achu1247	0.0648720710639519	2.84799458587283	-5.57269001505526	5.91412355712203
achu1248	-0.128400724474723	2.88331821068062	-5.96433438197334	5.56881778934835
acol1236	0.355469813469502	3.6688121032933	-7.56234831859503	6.92727424863059
adan1251	0.429614569367718	3.32605700651682	-6.10563010189898	7.13577708101517
adny1235	0.503391339437432	2.91154004962608	-5.43401727255814	6.181364137224
adon1237	2.20192690492358	2.26102311377298	-1.81793198492846	7.09882068142372
adze1240	2.16462599009186	2.22536582895513	-1.9030710275321	6.93159967137856
aeky1238	1.15536198772286	3.08773177065017	-4.94084938300062	7.38035978324904
afad1236	8.27495143572698	2.45426254459191	4.232876650201	13.9548447820686
afar1241	5.54347848874555	2.09729565431208	1.82651551290619	10.1252502076481
aghe1239	-2.29388265639352	2.51960074763379	-7.35667205934307	2.72732718403373
aghu1255	3.1833356856576	2.59978492561778	-1.55615317779457	8.83644801527028
agob1244	1.69358354467474	3.19471720007181	-4.56167440084993	8.14670033006971
agua1253	-0.127347161702236	2.89038470761302	-6.05957145422937	5.51505897500838
agus1235	2.22278583417647	2.26995680312954	-1.79973787271736	7.07415538141758
agut1237	2.26828406320562	2.27613147177211	-1.87161070628379	7.06284521757267
aheu1239	4.76269509561636	2.271147446349	0.776313408856027	9.70628475736187
ahin1234	2.24448925864616	2.25380228928619	-1.85391996166364	7.10900919139616
aika1237	0.152059223492159	2.81200784391201	-5.38891426208409	5.75889254740174
aime1238	0.810633355704476	3.0603236629207	-5.46930612007109	6.86407632845465
ainu1240	0.493224744981813	3.98125235262023	-7.79330794035659	8.18297344541767
ajab1235	-2.39318782192984	2.52281813628916	-7.49393521964272	2.58507204561622
ajas1235	0.220475464846798	4.39839763718995	-8.88952546340263	8.56957849200701
ajie1238	2.16647880918802	2.2511344546404	-1.9211556540446	6.94386048739352
akan1250	-2.39240433652717	2.51432129202908	-7.41448947458547	2.52042081214261
akei1237	2.15756698643719	2.2371530445117	-1.87050898810528	6.88923483177122
akha1245	0.128429328708266	2.5984315761934	-4.94975129967928	5.43952512830991
akoo1248	-2.19224527276496	2.4007313688375	-6.88970671106716	2.68818537662707
akun1241	0.687251955969135	2.71541552772142	-4.84273979621955	6.20508059901675
alab1237	0.0888897896609481	2.84705018911773	-5.57903257859616	5.70518573439899
alab1254	5.44999582037665	2.08875406585281	1.72675666430042	10.03774999738
alac1244	-0.33948683508466	2.76054668030474	-6.09634749281632	5.00189769598521
alag1248	6.95019030353067	2.26683035191383	3.10345803060683	11.9595968671231
alba1269	2.22059880278711	2.25711718301236	-1.8578553366585	6.97537255046473
aleu1260	0.010707396510862	2.84497329831657	-5.71817960320621	5.55025546206504
alor1247	2.20239421294298	2.25131698238329	-1.83092711152335	6.99875512759568
aluk1238	-2.07914136637699	3.11163112606317	-9.05194015461058	3.61417831819597
amah1246	-0.0177438925310122	2.81173804926119	-5.6342125924318	5.57742357687558
amam1246	0.245199681754386	3.52856016237689	-6.94452821172105	6.85666630108342
amap1240	1.90370350018421	3.203074018506	-4.21513896030269	8.24962466527142
amar1272	2.16364902290744	2.24035978310045	-1.90791330349201	6.97638419352205
amar1274	0.135382493579541	2.82081107426782	-5.41233687572685	5.82581447261754
amas1236	-0.637581080356575	4.61491158316441	-10.209584017261	8.2043659274745
amdo1237	0.608076834666143	2.50335804073724	-4.18930007195177	5.74937239719399
amha1245	8.30281045515046	2.51836028091798	4.12716406653807	13.9913174994853
amii1238	2.93946723873581	2.94804913280196	-2.42532257963173	9.28096387169879
amis1246	2.26079295374499	2.32575632885742	-1.91699031952682	7.37592083925442
amri1238	0.0546670944048631	2.56883713349797	-4.97506797850485	5.19232007871876
anei1239	2.17211564194486	2.252930967008	-1.84541132870692	7.08150798281659
