Estimate	Est.Error	Q2.5	Q97.5
abar1238	-0.572495028364155	1.56375260789646	-3.84304120392353	2.39462904956647
abee1242	-0.15466516934601	1.66620244764889	-3.78177622796421	3.05261111596496
abkh1244	0.485405360460902	1.64729307474172	-2.58150540679806	4.06999988050229
abun1252	-0.760302665117328	1.57647969249225	-4.09115675660812	2.18782101606994
acha1249	0.784416128201441	1.47995995731735	-1.99178194429353	4.02144938475034
acha1250	-0.533893672150232	1.54614536735703	-3.76627141668108	2.40814378745065
achi1256	-0.741678784549692	1.63800161610006	-4.29213585232206	2.31526062734254
achi1257	-0.0969781310542998	1.66134725464512	-3.56091698936351	3.27538306604259
achu1248	-0.347643897210105	1.57836922089529	-3.71555658050114	2.71694272715237
acol1236	0.640106286172647	1.53522789220448	-2.30518531892231	3.87336996634616
adan1251	-0.260592776240117	1.63557362875563	-3.72520897303303	2.85540800428942
adny1235	1.50541598044433	1.62651130592958	-1.27866467754368	5.14080923909905
adon1237	-0.222125054582278	1.63540561491723	-3.5975825101509	2.98544935596367
adze1240	0.535399948179377	1.323520677645	-2.03638850016904	3.29059353373074
afar1241	1.3089830544729	1.58124931290402	-1.42579549477092	4.86505556791974
aghe1239	-0.563675234201858	1.53359853408014	-3.80418315730228	2.3450797329044
aghu1255	-0.160952055122919	1.51370915370455	-3.28645539657671	2.84841034214721
agob1244	1.15991751897741	1.64413509896333	-1.78341493947092	4.76178287219394
agut1237	-0.104111140585304	1.7074648130408	-3.58801258288719	3.24162964902464
aheu1239	-0.316002787436043	1.67035015765378	-3.7939463974807	2.93115247473404
aime1238	1.74897229698047	1.65793876135241	-1.10155080099357	5.47573178272342
ainu1240	0.236395885714311	1.65557723808826	-3.12972221088044	3.71813750831206
ajab1235	-0.195362400302746	1.61881247817183	-3.52277527303842	2.89297604961044
ajie1238	-0.217774633403889	1.62662621330539	-3.58335653824175	2.98439325740947
akha1245	0.015514733974223	1.34884432927859	-2.64401563873353	2.82875082108302
akoo1248	-0.450621243138885	1.61670932233454	-3.90100454687658	2.6901155596233
alab1237	-0.563968402839904	1.51033942116569	-3.79369237262454	2.26733195862102
alab1254	1.27190082124644	1.43304450775774	-1.24699523645115	4.43837709130683
alag1248	-0.566579013879125	1.54491633318935	-3.98039955803556	2.33851242344198
aleu1260	-0.295310726885208	1.58664517615731	-3.68932872739283	2.7997515379914
alor1247	-0.261742880850801	1.63804959927255	-3.69019345273163	2.85734312184274
aluk1238	0.325460800235157	1.59553063423367	-2.73218295971392	3.7430727429625
amah1246	-1.43123147549378	1.52732652494658	-4.88913886646405	1.17163216329824
amap1240	1.64395988767621	1.565392045002	-1.09215945208965	5.00813734096681
amdo1237	0.8864854987306	1.488175345516	-1.73807724629233	4.19481953371601
amii1238	-0.482393890079222	1.6719556556025	-4.13278197161313	2.72446245856774
amis1246	-0.401772631257294	1.598795561567	-3.6769325202487	2.6671838335998
anei1239	-0.16734097873728	1.65180164028827	-3.49455282763028	3.06996108499224
anfi1235	0.593763537570404	1.47604739323217	-2.17367789549071	3.78553402423118
anga1288	0.600379723776243	1.24015918945679	-1.73035055543726	3.19857628957785
anta1255	-0.0854643845976955	1.66115917471074	-3.53767364771751	3.27854744213342
anut1237	-0.0652953658751355	1.71413151001479	-3.71519418236705	3.3758470407447
anuu1241	0.202606003952557	1.36652315311771	-2.42391386824815	3.1438814476083
aoua1234	-0.273665791582579	1.6288705748721	-3.81092700488225	2.94177664135229
apat1240	0.754991985818306	1.44739893904004	-1.96837935443117	3.85719027660225
apin1244	-0.33091783950954	1.59950198310459	-3.73116146003391	2.73401896625582
apma1240	-0.47758695337634	1.54290544971197	-3.81011239933329	2.35344089233602
arak1252	-0.428867907338886	1.56318531285932	-3.76426181255493	2.51958669389354
arao1248	0.0585483807710633	1.34941434701162	-2.55459306981146	2.87036394106804
arap1274	0.643211161359513	1.57143396314222	-2.23786162957608	4.01645727507386
araw1276	1.43146716767525	1.52856933446114	-1.16020489646299	4.88323999688782
arbo1245	-0.393592439299342	1.45069057447931	-3.41309625543786	2.41046904327011
arch1244	0.468716849988778	1.68103949645351	-2.84965112293409	3.99762761581831
area1240	-0.0479565562573758	1.57101749282697	-3.27670008169897	3.09622067318162
aree1239	0.278009948643029	1.45049069427992	-2.66133939502987	3.14623847685544
argo1244	1.47439690095443	1.62538763300064	-1.34024175852104	5.11446048301824
arhu1242	1.05504044680358	1.45606900529762	-1.60165720059662	4.14710223344712
arig1246	-0.188121499115907	1.61776125476385	-3.58220887696041	2.92790480683622
arop1242	1.0453581129887	1.54126955204046	-1.85134812650627	4.33085438893361
arop1243	-0.183806295760824	1.53383397814036	-3.30253759174808	2.83827582621834
aros1241	-0.0727829925884129	1.64004614747983	-3.45394886370344	3.20888348413968
arta1239	-0.391701392490654	1.5784009394579	-3.69385107293261	2.67807997539554
ashe1272	-0.563408334414473	1.46998638302745	-3.79305858156589	2.17642648182022
assi1247	-0.134691721574539	1.63945598826518	-3.56400551370124	3.07224130599012
asut1235	-0.251639919868599	1.64967133111791	-3.67251837002817	2.99816880124968
athp1241	-0.220463900433213	1.24852886234045	-2.75220209278213	2.24191931400041
aton1241	0.257233356751936	1.40484556273945	-2.4127143362003	3.24616704387831
auuu1241	1.33512629169492	1.50232928449753	-1.36744609115419	4.60132407800015
auye1238	0.480265645679149	1.48792255684641	-2.37972741823409	3.65458852159717
avok1242	-0.652432261588752	1.5494967310661	-3.9598494892201	2.18904455950403
awac1239	1.17920036448563	1.58972398709263	-1.569851960218	4.75882530893064
awad1243	0.894174553913245	1.52725396994025	-1.80531607449559	4.24868976774832
awar1248	0.473966032355621	1.31683048733311	-2.00332628897613	3.14663850199624
awar1249	0.914831430934978	1.43231578365144	-1.6484353247787	4.04990218337808
awji1241	-0.113294441379088	1.62940112369692	-3.50605205793593	3.16058673126991
axam1237	-0.504629664154696	1.53224421965428	-3.70066606431016	2.36821868973384
axiy1235	-1.44097708263596	1.47336349102883	-4.58758947855353	1.18423425280517
ayac1239	0.537825623225318	1.49108411975549	-2.23465075192005	3.70622870781559
ayiw1239	-0.130421916395686	1.60296713867479	-3.47256043693776	3.05788981669865
baba1264	-0.537181372109126	1.55947031018875	-3.82264701650107	2.49519880246953
baba1266	-0.527714401311859	1.5640628253049	-3.80795713166687	2.42087759939477
bafa1247	-0.404003717734422	1.62413555266296	-3.80873904506925	2.74785178194976
bafi1243	-0.329907360371072	1.66239085669506	-3.79116144159469	2.95422342600434
bafu1246	-0.543601064717406	1.5426483795603	-3.76413959433305	2.39825095459556
baga1272	1.8232645026927	1.70378919698508	-1.05282539409205	5.61075307961679
bagi1246	-0.836076280480263	1.55345716327542	-4.2548751719404	2.00647865505232
bagv1239	0.531676489996332	1.68757840536865	-2.80946960773398	4.14967675140286
baim1244	0.779416283642481	1.53430745617917	-1.96950045174116	4.138174307413
baka1272	-0.207639857945062	1.60491648795767	-3.59910260470913	2.92421601636426
bala1311	-0.0641506772159912	1.70852006013708	-3.5243229491547	3.33323997260048
bala1315	-0.0720506795230593	1.628219327737	-3.36872858082968	3.10670899784311
bala1316	-0.222640874336647	1.58011614961623	-3.48110082553027	2.83887716962553
bali1278	-0.0748400117047995	1.64350087832346	-3.35250821606029	3.18593402531636
balu1257	-0.0604300797884712	1.63926479258399	-3.4235447098998	3.20798365977544
bamb1270	-0.195183589198781	1.60231259745201	-3.51395120888385	2.95861607990325
bamu1253	-0.42975816584967	1.61669569359807	-3.86893832796701	2.76012554919239
band1344	2.23017559059352	1.75851802014456	-0.662469915714797	6.12183726316835
bang1354	-0.0278182744908125	1.70335280106788	-3.40429946328532	3.51240783140644
bang1369	0.582056813394081	1.4787852042996	-2.21646572970748	3.737148791841
bant1281	0.161236595966409	1.25670977849243	-2.2777128986315	2.76660138143177
bara1357	-0.843840476516854	1.28300312996685	-3.5391975827512	1.53717831318427
bari1286	-0.275294430018457	1.62637837501721	-3.66460690383017	2.93591862629216
baro1253	-0.773790895341526	1.52039216394553	-4.02888584578917	2.04877911190466
basq1248	0.707106087961846	1.66441704631828	-2.37773525046582	4.26908338443709
bata1285	-0.0961529681280788	1.6487754368373	-3.49128289034405	3.11130722021224
bats1242	0.588961460994001	1.70466335753396	-2.62376222553201	4.2998221287316
baur1253	-0.774351431023285	1.53107265990454	-4.11129889720476	1.97529005102356
bawm1236	-0.853485717125447	1.23919607382701	-3.43015379580597	1.50257971461807
bebe1248	-0.202927295078215	1.63503228911564	-3.59900400560705	3.11870948441636
beka1241	-0.053340091676527	1.6847656263659	-3.49029117811116	3.32225411728494
bela1254	1.454321117382	1.5349567819475	-1.20740978583623	4.86376392736961
beli1257	-0.626164830287195	1.51197321005033	-3.99549655607439	2.12015826221211
bell1243	-0.266773092408563	1.63347777647788	-3.68420191463102	2.92817899823164
bemb1257	-0.0515080979074662	1.67050084366069	-3.50929005074886	3.31121290100444
beng1282	-0.0842522725233533	1.6776243031661	-3.6789769938548	3.31838204992433
bent1238	-0.391744101233848	1.58770162938103	-3.76322196448271	2.79869530824989
bert1248	0.253908046671405	1.61481578668214	-2.84314009059898	3.62295851982568
bezh1248	0.567737440952972	1.67454688670661	-2.67404619570782	4.22419384731187
bhoj1244	0.604873160504008	1.47581715400931	-2.09140836938389	3.82978886574472
biao1253	-0.235251147731441	1.53023807152988	-3.45174982293017	2.75862865313661
biao1254	-0.814063665005149	1.58291276494398	-4.31431531024042	2.03984657888989
biao1256	-0.615680624598152	1.56043588340887	-3.93659809369705	2.29845279164841
bier1244	-0.44910861994345	1.56526924326087	-3.77189363098199	2.4365965196102
bign1238	-0.502737277794152	1.55906685148666	-3.88170663334182	2.35762301905465
biha1246	-0.303422727921406	1.59196281388934	-3.65322306412787	2.85226189329454
bilb1241	0.379114221014209	1.42018630249307	-2.43066097314448	3.28793966568489
bimi1240	2.48837754848122	1.68372749749581	-0.230438082451172	6.06554093519019
bini1246	-0.185649466719298	1.62816251355079	-3.49991765563257	3.02819526770207
bira1253	-0.293946312174371	1.40758666171895	-3.24921694991986	2.43487886965798
bisu1244	-1.49243373783332	1.45529559650261	-4.66449585105287	1.10785683356035
biwa1243	0.684771885113527	1.44324715134491	-2.02157099929	3.72019973154602
blab1237	-0.0286590807608676	1.56860268815386	-3.19944005194878	3.14267953820545
bodo1267	1.78551286193898	1.53669069999403	-0.736788807649481	5.26533231461421
boka1249	-0.0308390647268013	1.36240821919799	-2.88092610925779	2.68891543058282
bola1250	-0.316540816912788	1.64302176548268	-3.7729821865502	2.84594501882846
boly1239	-0.724070937248134	1.57759053358535	-4.0884405033594	2.27649467679217
bona1250	1.0187569481935	1.56049748487651	-1.79631882985286	4.33837798870148
bong1289	-0.0286961485053029	1.6650773820797	-3.46360379914118	3.27352069933756
bora1263	0.0700122999506085	1.46133422436507	-2.86001609439152	3.01312574300128
bord1248	-0.717874755254868	1.53112822414839	-4.11744283176803	2.12906419946081
boro1277	0.561157673982591	1.53637139690907	-2.32016744054761	3.80754817661404
boro1282	0.905071419372553	1.57853855780481	-1.9812249421489	4.34683695484618
boto1242	-0.174601416913159	1.65099009092	-3.63162528133698	3.11283966404808
boun1243	0.205951104391051	1.61320205532316	-3.00456744126693	3.57907718880153
boun1245	1.61815604998494	1.47025963436013	-0.904769895086443	4.739014752073
brah1256	0.28931731705204	1.57717519765941	-2.79556260979907	3.62479198155793
bret1244	-0.266343802302911	1.60106065455232	-3.64920503372404	2.75649149133947
