Estimate	Est.Error	Q2.5	Q97.5
abar1238	0.271168432760731	2.38336895596076	-4.03509646882203	5.38763740264587
abee1242	-1.62282705362461	2.74522208388739	-6.79682333272597	3.93583875523362
abun1252	3.46297666085945	2.51508445814876	-0.912600701654234	8.83106781766535
acha1249	-0.481073829778911	2.29259285229916	-5.26946527508459	3.68052507461832
acha1250	1.40784604315832	2.78416800148467	-3.52424940079037	7.31249112876961
achi1256	2.37987896199913	3.22908923086286	-3.84348415032399	8.93691106953998
achi1257	0.761363790923618	3.03881384609464	-4.7430106177499	7.15808170300693
acol1236	-1.09454882667561	2.34593127941644	-5.60487740699363	3.60160655678662
adon1237	1.39128911323837	2.9818889364164	-3.79163838281379	7.77978025883627
adze1240	-2.11340769277269	2.04526851749182	-6.07774487869553	1.92421131931497
afar1241	-2.23025461608674	2.87871132190867	-8.45384076416212	2.8197112526169
aghe1239	0.0251853224374474	2.3709262648573	-4.27052910216213	4.9619147892559
aghu1255	-2.42036118934522	3.00173393446934	-8.84039912655755	3.00747886717601
aghw1237	2.37599035452923	2.67711919945568	-2.5887018064138	7.90037128017914
agut1237	0.763067882206545	3.11754029125746	-4.7730979994603	7.33871612141848
aheu1239	1.04065962503682	3.18275977266072	-4.70899234737556	7.57522369673445
ahin1234	1.91546716934735	2.85331801336332	-3.16768929261827	7.911021569282
ahom1240	-4.87075968970728	2.72259488167531	-10.9010400629358	-0.0765896718711156
ajab1235	0.884137519898038	3.00221188229122	-4.46721151452281	7.18397212121832
ajie1238	1.56756973037431	2.96035593777787	-3.74539601567575	7.89281061993079
akha1245	-0.889874192099541	2.36962779717849	-5.72718064367263	3.55026993727179
akka1240	-4.20835974657679	2.5281309541032	-9.7223188747466	0.149698725620592
akoo1248	-1.1409806343674	2.35417074188593	-5.57565304962891	3.68885472359354
alab1254	-3.12941392802679	2.77877152705493	-9.29416556144113	1.71683312010726
alac1244	2.77655551991539	3.1659575460307	-3.16190076670322	9.22271736509813
alag1248	-2.4662901604452	1.89404963846049	-6.33023320026414	1.10581592666534
alor1247	1.21005873957515	3.11162110162332	-4.75029335999756	7.61519938574423
aluk1238	3.17349084516347	2.46386601116688	-1.45200526063842	8.29324785390575
alya1239	4.525140371996	2.52784034913042	0.0922409314615161	10.0315331975882
amah1246	-1.26959632113944	3.06181669181176	-7.63683631080897	4.40727543757022
ambo1250	0.606964895134959	3.08415350336856	-4.94063628840603	7.02370962196816
