Estimate	Est.Error	Q2.5	Q97.5
abad1241	1.45245121998212	1.90964202069014	-2.02196526162688	5.60264187452903
abar1238	0.580199637990185	2.03220840408278	-3.30023770563335	4.76883219920414
abee1242	0.103860297848455	2.24511273779998	-4.26487583451221	4.65688221531792
abkh1244	0.222485003089437	2.16924601987828	-4.05356969103883	4.68698534221491
abua1245	1.57859506547559	2.15936629232543	-2.32267610344238	6.17692142507472
abun1252	1.04581684242076	2.17211429529951	-3.11799527535417	5.6384999471387
acha1249	-0.147106391076779	2.05280229538205	-4.20058670599588	3.97790694495432
acha1250	1.10975697948467	1.92530996505137	-2.49373512489596	5.22074246076341
ache1245	0.450322880157771	2.08705295933744	-3.64437742837727	4.64262806040883
ache1246	0.469323999825153	1.99121364559759	-3.34641183585889	4.667350095531
achi1256	-0.0446545768696098	1.91526965552816	-3.77489304047254	3.81086108261708
achi1257	-0.0129322783394575	1.82435389810295	-3.5768249341377	3.68631791017939
achu1247	-0.883799246944223	2.11789113179184	-5.2009021016242	3.14677786343749
achu1248	0.526230510315941	2.05046238688793	-3.49019082991213	4.64781620550084
acol1236	0.101929874971302	1.97513282297711	-3.6809529340448	4.13197616062121
adan1251	1.21070229829818	2.00559700460603	-2.45389298613688	5.57758520390281
adon1237	1.15256389837566	1.90760688626864	-2.35920264498335	5.16733064158398
adze1240	1.3146947949424	1.76177296126362	-1.94426470925704	5.09269302458153
aeky1238	1.09511224628171	2.14548162730614	-2.98099892183115	5.53060801054506
afad1236	0.928188017025865	1.99464607538876	-2.72657912355417	5.0471296333823
afar1241	0.401653814217287	2.06492148983486	-3.57148712084163	4.68937118223151
aghe1239	0.561928163123785	2.02282199237825	-3.31694577593665	4.7739886948121
aghu1255	0.616939972218372	2.17900244015712	-3.59060040656623	5.08682909023987
agob1244	0.541718889897809	2.17589077530226	-3.67821171503351	5.09940834823059
agua1253	0.467335361905124	2.09129685611684	-3.58271815415008	4.75591907012914
agus1235	-1.09849419179804	1.97236836541469	-5.23930826365347	2.5539626127135
agut1237	-1.25604670267658	1.94704144606784	-5.41377088314135	2.3040066320394
aheu1239	0.7944920139672	2.07525374376465	-3.16825388872119	5.19667668301366
aika1237	1.24255820336425	2.01010760351361	-2.47016729868765	5.50268651074274
aime1238	1.22148797805218	2.16216379517496	-2.82336126909166	5.78492667825564
ainu1240	0.0919527905607215	2.14472409877838	-4.19620219698984	4.45044995723481
ajab1235	0.0412517714659452	2.14927798519415	-4.13857132697947	4.34671071448673
ajas1235	0.293989916021763	2.20117358645884	-4.00438399303628	4.77634167066361
ajie1238	-1.88768538649713	1.63074265073077	-5.18928737911047	1.23280773639431
akei1237	2.95572802691447	1.88384043382837	-0.420859059843328	7.00275444187639
akha1245	0.521547716623878	2.05451397819471	-3.44515383038311	4.77136646886434
akoo1248	0.399737091657147	2.10412523305432	-3.67798073902067	4.64466011152054
akun1241	1.09605412149978	2.00203423073132	-2.56283748057061	5.2714618784274
alab1237	0.303648888455891	2.0991878143536	-3.77960108618289	4.6111502031941
alab1254	1.32518833619184	2.03487483445904	-2.48276715140177	5.56005630799225
alac1244	-1.58640145323535	2.06599278333386	-5.93519744151357	2.14161078405413
alag1248	0.622957059044616	1.9608851292349	-3.15779891957836	4.66486983118198
alba1269	-1.30770449461522	2.09082110292484	-5.77413632847975	2.44317702614923
aleu1260	0.372701532015744	2.09638748162172	-3.70228166820797	4.81074137301992
alor1247	1.20671684618678	1.96570256837482	-2.4081904542627	5.38624918904207
aluk1238	0.0898141602077983	2.14610905027727	-4.23561073744073	4.37589050595826
alya1239	-2.58920557137282	1.99904844069296	-6.82441953253786	1.01054457645188
amah1246	0.61834458508204	1.96929064200518	-3.14272711585539	4.67631400959919
amam1246	0.708654980380358	1.78154588955171	-2.64684479520105	4.35147203612928
amap1240	1.45802354965783	2.18645474735674	-2.49462780569979	6.18126567202618
amar1272	1.97633778489349	1.91019408616174	-1.39444800977902	6.24771168227985
amas1236	0.120188313893348	2.12592661010033	-4.06922204929848	4.33400129371924
amdo1237	0.0368899140338333	2.2200734066435	-4.42613067775303	4.4050033651189
amii1238	-0.454991397038268	2.03420455945483	-4.77155536074189	3.48506835538609
amis1246	-1.51315196868211	1.83514210263704	-5.37775127986671	1.88672253476392
amri1238	-0.333397140244141	2.02467629315646	-4.46710699064529	3.68468485085659
anei1239	-1.1741002096827	1.71097881416421	-4.81928565814511	2.03385142165893
anfi1235	-0.456936856858228	2.09515039854082	-4.86316503983768	3.50514571030994
anga1288	-0.731973835629195	2.03475022445978	-4.94433324067089	3.23068718958365
anga1290	0.78228656090694	1.65408730752288	-2.47405474956378	4.18096842103619
ango1257	0.371830148865853	2.0852234725393	-3.72546614057566	4.61345802777489
anta1255	-0.918337868659607	1.93437493741656	-5.02892013286159	2.66049215302745
anuf1239	0.088862067899251	2.16526796075846	-4.20735543153986	4.40482193806245
anut1237	1.97017838449976	1.91984847890963	-1.44000338172793	6.10453393118654
anuu1241	-0.390599456749365	2.11727949987583	-4.52710328555807	3.87491442597397
aoua1234	0.159003085392686	2.16525808455754	-4.08467197782881	4.59287666269544
apat1240	-0.022676850776469	2.10687195831784	-4.34683199942275	4.2427214748618
apin1244	0.178136784356567	2.10447883847768	-3.94539050884931	4.49726631724893
