Estimate	Est.Error	Q2.5	Q97.5
abad1241	-5.93636794160507	2.51739586909607	-11.1982415460789	-1.52735718103954
abar1238	0.295270572186068	2.38869636643367	-4.24853651948177	5.26386720524714
abau1245	-3.11796111735485	2.5416182337291	-8.41112011116004	1.57580575117099
abee1242	0.133429229396395	2.89492783165161	-5.38314311215161	6.09129448574719
abkh1244	-0.899087655696215	2.96591645103197	-6.95964249475931	4.84940683998582
abua1245	-1.80605869337245	2.22961357832998	-6.25011698301567	2.40568494475251
abui1241	0.324781481479615	2.5928546244814	-4.73647231971347	5.48117008644621
abun1252	4.8205324376538	2.76851176088016	-0.300176719908162	10.6068850727526
acha1249	-0.216893929447172	2.62760221789481	-5.61052202540763	4.72850467914867
acha1250	0.873267188721333	2.595668896553	-3.93643748497456	6.3254882536169
ache1245	2.52655721150153	2.93334298860872	-2.83897218390959	8.59525740227081
ache1246	-0.512445332648765	2.72088178253793	-6.31211843265498	4.49531010669303
achi1256	2.15275159009325	2.90546285477119	-3.30978868138231	8.16887991618943
achi1257	0.630979275812749	2.87545053591421	-4.74801386844161	6.68836765827639
achu1247	1.10356017631016	2.66455079221995	-3.99952803875597	6.51928465762903
achu1248	0.658248151418874	2.6517844690174	-4.51001759748232	5.95098289942339
acol1236	-0.693188662575684	2.49949291263557	-5.54094856001544	4.28304639881472
adan1251	0.353001379088161	2.56884173729939	-4.61274095035368	5.41808029418205
adon1237	0.921522268875144	2.61521344292182	-3.9924619231581	6.18400333924745
adze1240	-1.95424019378342	1.99482090518299	-5.98518424687269	1.81259429342992
aeky1238	-3.13916484064388	2.83175690585889	-9.01813717738077	2.08172132548358
afad1236	1.83393231010035	2.59562311063656	-2.90188986764058	7.23773466795114
afar1241	-0.960552642941846	2.85000192655982	-6.85392543771856	4.25390171520587
aghe1239	0.0741437988849048	2.4100885026842	-4.56095618866232	5.04950378711884
aghu1255	-2.12958498642193	2.98749230660213	-8.43674724147034	3.46604117036657
agob1244	-2.84288691596562	2.8714657951486	-8.78941680996044	2.51666867291138
agua1253	-0.589890437790217	2.93413237455571	-6.61591865331164	5.13246735769846
agus1235	0.892598920504726	2.91687060223031	-4.57693015206021	6.8736115503408
agut1237	0.805112233796449	2.74653800814485	-4.2030798339722	6.62901755153127
aheu1239	0.843121262314002	2.90483226688419	-4.71889653912404	6.81774219882095
ahin1234	1.42712100290858	2.74370330883733	-3.7253408823998	7.26842292286161
aika1237	-1.68206571202152	2.50709232121579	-6.87901452386152	2.97508913909881
aime1238	-3.7593558565707	2.85367919029776	-9.85883425654452	1.5319174504721
ainu1240	-0.436601299077922	3.11899006220773	-7.03516188887337	5.66278439713602
aito1238	-0.771111757520156	2.52664509378892	-5.8871093835632	4.04482312931684
ajab1235	1.10423049812289	2.82574086052988	-4.15088585039847	6.92902005960423
ajas1235	0.967193078040857	3.0515452956702	-4.94834464511729	7.07910526627408
ajie1238	1.19820731345653	2.64854823830754	-3.72693819924718	6.69826978870364
akei1237	1.6109395627347	2.57495865827001	-3.15034164839524	7.01136748570506
akha1245	-0.0423078948405814	2.48038809459761	-5.11565246928197	4.6550796640821
akoo1248	-0.905200038330009	2.37048272288053	-5.46815226155347	3.82232170198557
akun1241	-1.40106898791156	2.47542664385728	-6.49521705333364	3.2868030659292
alab1237	-0.591885692236953	2.83415371868287	-6.3268390222751	4.74207906528851
alab1254	-2.15399554562405	2.6300423724003	-7.67002537778806	2.5546403297249
alac1244	1.9924502261327	2.9110628460976	-3.5206897423768	7.89554309816425
alag1248	-0.160110919000089	2.2767456078461	-4.66099908795774	4.26182295393212
alam1246	-4.54473067081044	2.71968198808762	-10.2881623763101	0.446634527783196
alba1269	1.00252963866838	2.82742497700767	-4.27574319006802	6.94021764980954
aleu1260	-0.983895989657456	2.77821249535119	-6.74002582166693	4.30795359180896
alor1247	0.449628259311259	2.55204521712254	-4.45232505905239	5.60252727661534
aluk1238	3.26488741455722	2.58355662529417	-1.45242951451284	8.59444666098729
alya1239	3.9032068847642	2.47715925662218	-0.46569772859437	9.22478035863325
amah1246	-0.0726901924127087	2.81237649820683	-5.75361343172182	5.35051676941765
amam1246	-4.17814449591363	2.42815272742306	-9.40571860642213	0.265304102856931
amap1240	-2.93323706701512	2.57117624689486	-8.24439851999754	1.85498194067046
amar1272	2.70949892636731	2.44928690445872	-1.73144174092535	7.79224786262949
amas1236	1.87562026959576	3.03142498778034	-3.74468133546778	8.19747813162496
ambu1247	-2.92452794478966	2.35881255560939	-7.67905015766917	1.53711581174507
amdo1237	3.82355594222453	2.3390397520902	-0.554683416162888	8.83595665502759
amha1245	-1.88430956911056	2.69852666905979	-7.42257753162578	3.14892351061928
amii1238	-1.8728380857905	2.84087199982825	-7.66717132993443	3.57554577878764
amis1246	-0.330332852868918	2.30480450420216	-4.90510399459881	4.09515726042056
amri1238	1.54683709675606	2.17351041926585	-2.62042690517237	5.93026291101487
anei1239	0.540574341956969	2.82198964449567	-4.70419444329915	6.3719384629993
anem1249	2.96009914721293	2.44223064186967	-1.43144039867419	8.05265054968049
anfi1235	-1.6589458965432	3.00685408446975	-7.88248925941035	4.09013210242082
anga1288	-2.83212102573256	2.36472590034307	-7.72409594069887	1.44347691971393
anga1290	-3.19506285526431	2.08217146412148	-7.42971777341197	0.707582030380618
ango1257	-0.65260587244827	2.67460609484257	-6.22822254515662	4.35815982878727
anta1255	-4.07938696196077	2.52880225409496	-9.47466699533286	0.472932154380705
anuf1239	1.00149878652905	2.8857320249914	-4.52162853434916	6.97269115563931
anut1237	0.468259409341914	2.88843197085761	-4.92277485190415	6.44386816737443
