Estimate	Est.Error	Q2.5	Q97.5
abad1241	-1.008809906286	2.00719228289844	-5.2567845	2.57706925
abar1238	-0.27157549226	2.20196058069964	-4.8565095	4.04914875
abkh1244	-0.45054044462	1.9634396749923	-4.420634	3.23811975
abun1252	-0.734787068654	2.056594191983	-5.080856	3.1663045
acha1249	-1.11737016206	2.03752934648047	-5.61764375	2.495804
achi1257	-0.14357796571	2.12689767288187	-4.3100925	3.991229
achu1248	-0.641803283525	2.09833059215449	-4.90165225	3.38239275
acol1236	-0.495618649485	2.12412346589755	-4.88137425	3.43805875
adan1251	-0.351907283515	2.15777013587124	-4.71624025	3.793591
adze1240	-0.76018368001	1.99620121689657	-5.080452	3.0792075
afar1241	0.226094996613	2.11396714090801	-4.00628575	4.468867
agob1244	1.2405578885106	1.86265232199448	-2.45079375	4.969699
aheu1239	-0.400974690156	2.1438936157984	-4.789245	3.741142
aime1238	0.485147604135	1.82062053647192	-3.225858	4.12634825
ainu1240	-0.4093999121335	2.03513424829149	-4.574964	3.3379075
ajab1235	-0.178081273545	2.25449685062124	-4.9113435	4.19985
ajie1238	-0.2190780241565	2.1667524824458	-4.5669915	4.03181725
akha1245	-0.18553989436	1.7335760854996	-3.7496005	3.2103145
akoo1248	-0.1410166053025	2.31146883023934	-4.58140075	4.433669
akun1241	1.82174148125	1.87616733398631	-1.506398	5.75543
alab1237	-0.34174810327	2.11793933113056	-4.92877875	3.46342975
alab1254	1.07021068007	1.86916770467318	-2.5789125	4.75952725
alac1244	-0.70504199599	2.0586137785876	-5.027981	2.97531225
alag1248	-0.363424506395	2.21319865892896	-4.8568275	3.9383135
aleu1260	-0.2961647828065	2.16581430371251	-4.82715275	3.74911675
alor1247	-0.356095905945	2.13861170429996	-4.80254575	3.6408625
aluk1238	-1.84167921314	1.88721303096482	-6.1024485	1.445671
amah1246	-0.910012519695	1.88174558765604	-5.07185125	2.496947
amam1246	-1.172597610165	1.98662657178943	-5.49927375	2.50051225
amap1240	-0.026056913685	1.81727914239633	-3.81712075	3.57133175
amas1236	-0.4828708862505	2.09786941580634	-4.79068525	3.52707025
amdo1237	-0.5780004065078	1.95845170909234	-4.702432	3.1139205
amii1238	-0.761236074545	2.13374373389731	-5.147915	3.148912
anei1239	-0.221698964753	2.19469260329045	-4.785638	3.9295565
anfi1235	3.41028683952	2.11334470759332	-0.197351025	7.8458585
anga1288	-0.034164561685	1.60890782387865	-3.2018505	3.23330275
ango1257	-0.786087822885	2.0417380669306	-5.274664	2.82348
anta1255	-0.079498097326	2.2781301099478	-4.66976975	4.57291675
anut1237	-0.08468330729825	2.31411620385812	-4.73718025	4.25876925
anuu1241	-1.35954576056	2.0998215770924	-6.39553575	2.200257
aona1235	-1.137356593565	1.74366023631607	-4.81976275	2.23635775
aoua1234	-0.30445620935	2.31845241138703	-5.30179575	4.057993
apat1240	-1.308236142394	1.93685236055006	-5.42545375	2.15581475
apin1244	-0.7348572667005	2.11007135660235	-5.35807725	3.18385975
apma1240	-0.4456086596848	2.06335471912355	-4.79920275	3.633153
apma1241	-0.35870640928	1.97891147473583	-4.4351965	3.37423375
arak1252	-0.444172970066	2.20459663528571	-4.989856	3.7338915
arao1248	2.14440189194	1.71369488559522	-1.085256	5.8152025
arbo1245	1.544710599165	1.78221692603077	-1.977295	5.218283
area1240	0.681124355205	2.05131430623319	-3.46861025	4.72996
argo1244	3.4259061555	2.17651444121297	-0.486391425	8.0097835
arhu1242	0.0063529085865	1.91639927184885	-3.7128005	3.49291275
arig1246	-0.18776308885	2.26828545180852	-4.71241875	4.33497724999999
arop1242	-0.274590281046	1.82924076795964	-3.973116	3.31494675
aros1241	0.343890024818	2.20278486438045	-3.915477	4.55010275
arta1239	-0.324147941795	2.12131594524951	-4.71899325	3.81214475
ashe1272	0.3573430458345	2.11334568901852	-3.9050435	4.381959
asoa1238	-0.405560900414	2.15069343816978	-4.7439945	3.67356825
assi1247	-0.278757363865	2.24046606759914	-4.88156575	4.20417275
asut1235	-0.15531979040649	2.37401849873635	-4.91699275	4.4812305
athp1241	3.9427499779	1.47546781339058	1.3131095	7.143975
aton1241	0.150767795513	1.92495281459792	-3.651201	3.748731
aulu1238	-0.538052393673	2.14087176152385	-5.06509725	3.3849435
auye1238	-0.548820140911	2.13995288192325	-4.961065	3.50025125
avac1239	1.938441822595	1.8785984617398	-1.41886175	6.0385825
