Estimate	Est.Error	Q2.5	Q97.5
abar1238	2.54362194315	3.82075115132404	-4.79138725	10.2017225
abee1242	3.679858158585	3.67247238366207	-3.2043045	10.932575
abkh1244	-12.1332139736	5.9038459462119	-25.8285325	-2.17386825000001
abun1252	2.18368110174	4.26954014198308	-5.96200525	10.87289
acha1249	0.42079822633	3.18283157144369	-6.08990325	6.32943625
acha1250	-6.423545940405	3.79788724149819	-13.9557675	0.8129223
achi1256	-6.02460701811	4.17621916766093	-14.0473525	2.03224075
achi1257	-3.1293728973115	3.28667307816521	-9.799483	3.11645725
achu1248	-3.576242290645	3.99577188353499	-11.972505	3.93285499999999
acol1236	3.615413188885	4.39419023330662	-4.33120825	12.9773925
adan1251	3.49956302272	4.40644728254129	-4.34831925	12.702765
adon1237	-0.075603219435	3.20212005758117	-6.3098475	6.21725274999999
adze1240	0.609236762425	3.09563826154136	-5.57979525	6.78689825
afar1241	-3.8244812965	3.39341702363953	-10.619005	3.01924024999999
aghe1239	1.731976604071	3.56910468426164	-5.14891725	8.57329874999999
aghu1255	1.41598128099	3.45057489128911	-5.1859605	8.0886405
agob1244	-0.678006027535	4.23023449447874	-9.303739	7.43721275
agua1253	-3.5641504759	4.01901964561102	-11.91108	4.05383475
agut1237	-3.41604325513	3.36945454650586	-10.2848975	2.9224215
aheu1239	-0.377365880771	3.01590132705005	-6.112239	5.48772975
aime1238	3.963108414	4.01653416658025	-3.462417	11.7021775
ainu1240	-4.72625486078	5.20543426189542	-15.432695	4.69302924999999
ajab1235	3.545721413595	3.87084498466653	-3.88626575	11.27008
ajas1235	-1.119156756675	4.02589908538399	-8.97759575	6.82042099999999
ajie1238	-1.211297975726	3.19089100825392	-7.75432125	5.05892349999999
ajyi1238	-6.41071660004	3.87719423818413	-14.519215	0.856885824999997
akha1245	1.45365502771	3.07843758994092	-4.50432375	7.617005
akoo1248	2.512632686675	3.51792796900114	-4.30730825	9.47999025
alab1237	0.862595994025	3.62039927027041	-6.19874875	8.2633705
alab1254	-3.97041624401	3.36567142868223	-10.85768	2.42249175
alac1244	-2.836898508125	4.05095853349631	-10.9326075	4.73931949999999
alag1248	-3.323900670735	3.37882558134356	-10.0682	3.34849575
aleu1260	-0.32664242591	3.81442096832343	-7.6097705	7.29277225
alor1247	-0.077815702945	3.21735036262895	-6.40394525	6.19180725
aluk1238	-12.4193426027	5.68168395576099	-25.729565	-3.0870795
alya1239	2.729218832935	3.59231368231591	-4.14003875	9.97224625
amah1246	-0.14433532807	3.42400980045578	-6.7205965	6.76096349999999
amam1246	1.27864420734	3.99599578428366	-6.59705475	9.54942299999999
amap1240	3.84777450997	4.20310842809068	-3.8446605	12.969895
amar1274	-4.699955728035	4.13220223461682	-13.07201	3.25122025
amdo1237	2.554704186187	3.14536385173656	-3.34969325	8.87422999999999
amii1238	2.20029103514	4.21153162075753	-5.92528825	10.51667
amis1246	-2.622567808055	3.47542802825709	-9.45116225	3.91420175
anei1239	0.134086289475	3.24225307132097	-6.021591	6.772118
anfi1235	-4.7091185529745	3.37189148619756	-11.8317525	1.667346
anga1288	2.8595794305885	3.28130646487497	-3.35204925	9.16303549999999
ango1257	2.49258188341	3.55969847082375	-4.25020525	9.5457595
anta1255	-1.5634300972371	3.15265706057427	-7.623993	4.686789
anuf1239	3.60785299009	3.7387687913435	-3.33270575	11.264655
anut1237	-0.67486681016	2.99648848347687	-6.59999925	5.23248575
anuu1241	1.79625797589	3.23042819680634	-4.714723	7.9904705
aona1235	2.98039937309	3.30564225983224	-3.31117625	9.817335
aoua1234	-3.626198523573	3.82107744853511	-11.56391	3.90313975
apat1240	1.908247051675	3.21795598539951	-4.5249815	8.412153
apma1240	-0.0851876863905	3.14047271567843	-6.1605585	5.99306725
apur1254	-6.24835659789	3.93369265799445	-14.3711075	1.09335899999999
arak1252	-0.2904822030345	3.08036401507879	-6.06208825	5.82619624999999
arao1248	-0.445984248275	3.43844575197843	-7.29145575	6.428117
arap1274	-4.5045159218	3.86951789988806	-12.2388625	3.251842
araw1276	-6.311956265695	3.92915405464879	-14.2392025	0.837288049999993
arbo1245	-3.2882275825765	3.3686170943906	-9.7603465	3.51423125
arch1244	-10.60144531	5.25632304742704	-21.8456175	-1.34651175
area1240	-0.77191714948	3.11582302767542	-6.99352	5.174332
aree1239	0.056959964715	3.25017858779051	-6.31571625	6.6573035
argo1244	-6.1293778732295	3.82223718150449	-14.234635	0.837724174999993
arhu1242	1.92336643782	3.56969610037916	-5.07882825	9.174183
arig1246	0.708919649255	3.66041622289059	-6.8349995	8.00667124999999
arop1242	0.37978966079	3.17354153247512	-5.894281	6.7528615
arop1243	0.14796060146	3.15001737256712	-5.95250025	6.30669925
aros1241	-0.900830055694	3.05249566813997	-6.80196175	5.16397425
arta1239	-3.80982224137	3.35075424954073	-10.68761	2.30010325
ashe1272	-6.4105029482	3.87083197492481	-14.332455	0.857518349999995
asoa1238	3.444019533895	3.79171170381446	-3.382057	11.5402175
assi1247	2.465058512315	3.74314421293404	-4.9248925	10.212595
asut1235	3.95618238391	3.49828795511553	-2.5653815	10.977715
atam1240	-2.7017444711305	3.193130450003	-9.25343725	3.02373224999999
atay1247	-2.39809992208	3.53034282448731	-9.36593025	4.41286325
athp1241	-1.393266823605	3.41716930367704	-8.1009145	5.69912425
atii1237	-3.676563401295	3.29453358593556	-10.441745	2.42507175
aton1241	1.65244595143	3.12892174075406	-4.32042175	7.77197675
auuu1241	2.7158453006735	4.06147869328537	-4.410378	11.0623575
auye1238	1.150777321785	3.56790173505069	-5.9039645	8.26616425
avok1242	3.468983511836	3.80075685203499	-3.57840375	11.3319325
awad1244	0.007113120945	3.13168582845963	-6.07016675	5.88544575
awar1248	2.11865828912	3.55524417623801	-4.70951675	9.05188774999999
awar1249	3.1544047744055	4.30062155007711	-4.7886785	11.9589575
awet1244	-3.278482176305	3.80177529745605	-10.7118925	4.059292
awji1241	-9.732539563	4.19862258349805	-18.5356225	-2.1676845
axam1237	-0.1064696188395	3.21630876561682	-6.595834	6.158263
ayac1239	-3.84802011403	3.72133127277248	-11.10838	3.17820625
ayiw1239	-0.359549858825	3.194053387759	-6.68405725	5.87310599999997
baba1264	-0.7422689211425	3.59217269367151	-7.87936125	6.02168675
baba1266	1.782638121695	3.61249172101927	-5.082097	8.93334599999999
bafa1247	2.5281063463365	3.52075956131498	-4.302768	9.7857695
bafi1243	3.0798295828	3.61846767426139	-3.60229775	10.3182275
bafu1246	0.209212538965	3.59311471930269	-6.96004275	7.0555285
baga1272	4.21295870451	3.90532343082665	-2.92495	12.302625
bagi1246	3.57837488765	3.77505220105151	-3.40397025	11.77995
