Estimate	Est.Error	Q2.5	Q97.5
abar1238	0.5831879888256	3.50049421534566	-6.30688860718349	7.63201854270802
abee1242	1.63922889337562	3.40722860582977	-5.04847376544968	8.51024079499988
abkh1244	-12.6774230581406	6.77890333135262	-27.8566467820206	-1.34321558667185
abun1252	2.45912691967592	5.18908710974647	-6.87425687633676	13.7480565867628
acha1249	-1.40178343598585	2.98994158334192	-7.59281367169133	4.27538229625971
acha1250	-8.41151850973012	4.00926077929824	-16.7525316305198	-1.06345942371258
achi1256	-7.10779625931721	4.32306660438275	-16.3950429047104	0.820313575521949
achi1257	-4.43666826756662	3.05600190013545	-10.8296349963406	1.27406035317244
achu1248	-6.65194088177104	4.27399471467879	-15.5392872425286	1.11572973346517
acol1236	4.3276989624806	6.24111511494	-5.91485722452822	18.9326595148113
adan1251	2.31350022155391	5.61115641791812	-7.68022204717182	14.3066704057034
adon1237	-1.60294515062113	3.0149213403458	-7.60740291269967	4.32098445871792
adze1240	-1.24791910132714	3.04336733334807	-7.20427597587098	4.79705352630984
afar1241	-6.7571435674279	3.08214963669058	-13.0983277267891	-0.973723117825174
aghe1239	-1.06152862506845	3.35568314064826	-7.95469456386654	5.38294028619478
aghu1255	-0.46461445985631	3.42299075008216	-7.22674595543547	6.45939685066334
agob1244	-3.63069077669075	4.76297149847445	-13.6544065747683	5.1238612145228
agua1253	-6.62756844583196	4.27928649395877	-15.5918894045996	1.26269001230354
agut1237	-4.32216186007889	3.17852057605635	-10.758469909908	1.55239404067732
aheu1239	-2.22349340893924	3.01826557948381	-8.34240476435741	3.57558404408764
aime1238	2.03221800711776	5.03419951390021	-7.10844740556882	12.6163227611919
ainu1240	-9.58571316025233	6.63631431745227	-23.799221462229	1.56010754810595
ajab1235	1.54300058692791	3.44266217624576	-5.15915412091914	8.48781692382782
ajas1235	-11.9147865744084	6.52743559271012	-26.8548349686141	-0.969333571019533
ajie1238	-2.73269476776608	3.02571693772637	-8.92601668176896	2.96329117335077
ajyi1238	-8.40642976019141	4.06374131524455	-17.1305680604939	-0.918955888143904
akha1245	-0.0928932928204944	2.96507425730281	-6.11305535667765	5.66203024742502
akoo1248	0.204006676155016	3.21622697629606	-6.2985714868836	6.559748355341
alab1237	0.803668650277011	3.69602099429709	-6.14725262042424	8.15579075773912
alab1254	-7.10926372908945	3.17501549639653	-13.5505820986345	-1.24984264102827
alac1244	-7.63679634918306	4.3604577224328	-17.3200913194834	0.171151235560915
alag1248	-6.46928813305473	3.19878622220833	-13.0382501430944	-0.504374354542326
aleu1260	-4.0653721926559	3.94600233168454	-12.0762732260367	3.39157033974594
alor1247	-1.57189521092053	3.01970608189741	-7.36517290413603	4.48101173571065
aluk1238	-13.3181094458058	6.00687408789628	-27.0542059536561	-3.80274364257077
alya1239	1.61341833097191	3.58854246111272	-5.42325392105634	8.82436034544829
amah1246	-1.84109551172476	3.31386322517886	-8.54899717845981	4.65889596839932
amam1246	4.256340712321	5.94953092688072	-6.01652953947982	17.3435064523159
