Estimate	Est.Error	Q2.5	Q97.5
abad1241	-1.08343406891418	2.53479713897926	-6.36767646543992	3.57108042789171
abar1238	-0.205789694084415	1.2956367833198	-2.6356744868519	2.43680306906655
aben1249	-0.97028520102838	2.50422071176443	-6.20094561633127	3.52756759328875
abua1245	0.872940557945857	2.32583296666664	-3.62487255809204	5.45968118771224
acha1249	-0.0720589316009875	2.61185021290302	-5.54056863096086	4.8876702142594
achi1256	-0.310463760856502	2.52537093078605	-5.33422032965208	4.58928311131823
achi1257	-0.182395777823353	2.84626117310588	-6.05710404237774	5.21605486981227
acol1236	-0.544485520855552	2.66235659014442	-6.06563414330473	4.47772345288396
adny1235	-0.149005618818012	2.75677820899361	-5.74108441830254	5.27980981428227
adon1237	-0.678430343408465	2.639060826399	-6.0476821547781	4.2812131702957
afar1241	-1.91903429228137	2.22964118587954	-6.85012096164956	2.0266813121682
aghe1239	0.133698224411997	1.29507044359963	-2.36243293037967	2.78382546401091
aghu1255	-0.417418941112638	2.73550763341842	-5.98646685963178	4.85331125364105
agut1237	-0.425996766980987	2.59405724138385	-5.85306579853291	4.31170546754494
aheu1239	-0.474033628250958	2.73145413174968	-5.99260775422399	4.77340716765197
ahin1234	-1.1238690193516	2.44625320565144	-6.17789398163201	3.29755687445156
ajie1238	1.07157176721114	2.23852655300743	-3.49284315519739	5.34570288235799
akei1237	-0.942622032756522	2.50821893314633	-6.069688248523	3.85826876593805
akha1245	-0.741215158860744	2.61360533735851	-6.06100367787643	4.23928372920685
akoo1248	0.586170934798558	1.89582263367523	-2.90634669004036	4.56416027824167
akun1241	-0.220163768444364	2.69675645593747	-5.71161115325865	4.85910866786435
alab1254	2.68903160941234	2.00593346127209	-0.986360437285813	6.96156113093386
alag1248	3.51115279886687	2.11742539636221	-0.0925514154234631	8.26605214891306
alba1269	-0.239322149054719	2.78039287070896	-5.89326847053089	5.11145000030638
alor1247	-0.683081379019126	2.55835300562192	-5.89606326298897	4.29293789744077
aluk1238	1.48148780208083	1.77173649076695	-1.92691327283233	5.05733790076644
amar1272	-0.903212036018504	2.55705144114177	-6.18353612207059	3.75303792578658
amdo1237	-0.112314436668776	2.90465424260527	-5.89388167665855	5.61810114593903
amha1245	-1.39445998584065	2.15027877174462	-5.4455186279404	2.98098447162148
amis1246	-0.345781207681468	2.73559824726523	-6.11190779370615	4.80427597391556
amri1238	6.28301612663786	2.35701444112628	1.91856262817989	11.2346964094917
anei1239	-0.568063635337776	2.52970621939207	-6.01475118345907	4.23133769178994
anfi1235	-2.13011060262492	2.28888829058953	-6.95004060239759	2.10130989422839
anga1288	1.90721031925832	2.22828111957669	-2.49233917997942	6.30138760056429
ango1257	-0.514293632790047	2.66492201365403	-6.01599640905552	4.50549982754738
anta1255	-0.401460017117868	2.58146279020422	-5.65582109785479	4.38826101739129
anua1242	-1.54670817291996	2.47200664181876	-6.80997488090811	2.87796086513375
anut1237	-0.306752427839035	2.76093180585527	-5.76049885210084	5.0626305952784
anuu1241	-0.10652875174888	2.68090392203884	-5.52416370385973	5.01258904144229
aona1235	2.65266834297052	2.28236251827326	-1.69380904366598	7.37605386669719
aoua1234	-0.350742376669376	2.73140672089829	-5.95765748848253	4.89927746952611
apat1240	1.38568965837541	2.54283091432538	-3.63835711393929	6.48327518156802
apin1244	-0.407963368347217	2.61143656092985	-5.89412499503177	4.53424637010171
apma1240	-0.994846429175158	2.55045181164981	-6.2973378423991	3.8455906539004
apur1254	2.22918559193441	2.17325183309418	-1.80427848163792	6.88464067528212
arak1252	-1.01194500596862	2.46404131566742	-6.03506854426647	3.55404749159555
arao1248	-0.253848080858451	2.71908139921452	-5.76622071273121	5.06190997232496
arap1274	-0.96097376800441	2.31514490550781	-5.91597889646298	3.25984250108608
araw1273	-0.21408084289247	2.73567351341814	-5.93823430467753	4.86653050567008
araw1276	1.93142701017347	2.24363862954103	-2.1055891000322	6.74460947253133
arch1244	1.17351720932541	2.15170939090335	-2.96565987916253	5.56066959138859
area1240	-0.885196871690606	2.64873656119542	-6.35661417936174	4.08855153836678
aree1239	0.430773729022906	2.20825693711106	-4.10025830907921	4.55710039602367
argo1244	-3.83108072701124	2.15354568494665	-8.15816136959319	0.156727863190759
arhu1242	-0.479736371851113	2.77807120693634	-6.09378909817417	4.82995559933659
arig1246	-3.74241372376227	1.55080115269015	-6.98733270644857	-0.846168009342045
arom1237	1.87172362283966	2.42521456158893	-2.35721671755978	6.98529731898195
arop1242	0.244894908207054	2.20434638735564	-4.29682176313167	4.41064654557466
arop1243	-1.1739483851914	2.54344713070552	-6.43164427304263	3.43124380286844
aros1241	-0.720452446179229	2.6344136962193	-6.01972991131392	4.3149220142886
arta1239	-1.02974550276975	2.48162222782797	-6.33309216119452	3.55948484611931
ashe1272	1.93046958505415	2.08634850062636	-1.95185528033501	6.1984281913877
asoa1238	-1.75985449118766	2.35068433541126	-6.49936961792701	2.85693830973651
asur1254	-1.04458245241785	2.38311416606498	-6.02907521011179	3.36178524820341
asut1235	2.23688381441617	2.43295027957003	-2.10042495433606	7.38098811673086
atam1240	-0.328346668508788	2.63223566508272	-5.60110475891188	4.74028167748998
atay1247	-0.352735245145011	2.77521290476598	-6.13657004731131	4.92498994180248
athp1241	-1.48297057672772	2.49892646098024	-6.62768247065618	3.24178471677905
atii1237	-0.271960596573346	2.73354849415517	-5.84250991304177	4.93562462282718
aton1241	3.55781574832512	2.21458756590787	-0.662707779213292	7.94624039891168
aulu1238	-1.15075685824893	2.32336520538264	-6.21720343076602	2.96019492866699
auuu1241	-0.328244152239003	2.21549869904337	-4.86579732176265	3.9502390209616
auye1238	1.73697192192854	2.20472369187576	-2.52664266211294	6.28252720284747
avac1239	-0.280690920434173	2.79021155079876	-5.93597517958372	5.07069205284647
