Estimate	Est.Error	Q2.5	Q97.5
abar1238	-0.5333476337795	1.56226962351587	-3.63904025	2.642921
abau1245	-0.71460206488545	1.80636220314241	-4.47725175	2.78524875
abee1242	-0.9875251201165	1.53756235714647	-3.9829895	2.070865
aben1249	-0.332800168245	1.63251031250081	-3.65193325	2.89678475
abkh1244	-0.3068681436545	1.68226357783773	-3.6325225	3.0843755
abua1245	-1.252594554479	1.80596839560344	-4.95082375	2.140781
abui1241	-0.102025012685	1.76010077640274	-3.5516505	3.37389475
abun1252	-1.14031395515025	1.95103165092125	-5.35697225	2.484459
acha1249	0.6720652312465	1.56818475898014	-2.44309825	3.809358
acha1250	0.50227444212125	1.76766466080249	-2.98892675	4.05774175
ache1245	-0.81613011165	2.08034372625008	-5.27188225	2.9482785
achi1256	-1.7814889688	1.95168692454948	-5.8802175	1.67478124999999
achi1257	-0.40554083836	1.56421882756306	-3.51445275	2.7123315
achu1248	0.753011674285	1.79370516256783	-2.676105	4.30441175
acol1236	0.620609396822	1.64457506423831	-2.523966	4.01424674999999
adan1251	0.0922795553805	1.7695652182935	-3.394903	3.58880625
adon1237	-0.7147645811325	1.60099009625645	-3.8263945	2.300819
adze1240	-0.819669736395	1.6321097417693	-4.08215275	2.24052625
afar1241	1.357267458715	1.48770915645352	-1.473519	4.5338685
aghu1255	-0.052782809	1.67813198341389	-3.37125425	3.17319524999999
agob1244	0.0721404708105	1.79850559011631	-3.508728	3.715177
agua1253	0.76467081952495	1.81714550022762	-2.699024	4.338097
agut1237	-0.284523279826	1.60098361569748	-3.42052325	2.85128975
aheu1239	0.6156128558358	1.51986876428873	-2.35049225	3.701851
ahin1234	-0.5036914393796	1.63031201201642	-3.8576505	2.625791
aime1238	-0.452336225325	1.79689748183389	-3.99746075	3.083641
ainu1240	0.00988319451	1.76192263132933	-3.4476655	3.42543475
aito1238	-1.208367056255	1.62749231439706	-4.489285	1.9122755
ajas1235	-0.4966301790615	1.90201593228542	-4.2930615	3.337629
akei1237	-0.885585431132	1.66545017329705	-4.24081475	2.272561
akha1245	0.4617428170995	1.52945252003567	-2.6439495	3.614116
akoo1248	-0.247957783255	1.50634896371828	-3.1346065	2.722265
akun1241	-0.733461101405	1.84957099389092	-4.582232	2.76250275
alab1237	0.428754483085	1.85378043481741	-3.07705125	4.12587549999999
alab1254	1.278144228205	1.48450353115361	-1.5667635	4.444493
alac1244	0.144174598885	1.80980875732444	-3.40922225	3.6798225
alag1248	1.289820597145	1.49738299580359	-1.50927625	4.1983935
