Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.265783018862006	1.15126905111081	-2.60115374645965	1.87121188933664
abar1238	-0.451065252747022	1.64631602587549	-3.83125976884679	2.64823497800215
abau1245	-1.17042332838661	1.31902845990242	-3.87831382609959	1.35277744264092
abee1242	-0.101177489993823	1.82042299359524	-3.63658187640962	3.39822873768916
abua1245	-1.37359250272871	1.50594431764452	-4.48004633407288	1.4968446069826
abui1241	-1.38773632097644	1.61036405990766	-4.69459769829347	1.61266597767292
abun1252	-1.15498148539742	1.57546117715368	-4.48022786170173	1.74793107850837
acha1249	-1.53473917866377	1.23740298301121	-4.12164360179168	0.758171628333169
acha1250	1.53881716120551	1.5317404447337	-1.39571737366867	4.79676683098549
achi1256	-0.575463333423816	1.75433202749199	-4.16711843836818	2.77281296824093
achi1257	-0.307106603200026	1.72822972719345	-3.82527646170298	3.01574202717839
acol1236	-0.330543362066664	1.45198220897412	-3.18284481739492	2.43819766991669
adan1251	-1.36653962768098	1.60953071524455	-4.7001838931679	1.7115051487455
adny1235	0.322947972371541	1.67552111818133	-2.85449879984252	3.76377365488474
adon1237	-1.0660118476632	1.63975874841474	-4.45314582024925	1.97554570902444
adze1240	0.491711035285755	1.09251703863739	-1.65503106194779	2.65324334070898
afar1241	1.90033217368772	1.57315657717788	-1.03674172091356	5.17356575931561
aghe1239	-0.463003647609693	1.63406353812919	-3.77392616796989	2.64222700949554
aghu1255	-1.10479930552773	1.40706800467992	-4.04349209476468	1.54204994175465
aghw1237	0.770329613758998	1.74439192960579	-2.52707019550167	4.30028691912828
agus1235	0.895966103227249	1.50200929562261	-2.21673969493229	3.78035934223257
agut1237	-0.609967175960774	1.54253872284217	-3.87728814435068	2.20868284269359
aheu1239	-0.712661947613797	1.65345112071738	-4.10822913924437	2.35814049402431
ahom1240	0.431230197683072	1.20687002774714	-1.93490340064878	2.81153592139386
aito1238	1.6184573649216	1.44829151266997	-1.13304147032191	4.49346521575604
ajab1235	-0.211544230572316	1.74726574761686	-3.80899662345018	3.09140052012079
ajie1238	0.780605076890933	1.34216532438792	-1.86805483850244	3.33570080543234
