Estimate	Est.Error	Q2.5	Q97.5
abad1241	-3.086600058481	2.90289136864093	-8.620682	2.68950475
abar1238	-5.29092894035	3.14057322557679	-11.6429075	0.729552174999996
abau1245	-0.345990555745	2.92991984166558	-5.834745	5.5876885
abee1242	-5.438310664965	3.22488149848386	-11.95363	1.26935024999999
abkh1244	0.7815545314	3.13072202279157	-5.39349325	7.26386225
abua1245	-1.994756166115	3.16809844049512	-8.26587075	4.259534
abui1241	-5.54705386325	3.75354077967406	-13.123295	1.56638324999998
abun1252	-2.485578230602	3.70570358432107	-9.95656025	4.60252275
acha1249	-1.41665933548	2.87381958725372	-6.886441	4.42895625
acha1250	-0.7425746465605	2.84646678831057	-6.341926	4.79687625
ache1245	-2.57823527195	3.35515919681593	-9.12113975	4.15326249999999
achi1256	-3.978363325735	3.16189472975645	-10.2426725	2.0405535
achi1257	-2.8450058413	2.92402858031827	-8.566096	2.9608555
achu1247	0.045656286113	3.22876788518524	-6.47855275	6.2646365
achu1248	1.7218243507995	3.07992598644429	-4.3728185	7.84560275
acol1236	-2.54198673799	3.04062250572289	-8.40603875	3.54061499999999
adan1251	-5.57996672974	3.78600189049388	-13.352805	1.69642374999999
adny1235	1.78210033167	3.09377529192321	-4.09021875	7.790099
adon1237	-2.96796855	2.98275122741412	-8.94391875	2.80814125
adze1240	-3.210199113305	3.01178682162973	-8.83865625	3.043635
afar1241	0.13221626462	2.96336578656486	-5.528439	6.0789765
aghe1239	-5.57671235295	3.267184934509	-12.273005	1.07083424999999
aghu1255	-1.61422790558	2.94134998101036	-7.33479925	4.260555
agob1244	1.31516158351	3.24427493099392	-4.7885715	7.6009625
agua1253	1.6959274142	3.08035632322151	-4.36833925	7.850219
agus1235	-0.71792896937	2.83822288094915	-6.12512875	4.8294505
agut1237	-0.8221919539445	2.80856487837667	-6.17837525	4.65248749999999
aheu1239	-2.81988566639	2.83583575182593	-8.40409575	2.70247
aime1238	0.00806082876699999	3.02801206380605	-5.799408	5.97755975
ainu1240	-3.5465461294	3.6789032822535	-10.8228025	3.615058
aito1238	-3.283623541735	3.15898101895041	-9.470617	2.7195045
ajab1235	-5.415417091135	3.19256225326333	-11.8340175	1.35245925
ajas1235	-5.517355747305	3.67941463918933	-13.0186425	1.40613625
ajie1238	-1.860741814655	2.90135564892341	-7.44919925	3.83070525
akei1237	-2.930498346005	2.90037050266488	-8.717861	2.51825174999999
akha1245	-1.51191671614	2.84125120595652	-7.0886085	4.23906975
akoo1248	-5.41569669484	3.21486730089531	-11.7578025	0.977371999999991
akun1241	-3.03963113524	3.18655154852418	-9.45622475	2.98208924999999
alab1237	0.174569189285	3.04815928058394	-5.86775725	6.19325075
alab1254	0.837103129695	2.92226382978896	-4.607945	6.88269575
alac1244	-3.107744760865	3.04762604968495	-9.11904125	2.71065674999999
alag1248	-0.84915227894	2.86341341048063	-6.23663175	4.8068435
alam1246	0.1000680113	3.09320305997539	-6.0806785	6.06002924999998
alba1269	-0.2142598924495	2.83683032013673	-5.832619	5.38638624999999
aleu1260	0.88473766547	3.11884936957383	-4.95060575	7.06585175
alor1247	-3.020552639801	2.94743872256398	-9.007181	2.69854824999999
aluk1238	5.118338018985	3.23280639102237	-0.86667685	11.919455
amah1246	3.32330651182	3.04415333815819	-2.630766	9.36013625
amam1246	-2.424128852375	3.13465162868071	-8.38953425	3.96923699999999
amap1240	-1.91229609676	3.27073143220069	-8.4866155	4.3440245
amar1272	-3.082688701263	2.96997768343793	-9.032521	2.69458099999999
amar1274	0.6938052252101	3.2240692857985	-5.29290675	7.217097
amas1236	0.43339058326	3.26277109886895	-5.81960725	7.388418
ambu1247	-1.559341853505	2.96683224520017	-7.5223885	4.094838
amdo1237	0.98010003611	2.84711405610221	-4.426892	6.75733225
amha1245	0.394335290192	2.87715186041487	-5.15080325	6.181958
amii1238	-2.590153217795	3.29560909816275	-9.12227	4.03128325
amis1246	0.149334832455	2.95098791729883	-5.56426375	5.83653075
anei1239	-1.51588426199	2.9569089667895	-7.18402025	4.30393124999999
anem1249	-2.8625873559565	3.65406326464709	-10.172435	4.0070635
anfi1235	0.10743803918	2.76636595560752	-5.2734205	5.66252925
anga1288	2.068966679886	3.02876770206505	-3.8915125	8.476279
anga1290	1.587288926135	3.13088656716621	-4.45719	7.93631275
ango1257	-0.62817731941	3.01133294473346	-6.5556475	5.371046
anin1240	-2.38285890056135	3.03721631485874	-8.28566875	3.65557625
anut1237	-2.8840491869335	2.88676099990776	-8.33359175	3.01803175
anuu1241	-0.90899604233	2.85227461705981	-6.388856	4.729331
aona1235	2.1078948552	2.98950263259584	-3.475361	8.32326349999999
aoua1234	-3.17710259227	3.09149819661043	-9.2722945	2.97622449999999
apin1244	-1.24222200534	2.99028876397292	-7.064439	4.57691299999999
apma1240	-2.65015085871	2.95091209161645	-8.33628275	3.29912699999999
apma1241	-2.379672673775	3.18707306168196	-8.35205025	4.0336085
apur1254	-2.601446478125	2.89344181566755	-8.31233475	2.94348574999999
arak1252	-2.917156841455	2.94902284367096	-8.64155725	2.90482475
aram1253	-0.40351603863	3.02985088485504	-6.37325575	5.44906524999999
arao1248	1.641900020397	2.9616148933826	-4.2064065	7.3672755
arap1274	-3.183021014435	3.05919630625998	-9.354342	2.60676474999999
