Estimate	Est.Error	Q2.5	Q97.5
abad1241	0.1164123612345	0.899520790821384	-1.6773635	2.039869
abar1238	-0.153701367806	1.02035289549875	-2.3252355	1.8844735
abau1245	0.1532273264092	0.8180694087961	-1.43597225	1.90239
abee1242	-0.0053481884585	1.0166081485419	-2.0447425	2.1303935
abkh1244	-0.567558199786	1.07709276090765	-3.043418	1.35065675
abua1245	-0.3402188462281	0.857087901398992	-2.27792775	1.27016475
abui1241	-0.5937682866125	1.02117570994999	-2.9610135	1.26904675
abun1252	-0.524502605022325	1.05822986953709	-2.9911635	1.312859
acha1249	-0.3877093500451	0.923256046154739	-2.37584825	1.330731
acha1250	0.4763584167945	1.0006136575911	-1.23332975	2.69769775
ache1245	-0.0018170827245	0.970213027519749	-2.0741015	1.92948849999999
achi1256	-0.222077360841	1.03635124846459	-2.51612875	1.75589575
achi1257	-0.10010181581835	1.04013534262222	-2.19884575	2.028047
achu1247	0.4839048073825	1.05853304525242	-1.41198425	2.89103975
achu1248	0.0590228903355	0.93396703460371	-1.75414025	2.03912
acol1236	0.0723566636825	0.96091805696057	-1.89071975	2.09005725
adan1251	-0.583902642558	1.01998160817025	-2.92540825	1.18941425
adny1235	0.21492354794004	1.01730474107645	-1.844001	2.5422615
adon1237	-0.37679966218876	0.969870012033118	-2.51302475	1.46935425
adze1240	0.58801924346	0.855629397681603	-0.926692125	2.4444915
afar1241	0.56222199018995	1.01670804466862	-1.29347025	2.71012725
aghe1239	-0.1625080011945	1.00736923689186	-2.2634195	1.81973425
aghu1255	-0.23200723320865	0.933989044410336	-2.3059815	1.4868145
agob1244	0.539388683872	0.912823102003353	-1.116256	2.53525975
agua1253	0.1849236862385	0.980549576613553	-1.64463725	2.38823775
agus1235	-0.035711196549	0.934686291557654	-2.053908	1.856348
agut1237	-0.4594741771055	0.929284686421528	-2.59466825	1.20836275
aheu1239	-0.1739629750225	0.975115526127218	-2.2720475	1.804667
aime1238	0.631636980995	0.929163456578379	-0.96648245	2.805164
ainu1240	-0.5565440621955	1.06462886472281	-2.96555775	1.271014
aito1238	0.78799757611	0.9706859682892	-0.790898025	2.9268655
ajab1235	-0.047097964076	0.999094934308091	-2.2072365	1.95080125
ajas1235	0.044044966925	0.952860182773384	-1.89962775	2.0990705
ajie1238	0.3263442045249	0.979685415384156	-1.49505075	2.427346
akei1237	-0.395249609048	1.00045360736228	-2.59466125	1.4668085
akha1245	-0.95626321947	1.02211267086266	-3.4160415	0.619051049999999
akoo1248	-0.1831698199655	1.04216041774833	-2.51961	1.75831725
akun1241	0.277276797147	0.965348614676313	-1.62804175	2.529392
alab1237	-0.5043057948835	1.01705622823989	-2.772561	1.3355325
alab1254	0.6760497724515	0.948703940070161	-0.8182072	2.8965825
alac1244	-0.3470617434466	1.00668499644785	-2.58432175	1.53798275
alag1248	-0.5029788071305	1.01045717676135	-2.9551065	1.300524
alam1246	0.4961659495365	0.875250527780703	-1.0935135	2.426972
alba1269	0.4382938816695	0.959882315200557	-1.25897375	2.7129475
aleu1260	0.378514924152	1.01547851131111	-1.529125	2.719727
alor1247	-0.5773457400435	1.01714288571087	-2.8585735	1.18988225
aluk1238	0.03951395650345	0.952835545203495	-1.98711825	1.99014999999999
amah1246	0.0315043169135	0.972157269355802	-1.933798	2.090899
amam1246	0.3020631797785	0.868411095726698	-1.342437	2.1923295
amap1240	-0.176092912938	0.852365679890165	-1.91231575	1.484972
amar1272	-0.086913025268	0.952952827190995	-2.09324875	1.83341975
amar1274	0.2886929616795	1.04888632321267	-1.807084	2.56893199999999
amas1236	0.2631863652705	1.00694442375714	-1.64724225	2.43440475
ambu1247	-0.2329020588657	0.87848821910866	-2.15589775	1.45106175
amdo1237	0.140250286363	0.929782540424907	-1.6946035	2.056923
amha1245	1.01760465276445	1.09939761527364	-0.608677225	3.57420025
amii1238	-0.1291581858065	0.977137275952865	-2.20264	1.8142775
amis1246	0.6752105828915	1.01219210099841	-0.98038875	2.89135
anei1239	0.7482982225385	1.00442660056687	-0.8822292	2.91934674999999
anem1249	-0.19872174611715	0.936111819978776	-2.23117525	1.68678325
anfi1235	-0.4291925798204	0.961566396881694	-2.52739975	1.2650995
anga1288	1.074425829142	1.08946776724376	-0.610543675	3.50573875
anga1290	0.658393932893	0.913066033421824	-0.913941525	2.6377565
ango1257	-0.52467648034007	0.945980522417285	-2.61627875	1.118606
anin1240	-0.26503783807525	0.958493763219965	-2.341311	1.66228075
anut1237	-0.062133940571	1.02656859147618	-2.25388	1.93454225
anuu1241	-0.22455539465095	0.833435512469704	-2.045054	1.45998425
aona1235	0.6592594909735	0.92887355069134	-0.947400975	2.71002025
aoua1234	-0.27332567749095	1.01574387546873	-2.45536075	1.66722675
apin1244	-0.247758262214	0.947278363386024	-2.40203525	1.566004
apma1240	-0.381383918736965	0.961388275916794	-2.52129425	1.36143325
apma1241	0.3731618327065	0.813209120017268	-1.21719775	2.0658715
apur1254	-0.283543226028	0.971952517942742	-2.48133575	1.47476725
arak1252	-0.440688351014	0.994227403151371	-2.621118	1.41635325
aram1253	0.520134986335	0.972588710399719	-1.2388805	2.73714925
arao1248	0.128198027976	0.992125228008628	-1.908357	2.276348
arap1274	-0.185740380907	1.01774280599142	-2.34822825	1.8288265
araw1273	-0.1816878009655	0.988803743437665	-2.2322995	1.77520775
araw1276	-0.4195794025625	0.953233265574706	-2.538942	1.30963225
arch1244	-0.18574189827595	1.02374163972527	-2.4055665	1.85918075
area1240	-0.144960715012	0.973585823006627	-2.19444475	1.76802325
aree1239	-0.684740583086	1.02338375532534	-3.00113225	0.966589474999998
argo1244	0.899005853689	1.13478050579239	-0.890040175	3.63509725
arhu1242	0.95976458839535	1.03115922434959	-0.67333765	3.2366245
arig1246	-0.002052645403	1.0367225917599	-2.13431075	2.14277225
arom1237	0.77005725230615	1.03716483881982	-1.00901725	3.1030315
arop1242	-0.1252392971971	0.872566089795545	-1.955118	1.63020875
arop1243	0.2841511334365	0.918248535825214	-1.43391175	2.28555575
aros1241	-0.124749259963	0.982527701925615	-2.35138675	1.74951425
arta1239	0.6463267497895	0.919491850916682	-0.9979769	2.6731655
asha1243	-0.38590656292	0.954128136413713	-2.51901475	1.39862325
ashe1272	-0.439600779534	0.991560564641855	-2.68426675	1.38868375
asoa1238	-0.1652958120185	0.957179071515077	-2.19394375	1.78046825
assi1247	-0.273344181255	1.03185910457705	-2.52062925	1.747759
asur1254	0.185412448893	0.930746124284854	-1.753263	2.12433225
asut1235	-0.104674242038	0.995191481473235	-2.13505275	1.86008774999999
athp1241	0.4166533166915	0.887473316083917	-1.1992625	2.3478365
atii1237	-0.173134455253	0.951216005310621	-2.2807365	1.741737
aton1241	0.603845692875	0.990332580747729	-1.04653325	2.787785
aulu1238	-0.3458861708425	0.909287826642705	-2.39344025	1.272871
auuu1241	-0.183592752967	0.844193357396712	-1.96582675	1.59549075
auye1238	0.21855988074405	0.939093214210819	-1.619174	2.30128174999999
avac1239	0.71952882653155	1.08420896559668	-1.0461485	3.24184075
avat1244	-0.058415395233	1.07294199041096	-2.33442525	2.08398125
awac1239	-0.192311820466	0.949116616562314	-2.09889425	1.721905
awad1243	0.524719956056	1.02119255844941	-1.353836	2.83333775
awad1244	0.2323416995255	0.843129523055677	-1.431286	2.08566275
awap1236	0.4700284370555	0.83627121357974	-1.0028315	2.2685655
awar1248	0.540553403366	0.85301792248782	-0.9078732	2.44031325
awar1249	0.0775929180066	0.808958760723045	-1.48193	1.7636885
awet1244	0.8784592731	0.99108018266683	-0.771675425	3.03147625
awji1241	-0.1203522525925	1.00094475282861	-2.39713375	1.837444
awtu1239	-0.0863698822175	0.826257808477899	-1.7461475	1.6492975
axam1237	-0.29760653508655	0.898210797714859	-2.27044	1.3368155
axiy1235	-0.507158402858	1.02107248631239	-2.8329525	1.375727
ayac1239	0.05419225482445	1.01423209836705	-1.9374455	2.287883
ayiw1239	-0.126326643459	0.969465929297643	-2.32111975	1.82400825
azha1235	-0.564689506719	1.03696357519518	-2.87582825	1.29488
baba1264	-0.1823215127275	0.987451111598314	-2.24154925	1.82737825
baba1266	-0.185572114902	0.997471987079459	-2.3966265	1.8477715
babi1235	-0.11811880595945	1.01022482665247	-2.284505	1.902933
bada1257	0.0313318021495	0.963010792962504	-1.92402175	2.04269875
bafa1247	-0.184014124048	1.04307361735866	-2.6079265	1.77144
bafi1243	-0.134332594935	1.02883623552778	-2.38032475	1.87715175
bafu1246	-0.172322964747	1.00282674609576	-2.34129375	1.9146765
baga1272	-0.078914067535	1.06815898208559	-2.3732965	2.205801
baga1273	-0.08177721565	1.05257613396245	-2.47742175	2.01810175
bagi1246	-0.3471985546385	0.973411252417938	-2.47641675	1.522185
bagv1239	-0.36147487561935	1.0094721500502	-2.6582895	1.46097025
baha1259	-0.1043874485125	0.992985445227681	-2.142714	1.776652
bahi1252	0.7720288629025	0.926627282277195	-0.7097227	2.82242625
bahn1262	-0.3043384631905	0.929211652441809	-2.36369175	1.44421975
baik1238	-0.4420769302195	1.04964989927887	-2.8003165	1.42429075
baim1244	-0.346824339404	0.97259383015991	-2.5836365	1.400607
baka1272	-0.071766442514	1.00865385407186	-2.23367725	1.91892249999999
baka1274	-0.107618912978	1.00586773625947	-2.21141175	1.795416
baki1244	-0.1042550323075	0.882824947852152	-1.98144775	1.62253075
bala1311	-0.0850209553455	1.01580397396525	-2.216004	1.983477
