Estimate	Est.Error	Q2.5	Q97.5
abad1241	-1.5591250276368	1.82179935327334	-5.13728162296584	2.07181571690371
abar1238	-4.00455721270315	2.17777322999911	-8.37244150364834	0.156768514985236
abau1245	1.71404457305894	2.19041572360017	-2.51069903519544	6.17784987217175
abee1242	-4.07252387392972	2.1336070961504	-8.35524851627372	-0.0655053942193548
abkh1244	0.37699469296351	2.46723844235382	-4.58404752335929	5.34821894479786
abua1245	-2.09873232948609	2.79250670638085	-7.91335251750971	3.12747753434046
abui1241	-3.8190052368271	3.06696713989748	-10.1719900921763	1.52893312917262
abun1252	-0.551964831911055	3.02153377476952	-6.67558362421701	5.287676080062
acha1249	0.174060802121296	1.82654812373624	-3.40985392691165	3.77639295932879
acha1250	0.269479178827718	1.890644626934	-3.33031079352152	4.05100158257613
ache1245	-4.93118475137534	4.29460613067853	-14.4524859709405	2.23932194766277
achi1256	-1.62738038819169	2.3453242411583	-6.57388113149664	2.85388580061604
achi1257	-1.43525541688086	1.87184538585174	-5.08977654339545	2.16016467148489
achu1247	1.96142118501584	2.47037957028193	-2.67628999344167	6.94651875195331
achu1248	3.07135123435597	2.26720122022716	-1.10920053592799	7.8394127923932
acol1236	-1.25468825869884	2.17260071328262	-5.66552252542653	2.83502619445696
adan1251	-3.83230853131122	3.09323389350526	-10.344153224476	1.8124050020485
adny1235	3.92268039844055	2.28363621055072	-0.352884643018606	8.52480051155121
adon1237	-1.54355869286169	1.94682997610123	-5.38827922419817	2.27788811288481
adze1240	-1.75074796532958	1.88531180698024	-5.45501451137861	2.04929930426044
afar1241	1.20807259231803	1.74868763130533	-2.14467546613795	4.73291496794974
aghe1239	-4.08071808683386	2.16937219253611	-8.40689979617668	0.0793252759146143
aghu1255	-0.44690842838652	2.05541164973676	-4.56426295398139	3.51971923766654
agob1244	3.27131561569696	2.70399936594658	-1.67661035158229	8.9742294159392
agua1253	3.04459389633987	2.26485517973479	-1.18307327455945	7.78797708751364
agus1235	0.1357375438972	1.8548018496688	-3.44148526656635	3.80343685462458
agut1237	-0.513554836885576	1.91845428568213	-4.25483014188807	3.37765208296407
aheu1239	-1.28677664999416	1.92390173610041	-5.04636736222499	2.48509776712236
aime1238	1.00950266508239	2.38162007984729	-3.68713911328917	5.7654257152285
ainu1240	-1.55157871092058	3.35887972956352	-8.9065458234419	4.49298806806417
aito1238	-4.65998983589627	3.11622642867959	-11.4039411757933	0.698527005203155
ajab1235	-4.06935247059897	2.1189775670575	-8.33784282694364	0.00437179771165396
ajas1235	-4.85989272890556	4.49148503501786	-14.9844781582626	2.48587072292391
ajie1238	-1.10708501919219	1.89834752995	-4.75553936316336	2.68210127216801
akei1237	-1.50224949456029	1.88320184673446	-5.17224522203876	2.31029954518052
