Estimate	Est.Error	Q2.5	Q97.5
abar1238	-0.4570617005955	1.81782292479085	-3.8791195	3.3874205
abau1245	-0.41983991943	1.92413392457231	-4.45336225	3.27182649999999
abee1242	-0.614472528315	1.76254850371293	-4.00829725	2.9526485
abkh1244	0.2298436363645	1.83351909664877	-3.37914125	3.986125
abua1245	-0.808228121595	1.83312977111163	-4.784674	2.703622
abui1241	0.662552071004	1.92446904862362	-3.129992	4.56914749999999
abun1252	0.4888507109114	1.84985018422299	-2.99993125	4.1939675
acha1249	0.69091387857	1.73117717298426	-2.71509625	4.14839525
acha1250	0.92902391751895	1.91956132872264	-2.79044225	4.73090775
ache1245	0.45714807932	1.99620848589975	-3.45306425	4.37433675
achi1256	-1.29016483922	2.11834060521569	-5.85141425	2.78456875
achi1257	-0.205415470615	1.74924998549034	-3.74090325	3.31288474999999
achu1248	0.63661095065	2.04278373077551	-3.29580225	5.093838
acol1236	0.92843605887	1.84463137487261	-2.57944875	4.88943475
adan1251	0.80197912721	1.9196981200423	-2.89887625	4.58917625
adon1237	-0.1517789036	1.78554110753079	-3.67620675	3.46252074999999
adze1240	-0.2791279141686	1.74601814324771	-3.863818	3.120413
aeky1238	-0.489337548121	1.87373433441244	-4.217233	3.24684625
afar1241	1.720030275929	1.75339394998568	-1.60641775	5.51731625
aghu1255	0.185873606195	1.81029578893935	-3.6010525	3.757974
agob1244	-0.08466692027	1.94438869288916	-3.8181795	4.09927475
agua1253	0.630301029065	2.02245939442413	-3.33698725	4.86857475
agut1237	0.35766605082	1.79987453850246	-3.223088	3.9182205
aheu1239	1.087815250825	1.78595346745907	-2.33252725	4.875288
aime1238	-0.213799207975	2.01455906741075	-4.490831	3.64666074999999
ainu1240	-0.1969401202	2.10811484379942	-4.580134	4.026894
aito1238	-1.31631950444	1.85917227513962	-5.1412655	2.25822
ajas1235	-0.624926742215	2.29981205422286	-5.2520585	4.0003815
ajyi1238	1.0602483690175	1.92422222457651	-2.88049475	5.02962474999998
akei1237	-0.3988109035855	1.77270774890075	-3.91075925	3.16639275
akha1245	0.440752551825	1.73331108579519	-2.89505775	4.03364
akoo1248	-0.05932930077	1.77625794521864	-3.43548975	3.64145825
akun1241	-0.087591537245	2.03916874610281	-4.16139775	3.86350725
alab1237	0.505371797099	1.9249181805142	-3.26141825	4.31956
alab1254	1.612756969428	1.74563912123138	-1.5691635	5.24367925
alac1244	0.37721596201	1.97074080139098	-3.69994675	4.2436395
alag1248	1.512114234725	1.75836948071054	-1.80006225	5.08483775
alam1246	0.321643690056	1.89490801392802	-3.461967	3.97977075
alba1269	0.32562170133635	1.7458725466271	-3.120246	3.955527
aleu1260	0.52741569274	2.05424168587069	-3.53808525	4.64300274999999
