Estimate	Est.Error	Q2.5	Q97.5
abar1238	-0.7778311911155	0.914675385829698	-2.7570205	0.917805975
abau1245	0.455234126455	0.78506526331662	-1.05800775	2.07251575
abee1242	-0.1309631518905	1.00055991644027	-2.19715475	1.827895
abkh1244	-0.36855365160995	1.0140113371831	-2.49582125	1.60554375
abua1245	0.0831174026465	0.781931893020306	-1.5376605	1.59900525
abui1241	-0.423538806411	0.861777131166909	-2.1518855	1.221319
abun1252	-0.3336085416404	0.94253234451895	-2.20677275	1.468438
acha1249	0.337035288335	0.807173278518337	-1.291619	1.9806105
acha1250	-0.547562322423	0.998974744134635	-2.718076	1.28899575
ache1245	-0.5398970606365	0.98887773597904	-2.55757525	1.40461525
achi1256	-0.7219507710805	1.07260773045285	-3.13239575	1.12829325
achi1257	-0.10220449685	0.938667853351474	-2.04288475	1.83758675
achu1248	0.341909310657	0.941085652142932	-1.42550725	2.29288925
acol1236	-0.2318101869205	0.948714921700695	-2.20076525	1.58709075
adan1251	-0.3449314920815	0.850239758592801	-2.07495925	1.29247175
adon1237	-0.187691053891	0.832063231159198	-1.83038975	1.3864
adze1240	-0.9052223768975	0.781568442043193	-2.59318325	0.46279285
aeky1238	-0.737402802408	0.918374765948522	-2.6245445	0.909688124999998
afar1241	0.5132896511315	0.972478347296219	-1.29808575	2.53446675
aghu1255	-0.734303240685	0.997429434653407	-2.882261	1.10163125
agob1244	1.31154685062	0.962662098883416	-0.426779525	3.43383375
agua1253	0.690234040212	0.996057392535791	-1.1671515	2.780434
agut1237	0.5050276154955	0.998416223258604	-1.444125	2.49067075
aheu1239	0.43094396345195	0.943684239149918	-1.3406085	2.3412895
aime1238	-0.536334341775	0.911168876851139	-2.46076275	1.127528
ainu1240	-0.431098353253	0.982134941687026	-2.45636175	1.44785525
aito1238	0.552543335775	0.837472949542835	-0.975032725	2.179111
ajas1235	-0.4377032569195	0.99316186815191	-2.5115455	1.4434685
ajyi1238	0.4453258870985	0.915871495567018	-1.34563875	2.48051825
akei1237	-1.3195017068465	0.920783039737977	-3.194809	0.2517034
akha1245	-1.075182394224	0.808958675974079	-2.7912325	0.382524999999999
akoo1248	-0.023394357585	0.925775186561805	-1.88808725	1.7390915
akun1241	-0.0904645864415	0.905765562396946	-1.8976855	1.64086425
alab1237	0.4117779831175	1.00064295923341	-1.55500375	2.49612175
alab1254	-0.012585356972552	0.923676045608267	-1.87223175	1.80876375
alac1244	-0.89547718198165	0.930579874750113	-2.862979	0.8189565
alag1248	0.269562744452	0.895990598260009	-1.45051875	2.10050275
alam1246	0.2880312059655	0.808369130415641	-1.27565325	1.91148825
alba1269	0.3634409144775	0.930525426420035	-1.50339325	2.26876425
aleu1260	-0.43614993236795	1.03484895085855	-2.6251935	1.59333575
alor1247	-0.322811539791	0.840369741008763	-2.090715	1.26409675
alya1239	0.4439740079535	0.990956793608425	-1.4506875	2.522139
amah1246	-0.06880200036905	0.943214605533878	-1.97121175	1.8911325
amam1246	-0.6352090975525	0.815061905973232	-2.31372	0.876909599999999
amap1240	0.350389544469	0.795928338705298	-1.14220475	1.9580605
amar1272	-1.235623010975	0.925409556176614	-3.24367125	0.415412625
ambu1247	0.1215318566475	0.775299125419002	-1.512597	1.65483525
amdo1237	0.61004398319	0.969194629354594	-1.2385	2.64285325
amha1245	0.237309675235	0.97916194054083	-1.6672775	2.31068275
amii1238	0.27546543921	0.946701305237823	-1.58008575	2.2354495
amis1246	-0.2181362355235	0.800615593982691	-1.87965875	1.32021375
amri1238	0.5491122653785	0.815851409532063	-0.915122375	2.1970905
ando1256	-0.6549246792055	0.998055346068636	-2.707385	1.1604
anei1239	-0.82131034546	1.00316445769707	-2.97208325	1.0279145
anem1249	-1.227253920345	0.888576429433282	-3.14545325	0.330612424999999
anfi1235	0.353256799725	0.943094922667728	-1.464829	2.21529675
anga1288	-0.28327447727255	0.790249712291091	-1.95935725	1.274281
ango1257	-0.55591233888	1.01514023746592	-2.67904075	1.3795625
anin1240	0.370816807107	1.02398245880439	-1.554677	2.40863225
anuu1241	-0.443827243239	0.883646744783125	-2.231542	1.216972
aona1235	0.0328423409855	0.775258112491599	-1.4693675	1.589929
aoua1234	-0.4757538080768	0.998235241365367	-2.5757765	1.3348755
apin1244	-0.196571135988	0.980035841207564	-2.1988595	1.7278835
apma1240	-1.44164003192	0.922243956615201	-3.411786	0.150753175
apma1241	-0.2689830086095	0.787655708536373	-1.950241	1.199856
apur1254	-0.156015647454	0.91764933903055	-1.942733	1.67475375
arak1252	-1.40139997264885	0.900713698884007	-3.3196685	0.143826699999999
