Estimate	Est.Error	Q2.5	Q97.5
abar1238	-0.582171644144889	1.1417918983303	-2.77692227311351	1.70601105073772
abau1245	-0.780395768141775	1.56653343856371	-4.02648350154211	2.15258336416531
abee1242	-0.65154024777663	1.09809767736697	-2.834562796144	1.50118056425051
abkh1244	-1.46125751388025	1.87830486668709	-5.45736964313459	2.03659214394686
abua1245	-0.902310723853843	1.57745038357989	-4.11963336306882	2.04717722650333
abui1241	-0.286792357592786	1.66235217830092	-3.58712919322128	3.03487028456206
abun1252	-1.16639708027676	1.83923058709337	-4.88821448492321	2.28587614745295
acha1249	-0.10404150984512	1.23688798093455	-2.54672517579326	2.37454700720648
acha1250	0.382623563698206	1.56450466592478	-2.75285390461409	3.44266295954645
ache1245	-1.71057052111868	2.27493639909174	-6.72604621098318	2.2029548733405
achi1256	-1.71539428208539	1.7422160335529	-5.32918725052499	1.58584955790246
achi1257	-0.628676457022837	1.23322711062878	-3.11196747932438	1.71377351714656
achu1248	0.575047636865896	1.68620666457624	-2.80701647955884	3.94790686388357
acol1236	0.726577340350749	1.24283147899152	-1.69421839200196	3.18460513593869
adan1251	0.00583130247322965	1.64695343331769	-3.13406988524995	3.38219854449501
adon1237	-0.557284844376897	1.26001406827899	-3.08137822401713	1.86690718975974
adze1240	-0.650978000347471	1.29132804682576	-3.28987164024907	1.78885121104718
aeky1238	-1.3476396012128	1.83361079731843	-5.08144995748362	2.20316370850136
afar1241	1.52287427618712	1.07672632224904	-0.519429515008031	3.69632768352803
aghu1255	-0.329606424721976	1.43602422394312	-3.29387068677085	2.38949453266179
agob1244	0.472715523822438	1.77558324350196	-2.98739525917209	4.06739351867946
agua1253	0.579578981353826	1.68583867049032	-2.73860487775931	3.92001858295382
agut1237	-0.162760622124353	1.27369779523793	-2.67997758539539	2.35329556831303
aheu1239	0.360103617416231	1.21918625734071	-2.10636033425512	2.72185966928462
aime1238	-1.47242030876699	1.79994213759771	-5.1371555862884	1.89731609221534
ainu1240	-1.31934547855126	2.13441272874062	-5.75380280479507	2.64200811178803
aito1238	-2.46054264922529	1.44391953317989	-5.37570658390311	0.241583835628049
ajas1235	-1.38607566530219	2.23142924803932	-6.21736906832993	2.61098832359485
ajyi1238	0.483984975557026	1.5524624374751	-2.63074769351253	3.5308627217211
akei1237	-0.751270499354943	1.27548299451292	-3.32752006101274	1.65228654411579
akha1245	-0.25269531156397	1.22674542261026	-2.68479514001975	2.15783770854534
akoo1248	-0.227156494800057	1.05574398036219	-2.30613947322201	1.88375006930118
akun1241	-0.383955384746028	1.6481451608456	-3.71296240631894	2.76171060393585
alab1237	-0.10746348655794	1.67904224527616	-3.47391882578209	3.18372561612532
alab1254	1.4336390154691	1.06263249540743	-0.632287974286114	3.6021874337046
alac1244	0.0110076236613411	1.62419511089742	-3.3513636724535	3.12313777201279
alag1248	1.30519361211812	1.0819739093741	-0.723858596927403	3.52205445807076
alam1246	-0.408205557364848	1.55810464755923	-3.51135925542992	2.68573025044787
alba1269	-0.199560012006804	1.25876077348228	-2.72838565695484	2.21872347553403
aleu1260	0.0953637666277403	1.69571652545067	-3.32522867560308	3.43507269480897
alor1247	-0.554846682304441	1.26463514814293	-3.09630714027564	1.88147799756395
alya1239	-2.79049706157134	1.72620723528278	-6.31328066498919	0.431680947068309
amah1246	0.76733556791724	1.56475832789997	-2.41484018973941	3.8624429782388
amam1246	-1.81828262717046	1.81728432882209	-5.62041922028737	1.55621338514778
amap1240	0.624212575441813	1.79631360635934	-2.85327676993112	4.30935456678539
amar1272	-0.705564559593139	1.27937243116787	-3.29809616600571	1.74774163257164
ambu1247	0.649565563302114	1.6451863437975	-2.60121256497628	3.8514755243932
amdo1237	0.171812476528867	1.23799082397718	-2.2438694749103	2.66171642293302
amha1245	1.33450821961953	1.11304533918849	-0.755210413038731	3.56276303821398
amii1238	-0.828253353449912	1.88974591689525	-4.61937499453531	2.81622424663491
amis1246	-0.305873935202359	1.31317118536899	-2.95750782838811	2.21949963103811
amri1238	-0.0437871487618877	1.25186371883071	-2.50166212548131	2.44154576996823
ando1256	-0.333251030713946	1.76464562604155	-3.90337397273421	3.10222408227647
anei1239	-0.723131763696853	1.28652291336275	-3.36680359642715	1.69320408855341
anem1249	-1.03163476971421	1.93083617438751	-5.04272432102265	2.50587522175046
anfi1235	-0.600191562097582	1.30623482771785	-3.19943931491714	1.85696836087169
anga1288	-0.128720217525501	1.26181145339847	-2.61634156160061	2.35215861484708
ango1257	-2.12472945394614	1.68258638072744	-5.6989427311671	0.955256867297452
anin1240	-0.0815731324460497	1.8188494410739	-3.76357433198711	3.59770833807331
anuu1241	-0.335269856791877	1.2843542229446	-2.93477404672395	2.19503404258066
aona1235	-0.0797183578835704	1.2566016969968	-2.52581020615824	2.39267658749582
aoua1234	-2.42524378750959	1.4670517265135	-5.43025962483233	0.385116483760197
apin1244	-1.4579450947008	1.69203098662105	-4.82165750770742	1.76262072149653
apma1240	-0.701539132520181	1.29491280365474	-3.35204514766818	1.73995048279265
apma1241	-1.60672440818771	1.90074371465915	-5.56759372061198	1.9835786431815
apur1254	0.433347135937005	1.56226644687083	-2.75172990463372	3.52999508894258
arak1252	-0.750130416984837	1.27488407654019	-3.3569574677504	1.68449482798582
aram1253	1.22180006717997	1.76424083410366	-2.13873894534346	4.72818164381415
arao1248	1.11727588423423	1.61157165918268	-2.03423004566371	4.34562571096138
arap1274	2.11157472812115	1.68650443561272	-1.07676214842215	5.54740199618172
araw1273	0.0994758180205268	1.61777569045309	-3.22737069743243	3.32190307056159
araw1276	0.646554663193751	1.5787097552391	-2.45920491965161	3.76257309379064
arbo1245	1.41929960496734	1.07002865664553	-0.633181200369662	3.5672014105378
arch1244	-0.605652420398276	1.46031438452521	-3.51829721863656	2.270000149598
area1240	-0.454384182762695	1.26981135120625	-2.94764774671947	1.9667182233325
aree1239	-0.379790656377093	1.28873777072131	-2.96431759363866	2.01864895009918
argo1244	1.26539971323785	1.10643603506309	-0.861681806742739	3.46391906977219
arhu1242	-2.14543178869873	1.68683441212856	-5.68526580347231	0.979077886275949
arig1246	-0.783384871843007	1.11889990471671	-2.96274357913498	1.40677297753506
arom1237	0.123222726207119	1.20153876525269	-2.27467796515932	2.49055845600993
arop1242	-0.680606401648186	1.28352170716412	-3.31845216270574	1.74033371391219
arop1243	-0.73367316345798	1.28580993835629	-3.30535420096026	1.70433326454309
aros1241	-0.509183096815582	1.2717316087828	-3.07588747288081	2.00091520865971
arta1239	-0.255258292194363	1.25512712160713	-2.77914788308589	2.21347131508245
asha1243	0.526039445207992	1.54918606368068	-2.59438544455154	3.52920676829327
ashe1272	0.515755242453191	1.54996503614746	-2.61272048243116	3.53090081303612
asoa1238	-1.26472127431151	1.242786001554	-3.785295349304	1.1270162480559
assi1247	-0.473168959395914	1.70185418712912	-4.00496924874376	2.90057349384826
asut1235	0.120226040459588	1.02041439874427	-1.82384791508126	2.20643827035216
athp1241	0.00704696110507706	1.24478486783174	-2.44034501997155	2.50865465854742
aton1241	-0.203465859537903	1.25641056699619	-2.71020924025987	2.2575077842877
aulu1238	-0.68078136217847	1.28245701016235	-3.27926170721298	1.74843866567338
