Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-46.790997	-46.790997
1	0.950747	7500	-46.083810	-92.874807
2	0.926679	7500	-45.389727	-138.264534
3	0.902980	7500	-44.696671	-182.961205
4	0.879648	7500	-43.998300	-226.959505
5	0.856682	7500	-43.314825	-270.274331
6	0.834079	7500	-42.628432	-312.902762
7	0.811838	7500	-41.958308	-354.861070
8	0.789957	7500	-41.270129	-396.131199
9	0.768433	7500	-40.617387	-436.748586
10	0.747266	7500	-39.943456	-476.692042
11	0.726452	7500	-39.284353	-515.976396
12	0.705989	7500	-38.598990	-554.575385
13	0.685877	7500	-37.948462	-592.523848
14	0.666112	7500	-37.284437	-629.808284
15	0.646693	7500	-36.634232	-666.442516
16	0.627618	7500	-35.988126	-702.430643
17	0.608884	7500	-35.343113	-737.773756
18	0.590490	7500	-34.704182	-772.477938
19	0.572433	7500	-34.075935	-806.553873
20	0.554712	7500	-33.444939	-839.998812
21	0.537324	7500	-32.817790	-872.816601
22	0.520268	7500	-32.186969	-905.003570
23	0.503540	7500	-31.566242	-936.569812
24	0.487139	7500	-30.959299	-967.529111
25	0.471063	7500	-30.346758	-997.875869
26	0.455310	7500	-29.741528	-1027.617397
27	0.439877	7500	-29.130860	-1056.748257
28	0.424762	7500	-28.552082	-1085.300338
29	0.409963	7500	-27.944176	-1113.244514
30	0.395478	7500	-27.345051	-1140.589565
31	0.381305	7500	-26.771895	-1167.361460
32	0.367440	7500	-26.179056	-1193.540516
33	0.353883	7500	-25.607092	-1219.147608
34	0.340630	7500	-25.027487	-1244.175095
35	0.327680	7500	-24.459726	-1268.634820
36	0.315030	7500	-23.903141	-1292.537962
37	0.302677	7500	-23.338922	-1315.876884
38	0.290619	7500	-22.781042	-1338.657926
39	0.278855	7500	-22.229777	-1360.887702
40	0.267381	7500	-21.688170	-1382.575873
41	0.256195	7500	-21.144530	-1403.720403
42	0.245294	7500	-20.619408	-1424.339811
43	0.234677	7500	-20.076392	-1444.416203
44	0.224340	7500	-19.546928	-1463.963132
45	0.214281	7500	-19.022966	-1482.986098
46	0.204498	7500	-18.502502	-1501.488600
47	0.194988	7500	-17.991555	-1519.480155
48	0.185749	7500	-17.497131	-1536.977285
49	0.176777	7500	-16.989973	-1553.967258
50	0.168070	7500	-16.480142	-1570.447400
51	0.159626	7500	-15.993000	-1586.440400
52	0.151441	7500	-15.505958	-1601.946357
53	0.143514	7500	-15.019932	-1616.966289
54	0.135841	7500	-14.540865	-1631.507154
55	0.128420	7500	-14.068524	-1645.575678
56	0.121247	7500	-13.601134	-1659.176813
57	0.114320	7500	-13.144265	-1672.321078
58	0.107637	7500	-12.690841	-1685.011919
59	0.101193	7500	-12.229795	-1697.241714
60	0.094986	7500	-11.790245	-1709.031958
61	0.089014	7500	-11.356176	-1720.388134
62	0.083273	7500	-10.916788	-1731.304922
63	0.077760	7500	-10.488304	-1741.793227
64	0.072472	7500	-10.087207	-1751.880434
65	0.067406	7500	-9.656742	-1761.537176
66	0.062558	7500	-9.260023	-1770.797200
67	0.057926	7500	-8.836077	-1779.633277
68	0.053506	7500	-8.447149	-1788.080425
69	0.049295	7500	-8.063322	-1796.143747
70	0.045289	7500	-7.705951	-1803.849698
71	0.041485	7500	-7.332709	-1811.182407
