Estimate	Est.Error	Q2.5	Q97.5
abar1238	0.195660145317328	1.030864247337	-1.84245912687765	2.20512547583166
abau1245	-0.044376110327711	1.3794658043852	-2.67234128115351	2.72381559806577
abee1242	0.321356537862422	0.997017627174858	-1.65803231095655	2.31113269459249
aben1249	0.26708951916414	1.1322643811971	-1.97339939836721	2.5386064275412
abkh1244	0.868833000067441	1.72187147436122	-2.27819258667395	4.42861334057343
abua1245	0.379063703614945	1.43071761264232	-2.34916889629589	3.31655671364063
abui1241	-0.38541673753705	1.51035692506671	-3.39382842443486	2.63171732953672
abun1252	0.539486954636363	1.6512173137581	-2.552729239043	3.84105316756077
acha1249	-0.413185213625799	1.10117371529185	-2.60741304682963	1.74345650606247
acha1250	-0.454753588058981	1.42221949407381	-3.25939656726438	2.40414044364003
ache1245	1.52116420739186	2.10846013863129	-2.12870587045747	6.24903399524885
achi1256	1.55288288908049	1.61318468909226	-1.39981037797117	5.01329516566931
achi1257	0.448086529944019	1.11172398601472	-1.6958751499789	2.71476025785359
achu1248	-0.814392916147399	1.52545235589283	-4.00047085926728	2.1331022118619
acol1236	-0.557497588548135	1.17943086505836	-2.9047094699103	1.76587189584573
adan1251	-0.610171455724729	1.51829905140505	-3.63697263938894	2.34504755096872
adon1237	0.316514724398216	1.12806111672472	-1.86534608323636	2.61406886088722
adze1240	0.383116507192825	1.12895657608098	-1.8284135402383	2.65364460012214
aeky1238	0.782681886837685	1.61785288725163	-2.29519807127605	4.10710933908791
afar1241	-1.51132915872099	1.01123894114377	-3.57345910017123	0.365824343183648
aghu1255	-0.482086431668015	1.25861223297876	-2.86207393354828	2.06660389005514
agob1244	-1.03752533933317	1.59299126717569	-4.32144100138441	1.98290313820191
agua1253	-0.810736190985869	1.52894538268783	-3.97606342510376	2.16048805306723
agut1237	0.165664571627963	1.15220220386579	-2.1351980831398	2.43023285753428
aheu1239	-0.331623099443698	1.13356269711312	-2.59221788947595	1.85583572725109
ahin1234	0.401858222892142	1.14315373798037	-1.82747359774526	2.68694142544162
aime1238	0.613266444628573	1.67110514583216	-2.51914913186878	4.08182568530048
ainu1240	0.710462020181468	1.94198453271931	-2.86824447910093	4.80698783272546
aito1238	2.02450392059428	1.34146832043033	-0.456247381065843	4.75038095412541
ajas1235	1.11888914632052	2.12013386941478	-2.63193662190496	5.7684432407799
ajyi1238	-0.434498577000704	1.4210117837241	-3.25170367698126	2.44519274653607
akei1237	0.46710386180529	1.13438734780402	-1.73388454346196	2.73962133019931
akha1245	-0.252963591879971	1.09964172227054	-2.39613734026673	1.92453076347178
akoo1248	-0.137414190866456	0.940976550384689	-2.09770410453326	1.69065539194953
akun1241	0.525840850058102	1.51739361913946	-2.49916619163354	3.51811039425969
alab1237	-0.435250944336583	1.49565188893868	-3.49663352597796	2.41837629726486
alab1254	-1.43953712096208	0.98167064705216	-3.4206973509227	0.424929188637138
alac1244	0.201074836670038	1.49995839755358	-2.71764816806268	3.21987324583549
alag1248	-1.28546120026911	0.976872514000604	-3.27987928374466	0.591491100118468
alam1246	-0.314747063196152	1.38251765260259	-2.9278963810791	2.48917306105817
alba1269	0.30804652454099	1.13877441487841	-1.92503514402389	2.54272748264565
aleu1260	-0.215309620184962	1.54766645305692	-3.28298583320314	2.86832927822202
alor1247	0.309208408794311	1.13615058390836	-1.87580036558933	2.58640730369882
amah1246	-0.97654791451901	1.46428561153931	-3.94686443360616	1.85858665086588
amam1246	0.92820752668914	1.63322295767122	-2.10234135470892	4.20612189764012
amap1240	-1.11588052473582	1.63066265580111	-4.42103712111628	2.0440656951727
amar1272	0.418501699454383	1.15150286852297	-1.83363099313991	2.77203057959718
ambu1247	-1.0830286853685	1.4682997315755	-3.95729340016104	1.80922995781982
amdo1237	-0.698534273038492	1.10594557655498	-2.9358837540649	1.44397647405464
amha1245	-1.28146054014416	1.02187860650292	-3.41395906543694	0.668103018015764
amii1238	0.853996576882412	1.63764957568379	-2.17880465392696	4.27017736169911
amis1246	0.242880128197316	1.18233103141574	-2.08890264829481	2.62299551729339
amri1238	-0.620741453958027	1.16463420318334	-2.9572754276852	1.58715385426929
ando1256	0.0967791808935592	1.57718843422243	-3.02255403914871	3.23683936844711
anei1239	0.472964944047125	1.12494777006498	-1.68153028117093	2.73148167433878
anem1249	0.506720769621763	1.71341522959962	-2.82936453694747	3.97315010855532
anfi1235	0.298027991044314	1.20602514141944	-1.99575590651518	2.81424139742135
anga1288	-0.503568416610854	1.14291341218614	-2.80259634742343	1.76321276415292
ango1257	1.53182215360469	1.56065124531807	-1.42103338120672	4.75043426767794
anuf1239	0.317716900305293	0.985358102341751	-1.62215203608118	2.30157710202713
anuu1241	-0.237071719980429	1.17417598047631	-2.51863186847584	2.15659846482615
aona1235	-0.543737554026282	1.14753959002276	-2.85847990511046	1.68686728071522
aoua1234	1.99689303919003	1.36798693385047	-0.56788648177221	4.88272190245877
apat1240	-0.0308098604306526	1.11190561121473	-2.22043816962431	2.21761487393108
apin1244	0.915386306180965	1.52516208810441	-1.98661228941093	4.0021287217181
apma1240	0.425111563454317	1.1313422552671	-1.83288232762648	2.69501796083946
apma1241	0.872298048254265	1.71292955674949	-2.36853057179738	4.43521614129865
apur1254	-0.4360951902346	1.42872126874547	-3.24432499911178	2.43637928897416
arak1252	0.469010353540095	1.12712946469311	-1.71669439061162	2.7737521609375
aram1253	-1.59653477887554	1.58439349695124	-4.88907070522828	1.34190447665181
arao1248	-1.18760495081918	1.48612694829447	-4.25694412023812	1.67610268062187
arap1274	-1.70653150828534	1.52484561351256	-4.83866769256343	1.14137128020737
araw1276	-0.647884161301909	1.43973286155774	-3.600162668555	2.14289261464768
arbo1245	-1.43535776848697	0.992090071511793	-3.42278134511786	0.450593021927401
arch1244	0.0161497478740764	1.32759823554027	-2.5723815975076	2.65337862966095
area1240	0.190086623294465	1.13099854946545	-2.01772457923979	2.4747965783732
aree1239	0.15749482192127	1.13605485628611	-2.05615100262573	2.37244962683421
argo1244	-1.2331433007314	1.01750157487525	-3.31725245867161	0.684246806463773
arhu1242	1.54256974546858	1.55229035815046	-1.329821077386	4.69504509965211
arig1246	0.384820366535702	1.016980408292	-1.64018217773088	2.42805658314786
arom1237	-0.285411684697988	1.12026633819621	-2.50230529311007	1.98262458665278
arop1242	0.400782066107165	1.14171877013334	-1.79309972575583	2.73805365591345
arop1243	0.441845287231181	1.13698498216921	-1.73263873977534	2.7884795223932
arta1239	0.264937788674594	1.13059958432287	-1.99081599479203	2.48345352087628
asha1243	-0.461868452890878	1.42153930797808	-3.26258373685894	2.36976370642727
ashe1272	-0.453448564160342	1.41652128633537	-3.23830203169433	2.37135463307129
asoa1238	0.938162930873704	1.18155957757299	-1.30664576035605	3.29965994588209
assi1247	0.155460541834448	1.52424867571218	-2.79966759972516	3.15004260382347
asut1235	-0.498450300082317	0.937172791152108	-2.4538759404624	1.25756219286029
atam1240	0.262807636990349	1.13643572302766	-1.97008549230696	2.50524728337508
atay1247	0.307157208200803	1.20421549663909	-2.06273129963419	2.67080288100324
athp1241	-0.583797385968162	1.13881226657735	-2.8858103095568	1.59331222242901
aton1241	-0.259628378544467	1.12611949116713	-2.50471839120761	1.93263116774112
aulu1238	0.416489083116212	1.12647166511251	-1.81463855698118	2.67478737907972
auuu1241	0.152950073915821	1.44982379269811	-2.64498897899158	3.10588600095024
auye1238	-1.17040070753726	1.28213963450905	-3.70219688163856	1.3849672795864
avac1239	0.197683797387179	1.49768901932329	-2.81900953263889	3.09558384854328
avat1244	0.325531029737316	0.995468863686409	-1.60869069018527	2.32552598167183
awac1239	0.933492289583373	1.58773980862119	-2.08190052953781	4.1850327421451
awad1243	-0.636008155038567	1.15616824077419	-2.9353554766964	1.63499104085113
awad1244	0.416718489520919	1.14548789937406	-1.83379960377412	2.66613853323212
awar1248	-0.658898118542562	1.28583382781139	-3.1272915175538	1.95368046095715
awar1249	-0.127105768208787	1.60066322407561	-3.23842593036217	3.04931370149943
