Estimate	Est.Error	Q2.5	Q97.5
abar1238	0.95279298432321	0.936585936784887	-0.693145882447328	2.90806317833089
abee1242	0.178333622143657	1.06713663174349	-1.8161840590779	2.38349113982966
abkh1244	0.479607953634817	1.07399310113943	-1.50876116819344	2.75219101630013
abun1252	0.451253366567412	0.993719077915005	-1.44511443165993	2.53551918130283
acha1249	-0.501547749954485	0.898359362872336	-2.3607709248312	1.20476473194958
acha1250	0.495378266498018	1.01892719414439	-1.39353830794311	2.6506767802583
achi1256	0.811692052066377	1.07183874726051	-1.23468398454483	3.02592146658563
achi1257	0.0562693160594971	0.993328748808421	-1.83772924003326	2.04511676272333
achu1248	-0.309585983822265	1.00703333304177	-2.41136612909066	1.53577504788508
acol1236	0.333044967386932	1.03398057999764	-1.6421532960471	2.42513923556468
adan1251	0.0110806674797156	0.92168118358204	-1.78518398313505	1.80218645827272
adon1237	0.0778072228921545	0.895901442097642	-1.69473691963219	1.91252052060276
adze1240	0.937128165492845	0.862135839519176	-0.620750120457042	2.74786043594728
afar1241	-0.481224106802605	1.01809947721278	-2.61532233080705	1.48520936399138
aghu1255	0.746673130068328	1.02272446572874	-1.17828323056607	2.90484482083259
agob1244	-0.944601441671676	1.02586864569862	-3.12968506824055	0.959187706549005
agua1253	-0.601406344281937	1.02351483284447	-2.68907703075522	1.29264317952961
agut1237	-0.573641913054156	1.03359936117746	-2.72780601576955	1.33791058237253
aheu1239	-0.612005911289227	0.991893858321767	-2.66397725771461	1.32947129501709
ahin1234	0.891724447050876	0.842637420687136	-0.65004211446252	2.65907236890313
aime1238	0.386749825157314	1.00367939716902	-1.50939288056657	2.46248263867925
ainu1240	0.368164120498715	1.08147529840793	-1.71675121125306	2.54707385656905
ajas1235	0.402506524022143	1.09511517370407	-1.67080984668247	2.70256936391538
ajyi1238	-0.232001130462468	0.962001008666428	-2.09902799180314	1.68381834434216
akha1245	1.2908440437942	0.906897051357343	-0.38115185743229	3.18133917061113
akoo1248	0.0214730032817988	0.927262532860191	-1.84718108856873	1.85249857225355
alab1237	-0.59700096455399	1.02634581872614	-2.69036064776505	1.36979967341318
alab1254	0.106166008867101	0.928951531293527	-1.74902235258265	1.93607887409535
