Estimate	Est.Error	Q2.5	Q97.5
abar1238	0.904264248869	0.921615863768723	-0.7390977	2.901845
abee1242	0.1488913508595	1.09355563497895	-1.98089125	2.3228895
abkh1244	0.544442938811	1.00525537687437	-1.40314625	2.66127675
abun1252	0.394815520157	1.00333036459592	-1.55589525	2.46333425
acha1249	-0.41641352082335	0.88141906683556	-2.2591705	1.258229
acha1250	0.4436376109335	1.10749213938298	-1.6284635	2.62957124999999
achi1256	0.8334318687155	1.04845085452989	-1.07432325	3.030058
achi1257	0.0621829114811	0.952701995082435	-1.823981	2.0364335
achu1248	-0.304625492045	1.00952885353556	-2.35305125	1.6229745
acol1236	0.47571929015975	1.02907010334599	-1.388427	2.690146
adan1251	-0.0383472748526	0.909284754371708	-1.7990355	1.790589
adon1237	0.0595139106675	0.893270210411699	-1.78362025	1.83876525
adze1240	1.021218884315	0.870989463797655	-0.578149075	2.86907475
afar1241	-0.46579095221	1.01736932142298	-2.595223	1.41162875
aghu1255	0.8620060132385	1.05515073306322	-1.1383075	3.13103925
agob1244	-1.12809741544	1.02285018440877	-3.30826275	0.710916575
agua1253	-0.6150295491113	1.02054795074687	-2.8469745	1.29745425
agut1237	-0.54383486204	1.02026794971626	-2.57043875	1.43535775
aheu1239	-0.65399729841	0.990822640187331	-2.74580825	1.20219775
ahin1234	0.919103509769	0.882860719646791	-0.76891825	2.677562
aime1238	0.47337569731605	0.910043435765808	-1.24935375	2.41430825
ainu1240	0.2870155535715	1.06570658979563	-1.700032	2.4885175
ajas1235	0.367143930503	1.07612866986284	-1.68407475	2.663592
ajyi1238	-0.3304107163195	0.977316761865462	-2.3336085	1.50742625
akha1245	1.3994389613285	0.906784457173603	-0.189533325	3.3886995
akoo1248	0.051322229495	0.9139794371044	-1.74499675	1.815707
alab1237	-0.512027033025	1.07052897517786	-2.82401775	1.4071615
alab1254	0.042662130958	0.950672574609022	-1.76601675	1.9726865
alac1244	0.529576932418	0.918801511005668	-1.2235145	2.353636
alag1248	-0.0395129717815	0.970431801492057	-2.054349	1.86898375
aleu1260	0.453945035258	1.04024343825496	-1.48077575	2.65750174999999
alor1247	-0.01194209082	0.914641640410349	-1.736144	1.8365485
alya1239	-0.27420399811675	1.0073189787346	-2.27876825	1.784223
amah1246	0.394619069639	0.980041770138976	-1.47955375	2.404308
amam1246	0.726260190191	0.879855615260237	-0.936415325	2.57635675
amap1240	0.2882946355515	0.853089493437978	-1.381291	2.01720975
amdo1237	-0.5924662419635	1.0276170976832	-2.743463	1.35896025
amii1238	-0.199623819121	0.999912052089	-2.20457625	1.798202
amis1246	-0.2059082877135	0.923691715106668	-2.0709465	1.6982585
anei1239	0.8123496879285	1.01078565569258	-1.0663125	2.93988875
anfi1235	-0.1406132216335	1.03377073561101	-2.2612815	1.967199
anga1288	0.4169150308875	0.84461884660561	-1.12659875	2.14720525
ango1257	0.486996288785	1.03104826043537	-1.48932975	2.6663705
anuf1239	0.336444126358	1.01104796506519	-1.56578025	2.45811374999999
anuu1241	0.7055611131745	0.926966601803859	-1.02561275	2.6692025
aona1235	0.208342576677	0.838870027906437	-1.375034	1.9537225
aoua1234	0.615602158545	1.05705258211548	-1.39245875	2.84285074999999
apat1240	-0.009371066113	0.960310701488312	-1.921915	1.8427385
apin1244	0.2816852172926	1.06517902664668	-1.79448875	2.5210275
apma1240	1.5866278954025	0.922678169537354	-0.0638580375	3.5058325
apur1254	-0.039184556744	0.981975611915792	-1.98608275	1.83973175
arak1252	1.461451162981	0.904108653763786	-0.127101975	3.303998
arao1248	-0.314892396425	1.02706304761678	-2.4360535	1.5924315
arap1274	-0.4270373735635	1.09606133758842	-2.73200475	1.54306975
araw1276	-0.918826902574	0.96940646021502	-2.96816325	0.759384724999999
arbo1245	-0.29263726392	0.878016553176045	-2.04086625	1.462944
arch1244	-0.660857711549	0.966623115298774	-2.63332175	1.13279025
