Estimate	Est.Error	Q2.5	Q97.5
abar1238	-0.608667721085	1.63737136372579	-3.8727235	2.61026575
aben1249	0.270174941185	1.61711573491926	-3.032389	3.4612315
abkh1244	-0.128526138262	1.78926767715996	-3.9568125	3.37569475
abua1245	-0.25057680746	1.80934360392297	-4.14911975	3.224109
abun1252	-0.31582187689	1.88884219265951	-4.441241	3.15127999999999
acha1249	0.134401814381	1.63937523751099	-3.01650525	3.59111175
ache1245	-0.0630862234125	1.96064518031055	-3.90683175	3.7732905
achi1256	-1.087307598295	1.84502943261979	-5.0183565	2.18129775
achi1257	0.081028347905	1.61319538492512	-3.35649	3.244734
achu1248	0.212140254524	1.77762698984878	-3.367205	3.6507355
acol1236	0.335740523383	1.72976463058253	-3.04224725	3.8455745
adan1251	0.8676121019425	1.92756785627848	-2.892641	4.87450474999999
adon1237	0.0012757608	1.63217010996889	-3.40230175	3.36082524999999
adze1240	-0.073674967475	1.61915144147689	-3.40634025	3.2371165
aeky1238	-0.21084909746	1.85138227367471	-4.08775675	3.23746825
afar1241	1.27124203900015	1.64139540274285	-1.810429	4.87313275
aghu1255	0.76585160602	1.67066831094622	-2.58483775	4.12069075
agob1244	0.584819176439	1.88515972305687	-2.96407725	4.42098924999999
agua1253	0.20068856838	1.80881128735537	-3.540816	3.8256625
agut1237	0.347670871345	1.62731468083542	-3.01588275	3.69738525
aheu1239	0.129008882444	1.59456125627983	-3.15548025	3.4827815
aime1238	-0.204844163109	1.77802415100664	-3.911682	3.17701049999999
ainu1240	-0.8817126329755	2.31452136543305	-5.938886	3.25267875
ajas1235	-0.169431068907	1.94213714931636	-4.1542915	3.6535505
akei1237	-0.193938895485	1.66451504605908	-3.612447	3.0137385
akha1245	-0.0469487137255	1.61903524511751	-3.20519525	3.04645999999999
akoo1248	-0.518109485405	1.66866688582742	-3.72089975	2.9128255
akun1241	-0.3917704255735	1.85524183555588	-4.430779	3.07747675
alab1237	-0.159716274405	1.81314557743209	-3.856341	3.41104475
alab1254	1.166271744808	1.622548338564	-1.88374675	4.50802924999999
alag1248	1.115989116945	1.64344462907172	-2.09467225	4.5109415
alba1269	0.362995298662	1.61607585936794	-2.90825875	3.72094749999999
aleu1260	-0.093714147205	1.83332768126159	-3.99267625	3.4180045
alor1247	0.000891727292499997	1.62354965366798	-3.320705	3.25770425
amam1246	-0.341776812765	1.83221115485813	-4.0731685	3.2082585
amap1240	0.5669086561865	1.81541375933438	-3.098325	4.22605
amar1272	-0.084139475857125	1.63110235199252	-3.482325	3.1191025
amdo1237	0.69651198724	1.63750189196925	-2.33926625	4.18734025
amii1238	-0.0790835803	1.8458928167344	-3.82077475	3.42022174999999
amis1246	0.2194629891515	1.64781746421456	-3.24675975	3.57802225
anei1239	-0.1545323366775	1.62996896073539	-3.52155625	3.0198315
anfi1235	-0.8192286628005	1.77088149235171	-4.4439095	2.642216
anga1288	0.1622381036055	1.63689214719012	-3.079331	3.59651675
anuf1239	-1.01114178618	1.674669909108	-4.397058	2.30285525
anuu1241	-0.219560475217	1.62966896634166	-3.4630905	2.96559425
aona1235	0.2424840063635	1.64089149239201	-2.9024825	3.59485875
aoua1234	-1.27396248519	1.8470876911088	-5.14422275	2.01111725
apat1240	-0.198629084977	1.62717028453866	-3.567733	2.95586675
apin1244	-1.023527821405	1.94047985003012	-5.366124	2.37647575
apma1240	-0.1975741319485	1.65247620851723	-3.6300245	3.0853085
apur1254	0.290323963745	1.78150018623162	-3.41538125	3.812623
arak1252	-0.185817035405	1.67467595512046	-3.57479725	3.224826
arao1248	1.0358072299615	1.82860609336099	-2.372414	4.8691125
arap1274	1.6734722552395	1.84095648670665	-1.82265475	5.55591825
