Estimate	Est.Error	Q2.5	Q97.5
abar1238	-0.957966555057694	1.04057959774902	-3.16170191317293	0.910153432064068
abee1242	-0.243496536366025	1.20092264128882	-2.6652933275224	2.08494707173977
aben1249	-0.0569457077714181	0.931144752213326	-1.89954656557318	1.74571939773048
abkh1244	-0.544431609749153	1.22748159725803	-3.08106275395217	1.8211336093906
abua1245	0.128625044638185	0.998687502439034	-1.83530322651294	2.13828608971799
abun1252	-0.632669879122018	1.15649859190438	-2.97607141020051	1.601273214418
acha1249	0.419107145805657	0.913396853729028	-1.37770158790051	2.22899041209543
ache1245	-0.688696517709684	1.23046858064926	-3.24551549825446	1.56704871611724
achi1256	-1.00937915656998	1.23643654691201	-3.60735629730616	1.28870184843383
achi1257	-0.141510347377075	1.10177982945382	-2.37621467894724	2.02483179573339
achu1248	0.358551307974376	1.1381263626822	-1.79280881028318	2.67536047633609
acol1236	-0.392313335519372	1.13591100358513	-2.75056151150974	1.78946515138081
adan1251	-0.172322509087898	1.03597768966224	-2.18541133455177	1.84500604149459
adon1237	-0.398621928015163	0.968562352504615	-2.39645523967926	1.45243719254319
aeky1238	-0.766030268220773	1.14427987621597	-3.10142365351588	1.35218675932514
afar1241	0.521000569725654	1.17431242997002	-1.68256069374182	2.86272637956689
aghu1255	-1.01077296254501	1.1347826964124	-3.35377356316149	1.1469869439723
agob1244	1.06923179027688	1.14807359824368	-1.07833453084069	3.46540569612217
agua1253	0.714504804491229	1.16581302321094	-1.49742415211028	3.12552384865104
agut1237	0.648339138611862	1.15568620102865	-1.53516823994259	3.02898927280848
aheu1239	0.728628791694464	1.08016375637047	-1.28644298338778	3.0256140274312
aime1238	-0.417492070805445	1.11221044358458	-2.71904213103968	1.66782846836397
ainu1240	-0.445634244895403	1.21639291262523	-2.96307670232909	1.84071593951707
ajas1235	-0.478406702212998	1.25497445943746	-3.04485098665806	1.91739924593226
akei1237	-1.79958790097071	0.986449173105443	-3.86301938734649	0.0473988175187404
akha1245	-1.29327590680906	0.930059692517191	-3.23327124448207	0.403274340611099
akoo1248	0.0841474027835195	1.03798567771232	-1.96711965761238	2.11689722226114
