Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-40.535915	-40.535915
1	0.950747	7500	-39.928241	-80.464156
2	0.926679	7500	-39.318770	-119.782926
3	0.902980	7500	-38.721229	-158.504155
4	0.879648	7500	-38.117361	-196.621515
5	0.856682	7500	-37.524718	-234.146233
6	0.834079	7500	-36.929594	-271.075827
7	0.811838	7500	-36.338752	-307.414579
8	0.789957	7500	-35.752958	-343.167537
9	0.768433	7500	-35.171133	-378.338669
10	0.747266	7500	-34.592101	-412.930771
11	0.726452	7500	-34.016497	-446.947268
12	0.705989	7500	-33.440992	-480.388260
13	0.685877	7500	-32.872534	-513.260793
14	0.666112	7500	-32.303704	-545.564498
15	0.646693	7500	-31.744150	-577.308647
16	0.627618	7500	-31.183221	-608.491868
17	0.608884	7500	-30.625104	-639.116972
18	0.590490	7500	-30.071985	-669.188957
19	0.572433	7500	-29.528025	-698.716981
20	0.554712	7500	-28.977542	-727.694523
21	0.537324	7500	-28.436958	-756.131481
22	0.520268	7500	-27.896010	-784.027491
23	0.503540	7500	-27.360447	-811.387938
24	0.487139	7500	-26.832062	-838.220000
25	0.471063	7500	-26.297834	-864.517834
26	0.455310	7500	-25.768386	-890.286219
27	0.439877	7500	-25.247858	-915.534077
28	0.424762	7500	-24.729423	-940.263500
29	0.409963	7500	-24.216754	-964.480254
30	0.395478	7500	-23.702863	-988.183116
31	0.381305	7500	-23.194475	-1011.377592
32	0.367440	7500	-22.694708	-1034.072300
33	0.353883	7500	-22.195102	-1056.267402
34	0.340630	7500	-21.694985	-1077.962387
35	0.327680	7500	-21.208934	-1099.171321
36	0.315030	7500	-20.723483	-1119.894805
37	0.302677	7500	-20.238947	-1140.133752
38	0.290619	7500	-19.756428	-1159.890180
39	0.278855	7500	-19.280256	-1179.170436
40	0.267381	7500	-18.804893	-1197.975329
41	0.256195	7500	-18.336902	-1216.312232
42	0.245294	7500	-17.876420	-1234.188651
43	0.234677	7500	-17.412397	-1251.601048
44	0.224340	7500	-16.961729	-1268.562777
45	0.214281	7500	-16.503394	-1285.066172
46	0.204498	7500	-16.052305	-1301.118477
47	0.194988	7500	-15.613108	-1316.731585
48	0.185749	7500	-15.178593	-1331.910178
49	0.176777	7500	-14.753579	-1346.663757
50	0.168070	7500	-14.317458	-1360.981215
51	0.159626	7500	-13.882797	-1374.864012
52	0.151441	7500	-13.451772	-1388.315785
53	0.143514	7500	-13.044922	-1401.360707
54	0.135841	7500	-12.632814	-1413.993521
55	0.128420	7500	-12.224389	-1426.217910
56	0.121247	7500	-11.828088	-1438.045998
57	0.114320	7500	-11.428605	-1449.474603
58	0.107637	7500	-11.041245	-1460.515848
