Estimate	Est.Error	Q2.5	Q97.5
abad1241	-1.58659407739426	1.763327066089	-5.37651170404607	1.55105658771253
abar1238	-0.663077159337515	1.96082765769977	-4.79360095654002	2.91912545145666
abau1245	-1.13177805248409	2.082813694163	-5.40263265517649	2.78608628516122
abee1242	-0.251098152543258	2.20699240096551	-4.78614735816361	4.09985901656773
aben1249	1.8392545350779	1.79081571513723	-1.27508950319289	5.75214917691918
abua1245	-1.6147923893307	1.93042619892325	-5.67150646629701	2.0365098151511
acha1249	-0.193681711110979	2.1106828129287	-4.5241461809621	3.87562758056008
acha1250	-0.428481149941463	2.02254338582877	-4.55061149928647	3.43510664161277
ache1246	-0.671696444432749	1.94157248946805	-4.64424638590443	2.95335956769588
achi1256	0.257695672248062	1.87857856951929	-3.54263185966363	3.93559835839728
achi1257	0.0282766152407224	1.81054321306726	-3.70707945494992	3.4181556351925
acol1236	-1.86292482496192	1.8071022630393	-5.6262466546013	1.53040837831843
adon1237	-1.22153465608896	1.75895872427644	-5.05726978051762	1.9252831807138
adze1240	-1.28650002992425	1.53053345184505	-4.45246286577818	1.54592184173663
afad1236	-2.17318456866049	1.8202361375813	-6.09099650648026	1.04948203381392
afar1241	-0.774847944923358	1.92105756459627	-4.77512737013063	2.78675865575605
aghe1239	-0.600040348510996	1.96134048670331	-4.77360525672175	2.97053882467481
aghu1255	-0.457928437775604	2.18445097088719	-4.94396658919101	3.78504454756322
agus1235	2.67738819107186	1.90176133721555	-0.824890516454962	6.69256122081491
agut1237	1.34321651132675	1.95224210234402	-2.11599540193125	5.53467237467764
aheu1239	-0.654927995887464	2.14930398440217	-5.18688764185142	3.42337316434348
ahin1234	1.9644019717464	1.61922838218306	-0.949853302174741	5.3478808109208
aito1238	-0.104568958003498	2.06954041809735	-4.23330164319549	3.87026440038582
ajab1235	-0.139644553439749	2.11248893758462	-4.35912920035788	3.93914133089884
ajie1238	-0.487975402397208	1.45408770202153	-3.23123432497083	2.38340472903263
ajyi1238	-0.83615904776663	1.98182143380094	-4.91820709512533	2.92893537655373
akei1237	-2.37544935966327	1.75902237436475	-6.21503218279549	0.764882489918679
akha1245	-0.584367189132763	2.07001921772696	-4.80959247375602	3.46391782760063
akoo1248	0.471939606714799	1.97731700162411	-3.57960530403219	4.30077810834622
akun1241	-0.746793476042325	1.99924935942414	-4.80455984813358	2.97529987147855
alab1237	-0.243165676365316	2.14144687464944	-4.561391474683	3.81680466042768
alab1254	-1.70323627519066	1.813393635682	-5.70276158536172	1.53433381114489
alac1244	2.05022209497285	1.93038751394968	-1.44462380924992	6.22179733915745
alag1248	-1.45641661790881	1.81050030910583	-5.34617548103887	1.7397732594466
alam1246	-1.34424802867888	2.05164630891308	-5.59626430855618	2.6475221583536
alba1269	1.55176869073556	1.87467620281682	-1.88839630933836	5.48430777652607
alor1247	-1.22997737003291	1.9138127958959	-5.31407983073203	2.24607699299938
aluk1238	-0.397280179176709	2.09317491226481	-4.7013986699583	3.63048467529926
amah1246	-1.71426906688288	2.03249476992967	-6.02853106450706	1.98018981802263
amar1272	-2.49284395009871	1.78034905422553	-6.36921659709499	0.61143773206777
amdo1237	-0.0977300347657648	2.19018582141687	-4.51332097052594	4.10510855369717
amha1245	-1.20365455910254	1.87564610094259	-5.1641681282903	2.18399530360268
amis1246	1.47769969772753	1.56546569545216	-1.4589339312281	4.69101238852211
