Estimate	Est.Error	Q2.5	Q97.5
abad1241	2.2135177434	1.74837857049996	-0.859956175	6.03681
abee1242	-0.276266187456	1.86236140764321	-4.17411075	3.2672905
abkh1244	-1.2804493612705	1.86741777379693	-5.44112675	1.97858825
abua1245	-0.34783647498	1.72723971426503	-3.911349	2.9785945
abun1252	-0.9338508997145	1.80192796421814	-4.78660175	2.417504
acha1249	-0.664691740255	1.82900504375431	-4.652134	2.7024575
acha1250	-0.194844851164	1.93254630857813	-4.2984295	3.48763475
ache1245	-0.2595526720885	1.82795075029492	-3.91912375	3.2480255
achi1256	-0.20279518392	1.88083925528366	-4.26237275	3.6759835
achi1257	-0.068673059021	1.83885975684843	-3.925432	3.4802465
achu1248	1.3174328660635	1.76759764861438	-1.759097	5.0538375
acol1236	-0.7876898924267	1.77958809670197	-4.514882	2.516856
adan1251	-0.46685954507305	1.80887200754188	-4.3860965	2.93681399999999
adny1235	-0.7691936736035	1.78665268285545	-4.46524425	2.71943025
adon1237	0.0634896286285	1.79845942363086	-3.744224	3.79211375
adze1240	0.145594440604	1.50412325923728	-2.8653155	3.12610425
afar1241	-0.7626244223975	1.68116570576384	-4.26690325	2.4078185
aghe1239	-0.143486693395	1.62483419234713	-3.41408425	3.0571725
aghu1255	-0.4628270236815	1.76168170355047	-4.342834	2.927628
agob1244	0.16427802273	1.76805714328983	-3.368886	3.59568425
agus1235	-0.1573562816975	1.82409821970082	-3.87163375	3.35838025
agut1237	-0.098803281875	1.90686498687241	-3.94812725	3.6357985
aheu1239	-0.12536695268961	1.89593488361597	-3.86252125	3.65962525
aime1238	1.476190054555	1.64672900579641	-1.424307	4.9779385
ainu1240	-0.24800078784	1.93834095567399	-4.36476375	3.52654125
ajab1235	-0.572078373799	1.8298389827241	-4.429034	2.7840195
ajie1238	-0.434219122655	1.89166483660338	-4.4440955	3.32373325
akha1245	1.450137887295	1.64473198364135	-1.47506125	4.93607975
akoo1248	-0.37106479613	1.89821842029491	-4.03445475	3.16165275
akun1241	-0.7019117219815	1.86502332517958	-4.67058	2.70992325
alab1237	-0.2400442739765	1.95924325570337	-4.42474125	3.63654825
alab1254	1.0664513023955	1.54100409386613	-1.81489825	4.31050725
alag1248	-1.113235836002	1.75326700111251	-4.9198125	1.94519
aleu1260	1.182093793595	1.79829221180734	-2.18243375	5.2100245
alor1247	-0.4347182394245	1.81879143344144	-4.34269	3.0416345
aluk1238	-1.2481783930795	1.70190896404938	-4.8977675	1.882661
amah1246	0.4134675718965	1.73195920883048	-2.8719845	3.74726475
amam1246	0.64296483324415	1.52064909042385	-2.488746	3.6729975
amap1240	-0.3263467066435	1.60453581226157	-3.5912405	2.73967875
amar1272	-0.298390700571	1.83011073715032	-4.222374	3.26434425
amar1274	-0.040996531995	1.92246156115735	-3.98526075	3.821138
amas1236	-0.325011005065	1.88401552218287	-4.210332	3.51293325
amdo1237	-0.493823687769	1.82294765900634	-4.23541525	2.83924425
amii1238	-1.141036257495	1.91110751844228	-5.1157535	2.308042
amri1238	0.510699098755	1.50993735923483	-2.58895525	3.4888575
anei1239	-0.164161475745	1.94040957086768	-4.05038775	3.794692
anfi1235	-0.192429807405	1.64813268428937	-3.579888	2.9691845
anga1288	-0.2497677918095	1.64909864456473	-3.64167925	2.98905424999999
anga1290	0.6814240177655	1.5718717851435	-2.40073925	3.9778045
anut1237	-0.0141764588575	1.9252854770013	-3.78222975	3.72584775
anuu1241	-0.7678650177025	1.76109006110128	-4.5590075	2.333887
aona1235	0.9145408544745	1.51108676023743	-1.85735425	4.067045
aoua1234	-0.3949826251315	1.75747616875319	-4.127138	2.7920425
apat1240	1.319871141955	1.4975089027853	-1.4448685	4.38518425
apin1244	-0.11045097169	1.89927555932082	-4.02674475	3.73179925
apma1240	1.514334128315	1.66789412243816	-1.56986775	5.1357275
