Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.469475612365	1.70085562355497	-3.798134	2.885617
abar1238	-2.063188214941	1.96758024024928	-6.205059	1.55117925
abee1242	-2.231543022785	2.0192916919363	-6.58923725	1.51118125
aben1249	-0.36633875867	1.74202527085909	-3.89543	3.124397
abkh1244	-1.245163905625	2.18562549139018	-5.6541135	2.81114775
abua1245	0.244301876135	2.08964028348967	-3.842234	4.2318355
abun1252	0.6460368331415	1.99501450965643	-3.47226	4.465174
acha1249	0.4113115986505	1.72781738231736	-2.937946	3.92634974999999
ache1245	-1.912109140853	2.87675336303123	-8.18860175	3.245025
ache1246	0.1872851444275	1.98680258531616	-3.782596	3.94421849999999
achi1256	-0.142870539628	2.01153285640408	-4.26519075	3.6433225
achi1257	-0.610077398428	1.73593720751277	-4.1803385	2.6694095
achu1247	-0.358028838522	2.06066063219077	-5.01121975	3.57341649999999
achu1248	0.457961486207	1.9580801800188	-3.622414	4.17933625
acol1236	-2.18217934347	2.26610012630019	-6.9324515	1.85023725
adan1251	0.700655875985	2.06384959624337	-3.56647375	4.576304
adon1237	-0.495877480425	1.73888880117399	-4.01026175	2.82525975
adze1240	-0.550203207445	1.73248414755179	-4.14335675	2.75382375
aeky1238	1.544730174725	1.95768508585264	-2.3380335	5.57141125
afad1236	1.06456366857	1.87047260589207	-2.88912875	4.6789035
afar1241	2.08306601157	1.74812625393033	-1.45916575	5.61190675
aghe1239	-2.146327192255	1.97487548599061	-6.35590725	1.5417615
aghu1255	-0.06711286826	1.87263067516011	-3.905337	3.4358075
agob1244	0.04269293385885	2.02280501987361	-4.22451825	3.94629325
agua1253	0.45929734869	1.98536654970926	-3.56992025	4.23361775
agus1235	-0.494953464475	1.74627268483501	-4.07528325	2.93358625
agut1237	-0.42933430601	1.75924316040632	-3.905548	3.09665575
aheu1239	0.0345885800519	1.72016969397241	-3.559249	3.33381275
ahin1234	-0.404444845355	1.76428504773749	-3.96879675	3.204501
aika1237	0.53112264044	2.02153774279157	-3.5773325	4.43116549999999
aime1238	0.49422020913	1.99085549609346	-3.40517575	4.3996785
ainu1240	-0.748818121095	2.37618458963913	-5.635397	3.72482025
ajab1235	-2.225660256611	1.99981812996124	-6.45069	1.576384
ajas1235	-1.7874072869	2.54887495518483	-6.995891	2.88748925
ajie1238	-0.0445233452077	1.71011067718636	-3.5201145	3.397453
akei1237	-0.2757347470515	1.72142604980301	-3.652537	3.14011225
akha1245	0.0641701359379	1.70489121208769	-3.3699225	3.332109
akoo1248	-2.089485497329	1.9836719617304	-6.31463	1.6600695
akun1241	0.2733115658895	1.99384868017362	-3.6523565	4.15627275
alab1237	-0.108571945885	1.96998214569908	-4.253225	3.870695
alab1254	2.084093896635	1.71931794236043	-1.4824315	5.5014385
alac1244	-0.159511056371	1.98673595311107	-4.2899405	3.6118865
alag1248	2.15955805862	1.77296759160069	-1.4310305	5.54790475
alba1269	-0.50424637533	1.72908948805869	-3.94065975	2.9295585
aleu1260	0.872560731545	2.05574475256471	-3.03400875	4.992599
alor1247	-0.495083309055	1.7412908135142	-4.1523675	2.80280875
aluk1238	-0.905401831617	1.99180462215245	-5.0136865	3.03482175
amah1246	0.750417784073	1.86540810359384	-2.94957825	4.328993
amam1246	1.799333504445	1.93435030728381	-1.7498525	5.9480615
amap1240	0.151331515485	2.03920289881424	-3.843791	4.05284425
amar1274	0.797422546395	2.03059485476717	-3.00773375	5.0729985
amas1236	-0.3105170398175	2.54901549852731	-5.88847875	4.103382
amdo1237	0.160379575876	1.74060282684357	-3.22759025	3.78021999999999
amii1238	0.18956704331555	2.01226927679703	-3.85831	4.1500855
amis1246	-0.5059181303525	1.81467613228262	-4.2293815	3.12165125
amri1238	0.2951558997455	1.74551875129138	-3.29502025	3.6350855
anei1239	-0.310297182645	1.70421940481467	-3.7049505	3.01104525
anga1288	0.556697631563	1.75788629348708	-2.81147575	4.07509575
anga1290	1.8954343495565	1.98739225682574	-1.7784105	5.962555
ango1257	0.808336498861	1.9024920796917	-2.9966185	4.63799249999999
anuf1239	-2.222268156655	1.99265429411483	-6.65913625	1.5640145
anut1237	-0.081795834118	1.68963262721408	-3.51474125	3.22958825
anuu1241	0.715303618295	1.79045635556903	-2.7909375	4.32568249999999
aona1235	0.31343194573	1.7195210685452	-3.0870325	3.799405
aoua1234	0.0595928441135	2.08576140451727	-4.32509275	4.0376915
apat1240	0.0916166533205	1.73800794179366	-3.3779925	3.5458935
apin1244	1.3350886249535	1.97447140775994	-2.5807875	5.2068985
apma1240	-0.02693082571	1.71939178224015	-3.321043	3.48971674999999
apma1241	0.137093647069	2.05559209962792	-4.031822	4.01374425
apur1254	-0.224579041735	1.97874839650557	-4.21844275	3.50700575
arak1252	-0.230360155109	1.7426070810183	-3.78985825	3.25336975
arao1248	1.0148056577395	1.89742011587507	-2.65920775	4.74661949999999
arap1274	-0.00433080027645	1.94641966520436	-3.79264675	3.75705925
araw1276	-0.201146763254	1.9682021420942	-4.136907	3.4351215
arbo1245	2.05931156924	1.74670769575862	-1.541341	5.61771899999999
arch1244	-1.2760901063485	2.16512735770705	-6.11512275	2.6731415
