Estimate	Est.Error	Q2.5	Q97.5
abar1238	1.27764486153274	3.20920850270165	-4.53347533556513	8.19363061637116
abee1242	0.381272585194076	3.46726715789926	-6.1550252395107	7.44877747035291
acha1249	-0.394384527597952	3.43617728162385	-7.03283169685612	6.67228502706156
acha1250	2.93380545942689	2.70123355427508	-1.81923093999551	8.75766464647602
achi1256	1.44931730372523	2.75543917548246	-3.80490674378341	7.00336221767877
achi1257	0.678359534762333	2.20815881101744	-3.357302553078	5.54742501276616
acol1236	0.938547035657571	2.77828604773715	-4.25930942373607	6.8087528676111
adon1237	3.41940267628169	2.71963785633125	-0.963782118593623	9.58610452449747
adze1240	2.46513541896002	2.15367323249536	-1.27571501116298	7.125394307405
afar1241	1.97428096453073	3.06032200050204	-3.45599783006393	8.61696513464085
aghe1239	1.14130490680395	3.22864298464368	-4.71142419779204	8.00953990703819
aghu1255	1.16875524086329	3.47250978606381	-5.54064129215935	8.25894655375633
agut1237	-4.18195122212051	2.54498936111747	-9.9847569399066	-0.0589680010276831
aheu1239	1.95539576213521	3.30675725073791	-3.93413910172074	8.88044005623446
ahin1234	-5.14058557252407	2.10224069813169	-9.88526645275797	-1.6503505709098
ajab1235	0.38308140797362	3.37127210152367	-5.80191981595196	7.4495817624082
ajie1238	-1.77490703484843	1.53573786733627	-4.93997240805439	1.10410645364995
akha1245	1.50477174030498	3.27288547324528	-4.60624441447435	8.24465295585301
akoo1248	-0.545766487905175	3.02840184147507	-6.23398818019987	5.63246904026188
alab1254	3.13078066120744	2.99867483888504	-2.27289865180515	9.45454674781662
alag1248	3.34710773477522	2.73620117048646	-1.3569464199099	9.46894928469382
alor1247	3.05821317871463	2.84353393008577	-1.61469829769729	9.38268879273161
aluk1238	0.646434921492011	3.50755191650298	-5.98558804820593	7.80037106527072
alya1239	-4.86221898951388	2.68801877628331	-11.049593588439	-0.308448292082858
amah1246	1.97160329602411	3.07952345761143	-3.5835698652207	8.51523529699905
amdo1237	0.128689844617237	3.6999624066945	-7.16247789009753	7.4486233592863
amis1246	-3.20851371128245	2.13291206021379	-7.68087395562341	0.671975387292508
anei1239	-2.4434072795616	2.02801262879167	-6.98523070603068	1.11419473528212
anfi1235	-0.529401518358008	3.22894522034506	-6.89095398713023	5.72095065477568
anga1288	-0.895622037318899	3.41231399848022	-7.64405520710726	6.15424123377172
anta1255	-3.8003489367593	2.77149345908431	-9.73338362014809	1.15274468629283
anuf1239	0.581938187003228	3.48603074087401	-6.07364814673527	7.6569852127002
anut1237	2.83876706554736	2.84942404267177	-1.89745725789693	9.19754238684915
anuu1241	-0.0103963686865533	3.57749543994512	-6.86987828378819	7.00584331794016
aona1235	-0.173065395529157	3.54759571653667	-7.32530333760077	7.06202649878424
apat1240	-0.0708232527807606	3.55348846377903	-7.01504474839235	7.26034709258428
