Estimate	Est.Error	Q2.5	Q97.5
abar1238	6.39111361575	4.55625882377963	-2.902279	15.4421
abee1242	7.3964781368622	4.4233491464957	-1.0353	16.4834525
abkh1244	9.030757932	7.40886443097842	-3.70192575	25.3155425
abun1252	5.082351283625	4.95829694011234	-4.4395565	15.09354
acha1249	9.37495683373	5.59486313641314	-0.4649474	20.69001
acha1250	-0.42704728905	3.97520326248487	-9.05394275	7.3057495
achi1256	-1.0671278573555	4.0663019588005	-9.62300075	6.78999599999999
achi1257	0.913118699325	3.73640471970182	-6.9077065	8.2120955
achu1248	4.76052206619	4.62325831949966	-4.1689105	14.2035975
acol1236	2.05832118536	4.1196730314835	-6.22381425	10.4953375
adan1251	6.1131842054	5.86612374258806	-4.872144	18.75798
adon1237	1.573876298	3.85126949817808	-6.13617625	9.629514
adze1240	1.124017800055	3.71096294436442	-6.8252785	8.42211625
afar1241	3.43301242238	4.0856239125897	-4.69189675	11.43034
aghe1239	6.588498218845	4.53372294880826	-1.97769	15.76434
aghu1255	7.49843960655	4.87395396696482	-2.05077	17.74322
agob1244	3.39036719824	4.67258180716002	-6.16341225	12.68844
agua1253	4.72816399372	4.62391529510486	-4.17251525	13.85385
agut1237	-3.68304138364	3.79197451727256	-12.097785	3.366314
aheu1239	0.835392035083	4.01383275859919	-7.70192175	8.65122299999998
ahin1234	-3.966285292705	3.75888738151551	-11.920975	2.94077799999999
aime1238	6.785392214244	5.01954532760618	-2.5801715	17.1979675
ainu1240	4.119826270075	5.30277017498617	-5.8472865	15.1554625
ajab1235	7.393269117635	4.4830083321063	-1.37148025	16.459615
ajie1238	1.145589361575	3.68689030257279	-6.85862325	8.26647975
akha1245	9.3989871448	5.61589218810881	-0.7733981	21.8019725
akoo1248	6.6753071196	4.17707369847401	-2.0470515	14.99456
alab1237	3.30414732353	4.28137535172417	-5.796179	11.6329275
alab1254	3.4468899735	4.06824007933276	-4.7721875	11.729905
alag1248	3.46794660165	4.10501338468592	-4.54847375	11.61599
aleu1260	3.075409228055	4.37103044332183	-5.436618	11.81483
alor1247	1.6170607846185	3.82004878548408	-6.19115675	9.18313224999999
aluk1238	10.395526831135	6.6131390273192	-1.44675125	24.5240625
alya1239	3.388410170345	4.09749816885818	-5.2303035	11.434915
amah1246	2.991723568435	4.08644365623595	-5.4575105	11.7460675
amap1240	6.08001317515	5.13199198018352	-3.61512825	16.58471
amdo1237	9.37392044505	5.50871730174682	-0.58970385	21.8885925
amii1238	6.65835048731	5.14922342578733	-3.223491	16.8408275
amis1246	-2.527199477995	3.96427523740054	-11.02037	4.86243274999999
anei1239	-0.354732913945	3.66450852557727	-7.9712	6.72551375
anfi1235	11.2378892172	6.98438900837266	-0.526601375	27.7378225
anga1288	9.3318126063	5.55815809438738	-0.9122529	21.3127675
anta1255	-2.02396037275	3.68330286056797	-9.89345025	5.130064
anuf1239	7.42383868933	4.4802763248839	-1.478456	16.581205
anut1237	-1.6337432991325	3.62150483672718	-9.39812325	5.32645025
anuu1241	9.34068812031	5.50563939731485	-0.612343425	20.724275
aona1235	9.3088295924	5.50811314331677	-1.06782425	20.988895
aoua1234	10.459168286755	7.10072036969269	-2.07985775	26.3541425
apat1240	9.34126168325	5.62588536271783	-0.91133465	21.167375
apin1244	3.6739756283535	4.28646222721311	-4.99888275	12.675625
apma1240	1.1154746731635	3.88750527958071	-6.748616	8.66448525
apur1254	-0.0968781544345	4.10633131584103	-8.49898825	7.72680975
arak1252	1.1428403061105	3.77724315886759	-6.72036	8.54260275
arao1248	0.5666245631495	3.91177492607305	-7.68554775	8.37262524999999
arap1274	-4.749770179985	4.48592028495652	-14.4561275	3.453767
araw1276	-2.1176191029205	4.14432137882749	-10.937115	5.63808325
arbo1245	3.51039121107	4.03209339487026	-4.586924	11.1365175
arch1244	3.7418838343465	4.74860175828044	-5.6142705	13.2944325
area1240	1.3252901848	3.69655998702887	-6.4718635	8.48482274999998
aree1239	2.11871353719	3.77537032976104	-5.6155075	9.38856775
argo1244	0.456277041095	4.05055727222494	-7.59384675	8.23988449999999
arhu1242	6.5243024860275	4.41030717029645	-2.34287975	15.1995825
arig1246	5.799395513735	4.19546124614948	-2.979239	14.12441
arop1242	1.747641314975	3.79612953958839	-5.85126225	8.957761
arop1243	2.31748987981	3.73655583088989	-5.5080635	9.63008199999999
aros1241	0.994373779255	3.781876175804	-7.000681	8.5314345
