Estimate	Est.Error	Q2.5	Q97.5
abar1238	1.24535207418705	4.32778084303288	-7.52310393849179	9.59963863190757
abau1245	6.18404381357018	6.54256561048795	-5.80458661399121	19.5820099315787
abee1242	2.14092690378181	4.22726161755419	-6.29426941305104	10.5068659799617
aben1249	-10.1479056913054	4.04708148077712	-18.860795084057	-2.86171145136205
abkh1244	1.17271161664191	7.00337561492915	-11.5475834098742	16.302418963243
abua1245	6.44109728256574	6.63901429876757	-5.69356036945186	20.0111212708551
abui1241	4.39083044439416	6.82500356984769	-8.29568552309127	18.5007214184046
abun1252	4.26589628847324	6.845499749031	-8.34864178124766	18.3590240173533
acha1249	1.56644544529429	4.545164652956	-7.37105443879401	10.7602834178229
acha1250	-4.695974336632	4.47270216995543	-13.8439850280399	3.76126395877682
ache1245	6.69329649121659	8.67553270810807	-6.79034987921594	26.4804007459039
achi1256	-3.1765927005942	4.74864427845622	-13.1295236403277	5.94206566612498
achi1257	-4.69970703957869	3.72729808332595	-12.5355580476531	2.07138010525021
achu1247	-5.38216714380085	5.33135562457992	-16.5511337661643	4.68098699314429
achu1248	0.382456592273702	5.22741361650756	-9.92949940354154	10.8351381591735
acol1236	-2.98897105476943	3.74293361081683	-10.6854867322285	4.12468209632079
adan1251	4.45364203824564	6.78635280579164	-8.16488345195203	18.5631293043099
adon1237	-4.0504852617862	3.84103476155339	-12.0716760647786	2.99654713000834
adze1240	-4.1653329382684	3.84397975272127	-12.3439649851836	2.84759034049435
aeky1238	1.71080053589336	6.30107515299285	-9.73514809977227	15.0956624567504
afar1241	-2.28770914980289	3.80122304929108	-9.89748773181351	4.97884975689074
aghe1239	1.51179728481441	4.18964042897727	-7.13037714531025	9.47172402272196
aghu1255	4.89722686126977	5.65015179544952	-5.68142312968223	16.8800031167407
agob1244	6.01827103972971	6.8182086374254	-6.51914645236487	20.3224682321223
agus1235	-10.5985325078906	4.01872397970021	-19.1188556807096	-3.43456983889192
agut1237	-9.09451450457924	4.07078008534096	-17.6140854067013	-1.72738491834606
aheu1239	-3.9081321812643	3.96623369814979	-11.9994275878025	3.64717651818228
ahin1234	-10.126818973752	4.02473478537984	-18.7301649589362	-2.80203862162932
aika1237	-1.13183897236003	5.51831678015657	-12.1062135676783	9.86218213497726
aime1238	3.71972995126802	6.58848597819579	-8.41138928286712	17.4465284805677
ainu1240	5.17755830167341	8.66591501420226	-9.7328684921604	23.947405725982
aito1238	6.95359560584668	7.82470601070469	-6.45213425303907	23.6836393306718
ajab1235	2.1622074420629	4.28576311925361	-6.5417401762997	10.7154864834869
ajie1238	-4.9460775428513	3.74212869345724	-12.8641717492611	1.91865528263427
akei1237	-4.46512840354366	3.85883301398749	-12.4692637865868	2.65416666998152
akha1245	1.60360182686362	4.57231909415199	-7.6060122081726	10.782268549458
akoo1248	1.38975047563791	3.9624709418909	-6.43578863981325	9.00235923870359
akun1241	-1.78398450635664	4.97528651874873	-11.8277343180229	7.81522878582386
alab1237	2.3793345095032	5.16418832461851	-7.8424914698072	12.80683430347
alab1254	-2.26549441523743	3.69161764447481	-9.91993643696682	5.02936305549751
alac1244	-7.45941953841157	5.22427714834244	-18.4494906265928	2.18202828762215
alag1248	-2.84947930977861	3.72819935617981	-10.4892333747849	4.36451447232979
alam1246	6.1243858239073	6.61363434787346	-6.13870207083634	20.0271953775859
alba1269	-10.5829929040887	3.95697500647427	-18.8960526974803	-3.59777779013083
aleu1260	1.70455278447479	5.22960063293368	-8.57530666631592	11.8875516737518
alor1247	-4.08599906423087	3.78678718689304	-11.9713291055763	2.96720807982488
aluk1238	6.91220076107867	7.6190736544983	-6.03067165886736	23.5286542426002
amah1246	-1.21769239873295	4.65270806946457	-10.6320347618083	7.85059212850972
amam1246	3.59788662950205	6.27276317829166	-7.73838365681562	16.8510728158317
amap1240	5.42663744768367	6.85531264574265	-7.0502106615677	19.8985763730262
amar1272	-3.68110205811406	3.82365044407457	-11.6538602284873	3.53164533837388
amas1236	5.42928370092772	8.97720722054789	-8.72156716421488	25.6501022099217
ambu1247	5.82810325055886	6.8270815383096	-6.32382706279894	20.0449723786875
amdo1237	1.47049003997341	4.54930675136062	-7.36546421233767	10.4857553056697
amha1245	-4.87103477638595	3.80710137693316	-12.7785984799481	2.40992900466215
amii1238	6.64544287966049	5.89717763887609	-4.14164865376302	19.1596140398045
amis1246	-8.92797858467919	4.20638360293731	-17.8071995923742	-1.35102713971044
anei1239	-6.38066882863354	3.78974815249494	-14.3462078553109	0.302229569806996
anem1249	3.60215443342764	6.83713847784473	-9.10009607067403	17.8230698334033
anfi1235	7.1357701412287	8.06065172249848	-5.71527530130022	25.6623109530218
anga1288	0.285812100159494	4.44914593955719	-8.80157555648994	8.92458898924048
anga1290	2.89265304258806	6.36806666965629	-8.81686245282664	16.5164285855679
anta1255	-9.34738553377832	3.63420495657044	-17.1820185827273	-2.82583146709128
anuf1239	2.18630116347966	4.16411040856784	-5.97728947076398	10.5240293133921
anut1237	-6.89324752572663	3.68164196572521	-14.9579459493347	-0.251694988572175
anuu1241	1.21137922455007	4.68776291808472	-8.02103673221216	10.517827547854
aona1235	0.275081847866684	4.42910327346759	-8.58812004665197	8.95201881158804
aoua1234	6.96122397471379	7.7437205526785	-6.29062640411093	23.6349067734183
apat1240	1.31110651412566	4.5854147962946	-7.602845434431	10.4957834917644
apin1244	1.66483769298554	5.29666131906775	-8.69672636429322	12.4833521532673
apma1240	-4.42248183873006	3.85787060616268	-12.6328524670225	2.61327823346974
apma1241	2.80609724643625	6.55388730434799	-9.37887378797662	16.4900584163824
apur1254	-4.18489354852748	4.58695767899116	-13.5673225278387	4.710977109971
arak1252	-4.42307285684311	3.82907835050024	-12.4345430046443	2.61335141673994
aram1253	5.08345221147005	6.60432491134915	-7.04973357739122	18.7061414906262
arao1248	-3.50135724510065	4.62061993175369	-12.9945929355167	4.99076458476662
arap1274	-5.44035944097015	4.7144413735583	-15.1361588708277	3.42092170177307
araw1273	-2.49091484704846	4.71194970651305	-11.992462481167	6.67487459231678
araw1276	-6.19630423812955	4.64312577004538	-15.6504384998866	2.36047604927697
arbo1245	-2.10527951768269	3.72179503070344	-9.80903939283374	4.9881554627376
arch1244	-2.7539065172381	4.4961070165882	-11.8909135301419	5.79424445295009
area1240	-4.21311605543886	3.82222450153354	-12.065413141954	2.95637360567068
aree1239	-3.50880145637824	3.84764596543633	-11.6613084030401	3.71574739779657
argo1244	-4.8620834597212	3.80928421169433	-12.6713971978649	2.40854201575559
arhu1242	3.12647591052737	5.23926614260378	-7.06722395143237	13.5193170899934
arig1246	0.751690313161627	4.09042806977613	-7.49434175736413	8.68649304216323
arom1237	-3.52637459683616	3.94792135496247	-11.7643097968013	3.94147118386546
arop1242	-4.91734169070766	3.7833129798934	-13.0267253685215	2.05775983039973
arop1243	-3.4912119839846	3.80362007492182	-11.4919638364457	3.68010196098646
aros1241	-4.22677799949377	3.79987226951579	-12.1017014613645	2.92227919287948
arta1239	-10.1180711603234	4.05784534990403	-18.7944165775799	-2.97600297242762
asha1243	-6.4860024533275	4.60984130708065	-16.2915723629942	1.96632629618126
ashe1272	-6.48441340037287	4.59748562740638	-16.1329666382688	2.02296028579199
asoa1238	9.44067234512907	8.28075653480569	-3.82775632784996	28.571829659587
assi1247	1.83385787997385	5.21357595053741	-8.38303370650611	12.2098582903447
asur1254	-2.99817324744651	4.00003734245791	-11.3241737083674	4.65374449252348
