Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.838195382543822	0.775199688319616	-2.38886037465112	0.665294402257057
abar1238	0.396016285928441	0.810062100396544	-1.20911859383292	2.0022993222557
abau1245	-1.49257183214623	1.05862122288897	-3.61435613888461	0.55974155608142
abee1242	-0.268499951884324	0.788243444292111	-1.92068237605036	1.16981565201976
aben1249	-1.19060039982283	0.814229676157373	-2.85933348809978	0.347717384850349
abkh1244	-0.541356316804425	1.32625921866039	-3.25740586301631	2.04409673418006
abua1245	-1.49137401147215	1.07775937147645	-3.61511258010361	0.623829183340388
abui1241	-2.03629224850048	1.24984019150859	-4.66035320779664	0.276030358769444
abun1252	-2.38749164481918	1.33720575002555	-5.23137939518291	0.0203483681570979
acha1249	-1.27806859258105	0.888452479715282	-3.04780799081963	0.42585406087001
acha1250	-1.74059920783294	0.908446067506237	-3.58697928390534	-0.00643430184457585
ache1245	-0.528311520613882	1.35986121188254	-3.22860328300618	2.217163985158
ache1246	-1.19246779099769	0.927572712647153	-3.04540026428666	0.634412136151954
achi1256	-1.22987151074565	0.979505060182498	-3.19523366858197	0.672838268553563
achi1257	-1.46044320612158	0.827040432761864	-3.18907463777847	0.113249967759577
achu1247	-1.13851059085789	1.07107904249553	-3.26779585178901	0.967977415838936
achu1248	-1.48620803778469	1.04615937120735	-3.65534949930409	0.497979772388437
acol1236	-0.111186074105732	0.991670001412725	-2.03822474995164	1.88190625982719
adan1251	-2.03445905368779	1.2578045015854	-4.69082284470367	0.218825187912313
adny1235	-1.52365289434604	0.900481690723902	-3.3867475332109	0.157067688859723
adon1237	-1.06533107765222	0.799811645570862	-2.68253767474769	0.486518802465193
adze1240	-0.961107351293485	0.794314497313391	-2.58748959169126	0.563786918643854
aeky1238	-2.13978810358523	1.26424402790624	-4.74212682901108	0.183598254199303
afad1236	-0.680187643241185	0.814689891700583	-2.34294683722805	0.860175190162298
afar1241	0.13493771420463	0.814044432946266	-1.45262529126896	1.74508694681269
aghe1239	0.324048622738984	0.797828812461827	-1.26927665312318	1.86368868328413
aghu1255	-2.45756572733967	0.987512645588408	-4.54368932304924	-0.634062906628704
agob1244	-2.11369034015362	1.20718687130001	-4.62209727615639	0.0918147739305856
agua1253	-1.47911173252227	1.0463157313566	-3.63247092630533	0.527085014609422
agus1235	-1.19581882809207	0.800590839913734	-2.80364149574373	0.318734362507426
agut1237	-1.16002922835341	0.805544233740325	-2.79020338729634	0.43080456039843
aheu1239	-2.18878799213037	0.956580136958008	-4.08098118175829	-0.359990971812422
ahin1234	-1.19474889942705	0.806935553018359	-2.81413000437729	0.351723809939
aika1237	-1.25042568778501	1.07602199347774	-3.46482450155514	0.836847150675945
aime1238	-2.30020106753658	1.24805754919096	-4.88921385703742	-0.0334899512892599
ainu1240	-0.65656321838852	1.56610908130201	-3.68438359926511	2.54636440330242
aito1238	-3.22685951113421	1.34303749520259	-6.05029976085081	-0.783201323977218
ajab1235	-0.245490809635405	0.785317885765006	-1.85938754661599	1.20890641702793
ajas1235	-0.911824827370585	1.50256936154521	-3.82578256881204	2.04226550854806
ajie1238	-0.850642305083302	0.78982621316936	-2.43409635264788	0.67782098947135
ajyi1238	-1.51652983017098	0.901785530027238	-3.3355658563036	0.21179568199373
akan1250	-0.295802204340848	0.796356774095382	-1.95030486603558	1.14241258565148
akei1237	-0.914228696968204	0.793302999183648	-2.48555539345654	0.617592507088642
akha1245	-1.26448835251118	0.882637563331552	-3.02076579818889	0.466937450588497
akoo1248	0.659410555255077	0.756347311731222	-0.859287806466488	2.15293016178469
akun1241	-1.17869264069612	0.966522168869654	-3.13309556380998	0.743081252143703
alab1237	-1.26302037103464	1.0265822258467	-3.35364584106662	0.702830834108473
alab1254	0.227774110469679	0.812617123157325	-1.33338369808228	1.86513761379038
alac1244	-0.800123339622013	0.962604986187763	-2.72636981424703	1.03554578881396
alag1248	0.164571687660309	0.822651469149192	-1.50574417104623	1.7902383516733
alam1246	-1.53401028356951	1.08305757022451	-3.69611790059725	0.607571907089143
