Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.0917213587766924	0.763206996165484	-1.71616841511345	1.4422872630367
abar1238	-0.0747336624194352	0.718233948608961	-1.57767064429766	1.360574881321
abkh1244	0.289696113224852	0.917903099386409	-1.41281218135612	2.32984459383902
abua1245	-0.151248825557021	0.806744377951565	-1.84496121359156	1.4566934317274
abun1252	0.325245457932775	0.922113137077254	-1.38743709346622	2.34629008533645
acha1249	0.171647010754687	0.821817049215543	-1.42861920756316	1.96423872952529
acha1250	-0.310819630623108	0.878662773876208	-2.17358342297854	1.32688858198159
ache1245	0.064497408327327	0.919950350893603	-1.8460229809198	1.98248590104315
ache1246	0.561511046822423	0.892548794349594	-0.997630774344696	2.60209685441714
achi1257	0.156471330625386	0.90876750382276	-1.6524840703887	2.09718862378639
achu1247	-0.384381208905132	0.928737917715458	-2.421798079969	1.38742041107135
achu1248	-0.130345125290169	0.935249096486554	-2.23001605680592	1.74275805770698
acol1236	0.1929702881143	0.861357376079772	-1.48303806829945	2.00512317201962
adan1251	0.451839633022506	0.914928734086241	-1.23408096633603	2.47779778565779
adny1235	-0.0777288802410807	0.895191579867288	-1.95352093312325	1.69597339286658
adon1237	0.429049014253294	0.877822193342997	-1.16507847190608	2.38956133014937
adze1240	-0.136358301424236	0.716799191271501	-1.60886914268511	1.3445960844479
aeky1238	-0.53643246566327	0.912327256105525	-2.67235476236454	1.0721104493373
afar1241	-0.200271794090768	0.922980386515084	-2.26305361767772	1.5858060332252
aghe1239	0.0400613054967551	0.739596428732635	-1.45158839249445	1.52588109705959
aghu1255	0.468712147820105	0.901088895825899	-1.17388334726183	2.51991007750479
agob1244	-0.147668161888094	0.926488209828834	-2.15046605009953	1.67891748414697
agua1253	-0.188453692476384	0.896102802403761	-2.14053911437897	1.52155760446208
agus1235	-0.818039515175552	0.979188588491351	-3.02347657262202	0.740330736980656
agut1237	-0.30654450945591	0.790940279769013	-2.04541653469566	1.13405357242427
aheu1239	0.255801013568968	0.933701711814333	-1.50125873072463	2.28554518709788
ahin1234	-0.38115237065958	0.77886745230755	-2.05954487471732	1.07146574567854
aika1237	-0.590251498392798	0.926588432225726	-2.67934077015204	1.00835674343976
aime1238	-0.357859863199311	0.899961646445507	-2.293297661884	1.28424431358398
ainu1240	0.207375513234526	0.92851363540007	-1.62879310750811	2.21600459266392
ajab1235	0.0346816158391072	0.869781499600513	-1.77488740097004	1.85291143232132
ajas1235	0.0479168174734636	0.945668811447187	-1.92167647863154	2.0173947560859
ajyi1238	0.0637058758302638	0.839810288859841	-1.63088015546631	1.85250481170622
akei1237	0.422289416153002	0.793149172509178	-1.08702862600654	2.13925346072979
akha1245	0.757594435027434	0.893015911364834	-0.680574957636083	2.76385604906121
akoo1248	0.262387105426249	0.823206732541155	-1.29262009690802	1.99025373851304
akun1241	-0.578196571946551	0.920949557937599	-2.66958648015237	1.0049931383367
alab1237	-0.206547457626882	0.924481413421016	-2.25110758611723	1.62151912372979
alab1254	-0.431744090394417	0.903976774150217	-2.4358038537536	1.25800518506911
alag1248	-0.127373593822058	0.846787049734196	-1.90115402679942	1.54163465978042
alba1269	-0.113898439474489	0.847325976419571	-1.96108283485742	1.52910419347104
aleu1260	-0.175269883597701	0.929772659517337	-2.18471072958037	1.61117536505813
alor1247	0.456470070973038	0.915026880177009	-1.21128546009205	2.52281913454049
aluk1238	-0.210979166351364	0.917594990870504	-2.16454554553707	1.53370400992682
alya1239	0.240603980915113	0.900212742901216	-1.44331434440809	2.18535563750413
amah1246	-0.0217725820834592	0.913501264497747	-1.91602311164873	1.84850070472866
amam1246	0.183544002935728	0.795349012621937	-1.34347487163112	1.90931283978127
amap1240	-0.259405153153997	0.831247791220152	-2.05922013838947	1.31711572559287
amar1272	-0.48882166566079	0.768429892145448	-2.17879525499784	0.916771494822173
amar1274	-0.175607631504267	0.908860832929776	-2.10244159159573	1.62256748361124
amas1236	-0.11997112559483	0.92044768350965	-2.09719520927362	1.68829153495166
amdo1237	-0.255181501531526	0.899728968747921	-2.24743800031328	1.44240293419966
amii1238	-0.0974094284480679	0.892009912153968	-1.96315892053579	1.67934688309607
amis1246	-0.835693606948689	0.925645549335063	-2.92151629120962	0.636579880293955
amri1238	0.088177998930096	0.786702504501466	-1.44644451657127	1.73826852843511
ando1256	0.417877399346254	0.890004959047208	-1.17509043772067	2.40703655477642
anei1239	-0.454579199591292	0.861628081609508	-2.36160337105858	1.0924433279291
anga1288	-0.647851041637262	0.863651956881137	-2.60904876866826	0.801328961365391
anga1290	0.184446136173197	0.771660281091352	-1.31132229256612	1.84464699228552
anta1255	0.173657220397735	0.917278805449998	-1.62273887917106	2.18191621093262
anuf1239	0.282747862122791	0.914735876374391	-1.48333688368246	2.23249499758702
anut1237	0.21885230879012	0.886288915291922	-1.51736965216224	2.16273457819038
anuu1241	-0.00225128814983274	0.791784451738296	-1.63485490561672	1.62106604045736
aona1235	-0.214877870598704	0.782071301991738	-1.94045154166469	1.29052716423695
aoua1234	0.130836439361067	0.943675359701068	-1.73673020702871	2.12792210772556
apat1240	0.326780253007376	0.834437887866345	-1.2309063598897	2.1626579412562
apin1244	0.0645578077448717	0.883412662154023	-1.71372052517191	1.93300734324006
apma1240	0.371863071998121	0.72880469933204	-1.00529549802533	1.89921696420329
apma1241	-0.299175859635353	0.793181163405582	-2.01390688169118	1.22367217633641
apur1254	-0.334228758027864	0.876919198106057	-2.30091911916235	1.29761799294847
arak1252	0.417447625629462	0.773056421604055	-1.02775201554081	2.06865704927676
arao1248	-0.136347245264222	0.914918597366167	-2.15387571101357	1.63460557014042
arap1274	0.133047212220441	0.930103666690556	-1.70471797443015	2.09560637849163
araw1273	0.238493652760831	0.88418995540069	-1.44893054479275	2.21824655573644
araw1276	0.576404638850474	0.913078982629414	-0.999869200171423	2.66235497423122
arbo1245	-0.198258295750053	0.866719985737035	-2.08001043344853	1.52525384043034
arch1244	-0.0562332781133129	0.937711209808697	-2.02554656603644	1.85881500437422
area1240	0.193917694121146	0.818353478777642	-1.38468767527812	1.9447702421962
aree1239	0.0669579428452145	0.770192503275241	-1.47305153336985	1.67375943882602
argo1244	-0.359323710053481	0.917234175034923	-2.4213906157968	1.37539646861891
arhu1242	-0.249287928525619	0.897226827016749	-2.24415372097037	1.46902147387473
arig1246	-0.340567262997828	0.905382964073803	-2.34593714441341	1.3573054074934
arom1237	-0.469691979455357	0.883569003202143	-2.4872310670347	1.07496441087595
arop1242	0.145232774907367	0.79032968635323	-1.39981209949409	1.8364770461341
arop1243	-0.726882619947635	0.857699759624975	-2.67715211201233	0.67084453668134
aros1241	0.350651447567183	0.882532348881999	-1.25411542634031	2.32947173986271
arta1239	-0.296562321770332	0.778925002783379	-2.03298404368098	1.16634347435921
ashe1272	0.000763235589877002	0.848513067571171	-1.76582562148866	1.72833176425397
asoa1238	-0.717331078902825	0.927505120104219	-2.86510696158846	0.792423204926942
assi1247	0.163859686062609	0.891630608242707	-1.56386010997555	2.12312895549756
asur1254	0.230086270907271	0.866793803225586	-1.43908650708648	2.07744061824042
asut1235	0.0192913473997627	0.846242237255504	-1.69581031037973	1.81029585405605
atam1240	-0.853129155663119	0.951850173646256	-2.99368739214528	0.664322456557578
atay1247	-0.82980103938382	0.935801734686882	-2.96307716936183	0.646012829225846
athp1241	-1.02517662507012	1.02599597610214	-3.38186118075909	0.490636703596864
aton1241	-0.302642531755575	0.851137091135425	-2.12013245362661	1.28700409409397
aulu1238	0.550887802381543	0.737405677390394	-0.762368402266124	2.14026828497656
auuu1241	0.0391177589772611	0.784089496628266	-1.5261249357608	1.66770925906288
auye1238	0.233841044803712	0.834444790417964	-1.38421931496902	2.00025986082839
avac1239	-0.393341274570469	0.912238037357924	-2.47486640378474	1.26460786463982
avok1242	0.158156918252117	0.830715697440158	-1.40611169202043	1.94041735857877
awac1239	0.396140321144133	0.908959555953541	-1.26290402841628	2.40742754283028
