Estimate	Est.Error	Q2.5	Q97.5
abad1241	0.152280325728305	1.03643342212754	-1.82753310491034	2.29401411205661
abar1238	-0.404628673106141	0.826198983590149	-1.98045944357773	1.24359876212807
abua1245	0.0572308442909754	1.24651827160228	-2.35201876568573	2.55996243685332
acha1249	0.819540830968569	1.08572633028056	-1.24879178427035	3.06497488119116
acha1250	-0.803224522105349	1.40505842803325	-3.69277979447689	1.82036126493029
ache1246	1.50896258217351	1.32761610563048	-1.0064246607033	4.19714833379915
achi1257	0.535263810889545	1.38538155807662	-2.05473159526477	3.39407331602236
acol1236	0.666280762025114	1.30288994871342	-1.85002524022539	3.30994094409619
adny1235	-0.0980855005360562	1.38943935742725	-3.00831194952935	2.57439330560069
adon1237	1.21343910966625	1.32870945218223	-1.26516468453333	3.9983136108759
adze1240	0.0096600462710925	0.903564523916113	-1.79385602670115	1.83084732595231
afar1241	-1.05153047380021	1.36943552997339	-3.91109663175534	1.47189687750217
aghe1239	-0.145515015757243	0.870984264852371	-1.82699359350185	1.62415377638523
aghu1255	1.22576074438266	1.26877652260176	-1.232649061186	3.74497535248542
agus1235	-3.00864010780251	1.22916176436253	-5.52624098587693	-0.73063170109309
agut1237	-1.51927415468606	1.05460311314367	-3.62633569715322	0.490112224153606
aheu1239	0.944024592082444	1.41687390631608	-1.67104332248677	3.8827607198012
ahin1234	-1.72489424541943	0.805644230502278	-3.34925346520839	-0.173073186633078
ajab1235	0.363325985616022	1.30687768007471	-2.12265592754522	3.07939974570532
ajyi1238	0.339028900230162	1.26692385822476	-2.09681961487931	2.89367103785083
akei1237	0.885770317132213	1.07241163360098	-1.12969990121149	3.07822835039549
akha1245	1.97648201458098	1.12943298401559	-0.0899393839924641	4.31313505494829
akoo1248	0.633122097008385	1.14837817961932	-1.44013983146691	3.05674549515582
akun1241	-0.948335961655695	1.36900859812741	-3.74789523582228	1.72946188628394
alab1237	-0.539647503322141	1.43469932054608	-3.44969637143457	2.18627141687975
