Estimate	Est.Error	Q2.5	Q97.5
abad1241	2.246601546745	2.36560450848463	-2.2397685	7.193913
abar1238	2.68506742823	2.47106230844781	-2.0607855	7.87839875
abkh1244	-0.557594545329	2.62669280216866	-5.5585985	4.771295
abua1245	0.42773679804	2.51222843987338	-4.3352475	5.3858505
abun1252	1.107441951205	2.77791411036776	-4.34751175	6.7932705
acha1249	-0.41445586497385	2.34560428222792	-4.94453275	4.3706035
acha1250	0.37819945257575	2.3992370735086	-4.28536125	5.16608125
ache1245	0.81746039673	2.52531283290845	-3.84336325	5.80919949999999
ache1246	0.787042612965	2.44027101689805	-3.8200955	5.796134
achi1257	1.851361833755	2.37371126250227	-2.67880525	6.67664725
achu1247	-0.9904795742245	2.58445362210246	-6.14024075	4.11425175
achu1248	-1.443151561195	2.60210618083428	-6.7137515	3.68937325
acol1236	1.37915449237	2.40387094615717	-3.29481175	6.13001425
adan1251	-0.017764441925	2.64872187376093	-4.97142175	5.48064225
adny1235	-0.346239978605	2.51598973248111	-5.12564075	4.41969199999999
adon1237	2.787186449325	2.45011040608531	-1.79126625	7.847044
adze1240	2.32030314672	2.42820228276973	-2.2323665	7.29195275
aeky1238	0.062028998095	2.64962258949636	-4.883339	5.46012424999999
afar1241	-2.593743742455	2.29602075228066	-7.003963	1.80326074999999
aghe1239	2.19976938493	2.47054767153092	-2.7157505	7.39617249999999
aghu1255	0.096392231399	2.39609226978838	-4.44325425	4.94283925
agob1244	-0.384742807555	2.68190796583962	-5.625164	4.831703
agua1253	-1.40722204913	2.59363585537301	-6.515951	3.58121199999999
agus1235	-0.19813252238795	2.36870953550531	-4.7065775	4.57848425
agut1237	1.526290214929	2.3804559407287	-2.9032525	6.6660365
aheu1239	1.3209195547925	2.40316616226459	-3.28222625	6.02809999999999
ahin1234	0.623602176421	2.3563492202792	-3.8394325	5.305597
aika1237	-0.6722655150985	2.89284076346711	-6.36927025	5.15240575
aime1238	0.10402122854	2.72597287391803	-5.27166225	5.53596625
ainu1240	0.411384019565	3.57604233010827	-6.0619315	8.0526925
ajab1235	2.2587887118675	2.40041061743965	-2.323476	6.97778199999999
ajas1235	2.056944089944	2.63658184573852	-3.02805475	7.5628455
