Estimate	Est.Error	Q2.5	Q97.5
abad1241	-0.2472777354815	0.82679909234907	-1.950112	1.39032525
abar1238	-0.1148147149953	0.786266745032636	-1.676761	1.537737
abkh1244	0.6418689952575	1.04945323786709	-1.14139	2.94353375
abua1245	-0.4042101919355	0.866195614784239	-2.2451785	1.213118
abun1252	0.5501428649468	0.98078112599004	-1.15150425	2.698713
acha1249	0.1926746496185	0.900833995690933	-1.58801825	2.11837525
acha1250	-0.28640639875335	1.00340784825863	-2.52469225	1.5987335
ache1245	-0.085143266156355	0.936690439438754	-2.015178	1.830339
ache1246	0.556387618004	1.00925149701968	-1.23332375	2.79901925
achi1257	0.1653631625616	0.967383447451125	-1.7061785	2.2705235
achu1247	-0.44689082381405	0.94793820145206	-2.5107835	1.3915645
achu1248	-0.1721673443755	0.968106059951438	-2.21729275	1.77073825
acol1236	0.2256034651966	0.908407817997441	-1.54052025	2.2386225
adan1251	0.464358644661	1.03032077175086	-1.43381125	2.68479825
adny1235	-0.0945802769748	0.88671528045854	-1.95194375	1.622081
adon1237	0.429857216252	0.96491638240022	-1.27880275	2.4863735
adze1240	-0.29189453245581	0.773442719665373	-1.86361025	1.275971
aeky1238	-0.61868059679535	0.906075318131789	-2.55687625	0.926307699999998
afar1241	-0.1519594412405	0.945616386529703	-2.125884	1.66700575
aghe1239	0.01095470519947	0.809421062880312	-1.63689975	1.734896
aghu1255	0.489856308412455	0.877475902166227	-1.12406975	2.38678975
agob1244	-0.3797159340476	0.957931634593106	-2.44602575	1.3872625
agua1253	-0.2338359810032	0.970316663320271	-2.40587325	1.6821825
agus1235	-0.8375379039485	1.02574383325028	-3.27688725	0.808098249999999
agut1237	-0.27818417751925	0.843878651182229	-2.14109325	1.350546
aheu1239	0.352633675302025	0.944910015020511	-1.4578925	2.3868535
ahin1234	-0.41997529928275	0.843583717168643	-2.295326	1.156488
aika1237	-0.50670650516623	0.972997819923929	-2.6297795	1.264653
aime1238	-0.35537968983225	0.889029573682261	-2.3078065	1.36096049999999
ainu1240	0.453123789623	1.00325223446922	-1.356091	2.6805005
ajab1235	0.048381550094735	0.925415604472614	-1.8219375	1.98451625
ajas1235	0.2037486414975	0.986412370378135	-1.7635895	2.290972
ajyi1238	0.00392252739495	0.861229157318195	-1.762289	1.723398
akei1237	0.39582788495405	0.856932912730504	-1.1660875	2.26661
akha1245	0.88017165792055	0.932654206925599	-0.575616375	2.94658925
akoo1248	0.27217626851335	0.926303649571046	-1.44466675	2.271241
akun1241	-0.5033313723654	0.991471190350726	-2.76088625	1.18388175
alab1237	-0.24452971872268	0.981842077356824	-2.27886375	1.600527
alab1254	-0.40925491402105	0.920373789624481	-2.293281	1.3604695
alag1248	-0.0702413331336	0.880668428241533	-1.96807975	1.6568265
alba1269	-0.07614193583435	0.871229634603394	-1.958133	1.63199525
aleu1260	-0.29497481510265	0.926738218520947	-2.3177055	1.46089975
alor1247	0.4706238875975	1.00195837074788	-1.34898125	2.62517425
aluk1238	-0.2319093859593	0.958010905663224	-2.2998985	1.5933305
alya1239	0.3186601214423	0.97448506549472	-1.463928	2.52714425
amah1246	-0.14022092324905	0.967692343899245	-2.20935575	1.750829
amam1246	0.05437720030365	0.825661025891008	-1.637672	1.74788025
amap1240	-0.384198571247	0.870155959454644	-2.20772	1.22335
amar1272	-0.4939360814456	0.85209841233611	-2.3323175	1.037999
amar1274	-0.22913350822565	0.912647963156829	-2.31410225	1.5344565
amas1236	-0.36088526379195	1.00565565284746	-2.50396175	1.53226675
amdo1237	-0.323527115586	0.9194954983937	-2.3182295	1.36201875
amii1238	-0.316226719816515	0.898306405698107	-2.247346	1.40326
amis1246	-0.84580165913181	0.964553289644157	-3.0908295	0.773686149999999
amri1238	-0.0107565804305	0.878359820457407	-1.843297	1.71241425
ando1256	0.3566507018463	0.959786956089952	-1.442332	2.45115025
anei1239	-0.5221444541925	0.878620263436489	-2.49357	1.04026925
anga1288	-0.75098119232615	0.932387640138363	-2.769182	0.747503624999999
anga1290	0.01706980565725	0.764259743795419	-1.51690825	1.60933625
anta1255	0.20704317756	0.93979991049798	-1.61045125	2.28103525
anuf1239	0.31174238601365	0.954407706434525	-1.4506795	2.45575725
anut1237	0.2196871300043	0.960912782216799	-1.59758975	2.296204
anuu1241	-0.2022664936085	0.859456663325613	-1.990471	1.4203485
aona1235	-0.273019681032	0.823873236231118	-2.00718975	1.34834825
aoua1234	0.2720577911721	0.973388411002284	-1.46366	2.43954475
apat1240	0.3477988828325	0.842026736205115	-1.2240195	2.18874625
apin1244	0.0802738657905	0.909632643031472	-1.71815325	1.94785425
apma1240	0.3289662602638	0.809491128727754	-1.21506275	2.11034975
apma1241	-0.4045859209871	0.834438992373639	-2.212064	1.1385445
apur1254	-0.3394216809357	0.983515767649062	-2.46913625	1.5039855
arak1252	0.39280594070275	0.826908567451912	-1.103839	2.14450425
arao1248	-0.28319528734795	0.974575310551122	-2.264714	1.5777685
arap1274	0.1538848745735	0.96732078321102	-1.72764575	2.17507725
araw1273	0.2399801372165	0.920041825005659	-1.56484975	2.32335825
araw1276	0.6666746023465	0.952672800898523	-1.01497925	2.71740825
arbo1245	-0.25936766761	0.915657045941127	-2.303814	1.4736075
arch1244	-0.3763518326891	0.939316600061441	-2.35474575	1.38278675
area1240	0.167954871009886	0.885514457811844	-1.63641025	2.139844
aree1239	0.10203996528925	0.797057012406965	-1.51486375	1.7407295
argo1244	-0.331907876113	0.938995006813415	-2.46777975	1.410595
arhu1242	-0.235646557728	0.94770052565939	-2.26005425	1.60416575
arig1246	-0.28047429266995	0.915233292725767	-2.1602495	1.48862375
arom1237	-0.4751605444357	0.958781310256732	-2.50341275	1.2791165
arop1242	-0.0100878327065	0.84543782727311	-1.78087675	1.70955025
arop1243	-0.82570151296435	0.922194282550514	-2.93360525	0.742450549999998
aros1241	0.3120590936948	0.911988347041124	-1.37095275	2.4390345
arta1239	-0.3249407921675	0.822576130108729	-2.06715775	1.1733185
ashe1272	-0.0408677657625	0.872336988173479	-1.865308	1.7319655
asoa1238	-0.68132927662605	0.999355484179158	-2.95428725	1.19577175
assi1247	0.1388256316034	1.00177731981992	-1.7967645	2.2831835
asur1254	0.17939435657845	0.883604541418819	-1.58928375	1.9656205
asut1235	-0.0190153850815	0.912818144549132	-1.893089	1.81621225
atam1240	-0.8615652623724	0.971249265254178	-2.95911175	0.767076475
atay1247	-0.9035811106186	0.989652432481533	-3.0191975	0.756078274999999
athp1241	-1.20890415022135	1.08802732457259	-3.7018905	0.424088324999999
aton1241	-0.48148640294895	0.942425722470134	-2.5349905	1.23867725
aulu1238	0.5096438587065	0.805798506111945	-0.961102275	2.22921475
auuu1241	-0.1386735508475	0.798095797834275	-1.769833	1.45841125
auye1238	0.1935387512175	0.871020467422373	-1.55137575	2.02810875
avac1239	-0.3935833899503	0.958597427210365	-2.53400275	1.40793275
avok1242	0.17662860003935	0.86557679727442	-1.47268925	2.06366925
awac1239	0.433162059254	0.977260943247562	-1.478008	2.57765725
awad1243	-0.54597695217365	0.988721158877209	-2.67209725	1.24759875
awad1244	-0.746869343721335	0.852705937862464	-2.67713125	0.685041875
awap1236	0.02002278492865	0.759425568622972	-1.5343195	1.581023
awar1248	-0.49184677494345	0.789223004336422	-2.20025975	0.996397424999999
awar1249	0.0327775034005	0.811310001569611	-1.5784005	1.67655075
awet1244	-0.42890256918787	0.857175493406342	-2.31094675	1.143041
awji1241	0.4637863527138	1.00032357160737	-1.31541075	2.68384675
awtu1239	-0.1359922848124	0.788248766505256	-1.78608775	1.47845425
axam1237	0.48111753063286	0.807846740322565	-1.009545	2.18864725
axiy1235	0.64102562147295	0.973514146744453	-0.988738225	2.893842
ayac1239	-0.19027311850305	0.993851767780378	-2.34395625	1.720591
ayiw1239	-0.016190277701	0.814209305095603	-1.6771255	1.607495
azha1235	0.70699375623595	0.977957073933028	-0.94602935	2.89615725
baba1264	-0.2158865153613	0.843025283416439	-1.94339425	1.4358715
baba1266	-0.03363319385635	0.838061984192746	-1.7266115	1.659324
baba1268	0.1252065908735	0.904223732295312	-1.7203645	2.067467
babi1235	0.1101383431601	0.958467480064536	-1.74609525	2.15765675
bada1257	-0.23469465919145	0.951063692791207	-2.237472	1.63078475
bafa1247	0.3020693583372	0.938969495043235	-1.512593	2.35260075
bafu1246	0.0557058211845	0.823901504942522	-1.59498125	1.734217
baga1272	0.14997758552206	0.928171848277065	-1.6580875	2.17418625
baga1273	0.16131325585235	0.907956098606333	-1.575885	2.0812325
bagi1246	0.409283597261	0.848212204587799	-1.16443375	2.26806275
bagv1239	-0.3149115579895	0.92638614486124	-2.38547375	1.3802225
bahi1252	-1.251265455505	1.06584197708707	-3.64543225	0.366560274999999
bahn1262	0.35429725918035	0.962907920553435	-1.453049	2.479063
baim1244	0.26650848925495	0.879449248234316	-1.3975315	2.17250275
baka1272	0.2406827739121	0.92036366131249	-1.51278675	2.27403725
baka1274	0.01450038425026	0.875584235443888	-1.81839725	1.81599225
baki1244	0.20314346110725	0.783987128649798	-1.39919075	1.804718
bala1311	-0.83496704670385	1.01176916593202	-3.0138085	0.908988474999998
bala1315	0.08796839073063	0.935421719149135	-1.7860145	2.1430095
bala1316	0.166879084131	0.91523023680799	-1.5985065	2.05607975
balo1261	0.01038837032	0.878420624479667	-1.824317	1.84485175
balu1257	-0.2851592211478	0.927142737089787	-2.24322225	1.6025135
bamb1270	0.18963149194715	0.997923062906913	-1.74771925	2.38739475
bamu1253	-0.37055913433365	0.910226724407105	-2.31593	1.3152335
bamw1238	0.4287762768401	0.917837935901015	-1.26677325	2.435388
bana1288	0.1106743650577	0.784827711672999	-1.475912	1.66247525
band1344	-0.06162667607143	0.987907938752342	-2.098202	1.880171
bang1354	0.230173721933	0.921126246112336	-1.53881925	2.20145025
bank1256	0.27784204859675	0.937838450062884	-1.590543	2.38068475
