Estimate	Est.Error	Q2.5	Q97.5
abad1241	2.60778391423203	1.64070675455799	-0.508250104592368	5.90416833495536
abar1238	3.14463032662807	1.90864100008278	-0.545297581967735	6.9580603370213
abkh1244	0.812553979852324	2.33354787966036	-3.70549417915103	5.50778787403624
abua1245	-0.0464338480063078	2.07440596030099	-4.21351268648458	3.98011293610888
abun1252	2.78807347216957	2.70922347068728	-2.14352388885049	8.44709978845964
acha1249	0.734599227542462	1.71071560310409	-2.65208958526757	4.15416548197458
acha1250	0.887847602173964	1.729567677891	-2.5082016674793	4.32449295809148
ache1245	1.90322812770054	2.19820203250383	-2.20841489810735	6.38231567229893
ache1246	1.36795928476568	1.75478538041633	-2.00604275973693	4.94207805573622
achi1257	2.81072916150658	1.71455438601874	-0.425022044479545	6.26868404322991
achu1247	-0.70489660589264	2.28169523347175	-5.35443870440051	3.65233273842728
achu1248	-1.26858377077935	2.11262718785103	-5.71886788888856	2.54610451083904
acol1236	2.29579158753713	1.84995813087807	-1.24027565795076	6.12745658536246
adan1251	2.66891566268524	2.77301709429478	-2.33559360679065	8.43306679689114
adny1235	0.369797356724567	1.87850142780819	-3.34030205069866	4.11278538763846
adon1237	2.84821472916891	1.7420958237131	-0.431977219580041	6.47909507808579
adze1240	2.78016077289259	1.69839994183003	-0.48196382651351	6.18325382112257
aeky1238	0.665545522696481	2.18121770739888	-3.62557565365541	4.88486047985255
afar1241	-1.63034198027687	1.75275542078634	-5.07263973754804	1.72353448299696
aghe1239	2.90408951517584	1.75435244584658	-0.493507635586172	6.45772115540176
aghu1255	0.653326210820465	1.85000805692349	-2.90585170764777	4.40063907814862
agob1244	-1.89954773901981	2.56143496746282	-7.29668238839633	2.77212762466055
agua1253	-1.24903339874119	2.11270299943154	-5.6566254296305	2.6804599444688
agus1235	0.0607135017222355	1.62788446219002	-3.24614308431932	3.20112974981423
agut1237	1.75591219650961	1.74792386314616	-1.69461730516581	5.22397714491111
aheu1239	2.80942917601264	1.88075069254824	-0.790152560238771	6.62681673446562
ahin1234	1.28159336599892	1.63513846699933	-1.86761015340425	4.56801706834163
aika1237	-0.50964233625094	2.36516634208109	-5.34116025165359	4.03020126328855
aime1238	-0.669549181804115	2.68713370015318	-6.24081590912094	4.22625758151823
ainu1240	2.05227908004953	3.19468247385119	-3.66410336608267	8.81378307849968
ajab1235	3.20190776881663	1.79986416604575	-0.270407216622516	6.8336550557026
ajas1235	5.66963154756398	3.7805027141684	-0.496650409842135	14.2441293198141
ajyi1238	1.812073376944	1.76864578181646	-1.65707840437773	5.41886833676627
akei1237	2.4477102325295	1.68585422363997	-0.779577511368608	5.77416712801577
akha1245	0.675959805535279	1.69653341739552	-2.73238576218423	4.13743860260874
akoo1248	3.79570014049796	1.74267633166074	0.454717359886298	7.35067597469625
akun1241	-0.273989803321502	1.95222068315259	-4.28415076248534	3.40047562851514
alab1237	-0.752157118688723	1.92899964304989	-4.59512687004171	2.97947577324326
alab1254	-1.71153476629394	1.75027396470148	-5.29168484825508	1.6611152038203
alag1248	-1.62982433496808	1.80425183240056	-5.31507970912383	1.84336989215406
alba1269	-0.0429165505127066	1.63897828988806	-3.28664082089415	3.26597481151993
aleu1260	-1.21215384702483	2.18074757235886	-5.72236487106254	2.77863167815773
alor1247	2.8546558050241	1.73957138958151	-0.382892334283297	6.48895949471411
aluk1238	-3.74583582474556	2.11854999495931	-8.17915766262336	0.154752244861869
alya1239	1.08152564643609	1.80827611188444	-2.45724286873234	4.74274654869618
amah1246	-2.83513583445468	2.04032390437407	-7.19250274114358	0.946380615919038
amam1246	0.868764226759186	1.93204045355446	-2.91675817466828	4.7455649922788
amap1240	-1.8809584565102	2.8020423704598	-7.96322964516799	3.27397722669962
amar1272	2.28172818096182	1.66570150363054	-0.91873793061947	5.70077030023283
amar1274	-0.529499103955608	2.29521092737247	-5.30842092912673	3.76823397971198
amas1236	-4.09451574667612	3.99996706935586	-13.2869672893243	2.35336203410091
amdo1237	-1.1575550676056	1.70612889213241	-4.60440705643963	2.11710106909835
amii1238	0.402077574953429	2.30064932118847	-4.21126369654908	4.80296312121369
amis1246	0.525542764402913	1.82749030335899	-3.26571297773002	4.14450872095171
amri1238	-0.235451984989655	1.73970617014242	-3.68902760576977	3.22757223634879
ando1256	1.47237984818986	2.26745801814533	-2.91804146667714	6.05142124239051
anei1239	1.73564186489786	1.67101204310079	-1.50219949535793	5.05127617940169
anga1288	-1.40608918571986	1.79445836352015	-5.06830222146857	2.03344271913574
anga1290	-2.13204635550651	2.73610142096642	-7.98860484488758	2.93747378800531
anta1255	2.40296580071475	1.6545100153634	-0.753859241368812	5.80712023957641
anuf1239	2.84700270550781	1.7657337467954	-0.531366294857273	6.39492933456915
anut1237	2.49439382208747	1.57645090541193	-0.547509710186346	5.72195059800105
anuu1241	0.117577276103136	1.87712659527166	-3.61975832825993	3.76980529133049
aona1235	-1.42891834405698	1.79905147944297	-5.14469144540651	1.94175168020713
aoua1234	4.99563066367936	3.09729226567897	-0.284925652526924	11.763384899329
apat1240	-0.516581498496176	1.69804155601275	-3.92453445122121	2.81459326359181
apin1244	0.694174901796482	1.96432233423856	-3.24984196600257	4.53310773933212
apma1240	2.58059888593366	1.67839306601246	-0.576322459483772	5.98549477553569
apma1241	3.43392948845405	2.67605678510514	-1.44351606159102	9.31545229357471
apur1254	0.972239502660203	1.779202707326	-2.53247010056966	4.49975606129853
arak1252	2.44724271681306	1.70217505935309	-0.832024943300127	5.84591245707879
arao1248	-2.6729482877988	2.10328299267611	-7.10375649040515	1.20804901396956
arap1274	3.14709821541729	1.97865683519907	-0.583080029421975	7.27313976826262
araw1273	1.1051634680715	1.82695712076181	-2.45626928864252	4.78813449004099
araw1276	1.30841662320404	1.77672218759902	-2.15574726930918	4.85146545271041
arbo1245	-1.67066744950762	1.69371926226964	-4.98083088535929	1.6350619866541
arch1244	-6.54893223143514	3.45708377147576	-14.2663599347487	-0.878356654247892
area1240	2.68962830466075	1.67657169989028	-0.551277835748814	6.16274608714811
aree1239	2.4132756644202	1.66806527192004	-0.796887427896218	5.73306833730751
argo1244	-0.426884195049416	1.82234453380383	-4.14515216667133	3.13490409301009
arhu1242	-2.02062828001943	1.90699940658449	-5.85162240465647	1.59919575790891
arig1246	2.76338289648753	1.82015359553819	-0.635286658522112	6.34040779678898
arom1237	0.839724156128128	1.72469811615476	-2.57891046954728	4.26826009475707
arop1242	2.59561051409498	1.70675139911052	-0.717261188515915	6.07748160231856
arop1243	2.12922428017619	1.65643785414257	-1.12844752230381	5.43791466759273
aros1241	2.73597219646459	1.7142969808885	-0.617721151705785	6.23907826562227
arta1239	0.890034254811237	1.65870596583533	-2.39760461585979	4.140846906287
ashe1272	1.80748837214691	1.76266600225764	-1.64154035732724	5.41294418883297
asoa1238	0.620163512349903	1.63704629350461	-2.55811574599343	3.74527222410282
assi1247	2.53778795033607	2.27658505016286	-1.69432281728676	7.17370131508051
asur1254	0.72221560530527	1.66766208443703	-2.56938235756625	3.91547484022592
asut1235	2.95122800730401	1.65786610154546	-0.26035299249177	6.25742913755189
atam1240	0.0599180643480621	1.63754223956244	-3.18078748777521	3.21413970358841
atay1247	0.971723801464015	1.83670979116098	-2.6604121720451	4.48450811667014
athp1241	-2.12719294497381	1.86492434169356	-5.99388678955416	1.41725849335025
aton1241	-1.03441342543911	1.79472050844914	-4.63649312113123	2.36959516922138
aulu1238	2.79966040909942	1.68480359713701	-0.488189006534309	6.20531203743764
auuu1241	1.38661821233476	2.03756453786735	-2.59979272120505	5.49416680179574
auye1238	-0.0153394818341049	1.87007974393869	-3.68363477787108	3.76479309217546
avac1239	0.43746088958747	1.81205608110342	-3.10428203866851	3.94760171561434
avok1242	1.43706777585117	1.67351853912116	-1.82823110528482	4.72398176192197
awac1239	0.45514196078253	1.97975623370243	-3.43716034207141	4.43283029939009
awad1243	-2.04498879610265	1.92578884239471	-5.97711052745654	1.52634406641267
awad1244	1.22793901601543	1.66219649698033	-2.07663422655633	4.51734904233911
awap1236	-0.414407632475847	1.92505205273648	-4.30275262061242	3.36476636295955
awar1248	-0.182203737797807	1.91015330113457	-3.9085784341526	3.62225185402787
awar1249	2.99489256542947	2.71114916593083	-2.18904155702457	8.6188817077749
awet1244	1.1767237892072	1.86127844172866	-2.48764429489073	4.88318163706256
awji1241	0.189911123154298	1.75590201243762	-3.12877820765437	3.67409519415063
awtu1239	-0.0691367387421646	2.0746049055216	-4.18596349629634	3.98210638812371
axam1237	2.84631942308283	1.67350523804003	-0.361527116006411	6.26694157605564
axiy1235	1.12883672968787	1.71549908379851	-2.22595866551145	4.56439708217596
ayac1239	-1.07556335994252	1.911976277793	-4.91982295283467	2.61616743804568
ayiw1239	2.39968869323118	1.71528301105163	-0.94543678951077	5.84506978969551
azha1235	1.10933694250353	1.72131387850494	-2.20770154336425	4.50588967534728
baba1264	1.84555591254813	1.70588345787388	-1.50855077805177	5.14388565798388
baba1266	2.95000683308056	1.75379483714508	-0.466497980130892	6.48009609324331
baba1268	2.45474387065591	1.69432165287162	-0.834930805471591	5.8994763327213
babi1235	3.76073022691506	2.09218892836571	-0.211367687179463	8.13427815498522
bada1257	-3.74020413900281	2.13255696195718	-8.13996461814062	0.194135084361106
bafa1247	3.78257719998888	1.71964272768893	0.502805588784605	7.23193277292078
bafu1246	2.24340519266904	1.73028174379786	-1.13667434694441	5.65525852402538
baga1272	4.05970294555132	1.88267686028089	0.571978931422492	8.01007375560164
baga1273	4.05808688554147	1.89807274271768	0.551488385644104	7.99165555398956
bagi1246	1.55331086269865	1.56636703467035	-1.46791520238833	4.706284333649
bagv1239	-6.5649971195593	3.41070717340982	-14.2932731348692	-0.959101154965045
bahi1252	-2.1987312155908	1.8608179146614	-6.08201681001886	1.26616739805827
bahn1262	3.12208839409287	1.82914832388493	-0.435876146067911	6.77423546579129
baim1244	-0.957644201985881	1.67138689029908	-4.32147009805166	2.22807762710059
baka1272	3.13251994345449	1.65631951179762	-0.0813158164575396	6.52069551345778
baka1274	1.15270852478558	1.57614830895381	-1.90329832056206	4.23827444480334
baki1244	2.11831836357353	1.64111685616848	-0.981690017773048	5.40792458440608
bala1311	1.17329168090249	1.66921607050527	-2.15053621020717	4.40911424958326
bala1315	2.1966901365626	1.74329057984569	-1.26285529117219	5.61632989805311
bala1316	2.5141414399259	1.66040949486342	-0.690552737561446	5.82116715778744
balo1261	3.01678359311779	1.62675375625266	-0.0889535413697212	6.28377964591025
balu1257	2.12735560829989	1.66200754090297	-1.05440308250564	5.42060853707146
bamb1270	2.34766322946824	1.72756386936968	-0.951030398846152	5.836210499315
bamu1253	1.84433071055497	1.71513317184474	-1.5400772138279	5.11589106806404
bamw1238	3.04702640701812	1.67207390082145	-0.222093722308061	6.38133015524132
bana1288	1.01833310436431	1.61989135470231	-2.23017866003211	4.14563771078092
band1344	2.5227338371119	1.60508946765688	-0.596424367637326	5.6995825081052
bang1354	2.9997903022039	1.62538621738445	-0.117317094927546	6.23684329370708
bank1256	3.65314006426395	1.77043265179302	0.316481499476747	7.29184680297929
bant1281	-2.11330136383318	1.87463363691093	-5.94947399686216	1.41524669444915
bant1288	0.218816218285735	1.60120416097549	-2.85719225997514	3.35897766490583
bara1357	-2.05448095072786	1.86619462719016	-5.87772300004483	1.39101703383065
bara1361	1.72695169528914	1.61410168017124	-1.48646881770275	4.87684413348829
bara1369	2.39971131381742	1.65483101823749	-0.738162064482117	5.81887635521584
bara1370	2.50342351344872	1.72310604178393	-0.842508759929686	5.97427058027645
bara1380	1.97629539784174	1.80234203589512	-1.53074150375044	5.59019406530242
bare1276	0.728222447597956	1.77572224253159	-2.7880952981017	4.19430593913052
barg1252	0.178091132789112	1.97271073741326	-3.58287778364149	3.98132267098041
bari1286	1.38088689794852	1.67410688410738	-1.96148539749555	4.67561372612678
baro1253	2.05099111548914	1.6733606386422	-1.19596308538984	5.37561822602901
basa1282	1.75802143851785	1.7633499367285	-1.70903909363098	5.22718205831315
bash1264	-6.60815782077684	3.41327703885839	-14.4298678468907	-0.991748097632111
basq1248	-2.68347434287352	2.92978806423076	-8.99337184880633	2.528378223201
bata1285	3.80524568845948	1.75489863767002	0.465882525615015	7.37477588455317
bats1242	-6.52385418123943	3.44797454874305	-14.1226885741314	-0.800971205227048
baur1253	1.59506289241315	1.79903477472066	-1.91802988721705	5.13791290260402
bawm1236	-0.544382494615311	1.70575256060754	-3.93800732793838	2.78808409045276
bebe1248	3.70605763059994	1.76589909042347	0.33670498921602	7.26122704770884
beem1239	3.04105709886216	1.69427126023023	-0.291791490914371	6.36621083269979
beka1241	2.51889517251444	1.74730737283825	-0.874088373390488	6.04798570640761
bekw1241	1.60902723396317	1.83587051529586	-2.06889237200673	5.17603016865928
bekw1242	3.76624841745534	1.73225897594067	0.492566241074403	7.23741367959548
bela1254	-1.77778247881008	1.83724273533383	-5.54255381210763	1.63442735203388
belh1239	-2.12128743318371	1.86564945070444	-5.95581712947341	1.44360133088558
beli1257	1.4041285038017	1.58710872776737	-1.64111549449049	4.59699339612199
bell1243	2.46125169242173	2.00900114659514	-1.37969037293876	6.51288694060617
bemb1257	1.70126333474118	1.63345572598332	-1.54487699664659	4.90131277456671
beng1282	3.81172457441753	1.74152750483492	0.519318197332747	7.31243494405563
bent1238	-1.1824203125238	2.28166887835622	-5.88684831141375	3.09295675808604
bezh1248	-6.54962135254	3.40123400089858	-13.9520281614276	-0.968890164867057
bhoj1244	-2.141877407317	1.89112174011505	-6.08156575072184	1.45315549301226
biaf1240	3.84572560899822	1.91396689163069	0.237557236713547	7.80467910414687
bian1252	-0.667532355097478	1.99612913534667	-4.69870662648434	3.24969880644156
biao1253	5.02867740794959	3.10340406709002	-0.304307338278804	11.7716352811018
biao1254	5.35062701233752	3.00841020068552	0.124867210131059	12.0279106127764
biao1256	5.35161579255563	3.00185657475492	0.302735851170282	12.0696396180267
biat1246	2.55294461974632	1.7425509349559	-0.758376448858918	6.10599260481809
bier1244	2.01900442142745	1.64403277374166	-1.17405059717873	5.30441888863082
bign1238	2.81124603439513	1.67724214096627	-0.381359747469182	6.1712182054161
biha1246	2.85888956596515	1.71882412576745	-0.452069484999925	6.31674707231152
bila1255	3.5306584660892	1.76407494585606	0.262656762052614	7.18402228490053
bilb1241	1.2248742056741	1.63492535358219	-1.97624399012755	4.50116659764332
bili1260	-1.76558735315263	1.75898401444755	-5.32906522084066	1.56109222830379
bimi1240	-0.0889899225642678	1.87132390008149	-3.79978757201871	3.49763866154686
bina1277	-0.557313150033471	1.87498140530293	-4.29190599518158	3.10096336731907
bini1246	2.04981798449501	1.71586508359771	-1.27450310008367	5.41289973604468
binu1244	0.0169649772242433	1.64889047958179	-3.28354085179931	3.22970097707625
birr1240	0.608799216130806	1.63326116342337	-2.62312323710477	3.78621476772875
bisu1244	0.750908107633742	1.70009429386931	-2.60329615660817	4.10939759288532
biwa1243	-1.68145879474748	2.8552529795262	-7.75381221371364	3.57715726361079
bodo1267	0.328728139711046	1.67955751872382	-3.08445327810771	3.4923098715968
bodo1269	-0.987374344445731	1.79890806614191	-4.66303907341325	2.49851260543111
boht1238	1.91251008118324	1.71194708146678	-1.426464162656	5.3309090791231
boka1249	-0.611885749877908	1.71012126890078	-3.97630931856055	2.67603544591639
bola1250	2.54853141687041	1.70911367527671	-0.685637570416397	6.07410514114106
bolo1262	2.72251774907135	1.61618856658908	-0.356971043507079	5.92624607107123
boly1239	2.8218692604051	1.88123958337684	-0.829749838815379	6.5957284385011
bomb1262	3.05013600795935	1.67186529665851	-0.219184889442845	6.36124966033343
bomk1234	4.04270886527991	1.90887554884757	0.489226536135856	8.00414764176247
bond1245	0.374607842622939	1.67670639307049	-3.03419599503607	3.61150273093203
bong1284	2.82899881836366	1.70183594932378	-0.471195960263073	6.15943442980954
bong1285	1.45618968720066	1.60170720964393	-1.6139225507288	4.68262808047398
bong1289	1.82915470601536	1.68769996666212	-1.38061100197578	5.16197037831603
bora1263	-0.33361516823521	2.25313607901688	-4.94247344746392	3.97706913386149
bord1248	-1.69982026632026	1.86827950803116	-5.46530562817292	1.84432338382527
bori1243	-0.279146669220315	1.72710996795671	-3.69509195452285	3.11182389229098
boro1277	-2.49322103581261	2.10768141952185	-6.75588609345074	1.42585004064297
boro1282	1.74472479278622	2.25908278686326	-2.52509660707709	6.3713660437301
boto1242	0.818218029649339	1.67843839553248	-2.53517563562583	4.16352642590158
boun1243	3.03414192118839	1.76177992968693	-0.349817467373768	6.63161047971655
boun1245	-0.259424370259046	1.80213095346848	-3.84571853409804	3.20246046502531
brah1256	-3.43458678637937	2.24949632774843	-8.13150620678811	0.793420395296175
bret1244	0.785256509808708	1.80937183101402	-2.77592083154326	4.29150200967724
brib1243	-1.86946047756381	1.89334544156235	-5.66478139546368	1.76093621634996
bube1242	3.33231222549685	1.7932371226143	-0.205990661227623	7.0293954803726
bubi1250	3.39781818047264	1.77253382426281	-0.0477402288424812	6.94522528080943
budu1248	-6.5517767527955	3.43053608185198	-14.3880428420739	-0.977844446505261
budu1265	1.1331017276364	1.6513091226248	-2.04354679617488	4.39579709331126
budz1238	2.46217699057006	1.65355840599157	-0.827516142653833	5.72121575732678
buga1247	2.82341265874596	1.87653564225695	-0.845392246468983	6.60050719909422
buga1250	2.7045179118483	1.71862438811219	-0.659488497998275	6.29463419162949
bugh1239	2.80059956013042	1.71740877023263	-0.463087962996608	6.30051795717842
bugi1244	2.34374769303859	1.71729909850342	-0.960536964341348	5.78372955070789
bugl1243	-1.48746072791871	1.85235135851425	-5.19725139030015	2.09249707403541
bugu1246	0.403051216258092	1.83254530032414	-3.24142769383625	4.00612428903777
bujh1238	-2.0376334447564	1.87028484150632	-5.7841366412113	1.44979568243156
buka1257	2.55592595216119	1.74910371866789	-0.773473172866088	6.09525188320058
bull1247	4.03744454662507	1.90934330048302	0.481900788579777	7.99243782043299
bulo1242	3.12040758590978	1.80197035106805	-0.341393679678501	6.74305416486062
bulu1251	3.70442101910217	1.78131576240426	0.225435725020362	7.29396049060201
bumt1240	-1.43456473764746	1.73848152135649	-4.90111088306749	1.89819118165931
buna1276	2.19019292570482	1.6540944036786	-1.04988754131606	5.47789219153834
bund1253	-2.08990459154133	1.90976666373521	-5.94262600607279	1.49615955592193
buol1237	0.270164387593492	1.67899419604766	-3.03342009555006	3.48750130633384
bura1292	1.21939160823226	1.65998706244298	-1.93173388901851	4.51396738411132
burj1242	-1.69575519576988	1.76886791007017	-5.28987272445019	1.59130023737065
burm1264	2.10302634081887	2.45117258755264	-2.58431561538738	7.19110187719082
buru1296	-3.77907014407783	3.84279359044439	-12.2538598246529	2.72544917678414
buru1320	-1.64698522720904	1.82249275312999	-5.31283356378499	1.87036491147481
busa1253	5.40297661080712	3.58666720184094	-0.396812132704173	13.4224800312501
bush1247	3.12215002164374	1.6730230578638	-0.0380853173779015	6.43704618869679
buwa1243	0.895572412135422	1.66216169366191	-2.37772815073233	4.18061155547338
bwai1242	2.55074286530101	1.66130454734321	-0.663762790400205	5.9286162703095
bwat1240	2.26907037100518	1.66776390757383	-1.02704311938913	5.61730157394518
byan1241	-0.951280128153286	1.74408754784431	-4.49676019830785	2.43383468122823
caac1237	2.4666854730229	1.64670644002323	-0.750825836424656	5.6526843087954
cabe1245	-1.87389393146408	1.88305469972964	-5.60325284386047	1.8249763766877
cacu1241	-0.850007889854585	2.37285573664479	-5.73936060660788	3.56429563210355
cahu1264	-0.864427870891066	1.82062322549864	-4.56818058781069	2.60922574471976
cakf1236	0.587284297143156	1.67388204055869	-2.67305628373098	3.83495733419344
cald1236	-0.974280609605611	1.85147858634376	-4.69068825020864	2.50366962633582
caml1239	-2.11731522077295	1.86616783619886	-6.03271284427916	1.39349920600345
camp1261	0.92896506271928	1.7059789815682	-2.37404292407977	4.25374365253434
cams1241	-1.0275244075962	2.21891169042327	-5.67035541127743	3.19546335949367
cane1242	0.357340975094845	1.97900545400936	-3.56216791861173	4.25181994097898
caom1238	5.02655430670304	3.06649350133838	-0.196060486380173	11.7333589150185
capa1241	-2.82853341091001	2.04932922107033	-7.07176363649926	1.06106667531097
carn1240	2.79115188830811	1.83768501385237	-0.690468600782224	6.41755031948506
caro1242	2.16121954002461	1.6029732635975	-0.976257976557363	5.32648638117732
cash1251	-2.75118551544927	2.07732877076423	-6.97626898680462	1.13830731211306
cavi1250	-2.63681421608275	2.13508023436379	-7.10270872561297	1.2699272418154
cemu1238	2.00420999138664	1.65529505269287	-1.25945356223259	5.29058022894906
cent1989	2.58608451999479	1.82420050635078	-0.939639621517842	6.20818108321116
cent1990	2.80740943351748	1.83177874169707	-0.675675242773464	6.53459567562158
cent1992	3.11387245581217	1.80258116086231	-0.348897199454242	6.82403381843448
cent2050	0.902260451481966	1.97460557128578	-2.97838420054283	4.80474100023009
cent2058	2.1239093260246	1.6834238269819	-1.09683635181395	5.4766611719366
cent2084	1.56440800863831	1.63861870244045	-1.63020774256313	4.85678724460558
cent2087	-0.078594297291242	1.63260656655299	-3.32479702520045	3.12022434140355
cent2090	0.201449601322492	1.67829883198187	-3.14470289458036	3.45342172144492
cent2100	2.23766319495654	1.6241158254021	-0.881967149821101	5.37918137041139
cent2126	-4.21301775972603	2.78510083959902	-10.6123334388543	0.517101322876635
cent2127	-1.25535039242028	2.20554706880286	-5.7515920508789	2.91460421933325
cent2131	0.475399249600382	1.78269841790137	-3.13397856187105	3.99041767509462
cent2140	-0.87330593745431	2.25609752397458	-5.50006107936234	3.36803924935234
cent2142	-0.898951838115892	2.08312616671957	-5.24450639546306	2.87993820678996
cent2150	-1.97796119882276	1.93592546119002	-5.88681470749749	1.80711620337922
cent2292	1.05829791194667	1.64008217251987	-2.23267649787775	4.29045870140775
cent2314	2.74793070129422	1.87922468469438	-0.838354094756706	6.461652870095
cent2322	-7.29984765005232	3.30061058243709	-14.7263226385015	-1.62151760409423
chac1251	-2.81889355359481	2.03698857983561	-6.97285740754837	1.00231204691842
chak1270	-0.531447397861171	1.7313669099178	-3.96202088678105	2.78965202859793
chak1271	3.16349573474638	1.72131735994856	-0.13658355196223	6.73380232532192
chal1275	1.82925042388789	1.71202673960327	-1.56736689826646	5.27831256590037
cham1309	-6.56388589728542	3.4247743597185	-14.2671899248922	-0.857697045099248
cham1312	2.08591243862606	1.74663801244553	-1.24649250654186	5.60514720780517
cham1315	1.94986320839508	2.36890377928479	-2.60013319737282	6.80612563147084
chan1313	-0.183458865098224	1.74137482662874	-3.5977099733837	3.23268659764302
char1269	-1.66609232890985	1.98884076483935	-5.77576317566005	2.22219425925109
chas1234	0.752014872426927	1.70336194289996	-2.61317676161128	4.15170830426808
chec1245	-6.53181127753774	3.44948884415661	-14.2156641810489	-0.736715731302102
chek1238	1.89583518773801	1.64899293696863	-1.3448568302169	5.12210504408665
chen1255	-3.73606812385084	2.12675562878655	-8.12566707098856	0.203390719675709
chep1245	-2.03871539532377	1.85896931008502	-5.77671277461468	1.43924425873078
cher1273	3.42799906777232	2.20097036560537	-0.688753686109437	8.01324449554502
chhi1245	-2.10613403808208	1.8689291955397	-5.9433907462407	1.42665340883632
chic1270	-0.378089552755695	1.91265323226112	-4.17285092314817	3.34052803083766
chil1280	3.78740774718536	2.09157058458704	-0.168084682181654	8.11745441326729
