Estimate	Est.Error	Q2.5	Q97.5
abad1241	0.3088329474965	0.887940214100812	-1.3457185	2.19041725
abar1238	0.5764381259655	0.985044975459673	-1.28775475	2.677292
abkh1244	-0.5499896755915	1.00152506642625	-2.65705625	1.24498425
abua1245	-0.334817119621	0.925473867842304	-2.33055325	1.3317245
abun1252	-0.731203332401	1.03842902996529	-3.024882	1.03441625
acha1249	-0.7376550820015	0.999409939611235	-2.93909375	0.994891324999998
acha1250	0.54954239934	1.00363709956922	-1.29044575	2.74052675
ache1245	-0.2692322012455	0.9864824696607	-2.46444975	1.58974525
ache1246	-0.277485517583	0.991218020503762	-2.3067885	1.6374345
achi1257	-0.0854593690165	1.06763765986162	-2.43148525	2.07299275
achu1247	0.49293424814455	1.0435751995192	-1.391202	2.75533625
achu1248	0.2972650739742	1.00473478604253	-1.59092675	2.43192
acol1236	-0.1489084776105	0.998132043511536	-2.25768575	1.72826725
adan1251	-0.452550102216	1.03482692438395	-2.704945	1.3956885
adny1235	-0.4365875283465	1.02479298527413	-2.8990475	1.48694675
adon1237	-0.31722255760235	0.986598074100718	-2.51186575	1.47047725
adze1240	0.013165155422	0.784138592243602	-1.602307	1.600823
aeky1238	0.0104048238185	0.900344174867559	-1.90473475	1.81097025
afar1241	0.4826624702645	1.06649562749203	-1.38729575	2.83116375
aghe1239	0.4616868856434	0.966948944776994	-1.31246175	2.52375975
aghu1255	-0.50152679176545	0.977809942851475	-2.63945025	1.243735
agob1244	0.68348048551225	0.986667806937123	-1.05759125	2.871125
agua1253	0.340003995038	1.03132989801752	-1.5685365	2.58466575
agus1235	0.024842365485	0.941868272818978	-1.9011035	2.0431275
agut1237	-0.391997514516	0.959806828708002	-2.48412275	1.441551
aheu1239	-0.1826607952595	1.06034398748355	-2.41607125	1.98229
ahin1234	0.48822863923	0.891275156423346	-1.07251525	2.556932
aika1237	0.04261549019075	0.867967614245073	-1.721263	1.77655524999999
aime1238	0.4111905684272	0.907855448224339	-1.30504725	2.338553
ainu1240	-0.1927489837755	1.06340537458264	-2.420211	1.8920935
ajab1235	-0.155993200883	1.02346867468832	-2.34984775	1.83970875
ajas1235	0.004351198536	1.02774107730749	-2.18235475	2.07563124999999
ajyi1238	0.0351843213365	0.941670160584103	-1.85505075	1.931663
akei1237	-0.249174091754	1.00585793935912	-2.2679445	1.69652825
akha1245	-1.009091823015	1.04472185066647	-3.3677985	0.668623675
akoo1248	-0.108238986065	1.0064195548105	-2.21206575	1.803019
akun1241	-0.00185357126825	0.89480694791462	-1.91148125	1.72574225
alab1237	-0.3408750675781	0.962722177745359	-2.42328175	1.422913
alab1254	0.702037604792	0.964739676014822	-0.96933145	2.9639785
alag1248	-0.68945728037	1.01421013132132	-2.9643505	1.0591535
alba1269	0.59830988303	0.981825753992076	-1.1475945	2.7452945
aleu1260	0.1313095053965	1.00964110793386	-1.925601	2.2782425
alor1247	-0.437960114755	1.00653202045838	-2.69589	1.4650805
aluk1238	0.2579858545465	1.04542769714604	-1.82066325	2.44823625
alya1239	-0.26133217438	1.00491620318065	-2.42136875	1.6643045
amah1246	0.2289261098973	1.04707364670161	-1.675716	2.47597825
amam1246	0.306676434822	0.890937731009609	-1.37831475	2.2366655
amap1240	-0.44638368015	0.869462940585547	-2.359922	1.15252475
amar1272	0.459414355263	0.972996288028808	-1.36104575	2.42561574999999
amar1274	0.363436331937	1.04033279086258	-1.6396	2.59378575
amas1236	0.2857535135275	1.02790013974686	-1.682158	2.47920275
amdo1237	0.422969389289	1.00642977252759	-1.48119775	2.7076455
amii1238	0.077518357216	0.903768204107245	-1.700431	1.978001
amis1246	0.8763644283355	1.03161949432431	-0.846071325	3.17514025
amri1238	0.226172344503	0.885778731344078	-1.44090025	2.03680775
ando1256	-0.0848896734235	0.931897055557079	-2.01607375	1.721592
anei1239	0.97571767167	1.07765383847044	-0.681548175	3.41663825
anga1288	1.32027132754	1.0315248515235	-0.264792075	3.60863325
anga1290	0.18072638406765	0.854210235462207	-1.52365825	1.993496
anta1255	-0.0865659103005	1.05345908806319	-2.2925115	2.0719585
anuf1239	-0.134431116385	1.01363345125601	-2.3031305	1.86820675
anut1237	-0.054628288835	1.06200150151725	-2.37075075	2.053375
anuu1241	0.2317290693505	0.904297815467448	-1.492471	2.218168
aona1235	0.60121329745505	0.835562894860834	-0.92012755	2.48061
aoua1234	-0.14935024990349	1.02524033561709	-2.34225975	1.84015625
apat1240	-0.423703730515	0.899116418341283	-2.341661	1.264472
apin1244	0.163711164149	0.964299932798705	-1.7616955	2.07911775
apma1240	-0.1016263948995	0.910215326350877	-2.04395725	1.69708425
apma1241	0.640008120042	0.895682444853356	-0.958015375	2.55638975
apur1254	-0.32082399307	1.01223596345006	-2.411483	1.59611425
arak1252	-0.2495635015603	0.951977392412741	-2.176582	1.576531
arao1248	0.385584793358	1.0226610187808	-1.511921	2.672534
arap1274	-0.14271511706	1.00827994665506	-2.23287	1.83204025
araw1273	-0.11578152593535	1.0652718979009	-2.41577425	1.99819925
araw1276	-0.35519504072245	1.00277836081716	-2.53633225	1.603635
arbo1245	0.1800950360135	0.899233478008516	-1.68342525	2.00335375
arch1244	0.436150320299	1.06630585660209	-1.55764575	2.76477125
area1240	-0.104299546917	1.01542260882551	-2.2325	1.987005
aree1239	-0.418271514766	1.02809287862311	-2.6906215	1.54684425
argo1244	0.7131450843605	1.05259913822404	-1.16842775	2.98121475
arhu1242	0.3742687299845	0.939541127116264	-1.389149	2.45300225
arig1246	-0.1477277734	1.04067394523237	-2.2845725	1.91872525
arom1237	0.657814756208	1.00326696955862	-1.10150575	2.91077625
arop1242	-0.2612906670115	0.896919912185584	-2.11718	1.4944705
arop1243	0.1974749694175	0.961502695765266	-1.70091225	2.17792825
aros1241	-0.1381806293574	1.04800827384686	-2.42152575	1.931923
arta1239	0.2996405753565	0.895472197793003	-1.344463	2.25497575
ashe1272	-0.30417102949815	1.00454022121136	-2.40055125	1.61619925
asoa1238	0.5320618499285	1.00134636698392	-1.31557925	2.71641075
assi1247	-0.208859750032	1.03256871949339	-2.44217325	1.77064325
asur1254	0.069913898626	0.987795683976752	-1.973234	2.12787625
asut1235	-0.238626825944	1.06727137317245	-2.514594	1.8956005
atam1240	0.181108976789	0.894534920427489	-1.61010325	2.0757355
atay1247	0.926961888152	1.04747273756088	-0.813941725	3.17950625
athp1241	0.5891607286295	0.888189326975586	-0.980651825	2.52854025
aton1241	0.10035062681	0.826696006778755	-1.4962485	1.8669155
aulu1238	-0.292947083685	0.880018364074439	-2.2162875	1.38099625
auuu1241	-0.34175447285	0.903058858623461	-2.2087015	1.4540845
auye1238	-0.02224115085795	0.903582066730362	-1.873905	1.81472425
avac1239	-0.18022844175455	0.996211100350483	-2.3189165	1.83320225
avok1242	-0.26728812118495	0.976886969624401	-2.52758975	1.55582075
awac1239	-0.1192676187665	0.98371577721854	-2.26252725	1.93613725
awad1243	0.5431120305635	1.00825991014124	-1.20683075	2.8485765
