Estimate	Est.Error	Q2.5	Q97.5
abad1241	4.46173534455	2.42913949246449	0.186792225	9.657628
abar1238	-0.278967551845	2.26522225976927	-5.00671575	4.1146915
aben1249	-0.3264304840615	2.49880325508275	-5.39711525	4.37085724999999
abkh1244	-1.402068458995	2.37485635749235	-6.507066	2.94849875
abua1245	-0.35187401078095	2.2001903943565	-4.69298925	3.94310625
abun1252	-3.102191158735	2.42976931674733	-8.304019	1.10510175
acha1249	0.212657988007	2.25684680261845	-4.2046295	4.63372674999999
ache1245	-1.20700949595	2.42512992591064	-6.154047	3.22457325
achi1256	-0.947266387905	2.57031363722425	-6.084694	4.03461775
achi1257	-0.18159442614	2.48204746355902	-5.10554425	4.65003099999999
achu1247	-0.773536978195	2.44332482791895	-5.63250675	4.16855075
achu1248	0.359061100665	2.42594708352305	-4.423186	5.06508449999999
acol1236	-0.538034543267	2.48204297647911	-5.3932765	4.413054
adan1251	0.1728478815418	2.25465740283595	-4.3498725	4.42661325
adon1237	-0.22573478996	2.29528208297365	-4.96674825	4.10402324999999
aeky1238	2.384794781505	2.46696015609952	-2.01810375	7.54729325
afar1241	0.9536160468345	2.27377713784606	-3.455653	5.753149
aghe1239	-0.15412378494	2.25624608462225	-4.9367685	4.274374
aghu1255	1.5918803173875	2.45267791640023	-2.78585825	6.73940525
agob1244	2.155850268505	2.34965760805776	-2.1675195	7.3066005
agua1253	0.722540134906	2.37210079063751	-3.88511875	5.6823895
agut1237	-0.20150238593	2.57835879235791	-5.58726375	4.6148335
aheu1239	-0.49743355643655	2.55654274686669	-5.563562	4.38757025
aika1237	1.31054771178	2.26834589410179	-2.925224	5.9165305
aime1238	2.7559742303695	2.50075838627876	-1.7964855	8.25355325
ainu1240	0.3751110959445	2.55538339273049	-4.5985925	5.8587015
ajas1235	-0.30280011774	2.57319297609137	-5.55147825	4.481991
ajie1238	-0.7112979916605	2.34601497495334	-5.61084375	3.5601375
akei1237	-0.925400721451	2.28244583288021	-5.70883225	3.3134995
akha1245	-0.461773671324	2.11455728799171	-4.6416575	3.8109425
akoo1248	0.837068922005	2.27550480165116	-3.63145375	5.1257445
akun1241	1.425578386555	2.30113709148425	-2.7900955	6.38950275
alab1237	0.7354922716515	2.31886596521556	-3.71287825	5.236794
alab1254	2.0222718146263	2.31980261318774	-2.14497725	6.910831
alac1244	-0.98062565351971	2.48148596081629	-5.83007425	3.67060525
alag1248	-0.0985543845775	2.07040267400699	-3.9972335	4.1148665
alba1269	-0.27125862597445	2.47492310966348	-5.443709	4.568584
aleu1260	0.810661301491	2.36186432074601	-3.5915225	5.572609
alor1247	0.1048963827215	2.27999614762286	-4.466487	4.406978
aluk1238	-2.31492076364601	2.2096882717963	-7.11641075	1.64854425
amam1246	2.8106972317245	2.25320354348085	-1.250942	7.697147
amap1240	1.87246365955	2.24401255775491	-2.400468	6.54856849999999
amar1272	-1.397328524655	2.27204482791345	-6.13685075	2.80130875
amas1236	-1.5591592118785	2.47440480309832	-6.93244325	3.23810099999999
amdo1237	-2.4666955856325	2.17705918701087	-7.03448975	1.53451225
amii1238	0.112557240695	2.32213967432043	-4.5004165	4.95800125
amis1246	0.63692654879	2.15539586175742	-3.7223695	4.9960735
amri1238	-0.366997040525	1.94288296369017	-4.26136675	3.45439025
anei1239	-0.216755313738	2.40973690514319	-4.94942425	4.39261575
anfi1235	-0.4394533500885	2.39402885144972	-5.3887435	4.461512
anga1288	3.0461241897255	2.18900047006743	-0.79422955	7.55804349999999
anga1290	1.6556359254645	2.06626754046331	-2.30855875	5.71157899999999
anta1255	-0.199492646012	2.59197346745532	-5.6820365	4.79430274999999
anuf1239	-0.451257826953	2.50016476896634	-5.73073175	4.42957124999999
anut1237	-0.247273482894	2.45801169009333	-5.05943825	4.58223625
anuu1241	-1.35886410724	2.03777389998229	-5.63533225	2.41948224999999
aona1235	2.421748573245	2.13140315997781	-1.59323125	6.61906924999999
aoua1234	-0.558594217985	2.53429569078909	-5.6123805	4.34849249999999
apat1240	3.188873594675	2.2899424103612	-0.939635	8.181253
apin1244	0.7353397922	2.3198020047376	-3.46096425	5.68316699999999
apma1240	-0.823936990982	2.19699948872634	-5.35612625	3.21123799999999
