Estimate	Est.Error	Q2.5	Q97.5
abad1241	-3.48311289578939	3.26846919670011	-9.99056078286412	2.77082046387128
abar1238	-9.38825271968799	4.4382047244201	-18.6966599390336	-1.08628947248849
abau1245	1.8863710936685	4.38350731699965	-6.39263603909153	10.7449734419587
abee1242	-9.09072375025628	4.04017620663839	-17.881343841147	-1.73887929786678
aben1249	-9.95751824156865	3.78235700086463	-17.9041561672027	-2.96304045729582
abkh1244	-1.92766560532958	4.23357314328878	-10.6256796601193	6.22065555526676
abua1245	-7.46548855742952	4.24450196745264	-16.1917066100031	0.281737454867136
abui1241	3.26455838979434	4.55647798944935	-5.4648010521173	13.0088734017978
abun1252	-2.20332102128906	5.31858030286263	-13.8963761901688	7.46462445675823
acha1249	6.42406230769434	3.47572123015226	-0.2383936072104	13.5091507392736
acha1250	-5.22734096083585	3.48936512836055	-12.3550589476475	1.46142427613466
ache1245	-11.0793982943426	8.87121859117883	-31.748200539059	2.65525733412609
ache1246	-0.195934777587336	3.37804655514535	-6.89800596148985	6.45529389834519
achi1256	-6.68845218702082	4.47996754282463	-16.1676164485072	1.49465215001876
achi1257	-9.80440899543652	3.64830664366695	-17.2167190985958	-3.15901999776063
achu1247	-4.04132817173985	4.67200615371784	-13.8678876019674	4.41563632165369
achu1248	4.46135206190499	4.27886405487005	-3.28578589003353	13.4306083730817
acol1236	-13.8523398820687	7.9005573553654	-32.4318675511447	-2.12894900877984
adan1251	3.35451877769756	4.48028344779	-5.0550754405273	12.669600458066
adon1237	-9.11773020007392	3.69542216468989	-16.6647268073474	-2.37084025449856
adze1240	-7.99964672781453	3.45901639646778	-15.3342612676087	-1.44142150122714
aeky1238	2.35904530905511	5.75100936420028	-8.13117293004349	14.688599421003
afad1236	-7.1873783310651	3.86510541358519	-15.1460315555137	0.0105109334103708
afar1241	3.13977020848097	3.17250937875728	-3.07923993983435	9.49387470799393
aghe1239	-9.99710311788326	4.2430496136393	-19.1045878118504	-2.17892251475776
aghu1255	5.79213071957725	4.30725049715771	-2.26780962927441	14.7273265545697
agob1244	7.55608711648449	6.4524903461115	-3.5608609951704	21.6468150780004
agua1253	4.40369382558231	4.26990587315724	-3.47582992520907	13.2927420009922
agus1235	-10.0446593994563	3.71879791972033	-17.688373366252	-3.31094568410409
agut1237	-9.59032469145767	3.73173909596269	-17.4640677896783	-2.80810127340984
aheu1239	-7.31469803831526	3.76189142607934	-15.2735702156402	-0.440852035548451
ahin1234	-9.96571455473406	3.7140044792856	-17.9377773620292	-3.23457797581521
aika1237	1.68489126220974	4.68167752707908	-7.09218505620721	11.6902297087773
aime1238	4.30358094808944	5.99891581395016	-6.34111835993426	17.30266116431
ainu1240	9.74357355897325	8.0434410506374	-3.58436417385928	27.6701475361099
aito1238	-13.6489642040536	6.49576223620956	-28.7146954638081	-3.32410803790443
ajab1235	-9.03758838211217	4.11876615877975	-17.7557746519624	-1.43444546504807
ajas1235	-11.840635485478	8.84630306310615	-31.9939858758294	1.88126563516005
ajie1238	-8.69676722650457	3.57844412342908	-16.037835689497	-2.12760007407508
akei1237	-8.50855824100203	3.52231467508198	-16.03790049753	-2.15063132908998
akha1245	6.42765265122949	3.40889239044749	-0.0723638361788919	13.3484176477106
akoo1248	-8.84386228521736	3.79581314821373	-16.5491744595956	-1.80763690010593
akun1241	2.1377654759939	3.68237867899434	-4.88774378740728	9.71550877364298
alab1237	5.22207487923922	4.22653262486718	-2.59583161214729	14.1646330000798
alab1254	3.48487276956475	3.2791468190155	-2.76396643782115	10.0972748500422
alac1244	-7.87090537710509	4.69383534978245	-17.6148229735566	0.859115917057091
alag1248	2.28871976298929	3.20139526883991	-4.04328042310646	8.47397636113327
alam1246	-2.60483449420109	3.86602470595186	-10.5285479600339	4.79323044556427
alba1269	-10.1037459167036	3.6674923190136	-17.7696106538187	-3.17141902619193
aleu1260	2.27239223096283	4.0315513084986	-5.54649170765591	10.6133950773208
alor1247	-9.13215524487887	3.70163016052547	-16.7717401298749	-2.32961413687942
aluk1238	4.33885714638438	3.72324464793792	-2.88867499532026	11.9150358753628
alya1239	2.28701149183063	3.37791733277338	-4.1097887254904	8.90516162897244
amah1246	2.26380348204064	3.3351955685225	-4.29747015403962	8.99571330562794
amam1246	3.43389850876932	5.63313671306433	-6.50008873170779	15.7860722236672
amap1240	5.9369817917563	6.55751382384062	-5.55816789032314	20.1697604159896
amar1272	-6.83673025941045	3.47349593432723	-14.147217752721	-0.178549991488693
amas1236	-10.5508329556014	9.18144561681609	-31.6114340080524	3.79409360592516
ambu1247	-2.43236482181837	3.732432533585	-9.99561036447073	4.75819758707432
amdo1237	2.69848890665904	3.06210838648443	-3.33810305612869	8.7249427737105
amha1245	1.68621124634463	3.48326295578275	-5.20069538667422	8.67045101845951
amii1238	0.490927752805432	3.97513493578025	-7.44252997485247	8.27012135478402
amis1246	-8.98850353948271	4.03927769679919	-17.2645377278153	-1.45827592136138
amri1238	0.809069196087157	3.22785914732333	-5.79318482109213	6.93690695903742
anei1239	-8.74061024684045	3.54959486616312	-16.1705775790042	-2.11175629988398
anem1249	-4.87012116961816	5.53542986148439	-17.1028348846342	4.72034050421674
anfi1235	12.8371885942635	7.51054827197883	1.32379013112332	30.7988506029584
anga1288	2.40722733708806	3.44264648796426	-4.52493257846974	9.11787781690455
anga1290	4.22552841186514	5.74013918996676	-5.78868744986226	16.590318243501
ango1257	4.50920706029847	3.63402625849949	-2.58261222630317	11.9289416875469
