Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-25.972286	-25.972286
1	0.950747	7500	-25.588351	-51.560637
2	0.926679	7500	-25.177742	-76.738379
3	0.902980	7500	-24.797731	-101.536110
4	0.879648	7500	-24.432407	-125.968517
5	0.856682	7500	-24.049953	-150.018470
6	0.834079	7500	-23.666449	-173.684919
7	0.811838	7500	-23.309301	-196.994220
8	0.789957	7500	-22.912972	-219.907193
9	0.768433	7500	-22.547900	-242.455093
10	0.747266	7500	-22.149713	-264.604805
11	0.726452	7500	-21.781847	-286.386653
12	0.705989	7500	-21.441745	-307.828397
13	0.685877	7500	-21.076292	-328.904690
14	0.666112	7500	-20.717387	-349.622077
15	0.646693	7500	-20.363205	-369.985282
16	0.627618	7500	-19.987123	-389.972405
17	0.608884	7500	-19.631083	-409.603488
18	0.590490	7500	-19.210803	-428.814291
19	0.572433	7500	-18.873904	-447.688195
20	0.554712	7500	-18.567504	-466.255699
21	0.537324	7500	-18.223135	-484.478835
22	0.520268	7500	-17.893368	-502.372203
23	0.503540	7500	-17.545440	-519.917643
24	0.487139	7500	-17.216768	-537.134412
25	0.471063	7500	-16.884835	-554.019247
26	0.455310	7500	-16.534391	-570.553638
27	0.439877	7500	-16.210546	-586.764185
28	0.424762	7500	-15.862072	-602.626257
29	0.409963	7500	-15.536507	-618.162764
30	0.395478	7500	-15.225805	-633.388569
31	0.381305	7500	-14.876934	-648.265503
32	0.367440	7500	-14.580914	-662.846417
33	0.353883	7500	-14.252815	-677.099232
34	0.340630	7500	-13.935904	-691.035136
35	0.327680	7500	-13.616755	-704.651891
36	0.315030	7500	-13.306696	-717.958587
37	0.302677	7500	-12.996311	-730.954897
38	0.290619	7500	-12.690743	-743.645641
39	0.278855	7500	-12.384594	-756.030235
40	0.267381	7500	-12.084181	-768.114416
41	0.256195	7500	-11.792152	-779.906568
42	0.245294	7500	-11.483254	-791.389822
43	0.234677	7500	-11.182009	-802.571831
44	0.224340	7500	-10.908168	-813.480000
45	0.214281	7500	-10.622943	-824.102943
46	0.204498	7500	-10.325114	-834.428057
47	0.194988	7500	-10.039137	-844.467194
48	0.185749	7500	-9.764562	-854.231756
49	0.176777	7500	-9.484506	-863.716262
50	0.168070	7500	-9.218569	-872.934831
51	0.159626	7500	-8.934206	-881.869037
52	0.151441	7500	-8.664073	-890.533109
53	0.143514	7500	-8.424969	-898.958078
54	0.135841	7500	-8.083017	-907.041095
55	0.128420	7500	-7.888680	-914.929775
56	0.121247	7500	-7.644515	-922.574290
57	0.114320	7500	-7.400410	-929.974700
58	0.107637	7500	-7.137235	-937.111935
59	0.101193	7500	-6.850579	-943.962514
60	0.094986	7500	-6.624645	-950.587159
61	0.089014	7500	-6.410204	-956.997363
62	0.083273	7500	-6.212125	-963.209488
63	0.077760	7500	-6.024846	-969.234334
64	0.072472	7500	-5.850715	-975.085049
65	0.067406	7500	-5.473245	-980.558294
66	0.062558	7500	-5.218843	-985.777138
67	0.057926	7500	-5.054385	-990.831522
68	0.053506	7500	-4.851244	-995.682766
69	0.049295	7500	-4.613430	-1000.296196
70	0.045289	7500	-4.611187	-1004.907384
71	0.041485	7500	-4.337304	-1009.244687
72	0.037880	7500	-4.043596	-1013.288283
73	0.034469	7500	-4.119641	-1017.407925
74	0.031250	7500	-3.874293	-1021.282217
75	0.028218	7500	-4.236322	-1025.518539
76	0.025370	7500	-3.998791	-1029.517330
77	0.022702	7500	-3.795835	-1033.313165
78	0.020209	7500	-3.527575	-1036.840740
79	0.017889	7500	-3.267699	-1040.108439
80	0.015736	7500	-3.069805	-1043.178244
81	0.013746	7500	-2.886162	-1046.064406
82	0.011916	7500	-2.635364	-1048.699769
83	0.010240	7500	-2.465710	-1051.165479
84	0.008714	7500	-2.247686	-1053.413165
85	0.007334	7500	-2.061395	-1055.474560
86	0.006093	7500	-1.873231	-1057.347792
87	0.004988	7500	-1.681713	-1059.029504
88	0.004013	7500	-1.638194	-1060.667699
89	0.003162	7500	-1.450009	-1062.117708
90	0.002430	7500	-1.237468	-1063.355176
91	0.001810	7500	-1.056674	-1064.411849
92	0.001296	7500	-0.894695	-1065.306544
93	0.000882	7500	-0.802437	-1066.108982
94	0.000559	7500	-0.670795	-1066.779776
95	0.000320	7500	-0.567041	-1067.346817
96	0.000156	7500	-0.422044	-1067.768861
97	0.000057	7500	-0.223864	-1067.992725
98	0.000010	7500	-0.107234	-1068.099959
99	0.000000	7500	-0.025872	-1068.125831
Log marginal likelihood:	-1068.125831
0	0.975187	7500	-26.067708	-26.067708
1	0.950747	7500	-25.667640	-51.735348
2	0.926679	7500	-25.267358	-77.002706
3	0.902980	7500	-24.890762	-101.893468
4	0.879648	7500	-24.501160	-126.394628
5	0.856682	7500	-24.121649	-150.516277
6	0.834079	7500	-23.744823	-174.261100
7	0.811838	7500	-23.371716	-197.632816
8	0.789957	7500	-22.994212	-220.627028
9	0.768433	7500	-22.619359	-243.246387
10	0.747266	7500	-22.243371	-265.489759
11	0.726452	7500	-21.873587	-287.363346
12	0.705989	7500	-21.504862	-308.868208
13	0.685877	7500	-21.136524	-330.004732
14	0.666112	7500	-20.766071	-350.770802
15	0.646693	7500	-20.415834	-371.186636
16	0.627618	7500	-20.068908	-391.255544
17	0.608884	7500	-19.695778	-410.951322
18	0.590490	7500	-19.351867	-430.303189
19	0.572433	7500	-19.001820	-449.305009
20	0.554712	7500	-18.636190	-467.941199
21	0.537324	7500	-18.296831	-486.238029
22	0.520268	7500	-17.942621	-504.180651
23	0.503540	7500	-17.604693	-521.785344
24	0.487139	7500	-17.264250	-539.049594
25	0.471063	7500	-16.920514	-555.970108
26	0.455310	7500	-16.588182	-572.558289
27	0.439877	7500	-16.262250	-588.820539
28	0.424762	7500	-15.908174	-604.728713
29	0.409963	7500	-15.578701	-620.307414
30	0.395478	7500	-15.253653	-635.561067
31	0.381305	7500	-14.924661	-650.485727
32	0.367440	7500	-14.613859	-665.099587
33	0.353883	7500	-14.285944	-679.385531
34	0.340630	7500	-13.993122	-693.378652
35	0.327680	7500	-13.679304	-707.057957
36	0.315030	7500	-13.345912	-720.403869
37	0.302677	7500	-13.072616	-733.476485
38	0.290619	7500	-12.729318	-746.205803
39	0.278855	7500	-12.422153	-758.627956
40	0.267381	7500	-12.115479	-770.743435
41	0.256195	7500	-11.820838	-782.564274
42	0.245294	7500	-11.517135	-794.081408
43	0.234677	7500	-11.225562	-805.306970
44	0.224340	7500	-10.933072	-816.240042
45	0.214281	7500	-10.639766	-826.879808
46	0.204498	7500	-10.355045	-837.234852
47	0.194988	7500	-10.072948	-847.307801
48	0.185749	7500	-9.824517	-857.132318
49	0.176777	7500	-9.521142	-866.653460
50	0.168070	7500	-9.228115	-875.881575
51	0.159626	7500	-8.995626	-884.877201
52	0.151441	7500	-8.693836	-893.571036
53	0.143514	7500	-8.444817	-902.015853
54	0.135841	7500	-8.168031	-910.183884
55	0.128420	7500	-7.914884	-918.098768
56	0.121247	7500	-7.662306	-925.761074
57	0.114320	7500	-7.392149	-933.153223
58	0.107637	7500	-7.154410	-940.307633
59	0.101193	7500	-6.910801	-947.218434
60	0.094986	7500	-6.653315	-953.871749
61	0.089014	7500	-6.404353	-960.276102
62	0.083273	7500	-6.182153	-966.458255
63	0.077760	7500	-5.982540	-972.440795
64	0.072472	7500	-5.725338	-978.166133
65	0.067406	7500	-5.481580	-983.647713
66	0.062558	7500	-5.288066	-988.935779
67	0.057926	7500	-5.017318	-993.953097
68	0.053506	7500	-4.854924	-998.808021
69	0.049295	7500	-4.672532	-1003.480552
70	0.045289	7500	-4.487439	-1007.967991
71	0.041485	7500	-4.188166	-1012.156158
72	0.037880	7500	-4.179981	-1016.336139
73	0.034469	7500	-3.899098	-1020.235237
74	0.031250	7500	-3.782214	-1024.017451
75	0.028218	7500	-4.201220	-1028.218671
76	0.025370	7500	-4.009723	-1032.228394
77	0.022702	7500	-3.798194	-1036.026588
78	0.020209	7500	-3.559512	-1039.586100
79	0.017889	7500	-3.323763	-1042.909863
80	0.015736	7500	-3.078847	-1045.988710
81	0.013746	7500	-2.877747	-1048.866458
82	0.011916	7500	-2.593725	-1051.460182
83	0.010240	7500	-2.478699	-1053.938881
84	0.008714	7500	-2.238351	-1056.177232
85	0.007334	7500	-2.035047	-1058.212279
86	0.006093	7500	-1.896657	-1060.108937
87	0.004988	7500	-1.716673	-1061.825610
88	0.004013	7500	-1.560550	-1063.386159
89	0.003162	7500	-1.446794	-1064.832954
90	0.002430	7500	-1.336804	-1066.169758
91	0.001810	7500	-1.096687	-1067.266444
92	0.001296	7500	-1.021301	-1068.287746
93	0.000882	7500	-0.826086	-1069.113832
94	0.000559	7500	-0.654523	-1069.768355
95	0.000320	7500	-0.641105	-1070.409460
96	0.000156	7500	-0.384009	-1070.793469
97	0.000057	7500	-0.266423	-1071.059893
98	0.000010	7500	-0.117428	-1071.177320
99	0.000000	7500	-0.023533	-1071.200853
Log marginal likelihood:	-1071.200853
0	0.975187	7500	-25.386138	-25.386138
1	0.950747	7500	-24.981519	-50.367657
2	0.926679	7500	-24.573503	-74.941160
3	0.902980	7500	-24.202149	-99.143309
4	0.879648	7500	-23.829791	-122.973100
5	0.856682	7500	-23.506423	-146.479523
6	0.834079	7500	-23.148949	-169.628472
7	0.811838	7500	-22.753319	-192.381791
8	0.789957	7500	-22.408410	-214.790200
9	0.768433	7500	-22.029356	-236.819557
10	0.747266	7500	-21.658040	-258.477597
11	0.726452	7500	-21.303883	-279.781480
12	0.705989	7500	-20.933970	-300.715450
13	0.685877	7500	-20.622363	-321.337813
14	0.666112	7500	-20.236994	-341.574807
15	0.646693	7500	-20.168062	-361.742869
16	0.627618	7500	-19.836908	-381.579777
17	0.608884	7500	-19.458271	-401.038047
18	0.590490	7500	-18.851980	-419.890027
19	0.572433	7500	-18.500821	-438.390848
20	0.554712	7500	-18.151917	-456.542765
21	0.537324	7500	-17.882641	-474.425405
22	0.520268	7500	-17.546035	-491.971441
23	0.503540	7500	-17.235767	-509.207208
24	0.487139	7500	-17.065103	-526.272311
25	0.471063	7500	-16.712716	-542.985027
26	0.455310	7500	-16.397375	-559.382402
27	0.439877	7500	-16.077778	-575.460180
28	0.424762	7500	-15.739845	-591.200026
29	0.409963	7500	-15.251317	-606.451342
30	0.395478	7500	-14.974303	-621.425645
31	0.381305	7500	-14.777050	-636.202695
32	0.367440	7500	-14.451483	-650.654178
33	0.353883	7500	-14.126320	-664.780498
34	0.340630	7500	-13.816340	-678.596838
35	0.327680	7500	-13.499654	-692.096492
36	0.315030	7500	-13.190963	-705.287455
37	0.302677	7500	-12.888720	-718.176174
38	0.290619	7500	-12.574929	-730.751103
39	0.278855	7500	-12.286038	-743.037141
40	0.267381	7500	-11.985397	-755.022538
41	0.256195	7500	-11.707838	-766.730375
42	0.245294	7500	-11.396788	-778.127164
43	0.234677	7500	-11.102748	-789.229912
44	0.224340	7500	-10.809263	-800.039175
45	0.214281	7500	-10.531993	-810.571169
46	0.204498	7500	-10.243171	-820.814340
47	0.194988	7500	-9.958652	-830.772991
48	0.185749	7500	-9.689305	-840.462296
49	0.176777	7500	-9.415724	-849.878020
50	0.168070	7500	-9.132387	-859.010408
51	0.159626	7500	-8.869583	-867.879990
52	0.151441	7500	-8.592234	-876.472225
53	0.143514	7500	-8.332734	-884.804959
54	0.135841	7500	-8.085858	-892.890817
55	0.128420	7500	-7.814490	-900.705307
56	0.121247	7500	-7.566504	-908.271811
57	0.114320	7500	-7.329814	-915.601626
58	0.107637	7500	-7.115417	-922.717043
59	0.101193	7500	-6.837238	-929.554281
60	0.094986	7500	-6.577674	-936.131956
61	0.089014	7500	-6.339863	-942.471818
62	0.083273	7500	-6.060262	-948.532080
63	0.077760	7500	-5.858455	-954.390535
64	0.072472	7500	-5.654479	-960.045014
65	0.067406	7500	-5.421538	-965.466552
66	0.062558	7500	-5.199080	-970.665632
67	0.057926	7500	-4.969833	-975.635465
68	0.053506	7500	-4.754493	-980.389958
69	0.049295	7500	-4.564200	-984.954158
70	0.045289	7500	-4.542811	-989.496969
71	0.041485	7500	-4.233699	-993.730668
72	0.037880	7500	-4.106327	-997.836995
73	0.034469	7500	-3.850805	-1001.687800
74	0.031250	7500	-3.685969	-1005.373769
75	0.028218	7500	-3.489026	-1008.862796
76	0.025370	7500	-3.900181	-1012.762977
77	0.022702	7500	-3.745545	-1016.508522
78	0.020209	7500	-3.526425	-1020.034947
79	0.017889	7500	-3.252657	-1023.287604
80	0.015736	7500	-3.102996	-1026.390600
81	0.013746	7500	-2.841127	-1029.231727
82	0.011916	7500	-2.622404	-1031.854131
83	0.010240	7500	-2.456069	-1034.310200
84	0.008714	7500	-2.249272	-1036.559472
85	0.007334	7500	-2.078499	-1038.637971
86	0.006093	7500	-1.873105	-1040.511076
87	0.004988	7500	-1.690238	-1042.201314
88	0.004013	7500	-1.572986	-1043.774299
89	0.003162	7500	-1.353751	-1045.128051
90	0.002430	7500	-1.282256	-1046.410307
91	0.001810	7500	-1.113209	-1047.523516
92	0.001296	7500	-1.001807	-1048.525323
93	0.000882	7500	-0.797909	-1049.323232
94	0.000559	7500	-0.716041	-1050.039274
95	0.000320	7500	-0.487402	-1050.526676
96	0.000156	7500	-0.472372	-1050.999048
97	0.000057	7500	-0.183844	-1051.182892
98	0.000010	7500	-0.109562	-1051.292454
99	0.000000	7500	-0.025545	-1051.317999
Log marginal likelihood:	-1051.317999
0	0.975187	7500	-25.504028	-25.504028
1	0.950747	7500	-25.117543	-50.621571
2	0.926679	7500	-24.745767	-75.367338
3	0.902980	7500	-24.346472	-99.713810
4	0.879648	7500	-23.973209	-123.687019
5	0.856682	7500	-23.693173	-147.380193
6	0.834079	7500	-23.256490	-170.636683
7	0.811838	7500	-22.883227	-193.519909
8	0.789957	7500	-22.493088	-216.012997
9	0.768433	7500	-22.112116	-238.125113
10	0.747266	7500	-21.769253	-259.894366
11	0.726452	7500	-21.449223	-281.343589
12	0.705989	7500	-21.062953	-302.406541
13	0.685877	7500	-20.709691	-323.116232
14	0.666112	7500	-20.332630	-343.448862
15	0.646693	7500	-19.978811	-363.427674
16	0.627618	7500	-19.663158	-383.090832
17	0.608884	7500	-19.333837	-402.424669
18	0.590490	7500	-18.996899	-421.421568
19	0.572433	7500	-18.619641	-440.041210
20	0.554712	7500	-18.240504	-458.281714
21	0.537324	7500	-18.064368	-476.346083
22	0.520268	7500	-17.606055	-493.952138
23	0.503540	7500	-17.388702	-511.340839
24	0.487139	7500	-17.111695	-528.452534
25	0.471063	7500	-16.783192	-545.235727
26	0.455310	7500	-16.427108	-561.662834
27	0.439877	7500	-16.098536	-577.761370
28	0.424762	7500	-15.768541	-593.529911
29	0.409963	7500	-15.293755	-608.823666
30	0.395478	7500	-15.105666	-623.929332
31	0.381305	7500	-14.803432	-638.732764
32	0.367440	7500	-14.480216	-653.212980
33	0.353883	7500	-14.164679	-667.377659
34	0.340630	7500	-13.828483	-681.206142
35	0.327680	7500	-13.537814	-694.743956
36	0.315030	7500	-13.218622	-707.962578
37	0.302677	7500	-12.934518	-720.897096
38	0.290619	7500	-12.608906	-733.506002
39	0.278855	7500	-12.304492	-745.810494
40	0.267381	7500	-11.958912	-757.769406
41	0.256195	7500	-11.704700	-769.474106
42	0.245294	7500	-11.414288	-780.888394
43	0.234677	7500	-11.118533	-792.006928
44	0.224340	7500	-10.847295	-802.854222
45	0.214281	7500	-10.535053	-813.389275
46	0.204498	7500	-10.251497	-823.640772
47	0.194988	7500	-9.969688	-833.610460
48	0.185749	7500	-9.698458	-843.308919
49	0.176777	7500	-9.419869	-852.728788
50	0.168070	7500	-9.153534	-861.882322
51	0.159626	7500	-8.878290	-870.760612
52	0.151441	7500	-8.620456	-879.381068
53	0.143514	7500	-8.345708	-887.726777
54	0.135841	7500	-8.095134	-895.821911
55	0.128420	7500	-7.824192	-903.646103
56	0.121247	7500	-7.583454	-911.229557
57	0.114320	7500	-7.330743	-918.560301
58	0.107637	7500	-7.082520	-925.642821
59	0.101193	7500	-6.839837	-932.482658
60	0.094986	7500	-6.562363	-939.045021
61	0.089014	7500	-6.354870	-945.399891
62	0.083273	7500	-6.111344	-951.511235
63	0.077760	7500	-5.886019	-957.397254
64	0.072472	7500	-5.638483	-963.035737
65	0.067406	7500	-5.425770	-968.461508
66	0.062558	7500	-5.206071	-973.667578
67	0.057926	7500	-4.978373	-978.645951
68	0.053506	7500	-4.760861	-983.406813
69	0.049295	7500	-4.565295	-987.972108
70	0.045289	7500	-4.608202	-992.580310
71	0.041485	7500	-5.271446	-997.851755
72	0.037880	7500	-5.015589	-1002.867344
73	0.034469	7500	-4.746571	-1007.613916
74	0.031250	7500	-3.669894	-1011.283809
75	0.028218	7500	-3.529604	-1014.813413
76	0.025370	7500	-3.432515	-1018.245928
77	0.022702	7500	-3.744398	-1021.990326
78	0.020209	7500	-3.538443	-1025.528769
79	0.017889	7500	-3.306838	-1028.835607
80	0.015736	7500	-3.082088	-1031.917695
81	0.013746	7500	-2.863936	-1034.781631
82	0.011916	7500	-2.659094	-1037.440725
83	0.010240	7500	-2.428301	-1039.869026
84	0.008714	7500	-2.318951	-1042.187977
85	0.007334	7500	-2.022443	-1044.210420
86	0.006093	7500	-1.941722	-1046.152142
87	0.004988	7500	-1.740429	-1047.892571
88	0.004013	7500	-1.554968	-1049.447538
89	0.003162	7500	-1.375432	-1050.822970
90	0.002430	7500	-1.219111	-1052.042082
91	0.001810	7500	-1.070826	-1053.112908
92	0.001296	7500	-0.904868	-1054.017776
93	0.000882	7500	-0.792955	-1054.810731
94	0.000559	7500	-0.639259	-1055.449990
95	0.000320	7500	-0.453339	-1055.903329
96	0.000156	7500	-0.360693	-1056.264022
97	0.000057	7500	-0.205676	-1056.469698
98	0.000010	7500	-0.107270	-1056.576968
99	0.000000	7500	-0.024815	-1056.601783
Log marginal likelihood:	-1056.601783
0	0.975187	7500	-25.417768	-25.417768
1	0.950747	7500	-25.040386	-50.458153
2	0.926679	7500	-24.662333	-75.120486
3	0.902980	7500	-24.276194	-99.396680
4	0.879648	7500	-23.908246	-123.304925
5	0.856682	7500	-23.542029	-146.846954
6	0.834079	7500	-23.180535	-170.027489
7	0.811838	7500	-22.807336	-192.834825
8	0.789957	7500	-22.444584	-215.279409
