Estimate	Est.Error	Q2.5	Q97.5
abad1241	-3.08533100416503	3.07840153870589	-9.31836797695705	3.0042721092068
abar1238	-4.71800780385759	3.43091959700016	-11.8397084252145	1.77695518735454
abee1242	-4.75953442661004	3.22130537158827	-11.5976131138011	1.22969556119938
aben1249	-7.0631309208865	3.32459400592295	-13.9958034937144	-0.811189074128583
abkh1244	-7.98939285066494	6.65743091593984	-22.6297570746514	3.65597011846654
abua1245	-3.40317905577309	4.5259867917263	-12.8888716026862	4.74379138566577
abun1252	-1.55473617958303	4.65614981480543	-11.2619384253029	6.78853714200791
acha1249	3.51779233047734	3.00528282766892	-2.0489592754998	9.65062868316446
ache1245	-7.6886200652528	7.1889434030922	-24.2642492269561	3.56751646262362
achi1256	-4.91517659558706	3.86462178128662	-13.1186794367385	2.32160838015286
achi1257	-6.94511663519576	3.34307388441505	-13.977702195712	-0.663084835454297
achu1248	-3.34764291944783	3.86667681183567	-11.3861017294221	4.0646461045511
acol1236	-10.1627252326145	6.29556036367539	-24.9722951596652	-0.392081010797348
adan1251	5.86239293497216	4.68646629615632	-2.66476261553775	15.8982026835753
adon1237	-6.60455739777947	3.25415483035915	-13.4203051097385	-0.490691792874505
afar1241	0.017788594094103	2.71551167300869	-5.1805273552231	5.53023387281375
aghe1239	-5.0386969544566	3.42362043846098	-12.1296571673344	1.27960555011765
aghu1255	1.36658579821287	3.31008873226349	-4.98350699596477	8.18970194345219
agob1244	-2.46888383651227	4.44745620778916	-11.8219303799859	5.83669529250327
agua1253	-3.31350392774745	3.8895785334109	-11.1559570212651	3.95435800857654
agut1237	-6.90356519619642	3.35502078362829	-13.8183874870861	-0.727908564453599
aheu1239	-10.3885132217531	5.60235915377002	-23.1748944283074	-1.01380932058675
aika1237	-2.99127063214225	4.20229309412311	-11.8405580451661	5.00670611297482
aime1238	1.93361241599243	4.53578955164294	-6.40225279840785	11.1135602898922
ainu1240	-5.74057825079694	6.82122381497682	-20.5128805546939	6.03878901126623
ajab1235	-4.72613155023023	3.19719634664205	-11.4468385547367	1.40973306277945
ajas1235	-7.68285423981481	6.90369677501568	-23.503241358784	3.3703541014498
akei1237	-6.28482996670141	3.22033751760616	-13.1671829678138	-0.15530574670464
akha1245	5.01189818660387	3.08038166241365	-0.499015014186426	11.5039831310688
akoo1248	-4.19586673253887	3.08680019002063	-10.4097879463621	1.81965052594196
akun1241	-1.70066646668622	3.53473191511883	-8.97244646190969	5.12393351200123
alab1237	3.27853689495106	3.48829972590741	-3.26085589194506	10.3717530194051
alab1254	-0.492921534463505	2.76318050426836	-6.0343868207242	4.97496125816968
alac1244	-5.82543515648941	4.05134921647408	-14.6989490999062	1.64150477855442
alag1248	0.490291067442582	2.74561299701575	-4.7748029757952	6.10552391186498
alba1269	-7.11294144732611	3.30683976745684	-14.1230160980315	-0.978116516699786
aleu1260	-1.8910045526251	3.70148463404876	-9.35166482645139	5.11276701958653
alor1247	-6.60791545696925	3.29033725741417	-13.5722852848652	-0.573008733597277
aluk1238	-3.22478993837527	3.6469771537091	-10.4731666296192	4.03597983305776
amah1246	1.4697604981132	3.06405757947486	-4.27491766498301	7.80531880434005
