Estimate	Est.Error	Q2.5	Q97.5
abad1241	6.324195464	2.44081805189175	1.868853	11.60135
abar1238	-0.366907655915	2.46687397897767	-5.35476975	4.43686975
abee1242	0.19203055375	2.63369064825913	-5.32728175	5.27855424999999
aben1249	-0.469639732705	2.56278587648992	-5.87823575	4.5022355
abkh1244	-0.031212648215	2.80528475165982	-5.84698275	5.60855349999999
abua1245	-1.6652445883115	2.20867333174746	-6.347567	2.411163
abun1252	-2.510396992865	2.5476300250139	-7.97821875	2.2126685
acha1249	-0.084669682489	1.86318480612175	-3.864157	3.59845249999999
ache1245	-1.58005566619	2.16062253856877	-5.811391	2.65864025
achi1256	-0.5524766334505	2.74371030629978	-6.17513825	4.8417105
achi1257	-0.2593368586515	2.86929705071878	-6.282011	5.18297625
achu1248	-1.049709046455	2.62349604475729	-6.666116	3.73893299999999
acol1236	-0.8113135339455	2.71347557376601	-6.7292045	4.05787775
adan1251	0.44912063172	2.42660028397696	-4.31480975	5.311086
adon1237	-0.219436670045	2.47477138297797	-5.1931195	4.670175
afar1241	-1.341954856985	2.39365558938784	-6.46137325	3.025958
aghe1239	-0.2790117213	2.4593951527658	-5.138073	4.53346425
aghu1255	2.38198413999	2.57680744623974	-2.298979	7.80569599999998
agob1244	-2.16729187299	2.55331330601161	-7.466062	2.54782575
agua1253	-0.725108297325	2.63084732570206	-6.0191715	4.64073499999999
agut1237	-0.2483671446645	2.7158817749492	-6.015816	4.84873375
aheu1239	-0.464675029745	2.73764085022115	-6.04259475	4.83899975
aika1237	-0.497834562755	2.5123001310361	-5.8370455	4.26137725
aime1238	2.35386986876	2.48223213459884	-2.2378255	7.63921174999997
ainu1240	-0.31193433242	2.63610844781594	-5.7627015	4.738889
ajab1235	-0.525593134225	2.51566488330622	-5.85675375	4.3336915
ajas1235	-0.93858096662	2.5159143686955	-6.05198025	3.753228
akei1237	-1.023205000337	2.49359239041542	-6.297624	3.71622325
akha1245	1.732983899269	2.01102385004408	-1.8953485	6.0804775
akoo1248	-0.19224266887	2.5806915031906	-5.29079175	4.769279
akun1241	-0.63672198979	2.49814114555548	-5.8578465	4.0206465
alab1237	1.276419598657	2.48692441055414	-3.29631825	6.34468325
alab1254	-0.903200474165	2.14781656528489	-5.3805925	3.015662
alac1244	-1.400695234523	2.49380144652189	-6.73671025	3.25600125
alag1248	3.11788275724	2.05478788098971	-0.6100091	7.27159325
alba1269	-0.3377705132235	2.60593400477332	-5.889643	4.61135224999999
aleu1260	-0.700974986575	2.56188556108404	-5.7811705	4.0907645
alor1247	0.3748863703975	2.41927344995245	-4.33716	5.0794335
aluk1238	2.30162620918	2.43551499832214	-2.1222525	7.32159574999999
amah1246	3.370697103662	2.44447187522128	-0.8953159	8.659079
amam1246	4.751105225155	2.19976701251583	0.7967778	9.32004249999998
amap1240	1.5225630851065	1.98005392143787	-2.18414775	5.6973425
amar1272	-0.5461273384415	2.17979989197923	-4.93144775	3.57715175
amas1236	-1.389111100507	2.58462716193464	-6.488716	3.46018625
amdo1237	-2.44953966754	2.17613911449068	-7.1031235	1.42396325
amha1245	-0.85835142042	2.70975683033568	-6.32668025	4.42629275
amii1238	1.0579876844441	2.19309133632012	-2.9851265	5.5573175
amis1246	-0.9680394690935	2.60399189682019	-6.341259	3.9306075
amri1238	1.743899392285	1.85626457799785	-1.94999375	5.32762275
anei1239	-0.24639201918	2.60010681620035	-5.43756175	4.547664
anfi1235	1.845731160665	2.16304561805505	-2.08242125	6.238438
anga1288	4.9568352597	2.16779492197673	1.0938855	9.37664525
anga1290	2.286415690815	2.08332166505314	-1.561286	6.6617745
ango1257	1.953619370385	2.33285730994858	-2.29351225	7.084899
anta1255	-0.18526251195	2.69328508604603	-5.56494375	5.03580125
anuf1239	-0.544876537648	2.67740653167942	-5.88224	4.646216
anut1237	-0.3494227778075	2.69137428633263	-5.863149	4.87353475
anuu1241	0.7748907585075	1.78871139934828	-2.84384525	4.20377875
aona1235	3.654571117505	2.04739105213751	-0.012568615	7.96486374999999
aoua1234	-0.302409313683	2.64337102530537	-5.61449425	4.58606925
apat1240	4.269717253805	2.2217805167601	0.3229242	9.1293855
apma1240	-1.0437300959645	2.39663471911705	-6.15728825	3.455438
apma1241	2.901692117175	2.03399452630819	-0.832076175	7.34777975
apur1254	-0.27684718424	2.68359407422642	-5.79703825	4.99085325
arak1252	-1.130688600635	2.39969615566744	-6.09453025	3.410198
arao1248	1.720921225715	2.18114344279479	-2.61004575	6.42122175
arap1274	-0.057156686905	2.63552551160691	-5.5994565	4.94399299999999
araw1276	-0.64155871789	2.68300629488012	-5.79479025	4.46296925
arbo1245	2.1511223909395	1.83862673857474	-1.33055775	5.9302255
arch1244	-0.216545115645	2.8908358586449	-5.798239	5.65525974999999
area1240	-0.76989063381925	2.4432154862378	-5.789675	3.8846
aree1239	5.83757068935	2.33214219863233	1.614494	10.8713325
argo1244	-0.75062240554	2.76352972275773	-6.149836	4.45553375
arhu1242	-3.00698562347	2.23679924672614	-7.6244225	0.926063949999998
arig1246	-0.3491341817365	2.72796998295498	-6.114556	4.72223174999999
arom1237	-0.009982980375	2.8127978990106	-5.4590995	5.58480725
arop1242	-0.31505788058	2.165055625949	-4.6784285	4.0010385
arop1243	1.496029043081	2.20044094864313	-2.9714085	5.72633425
aros1241	0.9538436041575	2.38123122552451	-3.69360575	5.87149125
arta1239	-0.6012429282105	2.56157037245192	-5.7950095	4.29856825
ashe1272	-0.3213112620855	2.62916542204268	-5.7923865	4.76097324999999
asoa1238	-0.798350750234	2.56909758881437	-6.35413775	4.16620825
assi1247	1.05659480163	2.56700719436038	-3.89105025	6.5172535
asur1254	-0.2890655571525	2.70419889325967	-5.85324675	5.00150475
asut1235	1.53147063682	2.4560433305799	-3.208728	6.53819025
atam1240	-0.32244117389	2.74572241084165	-5.6355275	4.79388375
atay1247	-0.8752238789155	2.66931519753182	-6.39927325	4.179168
athp1241	-1.06652279544	2.10344691966423	-5.31614125	3.110761
aton1241	0.446542772395	1.85437678885338	-3.09329175	4.02655475
aulu1238	-0.79568393463	2.21222165275729	-5.3625365	3.24842925
auuu1241	-0.5861618680625	2.10056166383638	-4.7309585	3.4866915
auye1238	1.9125888695275	2.32899514962216	-2.48995125	6.73315
avac1239	-0.7581639762345	2.57544294719875	-6.09015775	4.06437075
avat1244	-0.650949664455	2.60246385444905	-6.051893	4.41465125
awac1239	-1.0876159585325	2.64156734040825	-6.56801475	4.00372175
awad1243	0.211749081925	2.47569679760037	-4.84290925	5.0782625
awad1244	3.4812437362	1.99005791427454	-0.292342825	7.582688
awar1248	1.900036063965	1.91292668141995	-1.600452	5.79464425
awar1249	5.2242613877	2.24696898214918	1.2753095	10.1271925
awet1244	-1.524877651725	2.44616600337403	-6.5531595	2.9469445
awji1241	-0.08576300155	2.72830777928684	-5.708478	5.09289975
axam1237	-0.5794131663405	2.20793156506778	-5.20368425	3.6702795
axiy1235	1.6278258649465	2.22480575845553	-2.473331	6.229697
ayac1239	-0.270409764775	2.65819415702564	-5.63870175	4.904347
ayiw1239	-0.3934896359675	2.60042438413813	-5.88571775	4.69433
azha1235	1.728290007029	2.20562232246169	-2.2127535	6.368199
baba1264	0.323510666085	2.35502703784315	-4.458306	5.047132
baba1266	0.192609439746	2.35510362096966	-4.64232925	4.826411
baba1268	-0.9204830626	2.59849124415989	-6.2677745	3.8931885
babi1235	-0.8105586928	2.50390536850607	-6.14842125	3.66651699999999
bada1257	1.84225774885	2.43267067533807	-2.55599125	6.83992699999999
bafa1247	-0.31789669787	2.59049250157008	-5.72393175	4.44352275
bafi1243	1.43091539853	2.21525069049341	-2.88214125	5.84495949999999
bafu1246	-0.0894593520355	2.41152360641875	-4.87535825	4.573071
baga1273	-0.1396558013445	2.82774027272673	-5.768203	5.328873
bagi1246	-0.596777101675	2.56348725620686	-5.83611975	4.41881625
bagv1239	-0.2692200888495	2.91662846255978	-5.8813315	5.41990825
baha1259	-0.137005710415	2.76459884326392	-5.96094125	5.31601949999999
bahn1262	-0.542439981504	2.72004090514023	-6.260017	4.92791075
baim1244	1.8009009341665	2.38169993245866	-2.326547	6.75620924999999
baka1272	-0.28617180737	2.79983482708981	-6.17191975	5.04432024999999
baka1274	-0.77024381254	2.63266157994993	-6.1214255	4.32963899999999
baki1244	0.159012896211	2.1630592558915	-4.04590375	4.33848625
bala1311	-0.164707014165	2.80746912610903	-6.181225	5.187535
bala1315	-0.32593889607385	2.72043806996328	-5.81648625	4.9684045
bala1316	-0.4778512727835	2.6547990384636	-6.0012105	4.49710575
bali1278	-0.13334587012	2.75173642525694	-5.4686635	5.25166824999999
balo1261	2.11971264246745	2.45110831674196	-2.5146635	7.15722625
balu1257	-0.1321696375	2.59127668398252	-5.5730505	4.65197025
bamb1262	-0.89806567465	2.2471280946143	-5.4198105	3.344794
bamb1269	1.92495519603	2.3617508068504	-2.41522475	6.924837
bamb1270	-0.275309105855	2.64279193172765	-5.57757125	4.849823
bamu1253	1.731992860456	2.30988337078669	-2.614162	6.378572
