Estimate	Est.Error	Q2.5	Q97.5
abad1241	-3.17606369388331	3.00392655393662	-9.1991049716906	2.73360042231335
abar1238	-4.62233522477254	3.33604735656961	-11.6158637446358	1.7033125466361
abee1242	-4.68671408237524	3.0874614725041	-11.0987812711445	1.23763540095246
aben1249	-6.88940031129223	3.21712704109603	-13.6962537147255	-1.00857906217932
abkh1244	-7.92889173203619	6.53271350536426	-22.5208690362977	3.53573242361497
abua1245	-3.37586869429918	4.37316258730899	-12.5143811853034	4.60299684474144
abun1252	-1.46191819330852	4.44476738182261	-10.9423429132375	6.7717393063534
acha1249	3.4150681241281	3.02825300352561	-2.29150525531712	9.59341270162737
ache1245	-7.28229059773318	6.94522087963005	-23.3090025350459	3.62092219470066
achi1256	-4.69854068112941	3.8640114856341	-12.7654751602803	2.35560365859291
achi1257	-6.77042670761264	3.14243413311684	-13.2231549831767	-0.764017176532464
achu1248	-3.23446728301501	3.87097020243621	-11.2276256311655	4.0138638024272
acol1236	-9.97354331742449	6.31684930846623	-25.1801533424745	-0.33528046908088
adan1251	5.83354420210413	4.71671576880995	-2.49085903505857	16.0194494014669
adon1237	-6.44957312465255	3.15617976041336	-12.962818545594	-0.452259355910364
afar1241	-0.0210917274069293	2.67173029374933	-5.30416913367368	5.29962700428784
aghe1239	-4.91756291994263	3.28739949654827	-11.826709936464	1.31276966093593
aghu1255	1.1200546002453	3.27481995085636	-5.30642902382457	7.76927393395104
agob1244	-2.33203983683147	4.35789863982094	-11.4956603264314	5.6491803295264
agua1253	-3.22740252497023	3.89383534003771	-11.2283993878402	4.23301120024326
agut1237	-6.7290751916952	3.22879451829275	-13.2579989193632	-0.481649650283015
aheu1239	-10.2888551697909	5.54668083994922	-23.3315354429826	-1.02719801336206
aika1237	-2.80933667823841	4.0713802559899	-11.4649910715517	4.74633054448429
aime1238	1.86596695272217	4.34731984209768	-6.27796280248208	11.0469231729697
ainu1240	-5.74607517544893	6.61207045773483	-20.1016279088662	5.57738721951388
ajab1235	-4.6358110822577	3.0865953556232	-11.0092544232898	1.17317200734453
ajas1235	-7.53783712665084	6.87684704452233	-23.4230951078083	3.52626855046688
akei1237	-6.0945230961145	3.1381605464012	-12.4182665075818	-0.132528681620828
akha1245	4.84546661308555	3.07316843348639	-0.762599757850476	11.4318835972775
akoo1248	-4.13965746919221	3.01432779111553	-10.3339310448682	1.6305393515323
akun1241	-1.55152725387597	3.45816738559705	-8.59014765158388	5.33240415182483
alab1237	3.27968725605336	3.5355209410162	-3.31384910242331	10.806652177109
alab1254	-0.494959503198808	2.69246020252155	-5.8979508117448	4.77378698921479
alac1244	-5.57152416152913	3.93156798956178	-13.7401493370751	1.83849698713831
alag1248	0.42969958132056	2.70801078352938	-4.76972561430626	6.00811835755941
alba1269	-6.93218076050003	3.19323874346272	-13.6212123165056	-0.944467819529381
aleu1260	-1.72006874181713	3.64086475154549	-9.23967252553748	5.31778143730708
alor1247	-6.45464582365076	3.14109513848277	-12.9877869251347	-0.702482458549013
aluk1238	-3.33043439426581	3.63319791636075	-10.5521604741466	3.68648949481071
amah1246	1.52135042378692	3.07488429263641	-4.48717545867807	7.75858490987012
amam1246	3.15365514651402	4.32206202770168	-4.69268223727	12.1506591023956
amap1240	2.85537379890425	4.49725689227663	-5.44926748785575	12.4271389274915
amar1272	-5.41469521200662	3.03218529356699	-11.6295181268735	0.39657805501464
amas1236	-6.21343012708709	6.87523533499769	-22.0494405244875	4.66117194414409
amdo1237	4.78451742008551	2.98712043939689	-0.729924924133331	11.1592165968296
amha1245	-3.3266766227615	3.26850762429371	-10.0780902722006	2.79380775493217
amii1238	2.6460294076231	3.58591850616225	-4.3137089828238	9.77981545496609
amis1246	-6.51446872941087	3.46645788135355	-13.6052137588232	0.0861462340768497
amri1238	1.48236631306803	3.11271006538636	-4.4345470057454	7.8272333014388
anei1239	-6.28321846258896	3.1026740478512	-12.7804704728796	-0.435302294506683
anfi1235	-0.118560442924973	2.90776286782649	-5.72938578949079	5.82060620159501
anga1288	3.20952674637063	3.1443777809324	-2.67783011414491	9.60969745942813
anga1290	3.38241857543205	4.48306416967882	-4.75430511090259	13.0991116046837
ango1257	3.07802338878067	3.04240103877855	-2.84407403543217	9.31447231227906
anta1255	-6.6794287635501	3.17885726332356	-13.381658053285	-0.739470458999368
anuf1239	-4.64468883259804	3.13279726055438	-11.0512771488725	1.42122910966234
anut1237	-6.65692457814213	3.07849784593725	-12.9946081817404	-0.828358600013776
anuu1241	1.65280564475016	3.25372199788826	-4.77886242528249	8.27272932009888
aona1235	3.16039946996475	3.107427222323	-2.6453812268896	9.53539586124393
aoua1234	-8.56994669692729	6.02347120931347	-21.892211129434	1.63300445311271
apat1240	3.87859931106668	3.11722268677294	-1.93524791735214	10.5554760314179
apma1240	-5.86497019842809	3.08017183923589	-12.113103699872	-0.0210473460263278
apma1241	3.87227335828985	4.7323175937799	-4.52037058091849	13.8245725845538
apur1254	-3.88209779574935	3.75156469232875	-11.5586243491499	3.23919598438258
arak1252	-6.08695443363069	3.12802924224076	-12.4279625050671	-0.224776277402982
arao1248	0.919289247461294	3.09064428087955	-5.05675513908874	7.24273026522855
arap1274	-4.60137975894008	3.8924858774798	-12.8075738101525	2.51610072938568
araw1276	-3.79070083562837	3.78468936736225	-11.2648470758967	3.38884435264818
arbo1245	0.403280360256215	2.55199834395328	-4.49081856864573	5.57589464789799
