Estimate	Est.Error	Q2.5	Q97.5
abad1241	1.78794425220378	2.27893424209305	-2.51452429191304	6.42351574659198
abee1242	3.12141948240184	2.24739458437315	-1.09165725825185	7.81153919918046
abkh1244	2.32554708503733	2.95304920573252	-3.31352604275459	8.37055251642
abua1245	-2.52328054598704	3.38032365670107	-9.61564385732368	3.71338479343048
abun1252	1.96705141235117	3.21622381783647	-4.1348209093897	8.45845305624924
acha1249	3.73653236557615	2.32239103710959	-0.735909953101451	8.57509084811554
acha1250	3.9203453205509	2.53738705340791	-0.93331978988186	9.15654872066926
ache1245	-4.67541826203164	5.00673002304486	-16.0230309459175	3.64276865467729
ache1246	6.7759216682611	2.73162080004104	1.72518350469784	12.472769608038
achi1256	0.381608681481417	2.64164028364251	-5.07429907801806	5.45310518714796
achi1257	-0.361919710955661	2.28696256835973	-4.86020719270342	4.17194153522528
achu1247	0.933674110936944	2.98374145320771	-5.09952293640132	6.64989530289508
achu1248	1.25121998254156	2.52109975896436	-3.67428972534557	6.28142208280435
acol1236	-4.70368508511479	4.43917029252961	-14.8079963456709	2.64203300186244
adan1251	2.37467725424987	3.39079805580715	-3.88833440768315	9.55659683956395
adon1237	1.28227966654288	2.31912186906015	-3.16933768533777	6.04212900650785
adze1240	1.74513775435336	2.28017530431236	-2.63317893456042	6.46304439552213
afad1236	-2.97434727948476	2.6227098358056	-8.32406771061541	2.07586140495086
afar1241	-3.99529093288129	2.93685537682194	-10.1545515405966	1.37323969734686
aghe1239	-1.0237947256654	2.41532003142633	-5.89093735171272	3.66572461556142
aghu1255	2.59417594544174	2.51585350839243	-2.22163536889242	7.79636141855699
agob1244	-1.7543755733575	3.38589387904379	-8.78106404738821	4.43718173688667
agua1253	1.52299858332646	2.51377748902286	-3.44064354614637	6.45964849827301
agus1235	0.188581934247908	2.29833837704161	-4.33963611133983	4.75584489742911
agut1237	-0.298525550549641	2.34175903484788	-4.97541111974841	4.27177202515122
aheu1239	-1.57216617076735	2.49783677435173	-6.48053439602653	3.5050193342996
ahin1234	-0.600407229800026	2.33734092509314	-5.27434233853846	3.98582422452429
aime1238	-1.5049205294487	3.53070464761942	-8.87997948539468	4.95251405589542
ainu1240	4.93615424026965	3.95244550491902	-1.97943818601389	13.6912364677636
ajab1235	1.9972047894667	2.17967793490777	-2.21494384497276	6.40633319523146
ajie1238	-0.170474896250989	2.28993480317726	-4.63345812262035	4.28873186965517
akei1237	0.850138384124743	2.31090100831303	-3.54219906669345	5.42559812069838
akha1245	3.88699662987165	2.26785288438847	-0.418483894988948	8.5468652030441
akoo1248	-1.64151917964827	2.293054407728	-6.14585406542798	2.79852836532944
akun1241	6.47106284506362	2.80271007490211	1.29955877027782	12.415251454515
alab1237	5.04451762718322	2.7648224729466	-0.250351617082296	10.8975895233234
alab1254	-3.99149159214741	2.91403833710901	-10.0613683431488	1.35004640470671
alac1244	0.648504800580455	2.64832384288063	-4.63825575453712	5.94045296543087
alag1248	-3.95333660958274	2.95764240167908	-10.162343596254	1.43264468644137
alba1269	0.457129963787962	2.28444144551544	-4.06524229612889	5.01941568066981
aleu1260	-0.413332238542195	2.8385356892997	-6.14271403234084	4.92418211813862
alor1247	1.25489265207008	2.3343579473122	-3.21464646221309	6.01765900675875
aluk1238	-5.56436509956978	3.94098205612561	-14.4360301378478	1.04244280557183
alya1239	0.848835071165937	2.48611397367322	-3.95777952926356	5.85930453744116
amah1246	0.241485645713472	2.39614388199473	-4.55022525936891	5.03863398672503
amam1246	-0.407876707326018	2.65803478168448	-5.72124487531752	4.71031178449925
amap1240	-1.29292637726605	3.47986400340861	-8.75758965953528	5.06837003080686
amar1272	2.35193177735744	2.30545784886718	-1.99859344568221	7.10912035630432
amas1236	7.11482902296785	4.45455236297335	-0.0705794134141021	17.7304439275794
amdo1237	1.09736832420509	2.22590561129424	-3.33373022211059	5.47167617563593
amii1238	-2.43222410448374	3.73810237289555	-10.4029621091698	4.35857611926977
amis1246	-0.216902507440904	2.50323816412108	-5.23713842254898	4.70779429257955
amri1238	2.70453750417887	2.31956345327339	-1.79170131059027	7.34598043304508
anei1239	-0.136974842181907	2.33031603336645	-4.87199113541044	4.33659713013798
anfi1235	2.21840914796993	2.21172074067402	-1.94118423181255	6.63079474615112
anga1288	3.07116756346361	2.34596947713683	-1.38555144719435	7.85415431481794
anga1290	-1.92834819949791	3.56362382917093	-9.47578323393472	4.56248155091263
ango1257	3.249353846631	2.65333272933336	-1.86218532829873	8.72105344033768
anta1255	-0.308199695352155	2.29567696001854	-4.86188193666876	4.13179076781786
anuf1239	3.23031914977125	2.20389697162041	-0.991605931742546	7.79493078313397
anut1237	0.0962455317843411	2.20874014807225	-4.26998982919879	4.44240508294903
anuu1241	3.28976416663939	2.41829254992432	-1.13848823199181	8.44373269963183
aona1235	3.32257615534879	2.32922632546329	-1.08614884680947	8.15908157487454
aoua1234	0.101537467011205	2.71802711654027	-5.39010916292119	5.29820802264393
apat1240	2.07695720089802	2.28546680043817	-2.38203601991769	6.66248616698587
apin1244	3.00483914303502	2.46625624215852	-1.88253147548826	7.8465442126549
apma1240	0.0359386705370946	2.28917162477153	-4.42480668564761	4.63262283205708
apur1254	3.19033714637252	2.46481250218434	-1.72036670836562	8.13396431936588
arak1252	0.146519739283149	2.28817696091293	-4.43550825358222	4.72866839191537
arao1248	-0.452616354284365	2.56525720823223	-5.60897988042636	4.55967141021702
arap1274	7.02879097005886	2.73859788442631	1.93330861533285	12.7001396922252
araw1273	6.66282288130082	2.77139753153443	1.50484431922769	12.5063077166897
arbo1245	-3.99404168790779	2.86539888377844	-10.0578224937298	1.19413489096721
area1240	-0.104092600510252	2.31624557499018	-4.71463818397405	4.39382636043522
aree1239	1.55845827286356	2.3277940492338	-2.88443905265563	6.32985137334736
argo1244	-3.82233275759257	3.05525737289575	-10.1399015462798	1.77547622750745
arom1237	-2.1443235073562	2.48854869114041	-7.23153311143655	2.64057957683009
arop1242	1.19535093785797	2.28986919844714	-3.22338404414034	5.7889051943932
arop1243	1.35679036554595	2.25852707490403	-2.91367343614407	5.975906304803
arta1239	-0.572755547307408	2.34470518449001	-5.36439544352492	4.03237434491643
ashe1272	2.66314204286827	2.42325993467128	-2.04274024553609	7.4520326027669
assi1247	3.61606531294697	2.62998278511507	-1.38681737573359	8.98983461198237
asur1254	-2.39998931953468	2.67716888695088	-7.81813088348516	2.9334412195376
asut1235	-1.73855320304986	2.18036815856709	-5.96425672778186	2.58186231006399
atam1240	0.182855800753975	2.29139914726645	-4.35041458767039	4.63223147163043
atay1247	0.33188625795237	2.54644110409839	-4.71845379367617	5.30559037047229
athp1241	1.89044939354193	2.34970662444133	-2.70886141813722	6.56519645894691
aton1241	1.21152348343908	2.36926089719161	-3.37741005547779	5.81717810791731
aulu1238	-0.16727699435165	2.32768073051266	-4.82764579526034	4.34886610707031
auuu1241	-2.53804086079554	3.31656805994555	-9.53540465718139	3.62594825620272
auye1238	1.41761474440847	2.53903208833846	-3.44343741535293	6.67163776372275
avac1239	6.65320767823475	2.76484025978281	1.46586597865239	12.419500962567
awad1243	0.812486571511788	2.42198654395561	-3.85156923163777	5.68803364829627
awad1244	2.2799136947844	2.27747807418554	-2.03682846240015	6.91959271419727
awar1248	-0.464631494282647	2.49542908953077	-5.50350991811905	4.49763298087207
awar1249	4.3640689968568	3.30140140140649	-1.68801056917294	11.2683211365039
awet1244	6.67303849051124	2.77392828667426	1.53788117267449	12.4873368760016
awji1241	-3.08285610935865	2.91190615486457	-8.96554406567187	2.52468948025188
awtu1239	0.423102520679168	2.83840906639336	-5.15558830157951	5.94755294040538
axam1237	-0.190747384159039	2.32062101312908	-4.91244218922891	4.27889460982609
