Estimate	Est.Error	Q2.5	Q97.5
abad1241	1.69880987593469	2.23519001068262	-2.45331551311239	6.35151217295558
abee1242	3.04573085680006	2.22572632997157	-1.08310708661206	7.69494032465563
abkh1244	2.24718576432088	2.95454825083319	-3.24551865418935	8.34391306663854
abua1245	-2.46867150073556	3.24553609361244	-9.18368532960475	3.38421788997909
abun1252	1.73304539581342	3.08351772367412	-4.11819299980545	7.99898130478799
acha1249	3.64755941507079	2.25649621391383	-0.555526663597354	8.25426943502694
acha1250	3.83840876701083	2.45497798638922	-0.699067608115495	8.960467069131
ache1245	-4.439277242836	4.87380735227455	-16.0571464582509	3.61325898026649
ache1246	6.74109941785397	2.69043658012055	1.82043538857706	12.4615676769078
achi1256	0.470618142428447	2.57928004298704	-4.77967396044189	5.53757400738561
achi1257	-0.335965700172467	2.19883325965315	-4.60588900414143	4.15825119454442
achu1247	1.04070264330091	2.87958869900063	-4.73541686807953	6.48788340644316
achu1248	1.30133730316106	2.46173338488554	-3.3981092702846	6.23903982543295
acol1236	-4.52111548275191	4.34078732485308	-14.4801983968264	2.51853401211734
adan1251	2.22900981392845	3.31476886946418	-3.96531660575188	9.16358727973437
adon1237	1.19767576325823	2.28897186539075	-3.13827162550072	5.94714032046043
adze1240	1.6637098697114	2.23139763653182	-2.51553735802369	6.21093294916451
afad1236	-2.86568186604067	2.57747613589278	-8.11268288125257	2.26822547350017
afar1241	-3.85760134816792	2.84527426528841	-9.75775686320095	1.36918874257629
aghe1239	-0.945927005057212	2.42531079914998	-5.7440327413852	3.85127598600819
aghu1255	2.46036769051802	2.48999693595124	-2.13955538226827	7.55757676139507
agob1244	-1.76459928730621	3.34797265538887	-8.89744183205928	4.39344427091252
agua1253	1.55889822626469	2.45304833478934	-3.11872414080434	6.45971117261492
agus1235	0.194830214391141	2.24899015775526	-4.06363404500172	4.67713477287855
agut1237	-0.272780101442913	2.26391301031897	-4.71962975790329	4.20869623392232
aheu1239	-1.60110468919113	2.4688907579077	-6.31255083065695	3.49723488404182
ahin1234	-0.531046591481413	2.24810433450302	-4.95841213405222	4.02540848601083
