Language_ID	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID	Closest_ISO369P3code	First_Year_Of_Documentation	Last_Year_Of_Documentation	aes	category	classification	level	med	medovertime	subclassification
fuln1247	Fulniô	South America	-9.02591	-37.1402	fuln1247	fun	BR	NA	NA	fun	NA	NA	3	Spoken_L1_Language	NA	language	0	['da Costa, Januacele. 1999. Ya:thê, a última língua nativa no Nordeste do Brasil: aspectos morfofonológicos y morfo-sintáticos. (Doctoral dissertation, Recife: Universidade Federal de Pernambuco; xxi+367pp.)', 'Geraldo Lapenda. 1968. Estrutura da Língua Iatê: Falada pelos índios Fulniôs em Pernambuco. Recife: Imprensa Universitaria, Universidade Federal de Pernambuco. 229pp.', 'Pompeu Sobrinho, Thomas. 1935. Indios Fulniôs: Karnijós de Pernambuco. Revista do Instituto do Ceará XLIX. 31-58.', 'Mello, Mário. 1929. Os Carnijós de Águas Belas. Revista do Museu Paulista 16. 793-846.', 'Valdivia, Luis de. 1887 [1606]. Arte, vocabulario y confesionario de la lengua de Chile compuestos por Luiz de Valdivia. Publicados de nuevo or Juluis Platzmann. Edición facsimilar. Leipzig: B.G. Teubner.', 'Bolzanio, Urbano. 1545. Grammaticae institutiones in Graecam linguam ultima ipsius censura editioneque probatae, ac post longam suppressionem tandem in lucem emissae. Addito indice rerum necessariarum locupletissimo. Venetiis: apud heredes Petri Rabani et socios.']	(fuln1248:1,yate1241:1)fuln1247:1;
demm1245	Dem	Papunesia	-3.72183	137.632	demm1245	dem	ID	NA	NA	dem	NA	NA	3	Spoken_L1_Language	NA	language	4	[""Le Roux, C. C. F. M. 1950. Alphabetische woordenlijst: Dèm - Nederlands, Zinnen en uitdrukkingen: Nederlands - Dèm. In De Bergpapoea's van Nieuw-Guinea en hun Woongebied, 852-862, 892-895. Leiden: E. J. Brill."", 'de Bruijn, J. V. 1941. Verslag van een tocht naar Beura, het stroomgebied van de Beurong en Ielop, het stroomgebiet van de Ielorong in Centraal Nieuw Guinea door den controleur der Wisselmeren Dr.J.V.de Bruijn van 9 Juni 1941 tot 7 Augustus 1941. Nationaal Archief, Den Haag, Ministerie van Koloniën: Kantoor Bevolkingszaken Nieuw-Guinea te Hollandia: Rapportenarchief, 1950-1962, nummer toegang 2.10.25, inventarisnummer 256. 134pp.']	demm1245:1;
mixe1284	Mixe-Zoque	NA	16.99190245384724	-94.20790659990188	mixe1284	NA	NA	NA	NA	NA	NA	NA	NA	Family	NA	family	NA	NA	(((((((camo1252:1,coat1239:1)coat1238:1,isth1238:1,maza1292:1)lowl1263:1,((nucl1646:1,ocot1241:1)juqu1238:1,(atit1238:1,cotz1238:1,mixe1283:1,mixi1242:1,olot1240:1,puxm1238:1,zaca1240:1)nort2939:1)midl1241:1)lowl1269:1,tlah1239:1)lowl1268:1,toto1305:1,ulte1235:1)oaxa1241:1,olut1240:1,sayu1241:1,tapa1260:1)mixe1286:1,(((ocot1242:1,ostu1241:1)copa1236:1,(chap1265:1,sanp1256:1)fran1266:1,jito1235:1,rayo1235:1)chia1261:1,chim1300:1,(high1276:1,taba1264:1,texi1237:1)gulf1238:1)zoqu1261:1)mixe1284:1;
mure1235	Mure	South America	-13.636709	-62.2020909	mure1235	NA	BO	NA	NA	NA	NA	1800	6	Spoken_L1_Language	NA	language	4	['Lorenzo Hervás. 1800. Lenguas y naciones Americanas. (Catálogo de las lenguas de las naciones conocidas, y numeracion , division, y clases de estas, I.) Madrid: Imprenta de la Administración del real arbitrio de beneficencia. xvi+396pp.', 'Cosme Bueno. 1770. Descripcion del Obispado de Santa Cruz. (El conocimiento de los tiempos, ephemeride del año de 1771.) Lima: En la Imprenta Real; Calle de Palacio. 56pp. (I think that the title ""Descripcion de las misiones del Alto-Peru"" is nothing more than an ad hoc title for the original title ""Descripcion del Obispado de Santa Cruz"" which is a kind of appendicle in the original book.)']	mure1235:1;
nort2923	North Halmahera	NA	0.7726235182356925	127.6567781247746	nort2923	NA	NA	NA	NA	NA	NA	NA	NA	Family	NA	family	NA	NA	(((((kada1290:1,kadi1247:1,moro1290:1,sopi1242:1)gale1259:1,(baku1264:1)lolo1264:1)gale1261:1,((nort2925:1,sout2945:1)modo1249:1,(kaoo1238:1,(isam1243:1,nucl1627:1,toli1245:1)pagu1249:1)pagu1251:1)kaor1242:1,(aduu1238:1,nyek1238:1)taba1263:1,((boan1244:1,dodi1239:1,nucl1628:1)tobe1252:1,(kusu1253:1,telu1264:1)tugu1246:1)tobe1251:1)main1282:1,(ibuu1240:1,(gamk1238:1,((padi1242:1,tala1288:1)sahu1245:1,waio1238:1)sahu1246:1)nucl1759:1)sahu1244:1,(tern1247:1,tido1248:1)tern1246:1)nort2924:1,west2600:1)nort2923:1;
tonk1249	Tonkawa	North America	30.25	-96.75	tonk1249	tqw	US	NA	NA	tqw	NA	1965	6	Spoken_L1_Language	NA	language	1	['Hoijer, Harry. 1933-1938. Tonkawa. In Franz Boas (ed.), Handbook of American Indian languages: Volume 3, 1-148. Washington: Government Printing Office. (Also published by Columbia University Press, New York, 1933.)', 'Hoijer, Harry. 1931. Tonkawa: An Indian Language of Texas. (Doctoral dissertation, University of Chicago; 106pp.)', 'Albert S. Gatschet. 1877. Die Sprache der Tonkawas. Zeitschrift für Ethnologie IX. 64-105.', 'Albert S. Gatschet. 1876. Zwölf Sprachen aus dem Südwesten Amerikas. Weimar: Hermann Böhlau. 172pp.', 'Berlandier, Jean Louis and Rafael Chowell. 1828-1829. Vocabularies of languages of South Texas and the Lower Rio Grande. Additional Manuscripts no.~38720, in the British Library, London.']	tonk1249:1;
otom1276	Otomaco-Taparita	South America	7.869912	-70.997315	otom1276	NA	VE	NA	NA	NA	NA	NA	6	Family	NA	family	4	['Crévaux, Jules Nicolas. 1882. Vocabulario Otomaco. BLA 8. 262-263.']	(otom1301:1,tapa1262:1)otom1276:1;
klam1254	Klamath-Modoc	North America	42.5861	-121.704	klam1254	kla	US	NA	NA	kla	NA	2003	6	Spoken_L1_Language	NA	language	0	['Barker, Phillip. 1960. The Klamath Language. (Doctoral dissertation, University of California at Berkeley; 523pp.)', 'Albert S. Gatschet. 1890. The Klamath Indians of Southwestern Oregon. (Contributions to North American Ethnology, II.) Washington, D. C.: Government Printing Office. 495+305+519pp.', 'Horatio Hale. 1846. Ethnology and Philology. (United States Exploring Expedition during the years 1838, 1839, 1840, 1841, 1842 under the command of Charles Wilkes, U.S.N., VI.) Philadelphia: C.~Sherman. 689pp.']	klam1254:1;
fasu1242	Fasu	Papunesia	-6.62687	143.284	fasu1242	faa	PG	NA	NA	faa	NA	NA	3	Spoken_L1_Language	NA	language	1	['Loeweke, Eunice and Jean May. 1980. General Grammar of Fasu (Namo me): Lake Kutubu, Southern Highlands Province. In Don Hutchisson (ed.), Grammatical studies in Fasu and Mt. Koiali, Workpapers in Papua New Guinea Languages 27, 5-106. Ukarumpa, Papua New Guinea: Summer Institute of Linguistics.', 'Eunice Loeweke and Loeweke Jean May and Eunice and Jean May and Jeffrey Bailey and Cooper Samuel. 1973. Pisini me sukuru sawi popasane oyapo (Learning to read Melanesian Pidgin) [transfer primer], bound with the following: ____, ____, Akisa Ware, and Kuape Ware, Pisini me enomakasimo sawi wo popasane oyapo, [diglot phrase book, adapted from Pisini kie havio, by Gwen Gibson, Joy McCarthy and Stephen Harris]. (150). 104pp. ([EZE]).', 'Loeweke, Eunice and May, Jean. 1966. Fasu grammar. Anthropological Linguistics 8. 17-33.', 'Jean May and Eunice Loeweke. 1965. The phonological hierarchy in Fasu. Anthropological Linguistics 7. 89-97.', 'Loeweke, Eunice and May, Jean. 1964. The Phonological Hierarchy in Fasu. Anthropological Linguistics 7. 89–97.', 'Jean May and Eunice Loeweke. 1963. Faso Namo Mé 1 (Fasu trial primer 1). 11pp.']	(kaib1243:1,namo1245:1,some1244:1)fasu1242:1;
chib1249	Chibchan	NA	12.511542059000078	-81.72370357999995	chib1249	NA	NA	NA	NA	NA	NA	NA	NA	Family	NA	family	NA	NA	((((chan1324:1,dora1242:1)dora1241:1,(((boko1272:1,saba1272:1)bugl1243:1,(east2570:1,vali1239:1)ngab1239:1)guay1266:1,(bord1248:1,(baya1263:1,chua1255:1)sanb1242:1)kuna1280:1)east2569:1,(boru1252:1,teri1250:1,((amub1238:1,coro1254:1,sali1302:1)brib1243:1,(chir1293:1,estr1249:1,teli1245:1,ujar1238:1)cabe1245:1)vice1244:1)west2641:1)isth1243:1,(((cogu1240:1,(arhu1242:1,(kank1244:1,mala1522:1)east2572:1)east2571:1)arhu1241:1,chim1309:1)nort3000:1,(bari1297:1,(chib1270:1,duit1239:1)chib1269:1,(ango1257:1,barr1251:1,cent2150:1,west2651:1)tune1260:1)sout3015:1)magd1236:1,(anti1242:1)unun9943:1,(huet1235:1,male1297:1,rama1270:1)voti1248:1)core1252:1,pech1241:1)chib1249:1;
