Universal,Filename,uncontrolled_spatfphylo_n,spatfam_n
0001_or_2aKA,results/0001_or_2aKA/BT_data.txt,1957,1659
0001_or_2bKA,results/0001_or_2bKA/BT_data.txt,1880,1591
0005KA,results/0005KA/BT_data.txt,1786,1512
0008KA,results/0008KA/BT_data.txt,1771,1484
0015aKA,results/0015aKA/BT_data.txt,1940,1635
0015bKA,results/0015bKA/BT_data.txt,1925,1620
0045KA,results/0045KA/BT_data.txt,2030,1720
0055KA,results/0055KA/BT_data.txt,1938,1627
0056KA,results/0056KA/BT_data.txt,1833,1560
0057aKA,results/0057aKA/BT_data.txt,1809,1554
0057bKA,results/0057bKA/BT_data.txt,1839,1565
0062aKA,results/0062aKA/BT_data.txt,1409,1206
0062bKA,results/0062bKA/BT_data.txt,1335,1140
0065_or_66KA,results/0065_or_66KA/BT_data.txt,1786,1512
0067_or_68KA,results/0067_or_68KA/BT_data.txt,1786,1512
0069KA,results/0069KA/BT_data.txt,1753,1486
0070KA,results/0070KA/BT_data.txt,1694,1434
0071KA,results/0071KA/BT_data.txt,1678,1415
0072KA,results/0072KA/BT_data.txt,1728,1472
0073KA,results/0073KA/BT_data.txt,1839,1565
0074KA,results/0074KA/BT_data.txt,1702,1467
0075KA,results/0075KA/BT_data.txt,1809,1554
0084KA,results/0084KA/BT_data.txt,1662,1407
0087KA,results/0087KA/BT_data.txt,1472,1252
0088KA,results/0088KA/BT_data.txt,1539,1308
0091KA,results/0091KA/BT_data.txt,1465,1248
0093KA,results/0093KA/BT_data.txt,1947,1651
0095aKA,results/0095aKA/BT_data.txt,1276,1087
0095bKA,results/0095bKA/BT_data.txt,1262,1080
0096KA,results/0096KA/BT_data.txt,1277,1087
0101KA,results/0101KA/BT_data.txt,1871,1587
0107aKA,results/0107aKA/BT_data.txt,1516,1288
0107bKA,results/0107bKA/BT_data.txt,1833,1560
0107cKA,results/0107cKA/BT_data.txt,1989,1675
0108KA,results/0108KA/BT_data.txt,1540,1287
0110KA,results/0110KA/BT_data.txt,1529,1302
0116KA,results/0116KA/BT_data.txt,2225,1894
0121KA,results/0121KA/BT_data.txt,1438,1234
0125KA,results/0125KA/BT_data.txt,1264,1058
0126nKA,results/0126nKA/BT_data.txt,1500,1287
0144KA,results/0144KA/BT_data.txt,1679,1423
0145KA,results/0145KA/BT_data.txt,1696,1403
0147KA,results/0147KA/BT_data.txt,1642,1343
